id,PaginaWeb,Ciudad,Fecha Scrap,tipo_propiedad,area_m2,recamaras,estacionamientos,operacion,precio,mantenimiento,direccion,ubicacion_url,titulo,descripcion,anunciante,codigo_anunciante,codigo_inmuebles24,tiempo_publicacion,area_total,area_cubierta,banos_icon,estacionamientos_icon,recamaras_icon,medio_banos_icon,antiguedad_icon,Características generales,Servicios,Amenidades,Exteriores,url_original
1,Inm24,,sep-25,Casa,619m²,4,6,renta,"rentaMN 100,000",,"Av.Naciones Unidas,  Virreyes Residencial, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.693203100000000,-103.439192600000000&zoom=16&markers=20.693203100000000,-103.439192600000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=a0inm2jygBRsuVNEwFhOkBB-MCk=&channel=rpfic-i24","Casa de Lujo en Renta, Virreyes Residencial, Zapopan","Espectacular casa ubicada en exclusivo condominio de ambiente 100% familiar. Disfruta de una inigualable vista, acabados de primera calidad y una atmósfera armoniosa que transmite calidez en cada rincón. Cada espacio ha sido cuidadosamente diseñado para ofrecer funcionalidad, confort y un estilo acogedor que invita a vivirla y disfrutarla al máximo. SUPERFICIE: Terreno: 780 m² Construcción: 619 m² DISTRIBUCIÓN SÓTANO: Estacionamiento con capacidad para 6 vehículos Cuarto de juegos con bar, área de TV y medio baño Cuarto de lavado Patio de servicio Cuarto de servicio con baño completo Amplia bodega Clóset DISTRIBUCIÓN PLANTA BAJA: Cocina integral con amplia barra Alacena Antecomedor Sala y comedor Medio baño para visitas Estudio Recámara principal con baño completo y vestidor (walk-in closet) Terraza Amplio jardín DISTRIBUCIÓN PLANTA ALTA: Recámara principal con vestidor, baño completo con jacuzzi y amplia terraza 2 recámaras secundarias, cada una con baño completo y vestidor Sala de TV PLUS-EXTRAS: 3 cisternas de 5,000 litros cada una Preparación para alberca 14 paneles solares Calentador solar Sistema de audio integrado en toda la casa UBICACIÓN Y ZONAS ALEDAÑAS: Ubicada a pocos minutos de Periférico, Av. Universidad y Naciones Unidas. Rodeada de todos los servicios: gasolineras, instituciones educativas, gimnasios, centros comerciales, supermercados y restaurantes. ¡LISTA PARA HABITAR! PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS SIN PREVIO AVISO",VECORE Consejeros Inmobiliarios,EB-TW9245,147250537,Publicado hace 35 días,778 m² lote,619 m² constr.,4 baños,6 estac.,4 rec.,2 medios baños,18 años,Caseta de guardia; Escuelas Cercanas; Niveles construidos : 2; Cocina integral; Estado de conservación : Excelente,Seguridad privada,,,https://www.inmuebles24.com/propiedades/clasificado/alclcain-casa-de-lujo-en-renta-virreyes-residencial-zapopan-147250537.html
2,Inm24,,sep-25,Casa,604m²,5,6,venta,"ventaMN 27,750,000","Mantenimiento MN 2,500","Paseo San Rafael, Valle Real,  Valle Real, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.722235400000000,-103.451284700000000&zoom=16&markers=20.722235400000000,-103.451284700000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=D5wh_YKsPOeuyam8v3UWN8yqJMU=&channel=rpfic-i24","Casa en Exclusiva Zona, Paseo San Rafael, Valle Real, Zapopan","Espectacular casa con tan solo 8 años de antigüedad en excelentes condiciones, con acabados de lujo en mármol y granito. Se encuentra ubicada en una de las mejores zonas de Zapopan dentro del fraccionamiento conocido como “Valle Real”, dentro de la zona real con mayor plusvalía y cuenta con su casa club (alberca, gimnasio, terraza para eventos, jardines y áreas de juego). SUPERFICIE: Terreno: 753 M2 (180M2 de donación) Construcción: 604 M2 SÓTANO: Estacionamiento techado para 6 vehículos Bodega grande DISTRIBUCIÓN PLANTA BAJA: Recibidor con muro llorón macetas flotantes Estudio con baño completo Sala comedor Cocina integral amplia con cubierta de granito, barra, estufa y campana. Medio baño Jardín Terraza techada y sin techar Área de bar con cava 1 Recamara principal con walking closet y baño completo (a doble altura con macetas flotantes) DISTRIBUCIÓN PLANTA ALTA: Sala de TV amplia 3 recamaras con vestidores y baños completos balcones. Cuarto de de servicio con tendedero al exterior PLUS/EXTRAS: Acabados de primera calidad Hidroneumático y cisterna Recamara en planta baja estudio con baño completo Seguridad 24/7 UBICACIÓN Y ZONAS ALEDAÑAS: Se encuentra en uno de los fraccionamientos más exclusivos de Zapopan, a tan solo 2 minutos del Tec de Monterrey. Cerca de Avenidas principales como Av. Aviación y Santa Margarita. Mantenimiento: $2500 (Incluido en RENTA) PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS SIN PREVIO AVISO",VECORE Consejeros Inmobiliarios,EB-TQ8774,147009800,Publicado hace 66 días,753 m² lote,604 m² constr.,5 baños,6 estac.,5 rec.,1 medio baño,13 años,Caseta de guardia; Terraza; Escuelas Cercanas; Niveles construidos : 2; Cocina integral; Estado de conservación : Excelente; Closet,Seguridad privada,Bodega(s) : 1; Patio; Sótano,Jardín Privado,https://www.inmuebles24.com/propiedades/clasificado/alclcain-casa-en-exclusiva-zona-paseo-san-rafael-valle-real-147009800.html
3,Inm24,,sep-25,Casa,481m²,3,4,renta,"rentaMN 95,000",,"Puerta de Hierro,  Puerta de Hierro, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.715529700000000,-103.419390300000000&zoom=16&markers=20.715529700000000,-103.419390300000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=fSPLkkxFoXpXuJ0WngoSVeorl10=&channel=rpfic-i24",Casa en Renta Puerta de Hierro Andares Zapopan,"Esta Residencia se encuentra en el Exclusivo Condominio Puerta de Hierro a solo unos pasos de Plaza Andares. El Condominio tiene una excelente Seguridad, acceso controlado y vigilancia las 24 hrs. Amplias ares verdes y muy fluidas vias de acceso. La casa se encuentra dentro del coto Asturias dentro de Puerta de Hierro La Casa cuenta con: PRIMER NIVEL -Cochera para 4 autos -Servidumbre Lateral -Acceso principal -Area de Estudio u Oficina -Medio Baño de Visitas -Sala y Comedor -Area de Cocina integral -Cuarto de Servicio con baño completo -Area de lavado -Terraza techada con Jardín SEGUNDO NIVEL: -3 Recamaras amplias cada una con baño completo y vestidor -Estar de Televisión Equipada con Paneles Solares (Opción de Rentarse amueblada 110 mil) 535 mts2 de Terreno 481 mts2 de Construcción Altura Máxima Real Estate",ALTURA MAXIMA BIENES RAICES,61L3T0,147180570,Publicado hace 8 días,535 m² lote,481 m² constr.,4 baños,4 estac.,3 rec.,1 medio baño,15 años,Caseta de guardia; Terraza; Cuartos de servicio; Cocina integral; Estado de conservación : Excelente,Area de lavandería; Seguridad privada; Servicios básicos (agua/luz),Estudio; Cuarto de TV,Jardín Privado,https://www.inmuebles24.com/propiedades/clasificado/alclcain-casa-en-renta-puerta-de-hierro-andares-zapopan-147180570.html
4,Inm24,,sep-25,Casa en condominio,158m²,3,2,renta,"rentaMN 17,893",,"Avenida Paseo de la Cantera 702 76,  Nuevo México, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.788188622599999,-103.413864356000004&zoom=16&markers=20.788188622599999,-103.413864356000004&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=5wHJLVXyv0oqOeHRMPK1I35YKJA=&channel=rpfic-i24",Casa en Renta en Capital Norte Coto Sienna,"Casa en renta de 3 recamaras, 2 baños y medio. Cuenta jardín y sobre todo se encuentra muy cerca del ingreso principal y de la casa club. Se renta con mantenimiento incluido. cuenta con Aires acondicionados, persianas y mosquiteros. Control de acceso al coto desde su celular. WIG: pawE69T",Guia Excelencia Inmobiliaria,61EFHK,147002030,Publicado hace 66 días,115 m² lote,158 m² constr.,2 baños,2 estac.,3 rec.,1 medio baño,3 años,Caseta de guardia; Alberca; Estado de conservación : Excelente,Aire acondicionado,,,https://www.inmuebles24.com/propiedades/clasificado/alclccin-casa-en-renta-en-capital-norte-coto-sienna-147002030.html
5,Inm24,,sep-25,Casa,604m²,5,6,renta,"rentaMN 110,000",,"Paseo San Rafael 2993,  Valle Real, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.724030000000000,-103.451244600000000&zoom=16&markers=20.724030000000000,-103.451244600000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=4IQIC5n592k_s0k5oxFvLeZKVAw=&channel=rpfic-i24","Residencia en Zona Exclusiva, Valle Real, Zapopan","Espectacular casa con tan solo 8 años de antigüedad en excelentes condiciones, con acabados de lujo en mármol y granito. Se encuentra ubicada en una de las mejores zonas de Zapopan dentro del fraccionamiento conocido como “Valle Real”, dentro de la zona real con mayor plusvalía y cuenta con su casa club (alberca, gimnasio, terraza para eventos, jardines y áreas de juego). SUPERFICIE: Terreno: 753 M2 (180M2 de donación) Construcción: 604 M2 SÓTANO: Estacionamiento techado para 6 vehículos Bodega grande DISTRIBUCIÓN PLANTA BAJA: Recibidor con muro llorón macetas flotantes Estudio con baño completo Sala comedor Cocina integral amplia con cubierta de granito, barra, estufa y campana. Medio baño Jardín Terraza techada y sin techar Área de bar con cava 1 Recamara principal con walking closet y baño completo (a doble altura con macetas flotantes) DISTRIBUCIÓN PLANTA ALTA: Sala de TV amplia 3 recamaras con vestidores y baños completos + balcones. Cuarto de de servicio con tendedero al exterior PLUS/EXTRAS: Acabados de primera calidad Hidroneumático y cisterna Recamara en planta baja + estudio con baño completo Seguridad 24/7 UBICACIÓN Y ZONAS ALEDAÑAS: Se encuentra en uno de los fraccionamientos más exclusivos de Zapopan, a tan solo 2 minutos del Tec de Monterrey. Cerca de Avenidas principales como Av. Aviación y Santa Margarita. PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS SIN PREVIO AVISO",VECORE Consejeros Inmobiliarios,EB-TQ8774,147624928,Publicado desde ayer,753 m² lote,604 m² constr.,5 baños,6 estac.,5 rec.,1 medio baño,13 años,Caseta de guardia; Escuelas Cercanas; Niveles construidos : 2; Cocina integral; Closet,Seguridad privada,,Jardín Privado,https://www.inmuebles24.com/propiedades/clasificado/alclcain-residencia-en-zona-exclusiva-valle-real-zapopan-147624928.html
6,Inm24,,sep-25,Casa en condominio,300m²,3,3,renta,"rentaMN 60,000","Mantenimiento MN 2,750","BLVD, PUERTA DE HIERRO,  Puerta de Hierro, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.717686700000000,-103.421741600000000&zoom=16&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=9N7V-M3rsfHkngETTbVn7ie1nRs=&channel=rpfic-i24",Casa Renta en Puerta de Hierro,"RENTA RESIDENCIA DE LUJO EN PUERTA DE HIERRO EXCLUSIVIDAD, SEGURIDAD Y COMODIDAD EN UN SOLO LUGAR Casa en Renta – Coto Puerta de Hierro ¡Vive con estilo, seguridad y confort! Ubicación inmejorable: Puerta de Hierro, una de las zonas más prestigiosas y seguras de la ciudad, rodeada de hospitales de primer nivel, centros comerciales de lujo (como Andares), colegios privados y rápidos accesos a las principales vialidades. Características: PLANTA BAJA Cochera Semi Techada Sala y comedor amplios Cocina integral equipada con area para antecomedor Cuarto de servicio con baño Área de lavado Jardin Posterior con terraza PLANTA ALTA Recámara principal con baño completo y vestidor y terraza 2 recámaras secundarias, cada una con su propio baño Amenidades del fraccionamiento: Seguridad 24/7 con acceso controlado Áreas verdes y parques privados Ambiente residencial tranquilo y de alto nivel Comunidad exclusiva y vecinos selectos CLIENTES EXIGENTES, ESTA ES SU OPORTUNIDAD Propiedad lista para habitar. Ideal para familias, ejecutivos o expatriados que valoran el estilo de vida premium, la seguridad y el confort. Pregunta por el precio y agenda tu cita hoy mismo. Contáctanos por mensaje directo",H&H ASESORES,Cynthia,146878922,Publicado hace 57 días,405 m² lote,300 m² constr.,4 baños,3 estac.,3 rec.,1 medio baño,25 años,Caseta de guardia; Cuartos de servicio; Cocina integral; Estado de conservación : Excelente; Closet,Seguridad privada,,Jardín Privado,https://www.inmuebles24.com/propiedades/clasificado/alclccin-casa-renta-en-puerta-de-hierro-146878922.html
7,Inm24,,sep-25,Casa,725m²,4,4,renta,"rentaMN 85,000","Mantenimiento MN 5,000","AV ACUEDUCTO ,  Puerta de Hierro, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.713781000000000,-103.412118000000000&zoom=16&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=vQMqxxRiRojsq3_C8NsD2e_6Vqk=&channel=rpfic-i24","Casa en Renta Puerta de Hierro, Pontevedra, Andares, Zapopan, Jalisco","Casa en Renta Puerta de Hierro, Andares, fraccionamiento Pontevedra, una residencia de lujo que representa lo mejor en diseño arquitectónico, amplitud, funcionalidad y acabados de primer nivel. Ubicada en una de las zonas más exclusivas de Zapopan, esta propiedad es ideal para quienes buscan un hogar único y sofisticado. Detalles que la hacen incomparable: • Fachada monumental con jardín de 49 m², fuente y escultura de bronce • Puerta de acceso de caoba sólida con vitrales Tiffany • Vestíbulo con doble altura y cúpula de cristal que brinda luz natural inigualable Distribución inteligente y espacios premium: • Habitación principal en planta baja con vestidor de 80 m², baño de lujo y jacuzzi • Segunda habitación principal en planta alta con vestidor de 200 m², baño completo y terraza privada • Dos recámaras secundarias con vestidor y baño completo, conectadas a una terraza común con gran iluminación • Sala de estar familiar y elevador que conecta ambos niveles Áreas sociales diseñadas para disfrutar: • Sala, comedor, salón de juegos, bar y terraza techada • Cocina integral con antecomedor • Alberca techada privada, terraza abierta con asador, fuente tipo cascada y área verde • Cuarto de lavado, bodega, patio de servicio y 2 habitaciones de servicio con baño completo Equipamiento de alto nivel: • Elevador, rampas de acceso y diseño inclusivo • Iluminación LED en toda la casa, interphone, alarma con sensores de movimiento • Sistema de riego automático, tanque de gas , aljibe • 4 cocheras al frente y amplios espacios de almacenamiento • Esta casa en renta Puerta de hierro, fraccionamiento Pontevedra es perfecta para quienes desean vivir rodeados de lujo, en un entorno seguro, exclusivo y con todas las comodidades. Amenidades del Fraccionamiento Pontevedra: • Acceso controlado, vigilancia 24/7, cámaras de seguridad • Casa club con capacidad para 200 personas, cocina, bar, baños y regaderas • Alberca climatizada, cancha de tenis, juegos infantiles y estacionamiento para visitas Vive la experiencia de una casa en venta Andares, fraccionamiento Pontevedra, donde cada espacio ha sido cuidadosamente diseñado para brindar confort, elegancia y funcionalidad. No pierdas la oportunidad de conocer esta extraordinaria casa en renta Puerta de Hierro, fraccionamiento Pontevedra, una residencia que supera toda expectativa y redefine el concepto de hogar de lujo.",GRUPO MAS INMOBILIARIOS,60SFEQ,146569946,Publicado hace 113 días,675 m² lote,725 m² constr.,4 baños,4 estac.,4 rec.,1 medio baño,1 años,Elevador : 1; Caseta de guardia; Alberca; Terraza; Cuartos de servicio; Jacuzzi; Escuelas Cercanas; Mascotas; Niveles construidos : 2; Cocina integral; Acceso discapacitados; Estado de conservación : Excelente; Fecha disponible : 1; Closet,Area de lavandería; Internet/Wifi; Aire acondicionado; Seguridad privada; Servicios básicos (agua/luz); Área de Juegos Infantiles,Bodega(s) : 1; Estudio; Patio; Area de eventos; Cuarto de TV,Asador; Balcón(es) : 3; Cancha de tenis; Jardín Privado,https://www.inmuebles24.com/propiedades/clasificado/alclcain-casa-en-renta-puerta-de-hierro-pontevedra-andares-146569946.html
8,Inm24,,sep-25,Casa,1000m²,5,9,renta,"rentaMN 180,000",,"Puerta de Hierro,  Puerta de Hierro, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.715529700000000,-103.419390300000000&zoom=16&markers=20.715529700000000,-103.419390300000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=fSPLkkxFoXpXuJ0WngoSVeorl10=&channel=rpfic-i24",Lujosa Casa en Renta con Elevador Puerta de Hierro Andares Zapopan,"Esta Lujosa Residencia de más de 990 mts2 se encuentra ubicada en el Exclusivo Fraccionamiento Puerta de Hierro, y dentro del Coto Navarra. A unos pocos metros Plaza Andares, goza de una excelente ubicación. La Propiedad cuenta con el área de la casa y un área de terraza para eventos y alberca climatizada. Espacio de estacionamiento para más de 10 autos Renta Sin Muebles!! La Casa cuenta con: PRIMER NIVEL: -Cochera para 6 autos -Acceso Principal -Estudio amplio -Medio Baño de Visitas -Area amplia de Sala y Comedor -Elevador -Cocina integral amplia con barra y cubierta de Granito -Cuarto de lavado -Cuarto de Servicio con baño completo -Acceso de servicio -Patio con Jardín -Terraza techada -Área amplia de Jardin con riego automatico SEGUNDO NIVEL -Sala de Televisión -4 Recamaras amplias cada una con baño completo y vestidor equipadas con aire acondicionado -Recamara principal con balcon -Tapanco AREA DE TERRAZA SÓTANO -Espacio de cochera para 4 autos -Bodegas -Salon de Juegos -Baño completo -Cuarto de Servicio -Escalera que sube al Jardin PRIMER NIVEL -Acceso principal independiente -Amplia área para reuniones o eventos -Baño completo -Estudio -Jardin -Alberca Climatizada Equipada con Paneles Solares y Aires Acondionados Mantenimiento del Fraccionamiento y de la alberca Incluido* Cada una de las áreas cuenta con acceso independiente 990 mts2 de Terreno 750 mts2 de Construcción Altura Máxima Real Estate",ALTURA MAXIMA BIENES RAICES,6270MQ,147609686,Publicado hace 3 días,1000 m² lote,1000 m² constr.,6 baños,9 estac.,5 rec.,2 medios baños,10 años,Elevador : 1; Alberca; Cuartos de servicio; Niveles construidos : 2; Cocina integral; Estado de conservación : Excelente; Closet,Area de lavandería; Línea blanca,Cuarto de juegos; Cuarto de TV; Oficina,Jardín Privado,https://www.inmuebles24.com/propiedades/clasificado/alclcain-lujosa-casa-en-renta-con-elevador-puerta-de-hierro-147609686.html
9,Inm24,,sep-25,Casa,285m²,3,3,renta,"rentaMN 45,000",,"Chaco 2829,  Providencia 1a Secc, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.704300300000000,-103.384722000000000&zoom=16&markers=20.704300300000000,-103.384722000000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=tUG9NkQXpw494kHTvdMCmQK7lh8=&channel=rpfic-i24","Casa Renta, Providencia 1a Sección, Guadalajara.","SP. RCR-2158. PROVIDENCIA PRIMERA SECCION CALLE CHACO 2829, CASA HABITACION O PARA OFICINAS A PUERTA CERRADA EN 2 PLANTAS, COCHERA PARA 3 AUTOS, SALA, COMEDOR, ESTUDIO, MEDIO BAÑO, COCINA INTEGRAL, 2 CLAROS PARA VENTILACION E ILUMINACION, EN EL SEGUNDO NIVEL, ESPACIO PARA TV STAR 3 RECAMARAS LA PRINCIPAL CON BAÑO Y CLOSETD, Y PARA LAS OTRAS 2 UN BAÑO Y CLOSETS, EN EL TECHO SE LOCALIZA EL CUARTO DE SERVICIO CON BAÑO, TODOS LOS ESPACIOS SON MUY AMPLIOS, CONDICIONES SON UN CONTRATO MINIMO POR 2 AÑOS, SE OTORGARAN 2 MESES DE GRACIA, UN MES RENTA ADELANTADA Y 2 MESES DEPOSITO.",Remax Activa,RCR-2158,146151631,Publicado hace 163 días,230 m² lote,285 m² constr.,2 baños,3 estac.,3 rec.,1 medio baño,35 años,Cuartos de servicio; Niveles construidos : 2; Cocina integral; Estado de conservación : Bueno; M&sup2; de frente : 17; M&sup2; de fondo : 13; Closet,Area de lavandería; Servicios básicos (agua/luz),Estudio; Cuarto de TV,,https://www.inmuebles24.com/propiedades/clasificado/alclcain-casa-renta-providencia-1a-seccion-guadalajara.-146151631.html
10,Inm24,,sep-25,Casa en condominio,590m²,5,6,renta,"rentaMN 130,000","Mantenimiento MN 9,000","AV LAS LOMAS 90 1,  Fraccionamiento Las Lomas Club Golf, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.711884120899998,-103.442630767799997&zoom=16&markers=20.711884120899998,-103.442630767799997&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=V3hCvqnFCYE2Qv4SzMCMMjeJhyA=&channel=rpfic-i24",Casa en Renta en Club de Golf Las Lomas.,"Casa habitación REMODELADA dentro de condominio consolidado. 4 habitaciones con baño completo y clóset TV Room en planta alta Estudio con opción a 5ta recámara en planta baja con baño completo 2 bodegas muy amplias Estacionamiento para 6 vehículos Cuarto de servicio completo. Jardín, terraza y alberca equipada. WIG: poHEn5w",Guia Excelencia Inmobiliaria,5QT9SC,143351952,Publicado hace más de 1 año,670 m² lote,590 m² constr.,5 baños,6 estac.,5 rec.,2 medios baños,12 años,Caseta de guardia; Alberca; Cuartos de servicio; Niveles construidos : 3; Cocina integral; Estado de conservación : Excelente,Aire acondicionado,Bodega(s) : 1; Estudio; Cuarto de TV,Asador,https://www.inmuebles24.com/propiedades/clasificado/alclccin-casa-en-renta-en-club-de-golf-las-lomas.-143351952.html
