id,PaginaWeb,Ciudad,Fecha Scrap,tipo_propiedad,area_m2,recamaras,estacionamientos,operacion,precio,mantenimiento,direccion,ubicacion_url,titulo,descripcion,anunciante,codigo_anunciante,codigo_inmuebles24,tiempo_publicacion,area_total,area_cubierta,banos_icon,estacionamientos_icon,recamaras_icon,medio_banos_icon,antiguedad_icon,Características generales,Servicios,Amenidades,Exteriores
1,Inm24,,01/09/2025,Departamento,83m²,2,1,renta,"rentaMN 23,650",,"Avenida Homero 97 402,  Fraccionamiento Vallarta San Jorge, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.676931700000000,-103.397433199999994&zoom=16&markers=20.676931700000000,-103.397433199999994&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=BHE9yOPgfj77K55_w9n-rYeClsY=&channel=rpfic-i24","Departamento en Renta, 2 Recámaras en Av Homero, a Minutos de La Gran Plaza y La Minerva","¡Bienvenido a tu nuevo hogar! Este departamento en renta es simplemente espectacular: moderno, cómodo en una ubicación única   que te encantará. Con 83.02 m² de construcción, 2 recámaras y 2 baños, es el espacio ideal para disfrutar de la vida. Aquí te dejo lo que hace a esta propiedad única: Detalles y acabados: - Diseño contemporáneo - Espacios bien iluminados - Balcones que ofrecen vistas increíbles Amenidades agrupadas: - Confort y climatización: Aire acondicionado, calefacción y calentador de agua. - Cocina y entretenimiento: Cocina integral y roof garden para tus reuniones. - Seguridad y comodidad: Estacionamiento techado, seguridad contra incendios y circuito cerrado. - Estilo de vida activo: Gimnasio y elevador para mayor comodidad. - Mascotas bienvenidas: ¡Tu amigo peludo también es parte de la familia! No dejes pasar la oportunidad de vivir en este increíble lugar. ¡Te va a encantar! WIG: pMHD3TF",Guia Excelencia Inmobiliaria,61DC5Q,146971976,Publicado hace 24 días,83 m² lote,83 m² constr.,2 baños,1 estac.,2 rec.,,A estrenar,Elevador : Si; Cocina integral; Estado de conservación : Excelente,Gimnasio; Aire acondicionado,,
2,Inm24,,01/09/2025,Departamento,120m²,2,2,renta,"rentaMN 34,000",,"Calle Ottawa 1560,  Providencia, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.701595500000000,-103.378201400000000&zoom=16&markers=20.701595500000000,-103.378201400000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=-i5FPg4TtvI7WOxS_zNOfNsuGwg=&channel=rpfic-i24",Departamento de Lujo a Estrenar en La Zona Financiera – Providencia,"A cuadra y media de Plaza São Paulo Renta: 34,000 mensuales ⸻ Características principales: • 120 m² habitables • Ubicado en quinto piso con vista espectacular • Estilo moderno • Pisos de duela en recámaras que brindan calidez y elegancia • Altura de tres metros, que aporta amplitud y confort • Puerta corrediza panorámica que integra sala y balcón tipo terraza • Estancia amplia, ventilada e iluminada ⸻ Distribución: • 2 recámaras, ambas con baño completo y clósets – Principal con vestidor amplio – Secundaria con clóset y duela de madera • 1 baño de visitas • Cocina integral con: • Estufa de 6 quemadores • Barra de granito • Refrigerador nuevo • Área de lavado con lavadora y secadora • Cortinas y blackouts ya instalados • Aire acondicionado en recámaras y zona social ⸻ Seguridad y tecnología: • Caseta de vigilancia 24/7 • Acceso inteligente con app QR para personal y visitas ⸻ Amenidades exclusivas: • Área de coworking elegante y tranquila • Jacuzzi privado en piso 3 para 6 personas con tumbonas – Se reserva por condómino con atención personalizada • Terraza en rooftop con mesas para reuniones o comidas • Gimnasio completamente equipado ⸻ Ubicación privilegiada: • En el corazón de Providencia, dentro de la zona financiera • A pasos de Plaza São Paulo • Rodeado de restaurantes gourmet, bancos, escuelas y corporativos • Conectividad inmejorable a los principales puntos de la ciudad ⸻ Ideal para ejecutivos y parejas jóvenes que buscan ubicación, estilo y confort ⸻ Informes y citas: María Mateos – Inmobiliaria Coronazur 33 Ver datos",Inmobiliaria Coronazur,61MIMS,147220888,Publicado hace 27 días,120 m² lote,120 m² constr.,2 baños,2 estac.,2 rec.,1 medio baño,A estrenar,Elevador : 2; Caseta de guardia; Jacuzzi; Escuelas Cercanas; Mascotas; Cocina integral; Acceso discapacitados; Estado de conservación : Excelente; Piso en el que se encuentra : 5; Estancia mínima en días : 365,Area de lavandería; Gimnasio; Línea blanca; Aire acondicionado; Espacio de co-working,Bodega(s) : 1; Patio; Area de eventos,Balcón(es) : 1
3,Inm24,,01/09/2025,Departamento,127m²,2,2,renta,"rentaMN 28,500",,"Niños héroes #2571 - 502 esq. con Calle Universo, Jardines del Bosque Centro, Guadalajara,  Jardines del Bosque, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.666315700000000,-103.382036000000000&zoom=16&markers=20.666315700000000,-103.382036000000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=QQivI3C0nhLdnfegA0ZA5K7UBJY=&channel=rpfic-i24",Departamento en Renta en Jardines del Bosque,"Excelente departamento totalmente nuevo ubicado en Jardines del Bosque, dentro de torre con amenidades. El departamento se ubica en piso 5 con excelente vista y una orientación muy fresca. El departamento cuenta con medio baño de visitas, area de sala comedor muy amplia, cocina con isla y barra de granito, cuarto de lavado con bodega, 2 habitaciones con baño completo, 2 cajones de estacionamiento uno a lado de otro. El departamento cuenta con aires acondicionados Amenidades como: Terraza de eventos al aire libre,salón de eventos, sala de juntas y área de juegos para niños.",Lemont Grupo Inmobiliario,61SBFA,147376360,Publicado hace 7 días,127 m² lote,127 m² constr.,2 baños,2 estac.,2 rec.,1 medio baño,3 años,Elevador : 1; Caseta de guardia; Cocina integral; Piso en el que se encuentra : 5,Aire acondicionado; Seguridad privada,Salón de usos múltiples,
4,Inm24,,01/09/2025,Departamento,77m²,2,2,renta,"rentaMN 22,000","Mantenimiento MN 2,800","Manuel M. Dieguez # int ,  Ayuntamiento, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.690196200000000,-103.370806100000000&zoom=16&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=6aLGtFPxc7uvwX9MkDTB4LaFbkQ=&channel=rpfic-i24","Departamento Amueblado en Renta, Colonia Ayuntamiento, Guadalajara","Departamento en renta en Torre “A” de Urban Life, ubicado en calle Manuel M. Diéguez 900, esquina José María Vigil. Col. Ayuntamiento, C.P. Ver datos Guadalajara, Jalisco. Disfruta de vivir en una de las zonas más céntricas y conectadas de Guadalajara. Este hermoso departamento combina confort, estilo y una ubicación inmejorable, a solo minutos de Providencia, la zona financiera, Midtown y una amplia variedad de servicios. Descripción: - Recámara principal con clóset, aire acondicionado y baño completo. - Recámara secundaria con clóset y aire acondicionado. - Baño completo (se comparte con área social y recámara). - Área de sala y comedor. - Cocina integral con parrilla, horno y refrigerador. - Cuarto de lavado con centro de lavado. - Cortinas incluidas. - 2 cajones de estacionamiento en batería. -No se aceptan mascotas Amenidades: - Alberca - Terraza/jardín - Salón de usos múltiples - Gimnasio - Seguridad 24/7 - Estacionamiento de visitas - Pista para correr - Ciclopuerto Incluida cuota de mantenimiento en la renta mensual.",GRUPO INÉVITA,61030H,146612717,Publicado hace 26 días,77 m² lote,77 m² constr.,2 baños,2 estac.,2 rec.,,12 años,Amueblado; Elevador : 2; Caseta de guardia; Alberca; Terraza; Escuelas Cercanas; Cocina integral; Estado de conservación : Excelente; Piso en el que se encuentra : 4; Fecha disponible : inmediato; Ubicación : Frente; Closet,Gimnasio; Internet/Wifi; Aire acondicionado; Seguridad privada; Servicios básicos (agua/luz); Área de Juegos Infantiles,Area de eventos; Salón de usos múltiples,Estacionamientos
5,Inm24,,01/09/2025,Departamento,70m²,2,,renta,"rentaMN 26,500",,"AV. PATRIA 2644 int. 606,  Fraccionamiento Colomos Providencia, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.710271500000000,-103.383542400000000&zoom=16&markers=20.710271500000000,-103.383542400000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=LR2Voe3WQNewpfmLrsKlk_jQ76w=&channel=rpfic-i24","Departamento en Renta Colomos Providencia, Guadalajara","Departamento con excelente ubicación a estrenar en Torre Patria 2644, con aires acondicionado nuevo y excelentes amenidades A una cuadra de av americas, a 3 minutos de plaza patria, comercios, supermercados, restaurantes, 8 min de Andares. Departamento de 2 recámaras - Recámara principal con vestidor independiente y baño completo completo - Recamara secundaria con closet - Baño completo compartido - Cocina integral de granito con su estufa y campana - Espacio amplio de Sala y comedor - Area de lavado - 2 cajones de estacionamiento. -Vista al bosque colomos - Bodega Amenidades: -Alberca - Lobby - Salon de usos multiples -Cajones para visitas -Gimansio - Area de juegos y terrazas - Asadores -Rooftop -Ludoteca ¡Contáctanos para más información y agenda tu visita hoy mismo!",GRUPO INÉVITA,617G30,146813490,Publicado hace 56 días,70 m² lote,70 m² constr.,2 baños,,2 rec.,,A estrenar,Elevador : 1; Alberca; Terraza; Cuartos de servicio; Escuelas Cercanas; Cocina integral; Acceso discapacitados; Estado de conservación : Excelente; Piso en el que se encuentra : 6; Fecha disponible : inmediato; Closet,Gimnasio; Internet/Wifi; Aire acondicionado; Seguridad privada; Servicios básicos (agua/luz); Área de Juegos Infantiles,Bodega(s) : 1; Area de eventos; Cuarto de juegos; Salón de usos múltiples; Oficina; Sótano,Asador; Balcón(es) : 1; Estacionamientos; Jardín Privado
6,Inm24,,01/09/2025,Departamento,93m²,2,2,renta,"rentaMN 27,500",,"Av. Patria #2644 int. 708,  Fraccionamiento Colomos Providencia, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.710271500000000,-103.383542400000000&zoom=16&markers=20.710271500000000,-103.383542400000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=LR2Voe3WQNewpfmLrsKlk_jQ76w=&channel=rpfic-i24","Departamento en Renta Torre Patria, Colomos Providencia, Guadalajara","Este hermoso departamento se encuentra en el increíble desarrollo de Torre Patria 2644, ubicado en la colonia Colomos Providencia, una de las zonas más exclusivas y con mayor plusvalía de Guadalajara. A menos de 5 minutos encontrarás plazas comerciales como Andares, The LandMark, Plaza Patria , Punto Sao Paulo y del icónico Bosque Colomos. Departamento de 2 recámaras - VISTA BOSQUE - Recámara principal con vestidor y baño completo - Recamara secundaria con closet - Cocina integral de granito - Sala y comedor - Estudio o espacio Flex - Area de lavado - 2 cajon de estacionamiento - Mantenimiento incluido Amenidades: -Alberca - Lobby - Salón de usos múltiples - Cajones para visitas -Gimnasio - Área de juegos -Terraza - Asadores -Rooftop -Ludoteca -Pet Park -Bici-puerto",GRUPO INÉVITA,60MMT9,146414679,Publicado hace 113 días,93 m² lote,93 m² constr.,2 baños,2 estac.,2 rec.,,A estrenar,Elevador : 1; Caseta de guardia; Alberca; Terraza; Escuelas Cercanas; Mascotas; Cocina integral; Estado de conservación : Excelente; Piso en el que se encuentra : 7; Fecha disponible : inmediato; Closet; Frente a Parque,Gimnasio; Internet/Wifi; Aire acondicionado; Seguridad privada; Servicios básicos (agua/luz); Área de Juegos Infantiles; Espacio de co-working,Bodega(s) : 1; Area de eventos; Cuarto de juegos; Salón de usos múltiples; Oficina,Asador; Balcón(es) : 1; Estacionamientos; Jardín Privado
7,Inm24,,01/09/2025,Departamento,83m²,2,1,renta,"rentaMN 23,650",,"Avenida Homero 97,  Fraccionamiento Vallarta San Jorge, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.676931700000000,-103.397433199999994&zoom=16&markers=20.676931700000000,-103.397433199999994&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=BHE9yOPgfj77K55_w9n-rYeClsY=&channel=rpfic-i24","Departamento en Renta en Col. Vallarta San Jorge, Sin Aval","¡Bienvenido a tu nuevo hogar! Este departamento en renta es simplemente espectacular: moderno, cómodo y lleno de amenidades que te harán la vida más fácil y placentera. Con 83.02 m2 de construcción, 2 recámaras y 2 baños, es el espacio ideal para disfrutar de la vida urbana. Aquí te dejo lo que hace a esta propiedad única: - Confort y Climatización: Aire acondicionado y calefacción para cualquier temporada. - Espacios Exteriores: Balcones y un increíble roof garden para relajarte y disfrutar de vistas. - Cocina Integral: Perfecta para los amantes de la cocina, equipada y funcional. - Seguridad y Comodidad: Circuito cerrado y seguridad 24 horas para tu tranquilidad. - Estacionamiento: Estacionamiento techado y un elevador que te lleva directamente a tu piso. - Ocio y Bienestar: Gimnasio para mantenerte en forma y se aceptan mascotas, ¡así que tu amigo peludo también es bienvenido! No dejes pasar esta oportunidad, ¡tu nuevo hogar te espera! WIG: pjc3lHr",Guia Excelencia Inmobiliaria,61H035,147069095,Publicado hace 43 días,83 m² lote,83 m² constr.,2 baños,1 estac.,2 rec.,,A estrenar,Elevador : Si; Cocina integral; Estado de conservación : Excelente,Gimnasio; Aire acondicionado,,
8,Inm24,,01/09/2025,Departamento,86m²,1,2,renta,"rentaMN 27,000",,"Juan Ruiz de Alarcón 178,  Americana, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.671546009809180,-103.378736359277340&zoom=16&markers=20.671546009809180,-103.378736359277340&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=JMoTjn4IwNvGfR3fajdXlhuyEro=&channel=rpfic-i24",Exclusivo Departamento Amueblado en Renta en Colonia Americana,"Descubre un estilo de vida inigualable en la vibrante Colonia Americana. Este departamento, completamente amueblado, equipado y decorado con exquisito gusto por una reconocida diseñadora, ofrece una experiencia residencial de alto nivel. Disfruta de amplios y luminosos espacios con una recámara muy generosa, dos baños completos y una estancia de gran amplitud. La excelente ventilación natural, gracias a sus dos grandes terrazas/balcones, complementa el confort del aire acondicionado. La ubicación en un privilegiado piso 11 brinda una vista espectacular y privilegiada de la ciudad. Los acabados son de primer nivel, con pisos de mármol gris y cubiertas de granito negro. Ubicado en el corazón de la zona, estarás a solo una cuadra de iconos como Santo Coyote y Casa Habita, rodeado de los mejores cafés, restaurantes y hoteles boutique. La torre es exclusiva, con solo 30 departamentos, ofreciendo un ambiente tranquilo y seguro con vigilancia 24/7 y CCTV. Además, cuenta con hermoso patio común, centro de lavado, dos lugares de estacionamiento y una bodega. Si buscas diseño, comodidad, seguridad y una ubicación prime en Guadalajara, esta es tu oportunidad. Requisitos: Investigación, contrato de justicia alternativa, dos meses de depósito en garantía y mes de renta. ¡Contáctanos para detalles y agenda tu visita a esta propiedad única!",Inmobiliaria Coronazur,5RLA8Q,143946266,Publicado hace 15 días,96 m² lote,86 m² constr.,2 baños,2 estac.,1 rec.,,3 años,Amueblado; Elevador : 2; Caseta de guardia; Mascotas; Cocina integral; Acceso discapacitados; Estado de conservación : Excelente; Piso en el que se encuentra : 11; Número de departamentos : 30,,,
9,Inm24,,01/09/2025,Departamento,186m²,3,3,renta,"rentaMN 50,000",,"Mar Egeo 1442,,  Country Club, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.703583100000000,-103.368882200000000&zoom=16&markers=20.703583100000000,-103.368882200000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=oiLZu6nLYuu_PPfqQvffOudjGUM=&channel=rpfic-i24",Departamento en Renta en Cavalia Country Club,"Departamento Amueblado en Renta – Country Club, Torre Cavalia Vive con lujo y comodidad en la zona más exclusiva de Guadalajara, con una increíble vista al campo de golf y acceso a amenidades de primer nivel. Características: 186 m² de superficie total 3 recámaras con baño completo 1 recámara de servicio con baño completo 1/2 baño para visitas Cuarto de TV Sala-comedor amplia y luminosa Cocina totalmente equipada con barra de desayuno Balcón con vista panorámica 3 cajones de estacionamiento Bodega de 7.9 m² Amenidades exclusivas: Terraza Salón de juegos Gimnasio equipado Oficina y área de trabajo Sauna y vapor Kids Club Ubicación privilegiada en Country Club, cerca de centros comerciales, restaurantes y los mejores servicios de la ciudad. Renta: $50,000 MXN/mes ¡Contáctanos y agenda tu cita para conocerlo",ÚNICA Inmobiliaria,2L521B,65746841,Publicado hace 82 días,186 m² lote,186 m² constr.,4 baños,3 estac.,3 rec.,1 medio baño,2 años,Alberca; Cuartos de servicio,Gimnasio; Seguridad privada,Salón de usos múltiples,
10,Inm24,,01/09/2025,Departamento,76m²,2,1,renta,"rentaMN 18,900",,"Circunvalación Agustin Yañez 2471,  Arcos Vallarta, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.667884000000000,-103.379246900000000&zoom=16&markers=20.667884000000000,-103.379246900000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=Gx3hRuwGV30FNisMAx06IeDAHaU=&channel=rpfic-i24","Departamento en Renta en Arcos, Guadalajara.","Departamento Nuevo en Renta Colonia Arcos Guadalajara Jalisco Departamento en renta, con excelente ubicación, a minutos de la glorieta minerva, colonia Americana, hospitales, centros comerciales a unas cuadras de Av. Chapultepec. Esta en piso 3 con vista a Agustín Yáñez. Cuenta con: Dos Recamaras, la principal con Balcón y Baño completo Baño completo Sala Comedor Closet de lavado Cocina Equipada Balcón en salacomedor Estacionamiento para un auto Amenidades Seguridad 24/7 Área de gym Terraza de usos múltiples Area de hidromasajes. Colonia americana, Colonia Lafayette Glorieta Minerva, Avenida Chapultepec Guadalajara, Jalisco.",CERTERA Grupo Inmobiliario,2MC6EG,66749836,Publicado hace 6 días,,76 m² constr.,2 baños,1 estac.,2 rec.,,3 años,Cocina integral,Seguridad privada,,
