id,PaginaWeb,Ciudad,Fecha Scrap,tipo_propiedad,area_m2,recamaras,estacionamientos,operacion,precio,mantenimiento,direccion,ubicacion_url,titulo,descripcion,anunciante,codigo_anunciante,codigo_inmuebles24,tiempo_publicacion,area_total,area_cubierta,banos_icon,estacionamientos_icon,recamaras_icon,medio_banos_icon,antiguedad_icon,Características generales,Servicios,Amenidades,Exteriores,,
1,Inm24,,01/04/2025,Departamento,140m²,2,2,venta,"ventaMN 8,980,000","Mantenimiento MN 4,500","C. La Serena,  Fraccionamiento Colomos Providencia, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.706843600000000,-103.383706300000000&zoom=16&markers=20.706843600000000,-103.383706300000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=W_r0cc6sxL-85QxrnR9qu_27VoE=&channel=rpfic-i24","Penthouse en Venta, Col. Colomos Providencia.","Increíble penthouse con doble altura y vistas inigualables al Bosque Colomos. Este espectacular penthouse ofrece una experiencia de vida excepcional, combinando amplitud y elegancia con impresionantes vistas al bosque. La amplia terraza es el lugar perfecto para disfrutar de la belleza del entorno, creando un espacio ideal para relajarse o compartir momentos especiales con amigos y familiares. La cocina, equipada con un elegante mesón de granito que no se mancha, viene con horno y lavavajillas, convirtiéndose en un espacio funcional y moderno para quienes disfrutan de la gastronomía. El aire acondicionado y las ventanas con películas que repelen los rayos UV garantizan un ambiente confortable en todo momento, mientras que las cortinas blackout permiten un control total de la luz. El edificio ofrece una serie de amenidades que complementan el estilo de vida contemporáneo. Con vigilancia las 24 horas, disfrutarás de una tranquilidad absoluta. Las instalaciones incluyen un salón de usos múltiples, una biblioteca y un área de coworking, perfectas para quienes buscan un equilibrio entre trabajo y ocio. Además, este penthouse es amigable con las mascotas, lo que permite que todos los miembros de la familia se sientan en casa. Si te interesa, también existe la posibilidad de negociar la compra de los muebles, brindando aún más flexibilidad. No dejes pasar la oportunidad de vivir en este impresionante espacio que combina lujo, comodidad y vistas espectaculares. ¡Te invitamos a conocerlo!",Kaizen Real Estate,603D2O,145892784,Publicado hace 49 días,140 m² tot.,140 m² cub.,2 baños,2 estac.,2 rec.,1 medio baño,3 años,Elevador : 1; Caseta de guardia; Mascotas; Cocina integral; Acceso discapacitados; Estado de conservación : Excelente; Piso en el que se encuentra : 6,Internet/Wifi; Aire acondicionado; Seguridad privada,Closets : 1; Salón de usos múltiples,Estacionamientos,,
2,Inm24,,01/04/2025,Departamento,57m²,2,1,venta,"ventaMN 3,200,000","Mantenimiento MN 2,506","C. Juan Ruiz de Alarcón 519,  Moderna, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.666127500000000,-103.376035100000000&zoom=16&markers=20.666127500000000,-103.376035100000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=YeYAABRaS-vmd7P6BtS1itP3p5E=&channel=rpfic-i24","Departamento en Venta, Col. Moderna, Guadalajara, Jalisco.","La Colonia Moderna, ubicada en el corazón de Guadalajara, Jalisco, es una zona vibrante y de gran tradición que ofrece una mezcla única de historia, modernidad y cultura. Con calles arboladas, arquitectura que combina lo clásico y lo contemporáneo, y una atmósfera tranquila, la colonia se ha convertido en un lugar atractivo tanto para familias como para jóvenes profesionales. Su ubicación estratégica brinda fácil acceso a importantes vialidades como la Avenida Chapultepec y el Boulevard Agustín Yáñez, lo que conecta rápidamente con las principales zonas comerciales y de entretenimiento de la ciudad. Aquí contamos con un bonito departamento. Con medidas de 56.97m2 de área construida. - 2 recamaras con closet con instalación para aire acondicionado. - 1 baño completo. - Cocina integral. - 1 Espacio de estacionamiento. - 1 Bodega. El edificio cuenta con las siguientes amenidades: - Seguridad, vigilancia y control de acceso. - Áreas compartidas, roofgarden, asadero, salón de usos multiples, business center. - Mantenimiento: $2,506 La Colonia Moderna está rodeada de una amplia oferta de servicios, incluyendo escuelas, tiendas, mercados locales y una gran variedad de restaurantes y cafés. Además, se encuentra cerca de espacios culturales y recreativos, como el Parque Revolución y la icónica Avenida Chapultepec, que es conocida por su vida nocturna y eventos culturales. Esta colonia es ideal para quienes buscan vivir en una zona central y bien conectada, con todo lo necesario a pocos minutos de distancia, sin sacrificar tranquilidad y calidad de vida.",HOUSALE.MX,5SII1O,144682254,Publicado hace 209 días,,57 m² cub.,1 baño,1 estac.,2 rec.,,A estrenar,Escuelas Cercanas; Estado de conservación : Excelente,Internet/Wifi; Seguridad privada; Servicios básicos (agua/luz); Espacio de co-working,,,,
3,Inm24,,01/04/2025,Departamento,272m²,3,2,venta,"ventaMN 7,830,000",,"Mónaco 2590, Col. Providencia. Th02. Guadalajara Jal.,  Providencia, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.695041837000001,-103.380493407000003&zoom=16&markers=20.695041837000001,-103.380493407000003&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=ae_CyeUnBQfhPxWtr_PJqBEg56s=&channel=rpfic-i24",Departamento en Venta en Providencia,"¡Atención magnífico penthouse en venta en la torre ""QMónaco""!, con inmejorable ubicación en una de las colonias más cotizadas de Guadalajara: Providencia, a solo 5 cuadras caminando de la zona financiera de Américas, del colegio American School y de la plaza Midtown.El penthouse de 2 niveles, está ubicado en el piso 7 por lo que goza de increíbles vistas al ""skyline"" de la zona financiera de Américas, cuenta con 159 M2 de construcción techada y 113 M2 de terrazas privadas, es perfecto para familia de 4 a 5 integrantes por sus 3 recámaras, 2.5 baños y 2 cajones de estacionamiento.Un bonito entorno de calles arboladas y convenientes vías de movilidad y transporte público a la mano como lo son las avenidas:Américas, Pablo Neruda, Rúben Darío, López Mateos yCircunvalación.Distribución P.B.:* Sala y comedor con terraza de 27.20 m2 con espectacular vista* Medio baño para visitas* Cocina integral* Cuarto de lavado* Pasillo distribuidor con closet de blancos* 2 recámaras secundarias con closet* Baño completo para recámaras secundarias* Recámara principal con baño y vestidor* Estacionamiento techado 2 autosDistribución P.A.:* Terraza privada pergolada de 85.80 M2* Cuarto de servicio con baño (puede ser estudio o 4ta recámara)Amenidades y seguridad:* Lobby con recepción* Rooftop social con pergolado y barra* Elevador* Vigilancia* Ingreso automatizado al estacionamientoMuy cerca de todo:* Plaza Midtown a 2 minutos* Punto Sao Paulo a 5 minutos* Complejo Américas 1500 a 4 minutos* Zona financiera de Américas a 4 minutos* Hospital San Francisco a 8 minutos* Colegio American School a 2 minutos* Colegio Teresiano a 8 minutos* Colegio Lomas del Valle a 8 minutos* Universidad Autónoma de Guadalajara a 15 minutos* Guadalajara Country Club a 6 minutos* Club Privado San Javier a 15 minutos",Viterra Grupo Inmobiliario,VAP6699682,145791354,Publicado hace 60 días,272 m² tot.,272 m² cub.,2 baños,2 estac.,3 rec.,1 medio baño,16 años,Terraza; Cocina integral; Estado de conservación : Excelente,Aire acondicionado; Servicios básicos (agua/luz),,Balcón(es) : 1,,
4,Inm24,,01/04/2025,Departamento,71m²,1,,venta,"ventaMN 2,456,550",,"josefa ortiz de dominguez ,  La Perla, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.675490975280330,-103.328861261035140&zoom=16&markers=20.675490975280330,-103.328861261035140&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=hbIyGg-BIlY9Clf6QqD4uEz7eWE=&channel=rpfic-i24",Amplio Departamento de 1 Recamara Nuevo Zona Centrica,"Edificio Nuevo Exclusivamente uso habitacional, A dos cuadras de estación de tren ligero Cerca del centro medico de occidente Cerca Mercado San Juan de Dios Cerca Hospital y Museo Miltar departamentos de una recamara departamento amplio e iluminado excelentes acabados En regimen en condominio, en las áreas comunes se contará con un área de puntos limpios, terraza comunal en Roof garden y elevador DEPARTAMENTO 1 RECAMARAS PISO 1 SALA COMENDOR AREA DE LAVADO DOS RECAMARAS RECAMARA PRINCIPAL CON VESTIDOR Y BAÑO 1 CAJON DE ESTACIOANAMIENTO PRECIO DE VENTA $ 2 456,550.00 CON PAGO DE CONTADO HAY DESCUENTO",H&H ASESORES,5TF4IT,145399169,Publicado hace 107 días,71 m² tot.,71 m² cub.,1 baño,,1 rec.,,A estrenar,Elevador : 1; Cocina integral; Piso en el que se encuentra : 1; Número de departamentos : 9,Area de lavandería; Servicios básicos (agua/luz),Salón de usos múltiples,,,
5,Inm24,,01/04/2025,Departamento,108m²,2,1,venta,"ventaMN 4,990,000","Mantenimiento MN 4,700","Miguel Hidalgo y Costilla ,  Americana, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.677056000000000,-103.361269300000000&zoom=16&markers=20.677056000000000,-103.361269300000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=mnkC6q2o2zmrlNGpMRJZFIYk7Zo=&channel=rpfic-i24",Departamento en Venta en La Americana,"Departamento en venta en la americana Torre El Famoso -2 habitaciones -2 baños completos -Cuarto de servicio -1 cajón estacionamiento (sótano 2) 108.32 m2 de construcción Basura en el contenedor Cfe independiente Gas independiente Agua se paga con administración Se vende con cortinas No tiene aire acondicionado $4,700.00 al mes de mantenimiento Piso 3 Depa 33B 38 depas",BROKO REAL ESTATE,60FADC,146214402,Publicado hace 9 días,108 m² tot.,108 m² cub.,2 baños,1 estac.,2 rec.,,2 años,Elevador : 1; Caseta de guardia; Cocina integral; Piso en el que se encuentra : 3,Area de lavandería,,,,
6,Inm24,,01/04/2025,Departamento,72m²,1,2,venta,"ventaMN 5,100,000",,"Brasilia 2841,  Fraccionamiento Colomos Providencia, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.707219401005719,-103.380553518351774&zoom=16&markers=20.707219401005719,-103.380553518351774&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=7HtIL71pLZJhj-VhBzd9lItQgSE=&channel=rpfic-i24",Departamento en Venta en Brasilia 10,"Ref: 2 3 9 2 5 9 Este encantador departamento en venta en Colomos Providencia, Guadalajara, Jalisco, es una excelente oportunidad para aquellos que buscan comodidad y exclusividad en una de las zonas más prestigiosas de la ciudad. Con una superficie de 72 m2, esta propiedad cuenta con 1 recámara, 2 baños completos, closets, cocina equipada y todos los servicios necesarios para disfrutar de un estilo de vida cómodo y sofisticado. Además, este departamento en venta ofrece amenidades de primer nivel, como gimnasio, alberca, elevadores y seguridad privada las 24 horas, lo que garantiza la tranquilidad y bienestar de sus residentes. Con un uso de suelo residencial, es el lugar perfecto para quienes buscan un espacio acogedor y funcional en una ubicación privilegiada. Entre las zonas de interés cercanas a este exclusivo departamento se encuentran los centros comerciales Plaza Patria, Plaza Midtown y Andares, perfecto para los amantes de las compras y la gastronomía; el parque Colomos, ideal para disfrutar de la naturaleza y realizar actividades al aire libre. Con fácil acceso a importantes avenidas como Avenida Américas y Avenida Patria, este departamento en Colomos Providencia se encuentra en una ubicación estratégica que permite una rápida conexión con distintos puntos de la ciudad. No pierdas la oportunidad de vivir en este increíble lugar donde la comodidad y la exclusividad se fusionan en un solo espacio.",iad Mexico,NEX-239259,145581872,Publicado hace 85 días,72 m² tot.,72 m² cub.,2 baños,2 estac.,1 rec.,,2 años,,,,,,
7,Inm24,,01/04/2025,Departamento,58m²,1,1,venta,"ventaMN 4,200,000",,"José María Morelos 2080,  Ladrón de Guevara, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.675826400000000,-103.377983400000000&zoom=16&markers=20.675826400000000,-103.377983400000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=QF1Q16cxa2BLA5SgnrMhuGwslvc=&channel=rpfic-i24",Departamento en Venta en Torre Soho Morelos,"El departamento está ubicado en el nivel 13 y cuenta con: - 1 cajón de estacionamiento en el sótano 2, a solo 2 metros del elevador. - 1 bodega en el piso 14. - Cuarto de lavado dentro del departamento. - Medio baño para visitas. - Cocina totalmente equipada. - Sala y recámara con vista a la zona financiera de Guadalajara. - La recámara principal cuenta con baño completo y un clóset bastante amplio. El Desarrollo: Soho Morelos es un desarrollo que combina un ambiente cultural con la preservación de la arquitectura histórica, lo que lo convierte en un gran atractivo. Su ubicación privilegiada en la colonia Ladrón de Guevara no solo realza el valor del proyecto, sino que también fomenta un sentido de comunidad y conexión con la historia del lugar. Cuenta con múltiples amenidades, como gimnasio, wine room, área de spa, coworking, game room, pet garden y un espectacular roof garden con vista panorámica a toda la ciudad. Este desarrollo es el lugar ideal para rentarlo a través de plataformas como Airbnb, ya que ofrece todo lo necesario en un solo sitio, mejorando así la calidad de vida de sus residentes o usuarios. Contáctanos hoy mismo para programar una visita y descubrir todo lo que este desarrollo tiene para ofrecer. ¡Tu nueva inversión te espera!",RICHARDS REAL ESTATE,EB-SR9035,146135941,Publicado hace 20 días,,58 m² cub.,1 baño,1 estac.,1 rec.,1 medio baño,A estrenar,Elevador; Mascotas,Gimnasio; Seguridad privada,Bodega(s),,,
8,Inm24,,01/04/2025,Departamento,267m²,3,3,venta,"ventaMN 16,990,000",,"Avila Camacho 2225 2,  Country Club, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.704225749999999,-103.372206000000005&zoom=16&markers=20.704225749999999,-103.372206000000005&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=v04ULoBLg3qguw8-2C_OFC9niZk=&channel=rpfic-i24",Departamento en Venta Torre Nuvo,"excelente oportunidad, departamento en venta pegado al cuntry club, cuenta con 3 recamaras, cuarto de tele, cuarto de servicio, sala comedor y terraza. WIG: pmh1BVk",Guia Excelencia Inmobiliaria,5Q5S0S,142720228,Publicado hace más de 1 año,267 m² tot.,267 m² cub.,4 baños,3 estac.,3 rec.,1 medio baño,7 años,Elevador : Si; Caseta de guardia; Alberca; Cuartos de servicio; Escuelas Cercanas; Cocina integral; Estado de conservación : Bueno,Aire acondicionado,Estudio; Cuarto de TV,,,
9,Inm24,,01/04/2025,Departamento,88m²,2,2,venta,"ventaMN 5,800,000",,"Av. Miguel Hidalgo y Costilla 1845,  Ladrón de Guevara, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.676561900000000,-103.377114000000000&zoom=16&markers=20.676561900000000,-103.377114000000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=JPYMscilphG5N55yCAerwRxh9VQ=&channel=rpfic-i24",Departamento en Venta en Torre Hidalgo Residences,"¡Vive en el corazón de Providencia en Torre Hidalgo Residences! Ubicado en Av. Miguel Hidalgo y Costilla 1845, Ladrón de Guevara, Torre Hidalgo Residences te ofrece la oportunidad de vivir en una de las zonas más exclusivas y cotizadas de Guadalajara. Este impresionante departamento, de 2 recámaras, 2 baños completos y 2 cajones de estacionamiento, combina a la perfección la comodidad, la modernidad y la innovación en una estructura arquitectónica vanguardista. Este desarrollo ha sido diseñado para quienes buscan un estilo de vida único, rodeado de amenidades de primer nivel que complementan la experiencia de vivir en un espacio moderno y funcional. El departamento cuenta con una distribución inteligente que optimiza cada rincón, brindándote la sensación de amplitud y confort en todo momento. Con grandes ventanales que permiten la entrada de luz natural, cada espacio de este hogar está pensado para ofrecerte la mejor calidad de vida. Lo que hace único a Torre Hidalgo Residences: Ubicación privilegiada: Situado en una de las mejores zonas de Guadalajara, con una alta plusvalía y cercanía a importantes avenidas, centros comerciales, restaurantes, escuelas y hospitales, tendrás todo lo que necesitas a tu alcance. Grandes amenidades: Un lobby elegante y de diseño contemporáneo que crea una primera impresión impresionante. Un roofgarden con vistas panorámicas de la ciudad, ideal para disfrutar de momentos de relajación o compartir con amigos y familiares. Un exclusivo bar para disfrutar de una buena copa o una charla agradable. Una moderna cancha de padel, perfecta para los amantes del deporte. Área comercial para tener servicios a pocos pasos de tu hogar. Una espectacular infinity pool, donde podrás relajarte y disfrutar de las vistas. Un gimnasio completamente equipado para mantenerte en forma sin tener que salir del desarrollo. Un jardín para mascotas, donde tu mejor amigo podrá disfrutar de un espacio seguro y cómodo. Helipuerto para una experiencia de vida aún más exclusiva. Torre Hidalgo Residences es un desarrollo que ha sido pensado para quienes desean vivir en un ambiente moderno, con la comodidad de tener todo a su alcance, sin sacrificar la exclusividad ni el confort. La combinación de tecnología, diseño de vanguardia y ubicación estratégica hace de este proyecto una inversión segura y una excelente opción para vivir en Guadalajara. No pierdas la oportunidad de ser parte de este exclusivo desarrollo. ¡Contáctanos hoy mismo para más información y agendar una cita para conocer tu futuro hogar en Torre Hidalgo Residences!",Columna Real Estate Agency,D-270,146008429,Publicado hace 34 días,88 m² tot.,88 m² cub.,2 baños,2 estac.,2 rec.,,3 años,Alberca; Mascotas; Cocina integral; Acceso discapacitados; Piso en el que se encuentra : 15,Gimnasio; Seguridad privada,,Estacionamientos,,
10,Inm24,,01/04/2025,Departamento,111m²,3,1,venta,"ventaMN 4,500,000",Mantenimiento MN 400,"Alberta, Colomos,  Providencia, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.709998400000000,-103.388160700000000&zoom=16&markers=20.709998400000000,-103.388160700000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=4ebEacB9BjeFCuSBm_OnhGR8D_U=&channel=rpfic-i24","Departamento en Venta, Colomos Providencia, Guadalajara","¡OPORTUNIDAD DE INVERSIÓN! Departamento en venta en exclusiva zona, Providencia, una de las colonias más solicitadas de Guadalajara, ya que cuenta con cercanía a puntos importantes de la ciudad cómo Zona Finaciera y Andares. SUPERFICIE: 111 m2 DISTRIBUCIÓN: Sala y comedor Cocina integral Recámara principal con closet y baño completo 2 recámaras secundarias con closet Baño completo Área de lavado 1 cajón de estacionamiento PLUS-EXTRAS: Se vende amueblado UBICACIÓN y ZONAS ALEDAÑAS: Se encuentra en Calle Alberta, cuenta con acceso rápido a Av. Patria. A 2 minutos de Parque Colomos, Ceti Colomos, centros comerciales y oficinas. ¡LISTO PARA ESCRITURAR! PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS SIN PREVIO AVISO",VECORE Consejeros Inmobiliarios,EB-SJ1989,145757666,Publicado hace 64 días,111 m² tot.,111 m² cub.,2 baños,1 estac.,3 rec.,,35 años,Escuelas Cercanas,,Closets : 3,,,
