id,PaginaWeb,Ciudad,Fecha Scrap,tipo_propiedad,area_m2,recamaras,estacionamientos,operacion,precio,mantenimiento,direccion,ubicacion_url,titulo,descripcion,anunciante,codigo_anunciante,codigo_inmuebles24,tiempo_publicacion,area_total,area_cubierta,banos_icon,estacionamientos_icon,recamaras_icon,medio_banos_icon,antiguedad_icon,Características generales,Servicios
1,Inm24,Gdl,abr-25,Terreno / Lote,943m²,,,venta,"ventaMN 25,000,000",,"CALLE MANZANO 302 ESQUINA EPIGMENIO GONZALEZ ,  Mexicaltzingo, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.625298400000000,-103.272884000000000&zoom=16&markers=20.625298400000000,-103.272884000000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=OXhe85l3TI3NOhOcaIAB6Bb0-h0=&channel=rpfic-i24",Terreno en Venta en El Centro de Guadalajara,"EXCELENTE TERRENO UBICADO EN EL CENTRO DE LA CIUDAD, CONTRA ESQUINA DE SEARS. IDEAL PARA DESARROLLAR CON USO DE SUELO COMPATIBLE HABITACIONAL PLURIFAMILIAR VERTICAL Y/O HORIZONTAL, USO PREDOMINANTE DE COMERCIO Y SERVICIOS DE IMPACTO ALTO (CS4). FRENTE 27 ml X 35 ml DE FONDO.",ALINEA BIENES RAICES,5TH8RF,145457025,Publicado hace 104 días,943 m² tot.,943 m² cub.,,,,,A estrenar,Forma del terreno : Plano; Uso de suelo : MIXTO,
2,Inm24,Gdl,abr-25,Terreno / Lote,600m²,,,venta,"ventaMN 19,780,000",,"CALDERON DE LA BARCA,  Arcos Vallarta, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.668595500000000,-103.378659100000000&zoom=16&markers=20.668595500000000,-103.378659100000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=eUExxlp5j8kF9j_8z_0_kKrcPe4=&channel=rpfic-i24","Terreno en Venta en Arcos Vallarta, Guadalajara, Jal","Terreno en Venta con Potencial de Desarrollo en Arcos Vallarta, Guadalajara Potencial de Desarrollo Vertical: Según los planes parciales, la propiedad tiene potencial para un desarrollo vertical de hasta 9 niveles, lo que la convierte en una excelente opción para inversionistas. Uso de Suelo Versátil: Con clasificación de servicios de alto impacto (CS4/44), este inmueble es susceptible para múltiples proyectos de uso comercial y vertical. -Espacios Amplios y Versátiles: Más de 9 espacios de trabajo, ideales para adaptarse a diversas necesidades empresariales. Sala de juntas para reuniones y presentaciones, y área de almacenamiento para optimizar la organización. -Comodidades Integrales: Áreas de baños, cocina equipada y un agradable patio. - Estacionamiento y Áreas Exteriores: 9 espacios de estacionamiento, azotea y jardín interior. -Casa Habitación Adicional: En la parte posterior del predio se encuentra una casa habitación con sala comedor, baño y cuarto principal. Esta propiedad representa una excelente oportunidad de inversión en una de las zonas más dinámicas y de alta plusvalía en Guadalajara. Su ubicación estratégica, frente a Casa Bariachi, la sitúa en un punto clave con fácil acceso a importantes vialidades y rodeada de establecimientos de gran relevancia. - Ubicada en el vibrante corazón de Chapultepec, esta propiedad se beneficia de un entorno lleno de vida, cultura y comercio. -Frente a Casa Bariachi: Su ubicación frente a este emblemático lugar le otorga alta visibilidad y un punto de referencia inconfundible. -Conectividad Vial: Goza de excelente conectividad a importantes avenidas que facilitan el acceso a diversas zonas de la ciudad: Avenida Vallarta: Una de las principales arterias de Guadalajara, que conecta el centro con el poniente de la ciudad. Avenida López Mateos: Crucial vía que atraviesa la ciudad de norte a sur, facilitando la conexión con importantes zonas comerciales y residenciales. Avenida López Cotilla: Una avenida con gran actividad comercial y cultural, que conecta con el centro histórico y otras zonas importantes. Proximidad a Puntos de Interés: -La Minerva: Un ícono de Guadalajara, a pocos minutos de distancia. -Glorieta Chapalita: Otro importante punto de referencia y zona comercial cercana. -Centros Comerciales: Cercanía a centros comerciales como Plaza Galerías y otros desarrollos comerciales en la zona. -Restaurantes y Cafeterías: Una amplia oferta gastronómica en los alrededores, con restaurantes y cafeterías de renombre. Hospitales y Centros Médicos: Proximidad a importantes hospitales y centros médicos. Instituciones Educativas: Cercanía a diversas escuelas y universidades. .............................................................................................. La disponibilidad y precios quedan sujeto a cambios sin previo aviso Se aceptan pagos con créditos, estos quedan sujeto a cambios por motivos de montos variables Contamos con políticas de no discriminación *Para cualquier aclaración y/o quejas, por favor mandar mensaje al siguiente correo:@gmail.com * *Av., Santa Margarita #4099 Int. A-15 Plaza D-Lucca, Col. Santa Margarita, Zapopan, Jalisco. CP: Ver datos * *Tel: Ver datos 00 Horario de atención: Lunes a Viernes de 9:00 am a 6:00 pm, Sábados de 9:00 am a 1:00 pm.* Aviso de privacidad: **PIZARRO RESTREPO Y ASOCIADOS INMOBILIARIA S.A DE C.V de nombre comercial PRYA Grupo Inmobiliario, es responsable del uso y protección de sus datos personales, en este sentido y atendiendo las obligaciones legales establecidas en la Ley Federal de Protección de Datos Personales en Posesión de los Particulares, a través de este instrumento se informa a los titulares de los datos, la información que de ellos se recaba y los fines que se le darán a dicha información...** Consulta nuestro aviso de privacidad en nuestra página: Amenidades Exterior Facilidad para estacionarse Jardín General Cocina equipada Ubicación",PRYA grupo inmobiliario,EB-SD1545,145591031,Publicado hace 88 días,600 m² tot.,,,,,,9 años,M&sup2; de frente : 12; M&sup2; de fondo : 50; Uso de suelo : MIXTO,
3,Inm24,Gdl,abr-25,Terreno / Lote,1042m²,,,venta,"ventaMN 47,399,999",,"Av Hidalgo 1580,  Ladrón de Guevara, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.677235700000000,-103.371131400000000&zoom=16&markers=20.677235700000000,-103.371131400000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=ZakRDrtIH_ajBPi2lStPGg1EI0M=&channel=rpfic-i24",Terreno Sobre Av Hidalgo en Venta,"Este privilegiado terreno sobre Av. Hidalgo ofrece una gran oportunidad de inversión para desarrollo inmobiliario. Ubicación óptima , terreno plano, junto a gasolinera, en la zona de mas crecimiento urbano vertical de la ZMG. Contáctanos ! Con gusto te atendemos.",Fiable Real Estate,EB-SB8159,145500680,Publicado hace 98 días,1042 m² tot.,,,,,,A estrenar,,
4,Inm24,Gdl,abr-25,Terreno / Lote,980m²,40,,venta,"ventaMN 10,000,000",,"AV EL PARQUE 656,  San Rafael, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.647958000000000,-103.306823500000000&zoom=16&markers=20.647958000000000,-103.306823500000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=eJQhkPiBahMp-4nbCjXWY8InfOg=&channel=rpfic-i24","Remate Av San Jacinto, Frente Al Parque San Rafael (Se Vende Como Terreno)","Terreno en Venta en Colonial San Isidro Excelente ubicación, de uso de suelo industrial y comercial ideal para múltiples negocios, entre estos para proyecto de edificación SUPERFICIE: Terreno: 980 m2 Construcción: 500 m2 UBICACIÓN y ZONAS ALEDAÑAS: Se encuentra c Avenidas principales Av San Rafael , Av Revolución. Frente al IMMS UMF 78 Cuenta actualmente con permiso de restaurante y venta de alcohol de alto grado. Todos los papeles en orden. PREDIAL 2025 LUZ AGUA",DIANA MARQUEZ ROBLES,5QQCDF,143273205,Publicado hace más de 1 año,500 m² tot.,980 m² cub.,6 baños,40 estac.,,,10 años,Forma del terreno : Regular; Zona industrial,Seguridad privada
5,Inm24,Gdl,abr-25,Terreno / Lote,353m²,10,1,venta,"ventaMN 5,800,000",,"ZENZONTLE 789,  8 de Julio , Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.644863900000000,-103.353969900000000&zoom=16&markers=20.644863900000000,-103.353969900000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=Y1T9ANbU7-eWONiiQhrOoLpnM7c=&channel=rpfic-i24","Uso Múltiple, Gobernador Curiel y Lázaro Cárdenas","Ofrecemos a la venta propiedad con construcciones en 2 niveles en la colonia 8 de Julio, Guadalajara. Actualmente uso horizontal subtitulado. UBICACIÓN: El predio se localiza en calle Zenzontle 789, aproximadamente a 230m al noreste de la esquina de Gobernador Curiel y Lázaro Cárdenas. Se ubica por la acera sur de la calle Zenzontle, a aproximadamente 30 m de la avenida Héroe de Nacosari. Distancia a Av 8 de Julio es de aproximadamente 450m. Distancia a Calzada Lázaro Cárdenas aproximadamente 120m. Cercana a escuelas, templos, zonas comerciales y avenidas de importancia. GOOGLE MAPS: .https://maps.app.goo.gl/t1udt5KnxZmia8vJ7 SUPERFICIE Terreno: 226.40 m2 (8 x 28.30) Construcción: 353 m2 en 2 plantas LEGAL Propiedad libre de gravamen. Juicios sucesorios testamentario e intestamentario ya adjudicados. DESCRIPCIÓN: CASA REMODELADA QUE AUMENTÓ SU VIDA ÚTIL. PLANTA BAJA: INGRESO, RECIBIDOR, SALA, COMEDOR, COCINA, PATIO CENTRAL Y POSTERIOR, 6 RECÁMARAS Y 3 BAÑOS. PLANTA ALTA: SALA, COMEDOR, COCINA, BAÑO COMUN, 4 RECAMARAS (1 CON BAÑO Y CLOSET), PATIO DE SERVICIO. COCHERA: 1 CUBIERTA PARA 1 AUTOMÓVIL. USO DE SUELO: SE PUEDEN REALIZAR 4 NIVELES SEGÚN LOS NUEVOS PLANES PARCIALES APROBADOS EN ENERO DEL 2018 EN EL MUNICIPIO DE GUADALAJARA, QUE FOMENTAN LA VERTICALIDAD. (SIN CONTAR SÓTANO DE ESTACIONAMIENTO) CUS: 2.4 Visita Previa cita. Precios sujetos a cambios. Genera tu cita con confianza.",Basma Bienes Raíces,60CS5F,146149365,Publicado hace 21 días,226 m² tot.,353 m² cub.,5 baños,1 estac.,10 rec.,,50 años,,
6,Inm24,Gdl,abr-25,Terreno / Lote,4727m²,,,venta,"ventaMN 52,000,000",,"calle 14 2838,  Zona Industrial, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.632729707797143,-103.364497161376960&zoom=16&markers=20.632729707797143,-103.364497161376960&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=7P5ucF05-tcXpgS-pM3FtxI0ClI=&channel=rpfic-i24",Amplio Terreno en La Zona Industrial de Gdl,"El terreno se encuentra a 1 cuadra de av. 8 de julio y av. Lopez de Legaspi, cuenta con 2 accesos, uno por la calle Palma sola, aun costado de la empresa Bargo y el otro por la calle 14. La propiedad está compuesta por 2 terrenos uno de 1,083m2 y el otro de 3,644m2, se venden juntos. Uso de suelo permitido: H1, H2, H3, H4, H5, CS1, CS2, CS3, I1, I2, E1, E2, E3, EA, ANP, PC, PRH Uso condicionado: CS4, E4, RIE, RIS, RIT, ARN Escriturados y libre de gravamen.",City Real Estate,60A6AG,146075716,Publicado hace 30 días,4727 m² tot.,,,,,,A estrenar,,
7,Inm24,Gdl,abr-25,Terreno / Lote,279m²,,,venta,"ventaMN 2,990,000",,"C. 8-A 1515, Ferrocarril, 44440 Guadalajara, Jal.,  Ferrocarril, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.649874900000000,-103.352342800000000&zoom=16&markers=20.649874900000000,-103.352342800000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=shXbB3k4BjaZuL98FgHaJyjT35M=&channel=rpfic-i24",Terreno en Venta Colonia Ferrocarril,"Terreno en Venta – Oportunidad en Zona Industrial Ubicación: C. 8-A #1515, Colonia Ferrocarril, Guadalajara, Jalisco. Dimensiones: *Superficie: 280 m² *Frente: 10 metros *Fondo: 28 metros Precio de Venta: $3,300,000 MXN Este terreno, ubicado estratégicamente en una zona industrial de alto flujo comercial, ofrece una excelente oportunidad para inversionistas o emprendedores. Con fácil acceso a importantes vialidades como Av. Gobernador Luis G. Curiel, Av. Héroes de Nacozari, y Calzada Lázaro Cárdenas, está a menos de 3 minutos de la Colonia 8 de Julio, lo que lo convierte en un espacio ideal para múltiples usos. Características: *Construcción existente: 159 m² techados. *Baños: 2 baños completos. *Uso de suelo: Mixto (habitacional, industrial y comercial). *Ideal para desarrollar un taller, bodega, restaurante, salón de eventos, o cualquier tipo de empresa. *Documentación en regla y listo para escriturar. No pierdas la oportunidad de hacer una inversión en una zona con excelente conectividad y crecimiento. ¡Contáctanos para agendar una cita!",Vivalta Grupo Inmobiliario,EB-RI6926,144735372,Publicado hace 206 días,279 m² tot.,,,,,,40 años,M&sup2; de frente : 28; M&sup2; de fondo : 12; Forma del terreno : Regular; Zona industrial; Fecha disponible : 2024; Uso de suelo : 1,
8,Inm24,Gdl,abr-25,Terreno / Lote,244m²,,,venta,"ventaMN 3,190,000",,"Belisario Domínguez 1292,  Lomas Independencia, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.690194600000000,-103.324325900000000&zoom=16&markers=20.690194600000000,-103.324325900000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=7oNrgfVm2O36vgKvc2pfh--PNFI=&channel=rpfic-i24","*venta de Terreno en Guadalajara, Av Belisario Dominguez*","*VENTA DE TERRENO, AV. BELISARIO DOMINGUEZ* A solo tres cuadras de Centro Médico. *¡Gran oportunidad de inversión en Guadalajara! *Este predio es ideal para un desarrollo de departamentos en renta combinado con una zona comercial, aprovechando su ubicación estratégica y los múltiples usos de suelo permitidos. Superficie: 244 m² Precio: $3,190,000 MXN Usos de suelo permitidos: H1, H2, H3, H4, H5, CS1, CS2, CS3, I1, I2, E1, E2, E3, EA, ANP, PC, PRH ️ Usos condicionados: CS4, E4, RÍE, RIS, RIT, ARN ¡No dejes pasar esta oportunidad de inversión en una zona de alta demanda! Contáctanos para más información. #TerrenoEnVenta#",CREALTOR VANGUARDIA GDL,5TT68A,145778650,Publicado hace 66 días,244 m² tot.,,,,,,6 años,"Uso de suelo : H1, H2, H3, H4, H5,",
9,Inm24,Gdl,abr-25,Terreno / Lote,978m²,,,venta,"ventaMN 26,000,000",,"Lope de Vega 182,  Arcos Vallarta, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.671363600000000,-103.380250500000000&zoom=16&markers=20.671363600000000,-103.380250500000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=QBBoU2itGkg_80leiFzsared6zc=&channel=rpfic-i24",Terreno con Uso de Suelo Mixto en Arcos Vallarta,"Este terreno ofrece una excelente ubicación para desarrollo vertical o comercial. Listo para escriturar , libre de gravamen. Una gran oportunidad, sin duda.",Fiable Real Estate,5RN87K,143998430,Publicado hace 297 días,978 m² tot.,,,,,,A estrenar,,
10,Inm24,Gdl,abr-25,Terreno / Lote,2108m²,,,venta,"ventaMN 23,000",,"VICENTE SUAREZ 1818,  Mezquitan Country, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.702959700000000,-103.362909700000000&zoom=16&markers=20.702959700000000,-103.362909700000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=VszjUmANLBIXFTdSNVRXLDf3dp0=&channel=rpfic-i24",Terreno Para Desarrollo Vertical en Lomas del Country,"TERRENO PARA TORRE DE DEPARTAMENTOS 2,108 MT2 DE SUPERFICIE 23,000 PESOS POR MT2 COS .8 CUS 6.4 USO DE SUELO HABITACIONAL VERTICAL DENSIDAD ALTA ZONA CON TODOS LOS SERVICIOS, PLAZAS COMERCIALES, HOSPITALES, TREN ELÉCTRICO, ESCUELAS ETC. POR ÁVILA CAMACHO Y CIRCUNVALACIÓN COUNTRY",FGA INMOBILIARIA,27DPQD,54644293,Publicado hace más de 1 año,2108 m² tot.,,,,,,10 años,M&sup2; de frente : 50; M&sup2; de fondo : 45; Forma del terreno : Irregular; Uso de suelo : H4V 6.4,
