id,PaginaWeb,Ciudad,Fecha Scrap,tipo_propiedad,area_m2,recamaras,estacionamientos,operacion,precio,mantenimiento,direccion,ubicacion_url,titulo,descripcion,anunciante,codigo_anunciante,codigo_inmuebles24,tiempo_publicacion,area_total,area_cubierta,banos_icon,estacionamientos_icon,recamaras_icon,medio_banos_icon,antiguedad_icon,Características generales,Servicios,Amenidades,Exteriores
1,Inm24,,may-25,Local comercial,369m²,11,,venta,"ventaMN 12,800,000",,"Av. Belisario Domínguez 1086,  Lomas Independencia, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.688348400605765,-103.324927385284800&zoom=16&markers=20.688348400605765,-103.324927385284800&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=Pgl2sgcBFp2fbNueKGFNWd12y7I=&channel=rpfic-i24","Local en Marcha Venta, Lomas de Independencia, Guadalajara.","Excepcional local comercial en VENTA, con negocio de LAVANDERIA Automatica operando desde hace 50 años. Ubicado en pequeña plaza comercialcon bateria de 11 estacionamientos exclusivos para clientes, sobre vialidad de intensidad comercial en la colonia Lomas de Independencia en Guadalajara, ideal para expandir su negocio o inversion patrimonial. Con un terreno de 276 m2 y un edificio de 369 m2, y una altura promedio X. Incluye infraesctructura: Aljibe o cisterna de capacidad de 100 m3, transformador 75 kva, redundancia en el resto de la infraestructura: 2 bombas, 2 hidroneumaticos, 2 calentadores, tanque estacionario de 3,500 litros y tanque de Agua, CCTV; y equipo: Lavadoras (22 de 18 libras, 26 de 35 libras, 4 de 50 libras), Secadoras (19 de 30 libras doble canasta), Camioneta para servicio al cliente. Invierta y asegure su patrimonio con un negocio en marcha. PL. CLV-2206.",Remax Activa,CLV-2206,147135680,Publicado hace 36 días,276 m² lote,369 m² constr.,,11 estac.,,3 medios baños,50 años,Fecha disponible : Inmediata,Seguridad contra incendios; Generador eléctrico,Bodega(s) : 1,
2,Inm24,,may-25,Local comercial,218m²,,,venta,"ventaMN 4,200,000",,"Av De La Pintura 268,  Miravalle, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.614359400000000,-103.345109100000000&zoom=16&markers=20.614359400000000,-103.345109100000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=BsF8SBYHcRlD1-B_3XrlZ3XXZ9w=&channel=rpfic-i24","Local Venta, Miravalle, Guadalajara.","Gran oportunidad de inversión! Este local comercial en esquina, Ubicado estratégicamente en Av. de la Pintura #268, en la colonia Miravalle, goza de una visibilidad inigualable gracias a su doble frente, asegurando un flujo constante de clientes potenciales. Este espacio, versátil y con potencial ilimitado, es ideal para cualquier tipo de negocio que busque maximizar su exposición en una zona de alta densidad poblacional y con un tráfico garantizado. No dejes pasar la oportunidad de adquirir el punto de partida para el éxito de tu negocio en una de las mejores ubicaciones de la colonia HAZ TU CITA. GG. CLV-2213.",Remax Activa,CLV-2213,147351614,Publicado hace 14 días,260 m² lote,218 m² constr.,,,,2 medios baños,21 años,Acceso discapacitados; Fecha disponible : Inmediata,,,
3,Inm24,,may-25,Local comercial,789m²,,,venta,"ventaMN 25,000,000",,"Lerdo de Tejada 2147, Col Americana. Guadalajara Jal.,  Americana, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.671163499999998,-103.371479899999997&zoom=16&markers=20.671163499999998,-103.371479899999997&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=Qzc6mgf8Bp3xT-XQzYf74u_6KdU=&channel=rpfic-i24",Local con Historia en Venta en La Colonia Americana,"Local comercial en Venta en la Colonia Americana - Guadalajara Superficie total: 789.23 m² Esta magnífica casona, ubicada en la icónica Colonia Americana de Guadalajara, es una joya arquitectónica fusionada con el moderno desarrollo KAVI. Con una construcción total de 578.18 m², distribuidos en una planta baja de 381.13 m², un amplio mezanine de 197.03 m² y una superficie exterior de 182.32 m², esta propiedad ofrece una oportunidad única de inversión. Debido a su valor histórico, Casa Kavi se encuentra protegida y no puede ser demolida, lo que asegura su permanencia como parte del legado de la zona. Esta característica la convierte en una inversión ideal para quienes valoran la conservación de la arquitectura histórica, con la posibilidad de integrarla en un desarrollo contemporáneo. Su ubicación privilegiada, en una de las colonias más emblemáticas y con mayor proyección de Guadalajara, la hace perfecta para proyectos comerciales, culturales o residenciales de alto nivel.",Viterra Grupo Inmobiliario,VBU57139 LO6497143,144829010,Publicado hace 322 días,789 m² lote,789 m² constr.,,,,,A estrenar,,,,
4,Inm24,,may-25,Local comercial,222m²,,,venta,"ventaMN 7,645,750",,"Lerdo de Tejada 2147, Col Americana. Guadalajara Jal.,  Americana, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.671163499999998,-103.371479899999997&zoom=16&markers=20.671163499999998,-103.371479899999997&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=Qzc6mgf8Bp3xT-XQzYf74u_6KdU=&channel=rpfic-i24","Local en Venta de 222 m², en La Col. Americana","Local Comercial en Venta en Colonia Americana, Guadalajara Este amplio local comercial es una excelente oportunidad para establecer tu negocio en una de las zonas más vibrantes y cosmopolitas de Guadalajara. Situado dentro del exclusivo desarrollo de departamentos KAVI, cuenta con una superficie total de 222.48 m², distribuidos de la siguiente manera: Planta baja: 104.52 m² Terraza: 117.96 m² El local destaca por su amplio espacio, ideal para cualquier negocio que busque aprovechar el dinamismo de la Colonia Americana, un área reconocida por su ambiente cultural y comercial. La terraza ofrece un atractivo extra, ideal para crear un ambiente exterior único que complemente la experiencia de tus clientes. ¡Invierte en esta ubicación estratégica y potencializa el crecimiento de tu negocio!",Viterra Grupo Inmobiliario,VBU57139 LO6467695,144828611,Publicado hace 321 días,222 m² lote,222 m² constr.,,,,,A estrenar,,,,
5,Inm24,,may-25,Local comercial,318m²,,,venta,"ventaMN 17,158,000",,"Eva Briseño 306,  Zapopan Centro, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.720126400000000,-103.392057500000000&zoom=16&markers=20.720126400000000,-103.392057500000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=zqYfbe8Ftgq6E97lrxl-iOGb8lw=&channel=rpfic-i24","Local en Venta Zapopan Centro, Zapopan, Jal.","Características: - Terreno: 318.5 metros cuadrados - Construcción: 504 metros cuadrados, distribuidos en 2 niveles - Edad de la propiedad: 50 años - Frente: 7 metros por Gómez Farías y 10 metros por Eva Briseño -Fondo: 16.8 metros por Eva Briseño y 21.8 metros por Gomez Farías - Locales comerciales en planta baja - Oficinas o consultorios en planta alta Esta propiedad ofrece una ubicación privilegiada, con una alta visibilidad y afluencia de personas, gracias a su proximidad a la Basílica de Zapopan.",Remax Activa,CLV-2060,144549310,Publicado hace 359 días,504 m² lote,318 m² constr.,,,,,50 años,M&sup2; de frente : 10; M&sup2; de fondo : 16,,,
6,Inm24,,may-25,Local comercial,124m²,2,,venta,"ventaMN 3,356,571",,"Jose luis Verdia 193,  Barrio San Juan de Dios, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.669483600000000,-103.336426700000000&zoom=16&markers=20.669483600000000,-103.336426700000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=PXTTM5aY0g1IssD6fFoRE_zff-E=&channel=rpfic-i24","Local en Venta, Mossaica Habitat Analco, Guadalajara.","Este local se encuentra en un increible y nuevo desarrollo habitacional, Mossaica Habitat Analco con alta demanda de servicios y productos. El local tiene una superficie total de 124.52 m2, con una forma rectangular que permite una facil distribución de los espacios. Ideal para negocios y servicios que buscan una ubicación estrategica, como restaurantes y cafeterias. Cuenta con terraza de comercio y un almacen en sotano para mejor conservación de materiales o herramientas, cuarto de aseo, 2 cajones de estacionamiento en sótano y bicipuerto. Aprovecha esta gran oportunidad de inversión en el corazon de la ciudad de Guadalajara. Precio sujeto a cambio sin previo aviso. PL. CLV-OP215",Remax Activa,CLV-OP215,146805391,Publicado hace 71 días,124 m² lote,124 m² constr.,,2 estac.,,3 medios baños,A estrenar,Elevador : 1; Caseta de guardia; Acceso discapacitados,,Bodega(s) : 1,
7,Inm24,,may-25,Local comercial,216m²,,,venta,"ventaMN 7,600,000",,"Av. Federalismo 542,  Americana, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.668632800000000,-103.355194400000000&zoom=16&markers=20.668632800000000,-103.355194400000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=6t4Vj12jfcVAC6CFLvnw8jSb4rg=&channel=rpfic-i24","Local en Venta, Colonia Americana, Guadalajara.","Venta de Local Comercial en Colonia Americana. ¡Excelente oportunidad de inversión en una de las zonas con mayor plusvalía y movimiento comercial en Guadalajara! Características del inmueble: Terreno 146m2 Construcción 216... Amplios espacios funcionales, ubicado en una de las colonias más icónicas, turísticas y con alto flujo peatonal y vehicular. Beneficios de la zona Alta afluencia de turistas, locales y profesionales, Rodeado de comercios, restaurantes, oficinas, agencias creativas, corportivos y oferta cultural, Excelente conectividad y fácil acceso INVERSION ASEGURADA EN UNA ZONA DE ALTO CRECIMIENTO Y DEMANDA ¡contactanos para agendar una cita! YL. CLV-2204.",Remax Activa,CLV-2204,147086000,Publicado hace 43 días,146 m² lote,216 m² constr.,,,,2 medios baños,20 años,Fecha disponible : Inmediata,,Bodega(s) : 1,
8,Inm24,,may-25,Local comercial,319m²,8,,venta,"ventaMN 14,800,000",,"Calle Manuel María Ponce 215,  San Andrés, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.657972300000000,-103.293329000000000&zoom=16&markers=20.657972300000000,-103.293329000000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=JJbYZdioE5x8RNeqSjxJRxXwFuY=&channel=rpfic-i24","Local en Venta, San Andres, Guadalajara.","Excepcional local comercial en VENTA, con negocio de LAVANDERIA Automatica operando desde hace 25 años. Ubicado en esquina y con bateria de 8 estacionamientos en la parte de enfrente, sobre vialidad de intensidad comercial en la colonia San Andres en Guadalajara, ideal para expandir su negocio o inversion patrimonial. Con un terreno de 388 m2 y un edificio de 319 m2, y una altura promedio X. Incluye infraesctructura: Aljibe o cisterna de capacidad de 100 m3, transformador 150 kva, redundancia en el resto de la infraestructura: 2 bombas, 2 hidroneumaticos, 2 calentadores, tanque estacionario de 3,500 litros y tanque de Agua, CCTV; y equipo: Lavadoras (8 de 18 libras, 8 de 25 libras, 20 de 35 libras, 4 de 50 libras), Secadoras (14 de 30 libras doble canasta), Camioneta para servicio al cliente. Invierta y asegure su patrimonio con un negocio en marcha. PL. CLV-2205.",Remax Activa,CLV-2205,147130199,Publicado hace 37 días,388 m² lote,319 m² constr.,,8 estac.,,3 medios baños,25 años,Acceso discapacitados; Fecha disponible : Inmediata,Aire acondicionado; Seguridad contra incendios; Generador eléctrico,Bodega(s) : 1,
9,Inm24,,may-25,Local comercial,203m²,1,,venta,"ventaMN 4,349,000",,"Locales Comerciales en Venta Sobre Av Las Torres,  Paraísos Del Colli, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.649336600000001,-103.450570299999995&zoom=16&markers=20.649336600000001,-103.450570299999995&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=v0V87CzZ5PQDI23G6_Pk2xOEIbg=&channel=rpfic-i24",Locales Comerciales en Venta Sobre Av Las Torres,"Locales Comerciales en Venta sobre Avenida Las Torres Oportunidad única para inversionistas en una de las avenidas más comerciales de la ciudad. Se venden locales con un total de 203 m² de terreno, ubicados en una zona de alto flujo peatonal y vehicular, ideales para generar ingresos inmediatos. Los locales ya se encuentran rentados, lo que permite mantener los contratos vigentes y asegurar ingresos desde el primer día. Además, en la parte trasera de los locales se ha construido un pequeño departamento que también puede ser rentado, lo que agrega un valor extra a la propiedad y una fuente adicional de ingresos pasivos. Ubicación estratégica, a tan solo unas cuadras de Periférico, en una avenida súper comercial, rodeada de negocios, tiendas, restaurantes y otros comercios que garantizan una alta afluencia de clientes. Es el lugar perfecto para continuar con el modelo de negocio existente o bien adaptarlo a nuevas propuestas comerciales. Los locales están listos para escriturar, lo que facilita una transacción rápida y segura. Sin duda, una excelente inversión que promete rentabilidad a corto y largo plazo.",Piso 90,PLO6907592,146181204,Publicado hace 147 días,203 m² lote,203 m² constr.,3 baños,,1 rec.,,A estrenar,,,,
10,Inm24,,may-25,Local comercial,118m²,1,,venta,"ventaMN 7,645,750",,"C. Miguel Lerdo de Tejada 2146,  Lafayette, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.671385000000000,-103.371581200000000&zoom=16&markers=20.671385000000000,-103.371581200000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=XQ66Sd2R9wADuGTx89J2FhmXtVE=&channel=rpfic-i24",Local Comercial en Plaza Abierta Col Americana,"Se venden 5 locales comerciales en el corazon de la Col Americana, plaza abierta, abajo de desarrollo kavi, con casona patrimonial (se vende como local) y 5 locales adicionales.",KAVI,61SQKA,147390010,Publicado hace 9 días,222 m² lote,118 m² constr.,1 baño,1 estac.,,,A estrenar,Caseta de guardia; Acceso discapacitados; Fecha disponible : inmediata,Seguridad privada,,
