id,PaginaWeb,Ciudad,Fecha Scrap,tipo_propiedad,area_m2,recamaras,estacionamientos,operacion,precio,mantenimiento,direccion,ubicacion_url,titulo,descripcion,anunciante,codigo_anunciante,codigo_inmuebles24,tiempo_publicacion,area_total,area_cubierta,banos_icon,estacionamientos_icon,recamaras_icon,medio_banos_icon,antiguedad_icon,Características generales,Servicios,Amenidades,Exteriores
1,Inm24,,01/04/2025,Terreno / Lote,1561m²,,,venta,"ventaMN 36,000,000",,"Juan Manuel 63,  Zapopan Centro, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.678912800000000,-103.342746000000000&zoom=16&markers=20.678912800000000,-103.342746000000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=HNG2jRCa6SOzfIpiZki4DTK9elY=&channel=rpfic-i24","Terreno en Venta, Col. Centro. Zapopan, Jalisco","La ubicación de esta zona es inmejorable, con acceso rápido a vialidades principales como Av. Ávila Camacho y Periférico Norte, además de contar con una amplia oferta de transporte público, incluyendo el Tren Ligero. Aquí encontrarás una gran variedad de comercios, restaurantes, bancos, hospitales y centros educativos de prestigio, lo que lo convierte en un punto clave para la inversión y el desarrollo. CARACTERISTICAS DEL TERRENO MEDIDAS: 1561.31 m2 Número de frentes: 2 FONDO: 21.95 m2 LARGO: 43.74 m2 Terreno habitacional - comercial. Terreno plano Servicios: Electricidad, agua, drenaje, cisterna, gas lp.",HOUSALE.MX,5TS7CP,145752685,Publicado hace 69 días,1561 m² tot.,,,,,,A estrenar,,,,
2,Inm24,,01/04/2025,Terreno / Lote,17158m²,,,venta,"ventaMN 68,631,000",,"Los Robles,  Nuevo México, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.757758300000000,-103.420835000000000&zoom=16&markers=20.757758300000000,-103.420835000000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=Oow-5qJNkJrhIGgDQAmUaGcDea4=&channel=rpfic-i24","Terreno Para Desarrollar, a 5 Minutos de Capital Norte, Zapopan","Este terreno tiene un gran potencial para desarrollar un proyecto habitacional. Nuevo México es una de las zonas con mayor plusvalía en Zapopan ya que se encuentra en medio de colegios, hospitales, universidades y vías de fácil acceso, lo que lo convierte en una zona especial para fraccionar. SUPERFICIE: Terreno: 17,158 m2 Noroeste: 11.750 m Oriente: 66.062 m Suroeste: 40 m Noroeste: 149.935 m PLUS/EXTRAS: Lote de terreno con gran plusvalía UBICACIÓN y ZONAS ALEDAÑAS: Se encuentra ubicada en una zona de mucha plusvalía, a unas cuadras del Hospital Ángel Leaño, rodeado de supermercados, restaurantes y plazas. ¡LISTO PARA ESCRITURAR! PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS SIN PREVIO AVISO",VECORE Consejeros Inmobiliarios,EB-QY5834,145413123,Publicado hace 110 días,17158 m² tot.,,,,,,En construcción,,,,
3,Inm24,,01/04/2025,Terreno / Lote,877m²,,,venta,"ventaMN 12,990,000",,"Av. Mariano Otero 1841,  Mariano Otero, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.629401500000000,-103.454928800000000&zoom=16&markers=20.629401500000000,-103.454928800000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=sMS987ekiMoN4OoAkuvqzLoty3I=&channel=rpfic-i24",Propiedad a Precio de Terreno en Venta en Mariano Otero,"La propiedad se distribuye de la siguiente manera: PLANTA BAJA: - 3 locales comerciales por la parte de enfrente de la propiedad. - Cochera para 15 autos aprox. - 2 departamentos en planta alta con 2 recamaras cada uno, baño completo, sal, comedor y cocina. CASA PRINICIPAL: PLANTA BAJA: - Amplio recibidor, 2 salas, comedor, cocina, área de lavado con servidumbre lateral, 1 recámara con baño completo, medio baño. PLANTA ALTA - 3 recámaras con closet y baños completo, amplio balcón. Departamento 1 - Sala, comedor, cocina, 2 recamaras con baño completo, patio con área de lavado. Departamento 2 - Sala, comedor, cocina, 2 recamaras con baño completo, patio con área de lavado. Propiedad ideal para desarrollo habitacional, bodega, oficinas, plaza comercial, escuela etc. Contáctanos hoy mismo para programar una visita. ¡Tu nueva inversión te espera!",RICHARDS REAL ESTATE,EB-SR8761,146056396,Publicado hace 32 días,877 m² tot.,,,,,,31 años,,,,
4,Inm24,,01/04/2025,Terreno / Lote,1415m²,,,venta,"ventaMN 4,990,000",,"Carretera a Nogales 9005,  Fraccionamiento Pinar de La Venta, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.713307199999999,-103.476001400000001&zoom=16&markers=20.713307199999999,-103.476001400000001&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=6uT9FM_3vlig0D4JJ9eU1u-94c8=&channel=rpfic-i24",Terreno en Venta Pinar de La Venta Diana Ntura,"Hermoso terreno panorámico en venta en el exclusivo condominio “Diana Natura Residencial”, el lote de 1,415 Mt2 de superficie colinda prácticamente con el bosque de La Primavera y se encuentra localizado en la manzana “J” (en la zona más alta del fraccionamiento); con la ubicación, y la pendiente natural que tiene el terreno, hacen de este la perfecta opción para construir una residencia en desniveles con una vista panorámica espectacular en un ambiente boscoso y de aire puro. El fraccionamiento cuenta con urbanización de lujo, amenidades deportivas y sociales para toda la familia y rigurosos sistemas de seguridad. Amenidades de Diana Natura Residencial: * Casa club * Alberca con tobogán * Cancha de tenis * Gimnasio * Salón de usos múltiples * Baños y vestidores * Parque para perros * Juegos infantiles * Hermosas áreas verdes. Seguridad: * Ingreso controlado * Barda perimetral * Circuito cerrado * Vigilancia 24/7 Muy cerca de todo: * Plaza Galerías, Walmart y Costco a 15 minutos. * Andares, The Landmark y Gran Patio Patria a 20 minutos * Concentro a 8 minutos * Ciudad Judicial a 8 minutos * Planta Flex Norte (Av. Aviación y Sta. Margarita) a 15 minutos * ORACLE MDC Campus (Valle Real) a 15 minutos * Guadalajara Technology Park a 7 minutos * Parque Pinar Empresarial a 5 minutos * Intel Guadalajara Design Center a 12 minutos * Mercado de Ciudad Granja a 10 minutos * Parque Metropolitano y Centro Acuático a 15 minutos * Estadio Akron (Chivas) a 8 minutos * Distribuidor vial Los Cubos a 18 minutos * Hospital Angeles del Carmen a 20 minutos * Hospital Puerta de Hierro Andares a 20 minutos * Hospital Real San José Valle Real a 15 minutos * CUCBA UDG a 8 minutos * UVM Campus Zapopan a 8 minutos * Universidad Cuauhtémoc a 8 minutos * Colegio Once México a 8 minutos * Colegio Pedregal Bajío a 8 minutos * Colegio Franco Mexicano a 8 minutos * Instituto de Ciencias a 12 minutos * Summit School a 12 minutos * Colegio Finlandés a 12 minutos * Colegio SUBIRE a 12 minutos * TEC de Monterrey a 15 minutos * Universidad panamericana a 12 minutos.",Viterra Grupo Inmobiliario,I24-M-78107999,143630939,Publicado hace 339 días,1415 m² tot.,1415 m² cub.,,,,,A estrenar,Caseta de guardia,,,
5,Inm24,,01/04/2025,Terreno / Lote,364m²,,,venta,"ventaMN 7,680,400","Mantenimiento MN 3,640","Av. General Ramón Corona 1600,  Fraccionamiento Arauca, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.734251000000000,-103.466229800000000&zoom=16&markers=20.734251000000000,-103.466229800000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=E-Efdv_wcsbMEAibhOFS-y8s2Ms=&channel=rpfic-i24","Terreno en Venta en Arauca 2, Zapopan, Jalisco","Terreno en venta Arauca II, Zapopan, Jalisco, Lote 109 superficie de terreno 364 m². Excedente de área verde al frente (5 metros). Casa Club con 2 canchas de tenis, Cancha Multiusos (Vóley, fut rápido y básquet), Cancha de Squash, Alberca semi olímpica, amplia terraza en planta baja y en segundo nivel, salón de juegos, sala de cine VIP, Gimnasio con vestidores, sauna y vapor. El fraccionamiento cuenta con pista de jogging de más de 2km, y 40,000 metros de áreas verdes. Llegar es fácil, por su ubicación las vías de acceso son variadas, se encuentra a 1.23 Km. del cruce de Av. Aviación y Ramón Corona (Av. Santa Margarita), A unos cuanto metros Del Tecnológico de Monterrey Campus Norte de Guadalajara. A un costado del fraccionamiento Olivos Residencial. Una característica única cuenta con colindancia posterior con área verde, logrando con esto generar un ambiente de libertad y privacidad.El fraccionamiento -Arauca 2- esta ubicado al nor-poniente de la Zona Metropolitana de Guadalajara en la denominada Zona Real. Un fraccionamiento residencial exclusivo y propositivo, donde se mezcla un ambiente moderno con extensas áreas verdes...",RZC Inmobiliaria,2A8ORB,56938421,Publicado hace más de 1 año,364 m² tot.,,,,,,A estrenar,Caseta de guardia; M&sup2; de frente : 13; M&sup2; de fondo : 28; Forma del terreno : Regular,Seguridad privada,,
6,Inm24,,01/04/2025,Terreno / Lote,194m²,,,venta,"ventaMN 2,510,000","Mantenimiento MN 1,800","Terreno en Capital Norte,  Zapopan, Jalisco","https://maps.google.com/maps/api/staticmap?center=20.618093800000000,-103.444581400000004&zoom=16&markers=20.618093800000000,-103.444581400000004&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=GefAL9euOhhKVl-mFRQRhfSAQh0=&channel=rpfic-i24",Terreno en Capital Norte,"Terreno en Venta en Coto Exclusivo – Grand by Capital Norte ¡Oportunidad única de inversión en una de las zonas más exclusivas y de mayor plusvalía! Este terreno de 194.41 m² se encuentra dentro del exclusivo coto Grand by Capital Norte, ofreciendo un estilo de vida privilegiado rodeado de naturaleza y comodidades de primer nivel. •	Medidas: 25.89 metros de frente por 18.08 metros de fondo •	Ubicación privilegiada: en esquina y con excelente orientación •	Acceso controlado: caseta de vigilancia 24/7 para tu tranquilidad •	Amenidades de lujo: •	Casa club con terraza en planta baja y alta •	Alberca •	Gimnasio totalmente equipado •	Cancha de fútbol •	Área de asadores •	Hermosos paisajes arbolados ideales para disfrutar los atardeceres Este terreno es ideal para construir la casa de tus sueños en un entorno seguro, moderno y rodeado de naturaleza. ¡Agenda tu cita y conoce esta excelente oportunidad!",Piso 90,PLA6913446,146190724,Publicado hace 17 días,194 m² tot.,194 m² cub.,,,,,A estrenar,,,,
7,Inm24,,01/04/2025,Terreno / Lote,582m²,,,venta,"ventaMN 15,990,000",,"Lomas de Los 8 Robles 2750 11,  Lomas Del Bosque, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.714271300000000,-103.407243800000003&zoom=16&markers=20.714271300000000,-103.407243800000003&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=tJUarqqlmeq0O_yTxA09q7Xsz14=&channel=rpfic-i24","Terreno en Venta Fraccionamiento Atlas Colomos, Coto Los Robles","¡Excelente oportunidad de inversión! Este terreno de 582.62 m2 está ubicado en un coto con todas las facilidades. Podrás disfrutar de la seguridad que brinda una caseta de guardia y la comodidad de tener una casa club con alberca, cancha de tenis y salón de usos múltiples. Además, ¡estacionarse nunca fue tan fácil! Con todos estos servicios a tu disposición, disfrutarás de un estilo de vida único. ¿Lo mejor? Su ubicación a tan solo un minuto del Club Atlas Colomos, lo convierte en el punto perfecto para construir el hogar de tus sueños. ¡Agenda tu vista hoy mismo y descubre todas las posibilidades que este terreno tiene para ofrecerte! Cuenta con proyecto arquitectónico WIG: p3BRhMc",Guia Excelencia Inmobiliaria,5RRGQA,144114190,Publicado hace 277 días,582 m² tot.,,,,,,,Caseta de guardia,,,
8,Inm24,,01/04/2025,Terreno / Lote,333m²,,,venta,"ventaMN 24,500,000",,"Paseo de los Virreyes 4301,  Villa Universitaria, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.697250300000000,-103.413679500000000&zoom=16&markers=20.697250300000000,-103.413679500000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=6WPV42AED2D0-Ie3mJOidkgO31o=&channel=rpfic-i24",Terreno en Venta con Acceso a Cañada,"OPORTUNIDAD ÚNICA PARA INVERSIONISTAS Y DESARROLLADORES Ubicada en la exclusiva zona de Villa Universitaria, Zapopan, esta propiedad es un diamante en bruto con un potencial extraordinario para remodelación o flipping. Con un terreno de 741 m² y una ubicación privilegiada con acceso directo a la cañada, esta es la oportunidad perfecta para crear una residencia moderna, elegante y de alto valor en el mercado. PUNTOS CLAVE QUE HACEN DE ESTA PROPIEDAD UNA INVERSIÓN INIGUALABLE: - Ubicación premium en una de las zonas más exclusivas de Zapopan, con alta plusvalía. - Vista inigualable y acceso a la cañada, rodeado de áreas verdes. - Gran extensión de terreno, ideal para un proyecto arquitectónico de primer nivel. - Oportunidad de remodelación total, perfecta para inversionistas en flipping. - Posibilidad de diseñar una casa moderna y sofisticada, con acabados a la medida del mercado premium.",Columna Real Estate Agency,T-066,145930832,Publicado hace 48 días,731 m² tot.,333 m² cub.,,,,,1 años,,,,
9,Inm24,,01/04/2025,Terreno / Lote,1028m²,,,venta,"ventaMN 19,500,000",,"avenida del bosque   60 159,  Ayamonte, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.674366949999999,-103.466856599999999&zoom=16&markers=20.674366949999999,-103.466856599999999&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=TmCXUVY-WUSZC4IhYjWTgeKdQTU=&channel=rpfic-i24","Terreno en Venta Ayamonte, Zapopan.","Terreno en Venta El Bajío, ubicado en el coto ayamonte. Características: LOTE 159 Terreno: 1,028.97 M2 Uso de suelo: Habitacional. Amenidades del Fraccionamiento: - Acceso controlado las 24 horas. - Casa club - Alberca - Terrazas panorámicas - Gimnasio - Área de negocios - Lobby - Campo de golf de 9 hoyos - Restaurant /Bar - Baños con vestidores, regaderas, vapor y sauna. *Cambios de información o precios sin previo aviso. WIG: p4mT8Ri",FINCA INMUEBLES,5QS2EM,143318242,Publicado hace más de 1 año,1028 m² tot.,,,,,,A estrenar,Forma del terreno : Regular,Seguridad privada,,
10,Inm24,,01/04/2025,Terreno / Lote,443m²,,,venta,"ventaMN 9,967,500",,"Ramon corona,  Fraccionamiento Arauca, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.734699684068320,-103.462743550347900&zoom=16&markers=20.734699684068320,-103.462743550347900&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=7xDXPPVy_q-5mR-IOUAIc1MmAqQ=&channel=rpfic-i24",Terreno en Esquina en Venta Arauca 2 Zona Real Zapopan,"Increible terreno en Venta ubicado en exclusivo Condominio de Arauca 2 Residencia en la Zona Real de Zapopan. En una de las zonas de mayor crecimiento y plusvalía de la ciudad, y con las mejores escuelas alrededor como el Tec. de Monterrey, el instituto de Ciencias, Subire, colegio Finlandés entre otros. El Condominio cuenta con acceso controlado, seguridad las 24 hrs, amplias áreas verdes, un ambiente boscoso único en la zona. Casa club con Alberca, Gimnasio, cancha de Squash, futbol, tenis, sala de Cine, entre otras amenidades. El terreno se encuentra ubicado en una esquina, con un área de servidumbre trasera increible. Una medida total de 443.33mts2 16.64 mts de frente 28.04 mts de fondo Precio X mt2 $22,500 Pesos. Altura Maxima Real Estate.",ALTURA MAXIMA BIENES RAICES,5TOATA,145647880,Publicado hace 81 días,443 m² tot.,,,,,,1 años,Caseta de guardia; Forma del terreno : Regular,Seguridad privada,,
