amenidad,n_propiedades,ratio_presencia,conteo_presencia
balcon,9337,0.12177358894719932,1137
terraza,9337,0.23187319267430653,2165
roof_garden,9337,0.0,0
jardin,9337,0.0014994109456999037,14
patio,9337,0.15658134304380422,1462
bodega,9337,0.0,0
sotano,9337,0.04251901038877584,397
despensa,9337,0.0,0
closet,9337,0.22544714576416408,2105
estudio,9337,0.16493520402698938,1540
vestidor,9337,0.0,0
cuarto_tv,9337,0.12648602334797043,1181
biblioteca,9337,0.0,0
bar,9337,0.0,0
desayunador,9337,0.0,0
cuarto_servicio,9337,0.0,0
cuarto_lavado,9337,0.15840205633501125,1479
doble_altura,9337,0.0,0
loft,9337,0.0,0
penthouse,9337,0.0,0
duplex,9337,0.0023562172003855626,22
alberca,9337,0.339295276855521,3168
jacuzzi,9337,0.10731498339937881,1002
sauna,9337,0.0,0
vapor,9337,0.0,0
gimnasio,9337,0.2819963585734176,2633
spa,9337,0.0,0
home_theater,9337,0.0,0
cava,9337,0.0,0
cancha_tenis,9337,0.01895683838492021,177
cancha_squash,9337,0.0,0
cancha_padel,9337,0.0,0
cancha_futbol,9337,0.0,0
cancha_basquet,9337,0.0,0
area_juegos,9337,0.21323765663489344,1991
ping_pong,9337,0.0,0
billar,9337,0.0,0
jardin_privado,9337,0.19010388775838064,1775
asador,9337,0.16011566884438255,1495
area_parrillas,9337,0.0,0
fogata,9337,0.0,0
kiosco,9337,0.0,0
seguridad,9337,0.001606511727535611,15
caseta,9337,0.0,0
portero,9337,0.0002142015636714148,2
circuito_cerrado,9337,0.0009639070365213666,9
alarma,9337,0.0,0
intercomunicador,9337,0.0,0
elevador,9337,0.21184534647102923,1978
montacargas,9337,0.0,0
escaleras_electricas,9337,0.0,0
aire_acondicionado,9337,0.2330513012744993,2176
calefaccion,9337,0.05344329013601799,499
chimenea,9337,0.01606511727535611,150
ventilacion,9337,0.0,0
cocina_integral,9337,0.5781300203491485,5398
linea_blanca,9337,0.051729677626646674,483
lavavajillas,9337,0.0,0
horno,9337,0.0,0
microondas,9337,0.0,0
refrigerador,9337,0.0,0
estufa,9337,0.0,0
campana,9337,0.0,0
internet,9337,0.12455820927492771,1163
cable,9337,0.0,0
telefono,9337,0.0,0
gas_natural,9337,0.0,0
cisterna,9337,0.0009639070365213666,9
planta_emergencia,9337,0.0,0
ups,9337,0.0,0
salon_eventos,9337,0.0,0
salon_usos_multiples,9337,0.1490842883153047,1392
salon_fiestas,9337,0.0004284031273428296,4
co_working,9337,0.0,0
business_center,9337,0.0,0
sala_juntas,9337,0.0,0
auditorio,9337,0.0,0
vista_panoramica,9337,0.0,0
frente_al_mar,9337,0.0,0
pet_friendly,9337,0.26228981471564744,2449
acceso_discapacitados,9337,0.18314233693905965,1710
smart_home,9337,0.0,0
paneles_solares,9337,0.0,0
amueblado,9337,0.03170183142336939,296
semi_amueblado,9337,0.0,0
sin_muebles,9337,0.0,0
obra_nueva,9337,0.0,0
remodelado,9337,0.0,0
obra_gris,9337,0.0,0
a_estrenar,9337,0.0,0
esquina,9337,0.0,0
planta_baja,9337,0.0,0
ultimo_piso,9337,0.0,0
frente,9337,0.0,0
servicio_limpieza,9337,0.0,0
administracion,9337,0.0,0
conserje,9337,0.0,0
PxM2,9337,1.0,9337
