Ciudad,Colonia,operacion,tipo_propiedad,precio_q5,precio_q10,precio_q25,precio_q50,precio_q75,precio_q90,precio_q95,area_m2_q5,area_m2_q10,area_m2_q25,area_m2_q50,area_m2_q75,area_m2_q90,area_m2_q95,PxM2_q5,PxM2_q10,PxM2_q25,PxM2_q50,PxM2_q75,PxM2_q90,PxM2_q95
Desconocido,Desconocida,Ven,Cas,2569500.0000000005,4721000.0,7337500.0,8500000.0,10312500.0,19943768.400000002,28656642.249999963,114.55,137.1,197.5,235.0,320.0,447.40000000000015,533.4999999999997,19856.4114010989,21315.45762304922,31281.736861136003,35800.21572463768,43984.84848484848,53670.65078349856,62931.98903859328
Desconocido,Desconocida,Ven,Ofc,24990000.0,24990000.0,24990000.0,24990000.0,24990000.0,24990000.0,24990000.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,55533.333333333336,55533.333333333336,55533.333333333336,55533.333333333336,55533.333333333336,55533.333333333336,55533.333333333336
Desconocido,Desconocida,Ven,Terreno / Lote,4273500.0,5207000.0,8007500.0,12675000.0,16837500.0,19335000.0,20167500.0,651.0,662.0,695.0,750.0,1525.0,1990.0,2145.0,2996.956521739131,4541.739130434783,9176.08695652174,16900.0,24856.25,29630.0,31221.25
Gdl,1 de Mayo,Ven,Cas,1724904.0,1724904.0,1724904.0,1724904.0,1724904.0,1724904.0,1724904.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,6364.959409594096,6364.959409594096,6364.959409594096,6364.959409594096,6364.959409594096,6364.959409594096,6364.959409594096
Gdl,18 de Marzo,Ven,Cas,3980000.0,3980000.0,3980000.0,3980000.0,3980000.0,3980000.0,3980000.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,36181.81818181818,36181.81818181818,36181.81818181818,36181.81818181818,36181.81818181818,36181.81818181818,36181.81818181818
Gdl,5 de Mayo,Ven,Cas,2490000.0,2490000.0,2490000.0,2490000.0,2490000.0,2490000.0,2490000.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,12450.0,12450.0,12450.0,12450.0,12450.0,12450.0,12450.0
Gdl,8 de Julio,Ven,Cas,2500000.0,2500000.0,2500000.0,2500000.0,3250000.0,4600000.000000001,5049999.999999999,101.5,103.0,107.5,115.0,178.25,283.1,318.0499999999999,16368.626062322945,17156.51558073654,19520.18413597733,21780.30303030303,23295.454545454544,24318.18181818182,24659.090909090908
Gdl,8 de Julio,Ven,Local comercial,18800000.0,18800000.0,18800000.0,18800000.0,18800000.0,18800000.0,18800000.0,688.0,688.0,688.0,688.0,688.0,688.0,688.0,27325.58139534884,27325.58139534884,27325.58139534884,27325.58139534884,27325.58139534884,27325.58139534884,27325.58139534884
Gdl,8 de Julio,Ven,Terreno / Lote,5800000.0,5800000.0,5800000.0,5800000.0,5800000.0,5800000.0,5800000.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,16430.594900849857,16430.594900849857,16430.594900849857,16430.594900849857,16430.594900849857,16430.594900849857,16430.594900849857
Gdl,Aaron Joaquín,Ven,Cas,2500000.0,2500000.0,2500000.0,2500000.0,4095000.0,5052000.0,5371000.0,117.8,125.6,149.0,188.0,214.0,229.6,234.79999999999998,14240.812379110252,15183.75241779497,18012.572533849132,22727.272727272728,23217.80303030303,23512.12121212121,23610.22727272727
Gdl,Agustín Yáñez (La Florida),Ven,Cas,6600000.0,6600000.0,6600000.0,6600000.0,6600000.0,6600000.0,6600000.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,35106.382978723406,35106.382978723406,35106.382978723406,35106.382978723406,35106.382978723406,35106.382978723406,35106.382978723406
Gdl,Alcalde Barranquitas,Ven,Cas,7015500.0,7041000.0,7117500.0,7245000.0,7372500.0,7449000.0,7474500.0,207.45,213.9,233.25,265.5,297.75,317.1,323.55,21988.398914518315,22794.979647218453,25214.721845318858,29247.62550881954,33280.52917232022,35700.271370420625,36506.85210312076
Gdl,Alcalde Barranquitas,Ven,Dep,2270000.0,2340000.0,2587500.0,3491307.5,3840000.0,4092000.0,4246000.0,64.4,65.8,67.0,72.5,82.5,90.0,90.0,33880.59701492538,34925.37313432836,40502.842928216065,44760.35256410256,47847.22222222222,49589.3864013267,50406.63349917081
Gdl,Aldama Tetlán,Ven,Cas,2415500.0,2471000.0,2637500.0,2790000.0,3637500.0,5055000.000000001,5527499.999999999,95.35,99.7,112.75,166.0,284.0,413.6,456.7999999999999,12216.509433962265,12433.018867924528,13082.547169811322,18096.698113207545,23546.016483516483,24978.846153846152,25456.45604395604
Gdl,Americana,Ven,Cas,5960000.0,7320000.0,9990000.0,12000000.0,21553072.0,31286376.0,38304187.19999997,151.0,179.4,272.0,360.0,520.0,610.2000000000002,649.8,24988.404638144744,31481.997677119627,37848.605577689246,42279.41176470588,52500.0,57061.31690821255,60651.893351170555
Gdl,Americana,Ven,Dep,3012557.2,3155524.8,3800000.0,4400000.0,5665591.0,6391677.200000002,11270683.999999996,41.6,46.4,56.0,71.0,94.0,119.0,191.99999999999991,47750.65263157895,51141.28776319805,56985.48387096774,62609.55319148936,69245.28301886792,81606.43422756708,88755.7052631579
Gdl,Americana,Ven,Local comercial,3752000.0,6114000.0,13200000.0,25000000.0,30450000.0,40380000.0,43690000.0,126.2,219.4,499.0,558.0,559.0,1154.8000000000002,1353.3999999999999,27219.025680226434,27985.14554882962,30283.505154639177,42121.21212121212,44722.7191413238,50631.02314040049,52600.45780675938
Gdl,Americana,Ven,Ofc,2459999.1,3319999.2,5899999.5,10200000.0,14100000.0,16440000.0,17220000.0,102.0,153.0,306.0,561.0,686.5,761.8,786.9,18580.38513210927,18978.952082400356,20174.652933273625,22167.487684729065,26770.008548246886,29531.521066357574,30452.02523906114
Gdl,Analco,Ven,Cas,4800000.0,4800000.0,4800000.0,4800000.0,4800000.0,4800000.0,4800000.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,10212.765957446809,10212.765957446809,10212.765957446809,10212.765957446809,10212.765957446809,10212.765957446809,10212.765957446809
Gdl,Analco,Ven,Dep,1302000.0,1302000.0,1302000.0,1302000.0,1302000.0,1302000.0,1302000.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,23250.0,23250.0,23250.0,23250.0,23250.0,23250.0,23250.0
Gdl,Analco,Ven,Local comercial,2430000.0,2430000.0,2430000.0,2430000.0,2430000.0,2430000.0,2430000.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,9529.411764705885,9529.411764705885,9529.411764705885,9529.411764705885,9529.411764705885,9529.411764705885,9529.411764705885
Gdl,Arandas,Ven,Cas,3915000.0,3930000.0,3975000.0,4050000.0,4125000.0,4170000.0,4185000.0,302.85,305.7,314.25,328.5,342.75,351.3,354.15,11078.151260504203,11231.932773109243,11693.27731092437,12462.18487394958,13231.09243697479,13692.436974789916,13846.218487394957
Gdl,Arboledas Sur,Ven,Cas,2200000.0,2210000.0,2240000.0,2290000.0,2340000.0,2370000.0,2380000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,44000.0,44200.0,44800.0,45800.0,46800.0,47400.0,47600.0
Gdl,Arcos,Ven,Cas,16591000.0,17692000.0,20995000.0,26500000.0,29750000.0,31700000.0,32350000.0,567.2,576.4,604.0,650.0,714.0,752.4,765.2,29060.79404466501,30361.731458505652,34264.54370002757,40769.230769230766,41592.841605695074,42087.00810757366,42251.73027486652
Gdl,Arcos,Ven,Dep,2750100.0,2814000.0,2885000.0,3240000.0,3780966.5,4406000.0,4595000.0,44.4,45.0,48.0,60.0,74.0,80.2,88.49999999999997,43037.73584905661,44578.45712920946,48491.379310344826,54415.58441558442,64722.22222222222,67116.66666666667,69116.66666666666
Gdl,Arcos,Ven,Local comercial,8500000.0,8500000.0,8500000.0,8500000.0,8500000.0,8500000.0,8500000.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,67460.31746031746,67460.31746031746,67460.31746031746,67460.31746031746,67460.31746031746,67460.31746031746,67460.31746031746
Gdl,Arcos,Ven,Terreno / Lote,26500000.0,26500000.0,26500000.0,26500000.0,26500000.0,26500000.0,26500000.0,649.0,649.0,649.0,649.0,649.0,649.0,649.0,40832.04930662558,40832.04930662558,40832.04930662558,40832.04930662558,40832.04930662558,40832.04930662558,40832.04930662558
Gdl,Arcos Vallarta,Ven,Cas,7361250.0,7597500.0,7942500.0,9995000.0,15987500.0,23105000.0,24452499.999999996,257.7,265.4,282.5,337.0,524.75,670.6999999999999,754.3499999999999,21995.01439729249,22736.622800034573,25489.211492192873,30866.107452986405,33139.58041958042,38844.82517482517,41372.41258741258
Gdl,Arcos Vallarta,Ven,Dep,2696132.25,2910987.0,3987375.0,4663647.5,5492500.0,6925000.0,7212807.0,39.75,46.0,60.0,70.5,100.25,125.0,148.0,42808.44155844156,44800.45776113192,53945.378151260506,61172.44766009852,71101.82142857142,74224.66422466421,84553.39068825911
Gdl,Arcos Vallarta,Ven,Local comercial,9130107.5,9451265.0,10414737.5,12475000.0,14397500.0,15113000.0,15351500.0,213.1,215.2,221.5,316.5,455.75,541.7,570.3499999999999,25598.061720514583,27823.836295787096,34501.160021604635,39979.68125638881,43478.100315955766,46591.240126382305,47628.95339652448
Gdl,Arcos Vallarta,Ven,Ofc,16126000.0,16262000.0,16670000.0,17350000.0,23139000.0,26612400.0,27770200.0,477.1,482.2,497.5,523.0,608.5,659.8,676.9,25557.36137667304,26114.72275334608,27786.8068833652,30573.613766730403,45930.87467997537,55145.231227922355,58216.68341057134
Gdl,Arcos Vallarta,Ven,Terreno / Lote,14820000.0,15140000.0,16100000.0,17700000.0,19300000.0,20260000.0,20580000.0,334.8,341.6,362.0,396.0,430.0,450.4,457.2,32873.4756097561,34496.95121951219,39367.37804878049,47484.756097560974,55602.13414634146,60472.560975609755,62096.03658536585
Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Cas,3507000.0,3594000.0,3855000.0,4250000.0,5212500.0,6495000.0,6922499.999999999,126.2,130.4,143.0,165.0,183.75,190.5,192.75,23615.38461538462,24153.846153846156,25769.230769230773,27349.726775956286,31232.923497267762,36993.16939890711,38913.25136612022
Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,2313662.5,2541725.0,2710000.0,3450000.0,3697500.0,4359010.0,4691544.999999999,50.9,55.0,57.0,74.0,83.5,93.6,107.59999999999992,38714.28571428572,39761.77777777778,44160.02747252747,46621.62162162162,48312.96992481203,50533.333333333336,50951.67708978328
