Ciudad,Colonia,operacion,tipo_propiedad,n_propiedades,precio_min,precio_mediana,precio_media,precio_max,precio_std,precio_iqr,precio_skew_aprox,area_m2_min,area_m2_mediana,area_m2_media,area_m2_max,area_m2_std,area_m2_iqr,area_m2_skew_aprox,PxM2_min,PxM2_mediana,PxM2_media,PxM2_max,PxM2_std,PxM2_iqr,PxM2_skew_aprox,precio_rango,area_m2_rango,recamaras_min,recamaras_media,recamaras_max,estacionamientos_min,estacionamientos_media,estacionamientos_max,mantenimiento_media,clasificacion_mercado,precio_metodo,precio_representativo,area_m2_metodo,area_m2_representativo,PxM2_metodo,PxM2_representativo
Desconocido,Desconocida,Ven,Cas,132,1500000.0,8500000.0,10576012.212121213,60000000.0,7903446.112232578,2975000.0,0.2616749137161303,80.0,235.0,280.04545454545456,1178.0,163.02439228329865,122.5,0.2752625101577482,7430.997876857749,35800.21572463768,37613.84017588541,77292.775,12851.580765163411,12703.111623712477,0.14058516490619982,58500000.0,1098.0,2.0,3.8257575757575757,8.0,1.0,2.9224806201550386,10.0,168469.0606060606,Medio,mediana_IQR,10576012.212121213,mediana_IQR,280.04545454545456,mediana_IQR,37613.84017588541
Desconocido,Desconocida,Ven,Ofc,1,24990000.0,24990000.0,24990000.0,24990000.0,0.0,0.0,0.0,450.0,450.0,450.0,450.0,0.0,0.0,0.0,55533.333333333336,55533.333333333336,55533.333333333336,55533.333333333336,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,,,,,Medio,no_estadistica,,no_estadistica,,no_estadistica,
Desconocido,Desconocida,Ven,Terreno / Lote,3,3340000.0,12675000.0,12338333.333333334,21000000.0,7213594.034105945,8830000.0,-0.03810682732435425,640.0,750.0,1230.0,2300.0,757.9357932349327,830.0,0.5170864898359613,1452.1739130434785,16900.0,17054.891304347828,32812.5,12803.26798275043,15680.16304347826,0.00987780780546163,17660000.0,1660.0,2.0,3.6666666666666665,5.0,6.0,7.5,9.0,,Medio,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,1 de Mayo,Ven,Cas,1,1724904.0,1724904.0,1724904.0,1724904.0,0.0,0.0,0.0,271.0,271.0,271.0,271.0,0.0,0.0,0.0,6364.959409594096,6364.959409594096,6364.959409594096,6364.959409594096,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,2.0,2.0,,Medio,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,18 de Marzo,Ven,Cas,1,3980000.0,3980000.0,3980000.0,3980000.0,0.0,0.0,0.0,110.0,110.0,110.0,110.0,0.0,0.0,0.0,36181.81818181818,36181.81818181818,36181.81818181818,36181.81818181818,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,,Económico,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,5 de Mayo,Ven,Cas,1,2490000.0,2490000.0,2490000.0,2490000.0,0.0,0.0,0.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0,12450.0,12450.0,12450.0,12450.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,,Premium,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,8 de Julio,Ven,Cas,4,2500000.0,2500000.0,3250000.0,5500000.0,1299038.105676658,750000.0,0.49999999999999967,100.0,115.0,170.75,353.0,105.45941162361945,70.75,0.4578151491390706,15580.736543909348,21780.30303030303,21035.33565112885,25000.0,3477.595103865412,3775.2704094772125,-0.1855192039574368,3000000.0,253.0,2.0,4.25,10.0,1.0,1.0,1.0,,Económico,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,8 de Julio,Ven,Local comercial,1,18800000.0,18800000.0,18800000.0,18800000.0,0.0,0.0,0.0,688.0,688.0,688.0,688.0,0.0,0.0,0.0,27325.58139534884,27325.58139534884,27325.58139534884,27325.58139534884,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,,,,,Medio,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,8 de Julio,Ven,Terreno / Lote,1,5800000.0,5800000.0,5800000.0,5800000.0,0.0,0.0,0.0,353.0,353.0,353.0,353.0,0.0,0.0,0.0,16430.594900849857,16430.594900849857,16430.594900849857,16430.594900849857,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,1.0,1.0,1.0,,Medio,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Aaron Joaquín,Ven,Cas,3,2500000.0,2500000.0,3563333.3333333335,5690000.0,1503780.421323391,1595000.0,0.5773502691896256,110.0,188.0,179.33333333333334,240.0,53.42492135906446,65.0,-0.13245323570447992,13297.872340425532,22727.272727272728,19911.15946701053,23708.33333333333,4693.420567999572,5205.230496453896,-0.48990854648445514,3190000.0,130.0,4.0,6.0,7.0,1.0,1.3333333333333333,2.0,,Premium,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Agustín Yáñez (La Florida),Ven,Cas,1,6600000.0,6600000.0,6600000.0,6600000.0,0.0,0.0,0.0,188.0,188.0,188.0,188.0,0.0,0.0,0.0,35106.382978723406,35106.382978723406,35106.382978723406,35106.382978723406,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,1.0,1.0,1.0,,Premium,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Alcalde Barranquitas,Ven,Cas,2,6990000.0,7245000.0,7245000.0,7500000.0,255000.0,255000.0,0.0,201.0,265.5,265.5,330.0,64.5,64.5,0.0,21181.81818181818,29247.62550881954,29247.62550881954,37313.432835820895,8065.807327001357,8065.807327001359,0.0,510000.0,129.0,4.0,4.0,4.0,3.0,3.0,3.0,,Económico,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Alcalde Barranquitas,Ven,Dep,8,2200000.0,3491307.5,3299076.875,4400000.0,743162.5882795496,1252500.0,-0.24195954873769215,63.0,72.5,75.25,90.0,10.12114123999858,15.5,0.2541600193270004,32835.82089552239,44760.35256410256,43481.710386938925,51223.880597014926,5955.941830133038,7344.379294006154,-0.20081798494988923,2200000.0,27.0,2.0,2.0,2.0,1.0,1.375,2.0,1000.0,Premium,mediana_rango,3299076.875,mediana_rango,75.25,mediana_rango,43481.710386938925
Gdl,Aldama Tetlán,Ven,Cas,4,2360000.0,2790000.0,3485000.0,6000000.0,1463224.1796799286,1000000.0,0.4113434318464063,91.0,166.0,230.75,500.0,161.74265825687422,171.25,0.3466936026591421,12000.0,18096.698113207545,18531.865540120256,25934.065934065933,5940.1813184549355,10463.469313705162,0.06344352577841593,3640000.0,409.0,2.0,3.5,5.0,1.0,1.5,2.0,,Económico,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Americana,Ven,Cas,25,5700000.0,12000000.0,17043200.84,41000000.0,9933268.22635279,11563072.0,0.49745032337302625,99.0,360.0,388.28,830.0,173.93757960831812,248.0,0.15930213604560306,18489.984591679506,42279.41176470588,43576.847756716925,70707.07070707071,11630.978524836593,14651.394422310754,0.10929626075956152,35300000.0,731.0,2.0,4.76,10.0,1.0,3.409090909090909,7.0,,Económico,mediana_IQR,17043200.84,mediana_IQR,388.28,mediana_IQR,43576.847756716925
Gdl,Americana,Ven,Dep,85,1730484.0,4400000.0,5539013.2,34999000.0,4442593.418422228,1865591.0,0.25487214174702133,30.0,71.0,85.90588235294118,360.0,54.467826127402795,38.0,0.27204943413094107,40714.28571428572,62609.55319148936,64832.11723665724,114375.81699346405,13073.312023122193,12259.79914790018,0.16900472157152105,33268516.0,330.0,1.0,1.7058823529411764,3.0,1.0,1.4615384615384615,4.0,2285.75,Premium,mediana_IQR,5539013.2,mediana_IQR,85.90588235294118,mediana_IQR,64832.11723665724
Gdl,Americana,Ven,Local comercial,5,1390000.0,25000000.0,23408000.0,47000000.0,15477094.559380323,17250000.0,-0.09200228651500063,33.0,558.0,640.2,1552.0,496.6606084641704,60.0,0.148032507203286,26452.905811623248,42121.21212121212,39630.04694038333,54569.89247311828,10162.038086194207,14439.213986684626,-0.21926368077998135,45610000.0,1519.0,1.0,4.6,8.0,1.0,1.0,1.0,1000.0,Premium,mediana_rango,23408000.0,mediana_rango,640.2,mediana_rango,39630.04694038333
Gdl,Americana,Ven,Ofc,3,1599999.0,10200000.0,9933333.0,18000000.0,6697927.125445453,8200000.5,-0.032507474277987655,51.0,561.0,474.6666666666667,812.0,316.61789098041965,380.5,-0.22263704450907945,18181.81818181818,22167.487684729065,23907.27842610398,31372.529411764703,5523.819304055829,6595.355614973261,0.25716503630361426,16400001.0,761.0,1.0,4.333333333333333,8.0,1.0,1.0,1.0,,Premium,no_estadistica,,no_estadistica,,no_estadistica,
Gdl,Analco,Ven,Cas,1,4800000.0,4800000.0,4800000.0,4800000.0,0.0,0.0,0.0,470.0,470.0,470.0,470.0,0.0,0.0,0.0,10212.765957446809,10212.765957446809,10212.765957446809,10212.765957446809,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,,,,,Medio,no_estadistica,,no_estadistica,,no_estadistica,
