estrato_area,estrato_precio,n,mediana_PxM2
"[0, 50)","[0, 1000000)",15,17021.27659574468
"[0, 50)","[1000000, 2000000)",49,41666.66666666666
"[0, 50)","[2000000, 3000000)",120,61802.07800387597
"[0, 50)","[3000000, 5000000)",79,77957.44680851063
"[0, 50)","[5000000, 7500000)",3,120408.16326530612
"[50, 80)","[0, 1000000)",9,14737.704918032789
"[50, 80)","[1000000, 2000000)",134,27041.666666666664
"[50, 80)","[2000000, 3000000)",273,39558.82352941176
"[50, 80)","[3000000, 5000000)",519,60652.17391304348
"[50, 80)","[5000000, 7500000)",104,77650.72765072764
"[50, 80)","[7500000, 10000000)",4,128302.58920940172
"[80, 120)","[0, 1000000)",3,8288.288288288288
"[80, 120)","[1000000, 2000000)",53,18425.925925925927
"[80, 120)","[2000000, 3000000)",181,27800.0
"[80, 120)","[3000000, 5000000)",481,42017.54385964912
"[80, 120)","[5000000, 7500000)",441,60771.76470588235
"[80, 120)","[7500000, 10000000)",97,80280.3738317757
"[80, 120)","[10000000, 15000000)",10,107418.0386245111
"[80, 120)","[15000000, 25000000)",2,167352.15338664612
"[120, 180)","[0, 1000000)",2,6127.966666666666
"[120, 180)","[1000000, 2000000)",13,13178.29457364341
"[120, 180)","[2000000, 3000000)",75,18897.63779527559
"[120, 180)","[3000000, 5000000)",331,27852.34899328859
"[120, 180)","[5000000, 7500000)",297,42968.75
"[120, 180)","[7500000, 10000000)",217,58333.333333333336
"[120, 180)","[10000000, 15000000)",71,76859.31176470588
"[120, 180)","[15000000, 25000000)",29,108391.6083916084
"[120, 180)","[25000000, 100000000)",1,170253.16455696203
"[180, 250)","[0, 1000000)",6,3098.40308370044
"[180, 250)","[1000000, 2000000)",6,7920.104211897526
"[180, 250)","[2000000, 3000000)",35,13020.833333333334
"[180, 250)","[3000000, 5000000)",151,21428.571428571428
"[180, 250)","[5000000, 7500000)",284,30501.53822780964
"[180, 250)","[7500000, 10000000)",291,38306.45161290323
"[180, 250)","[10000000, 15000000)",118,55583.90022675738
"[180, 250)","[15000000, 25000000)",35,91408.71689497716
"[180, 250)","[25000000, 100000000)",4,120816.18445031432
"[250, 400)","[0, 1000000)",1,3960.0
"[250, 400)","[1000000, 2000000)",2,6932.479704797048
"[250, 400)","[2000000, 3000000)",10,9876.65471060305
"[250, 400)","[3000000, 5000000)",68,14567.560099474993
"[250, 400)","[5000000, 7500000)",112,21513.492063492064
"[250, 400)","[7500000, 10000000)",261,29613.09523809524
"[250, 400)","[10000000, 15000000)",304,37467.947051282055
"[250, 400)","[15000000, 25000000)",205,55188.56857142857
"[250, 400)","[25000000, 100000000)",47,90322.58064516127
"[400, 600)","[1000000, 2000000)",1,4977.0825
"[400, 600)","[3000000, 5000000)",7,7971.014492753623
"[400, 600)","[5000000, 7500000)",17,13785.046728971962
"[400, 600)","[7500000, 10000000)",43,19750.0
"[400, 600)","[10000000, 15000000)",133,26700.0
"[400, 600)","[15000000, 25000000)",243,42475.0
"[400, 600)","[25000000, 100000000)",211,65011.82033096927
"[600, 1000)","[1000000, 2000000)",1,1648.3516483516485
"[600, 1000)","[2000000, 3000000)",1,2981.651376146789
"[600, 1000)","[5000000, 7500000)",4,7561.65278458272
"[600, 1000)","[7500000, 10000000)",8,12738.62805991962
"[600, 1000)","[10000000, 15000000)",37,18813.131313131315
"[600, 1000)","[15000000, 25000000)",79,28409.090909090908
"[600, 1000)","[25000000, 100000000)",155,51428.57142857143
"[1000, 10000)","[3000000, 5000000)",1,1452.1739130434785
"[1000, 10000)","[7500000, 10000000)",1,4395.0
"[1000, 10000)","[10000000, 15000000)",5,8000.0
"[1000, 10000)","[15000000, 25000000)",12,15145.07973850056
"[1000, 10000)","[25000000, 100000000)",68,39268.09210526316
