Ciudad,Colonia,operacion,tipo_propiedad,PxM2_median,periodo
Desconocido,Desconocida,Ven,Cas,35800.21572463768,Sep25
Desconocido,Desconocida,Ven,Ofc,55533.333333333336,Sep25
Desconocido,Desconocida,Ven,Terreno / Lote,16900.0,Sep25
Gdl,1 de Mayo,Ven,Cas,6364.959409594096,Sep25
Gdl,18 de Marzo,Ven,Cas,36181.81818181818,Sep25
Gdl,5 de Mayo,Ven,Cas,12450.0,Sep25
Gdl,8 de Julio,Ven,Cas,21780.30303030303,Sep25
Gdl,8 de Julio,Ven,Local comercial,27325.58139534884,Sep25
Gdl,8 de Julio,Ven,Terreno / Lote,16430.594900849857,Sep25
Gdl,Aaron Joaquín,Ven,Cas,22727.272727272728,Sep25
Gdl,Agustín Yáñez (La Florida),Ven,Cas,35106.382978723406,Sep25
Gdl,Alcalde Barranquitas,Ven,Cas,29247.62550881954,Sep25
Gdl,Alcalde Barranquitas,Ven,Dep,44760.35256410256,Sep25
Gdl,Aldama Tetlán,Ven,Cas,18096.698113207545,Sep25
Gdl,Americana,Ven,Cas,42279.41176470588,Sep25
Gdl,Americana,Ven,Dep,62609.55319148936,Sep25
Gdl,Americana,Ven,Local comercial,42121.21212121212,Sep25
Gdl,Americana,Ven,Ofc,22167.487684729065,Sep25
Gdl,Analco,Ven,Cas,10212.765957446809,Sep25
Gdl,Analco,Ven,Dep,23250.0,Sep25
Gdl,Analco,Ven,Local comercial,9529.411764705885,Sep25
Gdl,Arandas,Ven,Cas,12462.18487394958,Sep25
Gdl,Arboledas Sur,Ven,Cas,45800.0,Sep25
Gdl,Arcos,Ven,Cas,40769.230769230766,Sep25
Gdl,Arcos,Ven,Dep,54415.58441558442,Sep25
Gdl,Arcos,Ven,Local comercial,67460.31746031746,Sep25
Gdl,Arcos,Ven,Terreno / Lote,40832.04930662558,Sep25
Gdl,Arcos Vallarta,Ven,Cas,30866.107452986405,Sep25
Gdl,Arcos Vallarta,Ven,Dep,61172.44766009852,Sep25
Gdl,Arcos Vallarta,Ven,Local comercial,39979.68125638881,Sep25
Gdl,Arcos Vallarta,Ven,Ofc,30573.613766730403,Sep25
Gdl,Arcos Vallarta,Ven,Terreno / Lote,47484.756097560974,Sep25
Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Cas,27349.726775956286,Sep25
Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,46621.62162162162,Sep25
Gdl,Atlas,Ven,Cas,22765.734265734267,Sep25
Gdl,Atlas,Ven,Dep,43950.43421052631,Sep25
Gdl,Autocinema,Ven,Cas,27331.683076923073,Sep25
Gdl,Ayuntamiento,Ren,Dep,48701.2987012987,Sep25
Gdl,Ayuntamiento,Ven,Cas,32854.4061302682,Sep25
Gdl,Ayuntamiento,Ven,Dep,46695.09494179045,Sep25
Gdl,Balcones de Oblatos,Ven,Cas,23076.92307692308,Sep25
Gdl,Barragán Hernández,Ven,Dep,36820.22222222222,Sep25
Gdl,Barragán Hernández,Ven,Local comercial,25384.615384615383,Sep25
Gdl,Beatriz Hernández,Ven,Cas,18456.862745098042,Sep25
Gdl,Belisario Domínguez,Ven,Cas,15601.503759398496,Sep25
Gdl,Benito Juárez,Ven,Cas,15827.338129496404,Sep25
Gdl,Benito Juárez,Ven,Local comercial,17857.14285714286,Sep25
Gdl,Blanco y Cuellar,Ven,Cas,16227.272727272728,Sep25
Gdl,Blanco y Cuellar,Ven,Dep,34042.55319148936,Sep25
Gdl,Bosques de La Victoria,Ven,Cas,22008.547008547008,Sep25
Gdl,Bosques de La Victoria,Ven,Dep,40677.96610169492,Sep25
Gdl,Bosques del Boulevard,Ven,Cas,9790.20979020979,Sep25
Gdl,Centro,Ven,Cas,17538.412109676843,Sep25
Gdl,Centro,Ven,Dep,56776.96078431373,Sep25
Gdl,Centro,Ven,Local comercial,34002.62467191601,Sep25
Gdl,Centro Barranquitas,Ven,Cas,11450.381679389311,Sep25
Gdl,Chapalita,Ven,Cas,32386.22291021672,Sep25
Gdl,Chapalita,Ven,Dep,62888.88888888889,Sep25
Gdl,Chapalita,Ven,Ofc,19987.5,Sep25
Gdl,Chapultepec Country,Ven,Cas,30303.030303030304,Sep25
Gdl,Chapultepec Country,Ven,Dep,58986.44285714286,Sep25
Gdl,Circunvalación Américas,Ven,Dep,64395.833333333336,Sep25
Gdl,Circunvalación Belisario,Ven,Cas,22000.0,Sep25
Gdl,Circunvalación Oblatos,Ven,Cas,25720.939969644634,Sep25
Gdl,Circunvalación Oblatos,Ven,Terreno / Lote,14001.260239445495,Sep25
Gdl,Circunvalación Vallarta,Ven,Cas,50000.0,Sep25
Gdl,Circunvalación Vallarta,Ven,Dep,63899.04655870445,Sep25
Gdl,Circunvalación Vallarta,Ven,Ofc,54062.5,Sep25
Gdl,Colinas de Huentitán,Ven,Cas,34222.22222222222,Sep25
Gdl,Colinas de La Normal,Ven,Cas,19745.762711864405,Sep25
Gdl,Colinas de San Javier,Ven,Cas,47169.81132075472,Sep25
Gdl,Colinas de San Javier,Ven,Dep,56382.97872340425,Sep25
Gdl,Colomos,Ven,Cas,37235.294117647056,Sep25
Gdl,Colomos,Ven,Dep,50502.27047758443,Sep25
Gdl,Colomos Providencia,Ven,Cas,38479.432013769365,Sep25
Gdl,Colomos Providencia,Ven,Dep,67961.16504854368,Sep25
Gdl,Colomos Providencia,Ven,Local comercial,75000.0,Sep25
Gdl,Colon,Ven,Cas,17288.990825688074,Sep25
Gdl,Colon Industrial,Ven,Cas,22793.087869889314,Sep25
Gdl,Country Club,Ven,Cas,67827.58620689655,Sep25
Gdl,Country Club,Ven,Dep,64721.95084300233,Sep25
Gdl,Country Club,Ven,Ofc,63790.0,Sep25
Gdl,Del Bosque,Ven,Cas,26189.327220814735,Sep25
Gdl,Del Bosque,Ven,Dep,38823.52941176471,Sep25
Gdl,Del Fresno,Ven,Cas,20000.0,Sep25
Gdl,Del Fresno,Ven,Dep,44154.588709677424,Sep25
Gdl,Del Fresno,Ven,Local comercial,28933.55390129584,Sep25
Gdl,Del Fresno,Ven,Terreno / Lote,18527.131782945737,Sep25
Gdl,Del Sur,Ven,Cas,23323.938992042444,Sep25
Gdl,Dr. Valentín Gómez Farías,Ven,Dep,32240.0,Sep25
Gdl,Echeverria,Ven,Cas,16433.555825242718,Sep25
