colonia,municipio,precio_count,precio_mean,precio_median,precio_por_m2_mean,precio_por_m2_median
Puerta Las Lomas,Zapopan,52,17558469.31,14875000.0,72202.87,73578.67
La Ceiba,Zapopan,15,10611261.53,6200000.0,69837.09,72941.18
Providencia,Guadalajara,64,8713055.78,7416420.0,69354.52,70478.59
Circunvalación Américas,Guadalajara,16,6799318.5,6930000.0,68019.04,65002.3
Colomos Providencia,Guadalajara,110,7181200.19,6490000.0,66305.18,66661.1
Bosque de Las Lomas,Zapopan,3,12748140.0,5635800.0,66223.24,67092.86
Puerta de Plata,Zapopan,18,20842778.5,21240000.0,65075.11,65570.18
Santa María del Pueblito,Zapopan,5,3866683.2,3161000.0,65013.02,69631.91
Vallarta San Jorge,Guadalajara,22,8276220.5,7490000.0,64100.45,63676.33
Country Club,Guadalajara,50,9921565.8,9116500.0,63456.12,63069.7
Hacienda de Las Lomas,Zapopan,9,7156182.56,7390000.0,63378.06,62416.67
Puerta de Hierro,Zapopan,86,15315402.4,12870000.0,62208.77,65433.27
Juan Manuel,Guadalajara,10,10728064.1,5882345.0,62205.68,67978.26
Circunvalación Vallarta,Guadalajara,16,7538693.12,5315485.0,61083.67,62244.51
Cima Real,Zapopan,22,10363581.27,9369200.0,61003.35,61607.14
El Capullo,Zapopan,5,30200000.0,30000000.0,60400.31,73383.08
Poniente,Zapopan,42,6326611.9,6125000.0,60266.94,60244.3
Providencia 2a Sección,Guadalajara,19,9977674.84,7830000.0,60246.2,66306.44
Atlas Chapalita,Zapopan,7,5824285.71,5800000.0,59380.12,59793.81
Puerta del Valle,Zapopan,21,7162409.52,6390000.0,58939.15,60771.76
Villa Verona,Zapopan,35,12802553.69,12100000.0,58655.45,54804.8
Arcos Vallarta,Guadalajara,108,6088071.81,4823222.0,58623.01,60568.01
Americana,Guadalajara,96,6043262.44,4798000.0,58547.9,60107.53
Monraz,Guadalajara,22,9340989.32,8100000.0,58360.61,60501.27
Italia Providencia,Guadalajara,22,8819452.18,8099962.5,58159.74,62154.08
Ladrón de Guevara,Guadalajara,200,6615262.24,5246404.5,58013.94,59134.62
Reserva Real,Zapopan,10,16582500.0,15200000.0,57807.99,59745.1
Loma Real,Zapopan,4,20337500.0,19875000.0,57740.18,54493.23
Puerta Real,Zapopan,3,10315000.0,8995000.0,57478.44,51400.0
Prados Providencia,Guadalajara,40,7868585.92,7400000.0,57238.12,58140.86
Puerta del Tule,Zapopan,46,6849515.74,4937500.0,56668.63,61240.38
Puerta del Bosque,Zapopan,12,23365416.67,23400000.0,56576.96,58668.4
Lomas del Country,Guadalajara,19,6162590.0,4205995.0,56138.92,61111.11
Agraria,Zapopan,5,9078464.2,8771328.0,56124.04,72490.31
Chapultepec Country,Guadalajara,20,6187561.4,5720000.0,55742.32,58506.61
Vallarta Norte,Guadalajara,29,7698862.07,6893000.0,55642.54,55555.56
Colomos,Guadalajara,8,6907227.88,6869111.5,55344.77,54090.53
Valle Real,Zapopan,95,16292468.84,16000000.0,54902.69,55602.5
Santa Rita,Zapopan,5,7864000.0,8500000.0,54676.79,57823.13
Acacias,Zapopan,3,5458333.33,6190000.0,54174.75,61287.13
Sole Real,Zapopan,6,6870833.33,5490000.0,52914.7,54992.26
Real del Carmen,Zapopan,5,4498000.0,4750000.0,52656.71,47125.0
Del Valle,Zapopan,6,5803990.83,4265823.0,52628.82,48932.55
Vallarta,Guadalajara,10,8179842.5,6250000.0,52597.89,57247.47
El Zapote,Zapopan,4,4260535.0,4327670.0,52462.57,58408.18
Alcázar Oriente,Zapopan,7,23459427.14,26256999.0,52414.51,65011.82
Loma Bonita,Zapopan,34,5075790.0,4692578.5,52124.83,54141.76
Juan Manuel Vallarta,Zapopan,35,6224677.34,5723000.0,51656.98,52020.2
Chapalita,Guadalajara,56,7769616.27,6147000.0,51587.93,57190.06
Lomas de Guevara,Guadalajara,14,8914524.43,8753000.0,51014.36,49601.49
