variable_1,variable_2,correlation,abs_correlation
precio,superficie_m2,0.8559374534104366,0.8559374534104366
precio,precio_por_m2,0.06336517133770525,0.06336517133770525
precio,recamaras,0.5624528227985987,0.5624528227985987
precio,banos_totales,0.7087010814733128,0.7087010814733128
precio,estacionamientos,0.7121279610144406,0.7121279610144406
superficie_m2,precio_por_m2,-0.38117172132449356,0.38117172132449356
superficie_m2,recamaras,0.7510776759967586,0.7510776759967586
superficie_m2,banos_totales,0.7935732663951152,0.7935732663951152
superficie_m2,estacionamientos,0.7695675574078836,0.7695675574078836
precio_por_m2,recamaras,-0.4986318324873986,0.4986318324873986
precio_por_m2,banos_totales,-0.347002979976061,0.347002979976061
precio_por_m2,estacionamientos,-0.27264669551882526,0.27264669551882526
recamaras,banos_totales,0.798773254662394,0.798773254662394
recamaras,estacionamientos,0.6535438668748416,0.6535438668748416
banos_totales,estacionamientos,0.6969426859231289,0.6969426859231289
