variable_1,variable_2,correlation,abs_correlation
precio,superficie_m2,0.7942798765700003,0.7942798765700003
precio,precio_por_m2,0.21902251362393393,0.21902251362393393
precio,recamaras,0.43992738366040357,0.43992738366040357
precio,banos_totales,0.6139056964255782,0.6139056964255782
precio,estacionamientos,0.6554003477235782,0.6554003477235782
superficie_m2,precio_por_m2,-0.29385008315868844,0.29385008315868844
superficie_m2,recamaras,0.6316746793713531,0.6316746793713531
superficie_m2,banos_totales,0.7063968623769936,0.7063968623769936
superficie_m2,estacionamientos,0.7023294034512009,0.7023294034512009
precio_por_m2,recamaras,-0.44159358387525244,0.44159358387525244
precio_por_m2,banos_totales,-0.23757589793584222,0.23757589793584222
precio_por_m2,estacionamientos,-0.12818628295382115,0.12818628295382115
recamaras,banos_totales,0.7160097761844525,0.7160097761844525
recamaras,estacionamientos,0.5588822748583973,0.5588822748583973
banos_totales,estacionamientos,0.6277530753144438,0.6277530753144438
