colonia,municipio,count,precio_mediano,longitud_centro,latitud_centro
27 de Septiembre,Zapopan,7,3800000.0,-103.360531,20.725906
8 de Julio,Guadalajara,6,2500000.0,-103.355275,20.64626
Acacias,Zapopan,3,6190000.0,-103.412354,20.676793
Agraria,Zapopan,5,8771328.0,-103.382914,20.712425
Agrícola,Zapopan,3,2800000.0,-103.430483,20.615306
Alamitos,Zapopan,6,5850000.0,-103.437544,20.76309
Albaterra,Zapopan,7,1195000.0,-103.451909,20.85189
Alcalde Barranquitas,Guadalajara,11,3800000.0,-103.343991,20.692701
Alcázar Oriente,Zapopan,7,26256999.0,-103.426253,20.69581
Alcázar Poniente,Zapopan,11,17716779.0,-103.427263,20.695421
Aldama Tetlán,Guadalajara,4,2545000.0,-103.279195,20.658851
Alianza de Cazadores Diana,Zapopan,11,10400000.0,-103.517518,20.727061
Alicante,Zapopan,21,4500000.0,-103.411159,20.787801
Alma Terra,Zapopan,5,1790000.0,-103.476476,20.783264
Altamira,Zapopan,14,13150000.0,-103.389212,20.712288
Amaranto,Zapopan,11,1800000.0,-103.454364,20.810056
Americana,Guadalajara,96,4798000.0,-103.367849,20.67212
Analco,Guadalajara,3,2430000.0,-103.342555,20.66785
Arauca I,Zapopan,29,15100000.0,-103.463024,20.734101
Arauca II,Zapopan,12,19871499.5,-103.465807,20.734728
Arboreto Residencial,Zapopan,8,2880000.0,-103.467738,20.78301
Arcos,Guadalajara,20,3558436.0,-103.378954,20.66806
Arcos Vallarta,Guadalajara,108,4823222.0,-103.381264,20.673916
Arcos de Guadalupe,Zapopan,36,8400000.0,-103.43501,20.665566
Arcos de Zapopan,Zapopan,8,1450000.0,-103.407465,20.741951
Arenales Tapatíos,Zapopan,9,2300000.0,-103.459645,20.633369
Argenta Parque Residencial,Zapopan,25,5800000.0,-103.396644,20.769424
Artesanos (Sagrada Familia y/o Jesús),Guadalajara,32,3697500.0,-103.356518,20.688583
Atemajac del Valle,Zapopan,12,3820000.0,-103.356629,20.718647
Atlas,Guadalajara,6,2990609.0,-103.329263,20.646122
Atlas Chapalita,Zapopan,7,5800000.0,-103.431533,20.658759
Atlas Colomos,Zapopan,7,14495000.0,-103.402833,20.715824
Autódromo,Zapopan,18,3194000.0,-103.482801,20.618147
Ayamonte,Zapopan,17,18000000.0,-103.466039,20.674238
Ayuntamiento,Guadalajara,17,4390000.0,-103.371643,20.692817
Azaleas,Zapopan,13,15900000.0,-103.44779,20.606572
Barragán Hernández,Guadalajara,4,2576623.5,-103.344298,20.664639
Base Aérea Militar No 5,Zapopan,80,7795000.0,-103.466709,20.730486
Belisario Domínguez,Guadalajara,3,3850000.0,-103.321619,20.69333
Benito Juárez,Zapopan,4,4100000.0,-103.339727,20.733058
Boreales,Zapopan,26,4640000.0,-103.396095,20.755258
Bosque de Las Lomas,Zapopan,3,5635800.0,-103.426655,20.698472
Bosque de Valdepeñas,Zapopan,3,3688000.0,-103.402493,20.760934
Bosques,Zapopan,6,4315000.0,-103.408368,20.768666
Bosques Vallarta,Zapopan,124,7500000.0,-103.475862,20.719612
Bosques de La Victoria,Guadalajara,8,6500000.0,-103.391852,20.645211
Bosques de San Gonzalo,Zapopan,8,2925000.0,-103.432514,20.774441
Bosques de San Isidro (Las Cañadas),Zapopan,79,9600000.0,-103.366397,20.780891
Bosques del Centinela,Zapopan,7,4540000.0,-103.380221,20.751428
Callejón del Parque,Zapopan,3,13500000.0,-103.431315,20.69169
Camino Real,Zapopan,25,8890000.0,-103.413419,20.670846
Campo Real,Zapopan,24,1945000.0,-103.44348,20.789817
Canteras del Centinela,Zapopan,4,3930000.0,-103.384321,20.763309
Carrara,Zapopan,18,4235000.0,-103.414427,20.789379
Cañadas,Zapopan,6,7122000.0,-103.400191,20.771301
Cañadas de San Lorenzo,Zapopan,11,3499000.0,-103.406636,20.754011
Centro,Guadalajara,4,9373125.0,-103.350217,20.687212
Centro,Zapopan,19,5000000.0,-103.391334,20.721221
Chapalita,Guadalajara,56,6147000.0,-103.397283,20.664734
Chapalita Inn,Zapopan,7,5250000.0,-103.444331,20.657604
Chapalita Las Fuentes,Zapopan,7,5400000.0,-103.427167,20.655483
Chapalita Oriente,Zapopan,12,12400000.0,-103.405117,20.664903
Chapalita Sur,Zapopan,9,12900000.0,-103.402205,20.65905
Chapalita de Occidente,Zapopan,16,11445000.0,-103.425315,20.65873
Chapultepec Country,Guadalajara,20,5720000.0,-103.367605,20.695705
Cima Real,Zapopan,22,9369200.0,-103.435065,20.723731
Circunvalación Américas,Guadalajara,16,6930000.0,-103.376026,20.697616
Circunvalación Belisario,Guadalajara,3,2700000.0,-103.315654,20.694642
Circunvalación Oblatos,Guadalajara,6,6749860.0,-103.299354,20.68696
Circunvalación Vallarta,Guadalajara,16,5315485.0,-103.384494,20.681752
Ciudad Bugambilias,Zapopan,186,9300000.0,-103.460129,20.60848
Ciudad Granja,Zapopan,172,4390000.0,-103.450265,20.681172
