bin_min,bin_max,count,percentage
791.6666666666666,3317.047817047817,10,0.13170025023047544
3317.047817047817,5842.428967428968,12,0.1580403002765705
5842.428967428968,8367.810117810117,57,0.75069142631371
8367.810117810117,10893.191268191267,93,1.2248123271434215
10893.191268191267,13418.572418572418,184,2.423284604240748
13418.572418572418,15943.953568953568,159,2.0940339786645596
15943.953568953568,18469.334719334718,175,2.3047543790333203
18469.334719334718,20994.71586971587,266,3.5032266561306464
20994.71586971587,23520.097020097022,380,5.004609508758066
23520.097020097022,26045.47817047817,507,6.677202686685105
26045.47817047817,28570.85932085932,505,6.65086263663901
28570.85932085932,31096.24047124047,554,7.296193862768339
31096.24047124047,33621.62162162162,491,6.466482286316344
33621.62162162162,36147.002772002765,454,5.979191360463585
36147.002772002765,38672.38392238392,458,6.0318714605557755
38672.38392238392,41197.76507276507,351,4.622678783089688
41197.76507276507,43723.14622314622,289,3.8061372316607405
43723.14622314622,46248.52737352737,260,3.4242065059923616
46248.52737352737,48773.90852390852,273,3.5954168312919794
48773.90852390852,51299.28967428967,247,3.252996180692743
51299.28967428967,53824.67082467082,198,2.6076649545634134
53824.67082467082,56350.05197505197,199,2.620834979586461
56350.05197505197,58875.43312543312,201,2.6471750296325562
58875.43312543312,61400.81427581427,213,2.8052153299091267
61400.81427581427,63926.19542619542,176,2.3179244040563676
63926.19542619542,66451.57657657658,206,2.7130251547477937
66451.57657657658,68976.95772695773,138,1.8174634531805611
68976.95772695773,71502.33887733887,128,1.6857632029500857
71502.33887733887,74027.72002772003,97,1.2774924272356116
74027.72002772003,76553.10117810118,87,1.1457921770051362
76553.10117810118,79078.48232848234,55,0.7243513762676149
79078.48232848234,81603.86347886348,46,0.605821151060187
81603.86347886348,84129.24462924463,44,0.5794811010140919
84129.24462924463,86654.62577962579,24,0.316080600553141
86654.62577962579,89180.00693000693,23,0.3029105755300935
89180.00693000693,91705.38808038809,21,0.2765705254839984
91705.38808038809,94230.76923076923,12,0.1580403002765705
