id,PaginaWeb,Ciudad,Fecha_Scrap,tipo_propiedad,area_m2,recamaras,estacionamientos,operacion,precio,mantenimiento,Colonia,longitud,latitud,tiempo_publicacion,Banos_totales,estacionamientos_icon,recamaras_icon,antiguedad_icon,recamaras_texto,banos_texto,PxM2,motivos_eliminacion
Sep25_c874df4a,Inm24,Gdl,01/09/2025,Dep,83.0,2.0,1.0,Ren,23650.0,,Vallarta San Jorge,-103.397433,20.676932,24.0,2.0,1.0,2.0,0,2.0,2.0,284.93975903614455,precio_fuera_rango_depto
Sep25_b1f8fd58,Inm24,Gdl,01/09/2025,Dep,120.0,2.0,2.0,Ren,34000.0,,Providencia,-103.378201,20.701595,27.0,2.5,2.0,2.0,0,2.0,1.0,283.3333333333333,precio_fuera_rango_depto
Sep25_1604c213,Inm24,Gdl,01/09/2025,Dep,127.0,2.0,2.0,Ren,28500.0,,Jardines del Bosque,-103.382036,20.666316,7.0,2.5,2.0,2.0,3,,,224.40944881889763,precio_fuera_rango_depto
Sep25_38f720a3,Inm24,Gdl,01/09/2025,Dep,77.0,2.0,2.0,Ren,22000.0,2800.0,Ayuntamiento,-103.370806,20.690196,26.0,2.0,2.0,2.0,12,,,285.7142857142857,precio_fuera_rango_depto
Sep25_95ca7a94,Inm24,Gdl,01/09/2025,Dep,70.0,2.0,,Ren,26500.0,,Colomos Providencia,-103.383542,20.710272,56.0,2.0,,2.0,0,2.0,,378.57142857142856,precio_fuera_rango_depto
Sep25_dae7c3e5,Inm24,Gdl,01/09/2025,Dep,93.0,2.0,2.0,Ren,27500.0,,Colomos Providencia,-103.383542,20.710272,113.0,2.0,2.0,2.0,0,2.0,,295.6989247311828,precio_fuera_rango_depto
Sep25_c88dcd15,Inm24,Gdl,01/09/2025,Dep,83.0,2.0,1.0,Ren,23650.0,,Vallarta San Jorge,-103.397433,20.676932,43.0,2.0,1.0,2.0,0,2.0,2.0,284.93975903614455,precio_fuera_rango_depto
Sep25_d61e53ed,Inm24,Gdl,01/09/2025,Dep,86.0,1.0,2.0,Ren,27000.0,,Arcos Vallarta,-103.378736,20.671546,15.0,2.0,2.0,1.0,3,,,313.95348837209303,precio_fuera_rango_depto
Sep25_a4adf8a6,Inm24,Gdl,01/09/2025,Dep,186.0,3.0,3.0,Ren,50000.0,,Country Club,-103.368882,20.703583,82.0,4.5,3.0,3.0,2,3.0,2.0,268.81720430107526,precio_fuera_rango_depto
Sep25_2f431f00,Inm24,Gdl,01/09/2025,Dep,76.0,2.0,1.0,Ren,18900.0,,Arcos,-103.379247,20.667884,6.0,2.0,1.0,2.0,3,,,248.68421052631578,precio_fuera_rango_depto
Sep25_232c36cb,Inm24,Gdl,01/09/2025,Dep,95.0,2.0,2.0,Ren,27500.0,,Italia Providencia,-103.37901,20.696754,62.0,2.0,2.0,2.0,0,2.0,,289.4736842105263,precio_fuera_rango_depto
Sep25_3ab8a4c1,Inm24,Gdl,01/09/2025,Dep,90.0,1.0,,Ren,17800.0,,Americana,-103.377318,20.672173,13.0,1.0,,1.0,90,1.0,1.0,197.77777777777777,precio_fuera_rango_depto
Sep25_f2d4d5d6,Inm24,Gdl,01/09/2025,Dep,110.0,3.0,2.0,Ren,37000.0,,Ladrón de Guevara,-103.369138,20.678691,103.0,2.0,2.0,3.0,0,,,336.3636363636364,precio_fuera_rango_depto
Sep25_ad43a022,Inm24,Gdl,01/09/2025,Dep,100.0,2.0,3.0,Ren,33000.0,,Italia Providencia,-103.38065,20.69096,10.0,2.5,3.0,2.0,0,2.0,2.0,330.0,precio_fuera_rango_depto
Sep25_bd78b277,Inm24,Gdl,01/09/2025,Dep,60.0,1.0,1.0,Ren,16800.0,,Obrera,-103.370146,20.667158,1.0,1.0,1.0,1.0,0,1.0,,280.0,precio_fuera_rango_depto
Sep25_6b09d96e,Inm24,Gdl,01/09/2025,Dep,70.0,2.0,1.0,Ren,24500.0,,Lomas del Country,-103.368884,20.697502,35.0,2.0,1.0,2.0,2,2.0,2.0,350.0,precio_fuera_rango_depto
Sep25_1936875e,Inm24,Gdl,01/09/2025,Dep,70.0,1.0,1.0,Ren,22000.0,,Americana,-103.368058,20.667776,1.0,1.5,1.0,1.0,1,1.0,2.0,314.2857142857143,precio_fuera_rango_depto
Sep25_c9bfe7e1,Inm24,Gdl,01/09/2025,Dep,125.0,2.0,2.0,Ren,48000.0,,Country Club,-103.373582,20.699614,2.0,2.5,2.0,2.0,0,,,384.0,precio_fuera_rango_depto
Sep25_3c4c54b1,Inm24,Gdl,01/09/2025,Dep,110.0,2.0,2.0,Ren,37000.0,,Prados Providencia,-103.393607,20.691121,22.0,2.5,2.0,2.0,8,2.0,,336.3636363636364,precio_fuera_rango_depto
Sep25_affd3567,Inm24,Gdl,01/09/2025,Dep,97.0,2.0,2.0,Ren,24950.0,3950.0,Italia Providencia,-103.380646,20.690799,16.0,2.5,2.0,2.0,0,2.0,2.0,257.21649484536084,precio_fuera_rango_depto
Sep25_962d2952,Inm24,Gdl,01/09/2025,Dep,110.0,1.0,2.0,Ren,23000.0,23000.0,Colomos Providencia,-103.383548,20.706452,53.0,1.5,2.0,1.0,5,,,209.0909090909091,precio_fuera_rango_depto
Sep25_10af5965,Inm24,Gdl,01/09/2025,Dep,83.0,2.0,1.0,Ren,23500.0,,Vallarta San Jorge,-103.397433,20.676932,50.0,2.0,1.0,2.0,,2.0,2.0,283.13253012048193,precio_fuera_rango_depto
Sep25_ec2e3c1d,Inm24,Gdl,01/09/2025,Dep,170.0,2.0,2.0,Ren,24500.0,,Ladrón de Guevara,-103.370329,20.67654,22.0,2.0,2.0,2.0,5,,2.0,144.11764705882354,precio_fuera_rango_depto
Sep25_d48f4721,Inm24,Gdl,01/09/2025,Dep,199.0,3.0,2.0,Ren,45000.0,,Vallarta San Jorge,-103.4007,20.677028,3.0,4.0,2.0,3.0,8,3.0,3.0,226.13065326633165,precio_fuera_rango_depto
Sep25_e79bb05f,Inm24,Gdl,01/09/2025,Dep,150.0,2.0,2.0,Ren,26900.0,,Arcos Vallarta,-103.379159,20.675357,116.0,2.0,2.0,2.0,2,,2.0,179.33333333333334,precio_fuera_rango_depto
Sep25_23c32daf,Inm24,Gdl,01/09/2025,Dep,70.0,1.0,2.0,Ren,19900.0,,Jardines del Bosque,-103.382892,20.66627,104.0,1.5,2.0,1.0,0,1.0,1.0,284.2857142857143,precio_fuera_rango_depto
Sep25_c4f3da08,Inm24,Gdl,01/09/2025,Dep,88.0,2.0,2.0,Ren,26000.0,,Ladrón de Guevara,-103.370797,20.676667,29.0,2.0,2.0,2.0,4,2.0,,295.45454545454544,precio_fuera_rango_depto
