id,PaginaWeb,Ciudad,Fecha_Scrap,tipo_propiedad,area_m2,recamaras,estacionamientos,operacion,precio,mantenimiento,direccion,ubicacion_url,titulo,descripcion,anunciante,codigo_anunciante,codigo_inmuebles24,tiempo_publicacion,area_total,area_cubierta,banos_icon,estacionamientos_icon,recamaras_icon,medio_banos_icon,antiguedad_icon,Caracteristicas_generales,Servicios,Amenidades,Exteriores,__origen_archivo,__fuente_periodo,Colonia,longitud,latitud,Banos_totales,missing_area_m2,zero_area_m2,missing_precio,zero_precio,missing_mantenimiento,zero_mantenimiento,missing_recamaras,missing_estacionamientos,missing_area_total,zero_area_total,missing_area_cubierta,zero_area_cubierta,missing_banos_icon,missing_medio_banos_icon,missing_estacionamientos_icon,missing_recamaras_icon,missing_Banos_totales,missing_tiempo_publicacion
Dep-008K-055_02-01-01_Dimar-10336-20614,Inm24,Desconocido,01/09/2025,Dep,55.0,2.0,1.0,Ren,8200.0,,"Av Jesús Reyes Heroles 1325,  Fraccionamiento El Rocio, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.614459400000000,-103.362395200000000&zoom=16&markers=20.614459400000000,-103.362395200000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=8mHZSI_XHDr3ia8O8UYlexoZtwQ=&channel=rpfic-i24","Departamento en Renta, Torre Altosur","DEPA NUEVO EN RENTA ALTOSUR $8,200 Incluye Mant. Estrena este nuevo departamento ubicado en el Desarrollo Altosur con vigilancia 24 horas e increibles amenidades, alberca con vista a la ciudad, juegos para niños, terraza y areas verdes. Condominio moderno, acogedor y seguro, con accesos a avenidas principales como 8 de julio, Gobernador Curiel, Av. Colón, Periférico y Lázaro Cárdenas Ubicado 3er nivel Superficie de 55 mt2 2 recamaras 1 baño completo Cocina integral Sala y comedor Area de lavado 1 cajon de estacionamiento",Dimares Enlace  Inmobiliario,6217S0,147454140,4.0,55.0,55.0,1.0,1.0,2.0,,0,Desconocido,Desconocido,Desconocido,Desconocido,Inm24_Gdl_Ren_Dep_Sep25_01.csv,sep-25,,-103.362395,20.614459,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Dep-018K-076_02-02-02_KWGRA-10339-20611,Inm24,Desconocido,01/09/2025,Dep,76.0,2.0,2.0,Ren,18000.0,,"4853 AVENIDA CRISTOBAL COLON,  Nueva España, Guadalajara","https://maps.google.com/maps/api/staticmap?center=20.611889999999998,-103.393568999999999&zoom=16&markers=20.611889999999998,-103.393568999999999&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=doWXVjsn4sPYON4dQmKnBKE3UCs=&channel=rpfic-i24","Departamento Piso 15 con Roof Top, Jacuzzi y Asador Privados","Departamento piso 15 con roof top, jacuzzi y asador privados En RENTA  en piso 15 con Roof top, jacuzzi y asadores privados en el Exclusivo Complejo Torres Colón. Precio $ 18,000 estratégica ubicación sobre Av. Cristóbal Colón frente a la Estación Santuario de los Mártires del Tren Ligero Línea I que conecta a gran parte de la ciudad por su entronque con Línea 2 y Línea 3, a unos minutos de Periférico Sur, Universidad ITESO, TEC Milenio, Av. López Mateos. TOTAL  179.75 mt2 Departamento y Roof top 154 mt2 Estacionamiento 12.50 mt2 Bodega y/o estacionamiento 14.25 mt2 2 recámaras la principal con baño y closet vestidor Recámara secundaria con baño y closet. Cuarto de lavado Amplia sala comedor Cocina integral, con barra de granito, estufa de 6 quemadores y campana ROOF TOP PRIVADO con jacuzzi y asador 2 estacionamientos (bodega) en sótano Aire acondicionado en sala y recámara principal Persianas en sala, recámara principal y secundaria Seguridad 24 horas. AMENIDADES: Alberca Área de juegos Asadores Terraza para eventos Gimnasio Control de Acceso, seguridad y Vigilancia 24 horas Agenda una cita. Ver datos ;'>KW Grand, Evolución inmobiliaria de occidente SAPI de C.V. Ver datos ;'>Plaza D-Lucca; Av. Santa Margarita 4099 Local C-26, Valle Real, Zapopan, CP- Ver datos , Tel: Ver datos , Ver datos Ver datos ;'>Horario de atención: Lu-Vi 8:30am - 6:30pm, Sab 9:00am - 1:00pm Ver datos ;'>Quejas y Sugerencias al: Ver datos Ver datos ;'>No. de registro del contrato: Ver datos Ver datos ;'>Aviso de Privacidad: https://www.kwmexico.mx/privacypolicy KBV",KW GRAND,1039-7600,147238037,7.0,154.0,76.0,2.0,2.0,2.0,,,Desconocido,Desconocido,Desconocido,Desconocido,Inm24_Gdl_Ren_Dep_Sep25_01.csv,sep-25,,-103.393569,20.61189,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Cas-008M-210_03-04-02_TALEN-10347-20731,Inm24,Desconocido,01/09/2025,Cas,210.0,3.0,2.0,Ven,8850000.0,1500.0,"P.º Solares,  Fraccionamiento Solares, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.731679190188718,-103.476553325596850&zoom=16&markers=20.731679190188718,-103.476553325596850&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=KyfgyM6ft8aQf9j4LoL6geBQmtY=&channel=rpfic-i24","Casa en Venta Solares Residencial, Zapopan","Hermosa residencia de tres niveles para estrenar, en coto con alta seguridad y acceso controlado. Distribución: En el primer nivel se encuentra el área de sala-comedor, amplia cocina, patio, estudio, baño completo, estacionamiento para dos coches. Segundo nivel hay 3 recámaras, la principal con vestidor y baño, y 2 recámaras secundarias cada una con baño completo. Tercer nivel con amplia terraza, medio baño y área de lavado. Coto con alberca, juegos infantiles, gimnasio y terraza para eventos.",TALENTO GRUPO INMOBILIARIO,61OJF8,147275558,25.0,144.0,210.0,4.0,2.0,3.0,,0,Caseta de guardia; Alberca; Terraza; Jacuzzi; Escuelas Cercanas; Mascotas; Niveles construidos : 3; Cocina integral; Acceso discapacitados; Estado de conservación : Excelente; Fecha disponible : Inmediata; Closet; Frente a Parque,Area de lavandería; Gimnasio; Internet/Wifi; Línea blanca; Aire acondicionado; Seguridad privada; Servicios básicos (agua/luz); Área de Juegos Infantiles,Estudio; Patio; Area de eventos,Jardín Privado,Inm24_Gdl_Ven_Cas_Sep25_01.csv,sep-25,,-103.476553,20.731679,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cas-013M-330_05-05-04_RBARe-10347-20729,Inm24,Desconocido,01/09/2025,Cas,330.0,5.0,4.0,Ven,13792956.0,,"Solares Residencial, 45019 Zapopan, Jal.,  Fraccionamiento Solares, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.729244000000000,-103.471794000000000&zoom=16&markers=20.729244000000000,-103.471794000000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=uq0YphxQGFl6EMzcjxpPXNIAaRM=&channel=rpfic-i24",Casa en Venta en Solares Hermosa Cocina y Vestidores Amplios,"Casa de lujo en SOLARES. Diseño espectacular, acabados de gran calidad y alta plusvalía. Conoce que opinan dos de nuestros clientes y cuál fue su experiencia al comprar su casa con RBAresidences en el video de esta publicación. Tu próxima casa está en RBAresidences, SEGURIDAD, CONFORT Y PLACER. Comodidad y elegancia en cada rincón Imagina vivir en un hogar que ha sido diseñado pensando en el bienestar y la tranquilidad de cada integrante de la familia. Desde el vestidor, amplio y sofisticado, equipado con materiales de alta calidad que protegen tus prendas y accesorios de los factores ambientales, hasta la cocina, el verdadero corazón del hogar. Ve el recorrido virtual y recorre la casa como si estuvieras en ella. Cocina de ensueño personalizable Con materiales de primera calidad que garantizan durabilidad y bajo mantenimiento, esta cocina te permite elegir entre acabados de cuarzo, mármol o granito para adaptarse a tu estilo. Su diseño amplio y funcional fomenta la convivencia y crea un entorno ideal para momentos especiales. Innovación y tecnología para un estilo de vida moderno Esta residencia en SOLARES destaca por su construcción robusta y detalles que ofrecen seguridad, eficiencia y confort: Cimentación reforzada con concreto y acero, asegurando una estructura sólida y duradera. Ventanería Eurovent, que combina seguridad, hermetismo y excelente iluminación natural. Pastillas de fallo a tierra instaladas en toda la casa para una protección eléctrica superior. Instalación oculta para sistemas de seguridad, como cámaras y grabadores. Sistemas de cierre suave en puertas de vestidores, cocina y muebles de baño, garantizando un uso silencioso. Puertas interiores de piso a techo que maximizan la sensación de amplitud. Altura de 3 metros en todas las áreas, creando espacios más luminosos y aireados. Iluminación LED estratégica, que aporta calidez y sofisticación. Regaderas con monomandos inteligentes y cristal templado de 9 mm, combinando tecnología y seguridad. Instalaciones ocultas para sonido y aire acondicionado, brindando un diseño limpio y minimalista. Cada espacio ha sido diseñado para crear un ambiente acogedor y eficiente, con materiales y acabados que destacan por su durabilidad y estética. Esta es una residencia donde la modernidad se encuentra con la funcionalidad para ofrecer una experiencia de vida excepcional. Llama o manda mensaje para más información. *El diseño de esta casa es referencial, el diseño final es 100% personalizado y se adapta a ti y a tu familia.",RBA Residences,61SA9C,147375282,13.0,237.0,330.0,5.0,4.0,5.0,1.0,0,Caseta de guardia; Alberca; Terraza; Jacuzzi; Acceso discapacitados,Seguridad privada; Servicios básicos (agua/luz); Calefacción,Patio; Cuarto de juegos,Asador,Inm24_Gdl_Ven_Cas_Sep25_01.csv,sep-25,,-103.471794,20.729244,5.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cas-005M-185_03-02-02_VECOR-10340-20766,Inm24,Desconocido,01/09/2025,Cas,185.0,3.0,2.0,Ven,5400000.0,1160.0,"Av. Altavista,  Fraccionamiento Real de Valdepeñas, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.766492900000000,-103.404595200000000&zoom=16&markers=20.766492900000000,-103.404595200000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=QWcgSzDBMLllAiX90VZ-oXptSF0=&channel=rpfic-i24","Casa Nueva en Venta en Real de Valdepeñas, Zapopan","Hermosa casa dentro de un exclusivo coto privado. Su diseño inteligente ofrece una distribución ideal para toda la familia, combinando confort y funcionalidad. Además, en Vitana se ofrece una excelente oferta de servicios y equipamiento, incluyendo escuelas, áreas comerciales y espacios recreativos, todo dentro de la misma zona, lo que lo convierte en un lugar ideal para vivir con seguridad. SUPERFICIE: Terreno: 116.62 m2 Construcción: 185 m2 DISTRIBUCIÓN PLANTA BAJA: Sala Comedor Cocina integral Cochera techada para 2 autos DISTRIBUCIÓN PLANTA ALTA: Recámara principal con baño completo y vestidor 2 recámaras secundarias con closet y baño compartido ROOF GARDEN: Área de lavado Espacio para terraza con vista al bosque y jardines. AMENIDADES: Terraza para usos múltiples Asador Gym Estacionamiento para visitas Juegos infantiles Amplias áreas verdes Baños Alberca Seguridad 24/7 UBICACIÓN Y ZONAS ALEDAÑAS: Se encuentra a 10 minutos de zonas de acceso principales, como Av. Juan Gil Preciado y Periférico. Cercanía a centros estudiantiles, servicios primordiales como gasolineras y tiendas de autoservicio. ¡LISTA PARA ESCRITURAR! PRECIO Y DISPONIBILIDAD SUJETOS A CAMBIOS SIN PREVIO AVISO",VECORE Consejeros Inmobiliarios,EB-SS3305,146129782,155.0,116.0,185.0,2.0,2.0,3.0,1.0,0,Caseta de guardia; Alberca; Escuelas Cercanas; Cocina integral; Estado de conservación : Excelente,Seguridad privada,Desconocido,Desconocido,Inm24_Gdl_Ven_Cas_Sep25_01.csv,sep-25,,-103.404595,20.766493,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cas-008M-240_03-05-02_ALTUR-10347-20729,Inm24,Desconocido,01/09/2025,Cas,240.0,3.0,2.0,Ven,8400000.0,1300.0,"Paseo del Anochecer 811,  Fraccionamiento Solares, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.729907285488977,-103.471608614819350&zoom=16&markers=20.729907285488977,-103.471608614819350&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=nIud-UCvty4WE4kmveO-_nNSpQc=&channel=rpfic-i24",Casa Nueva en Venta Solares Coto Azent Zona Real Zapopan,"Esta Hermosa Casa Nueva Se encuentra en Condominio Azent en Solares Zona Real de Zapopan. Cerca de Escuelas como el Tec de Monterrey, Instituto de Ciencias, Colegio Finlandés y Subiré. El Condominio cuenta con Vigilancia las 24 hrs, caseta de seguridad e ingreso controlado. Amplias áreas verdes, CCTV, Casa Club con Alberca, terraza, estacionamiento de visitas. La Casa cuenta con PRIMER NIVEL: -Cochera 2 autos -Jardín frontal -Entrada principal -Estudio con baño (Posible Recamara) -Baño Completo -Cocina integral equipada, barra desayunadora, y cubierta de granito -Area de lavado, Calentador eléctrico, y baño completo. -Área amplia de Sala y Comedor Aire Acondicionado. -Patio Con Jardín. SEGUNDO NIVEL: -3 Recamaras con baño completo cada una y Aires Acondicionados -La Recamara principal con vestidor -Las 2 recamaras secundarias con closet -Amplio distribuidor TERCER NIVEL: -Sala de Tv o 4ta recamara -Baño Completo -Terraza frontal 144 mts2 de Terreno 240 mts2 de Construcción Altura Máxima Real Estate Casas en Venta Zapopan",ALTURA MAXIMA BIENES RAICES,6016HJ,145832929,191.0,144.0,240.0,5.0,2.0,3.0,,0,Caseta de guardia; Alberca; Escuelas Cercanas; Cocina integral,Area de lavandería; Internet/Wifi; Aire acondicionado; Seguridad privada; Servicios básicos (agua/luz); Área de Juegos Infantiles,Desconocido,Jardín Privado,Inm24_Gdl_Ven_Cas_Sep25_01.csv,sep-25,,-103.471609,20.729907,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cas-020M-837_05-08-04_PRIMA-10359-20735,Inm24,Desconocido,01/09/2025,Cas,837.0,5.0,4.0,Ven,20000000.0,2079.0,"Casa EN Venta LA Primavera 32 Zapopan Jalisco,  La Primavera, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.735252332400001,-103.592434760000003&zoom=16&markers=20.735252332400001,-103.592434760000003&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=2yVe_TeJigvzPb6WwC4xHa2K-5U=&channel=rpfic-i24",Casa en Venta La Primavera 32 Zapopan Jalisco,"Exclusiva residencia a orillas del Bosque de la Primavera, dentro de un fraccionamiento privado de solo 46 terrenos. Esta impresionante propiedad combina lujo y naturaleza en un entorno privilegiado. Al ingresar, un elegante jardín frontal y un acceso flanqueado por espejos de agua dan la bienvenida. En el interior, los amplios espacios sociales se integran armoniosamente con una gran terraza, separada por una imponente chimenea, ofreciendo una vista panorámica del bosque que te hará sentir parte de él. La cocina, de diseño moderno, cuenta con una amplia barra de granito, antecomedor, una espaciosa alacena y un área de lavado con acceso directo a la cochera. En la planta baja, la residencia dispone de tres recámaras, cada una con vestidor y baño privado, además de una sala de cine para disfrutar de momentos únicos. La planta alta está dedicada a la impresionante recámara principal, con un amplio baño vestidor y un estudio privado. Además, en este nivel se encuentra un cuarto de juegos y un espectacular roof garden con asador y baños, ideal para reuniones al aire libre. Una residencia única que fusiona naturaleza y confort urbano. Ubicada en los límites de la ciudad, esta casa te permite disfrutar de la serenidad y belleza del Bosque de la Primavera sin renunciar a las comodidades de la vida moderna. Su entorno natural te envuelve en un paisaje espectacular, ofreciendo privacidad, aire puro y una conexión inigualable con la naturaleza, mientras sigues teniendo acceso a todos los servicios y facilidades de la ciudad. Un hogar que combina exclusividad, confort y una conexión inigualable con la naturaleza. Disponibilidad y precio sujetos a cambio sin previo aviso. Código de EasyBroker: EB-SO6703",PRIMARA,PHO6841407,147222484,31.0,2079.0,837.0,8.0,4.0,5.0,,9,Terraza; Cocina integral; Estado de conservación : Excelente,Area de lavandería; Seguridad privada,Desconocido,Balcón(es) : 1; Jardín Privado,Inm24_Gdl_Ven_Cas_Sep25_01.csv,sep-25,,-103.592435,20.735252,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cas-008M-227_03-04-02_CityR-10347-20730,Inm24,Desconocido,01/09/2025,Cas,227.0,3.0,2.0,Ven,8400000.0,,"Soare 3 - Coto Altanza,  Fraccionamiento Solares, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.730569800000000,-103.474273600000000&zoom=16&markers=20.730569800000000,-103.474273600000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=oVXlazljpYK8AChu16hLXOcKJXY=&channel=rpfic-i24",Casa en Venta en Solares Zapopan - Soare III,"Casa en Venta en Soare III ALTANZA – Solares, Zapopan Precio: 8,400,000 MXN 3 recámaras 4 baños completos 3 niveles 2 autos Moderna casa con acabados de lujo en uno de los cotos más nuevos de Solares, Zapopan. Excelente distribución y espacios funcionales para familias que buscan comodidad y plusvalía. Distribución: PB: Estudio o sala de TV (Puede ser Recamara), baño completo, cocina integral, sala-comedor, jardín y bodega. PA: Recámara principal con: área de home office, vestidor y baño, 2 recámaras secundarias con clóset y baño compartido. 3er nivel: Roof garden, cuarto de lavado, bodega y baño completo. Dentro de coto con seguridad 24/7, áreas verdes y acceso controlado. Zona con alta plusvalía cerca de escuelas, centros comerciales y vialidades principales. Amenidades del coto: Casa club con alberca climatizada Gimnasio completamente equipado Salón de usos múltiples con terrazas Zonas de juegos infantiles y áreas verdes Seguridad 24/7",City Real Estate,61GPLO,147065154,47.0,169.0,227.0,4.0,2.0,3.0,,0,Caseta de guardia; Alberca; Escuelas Cercanas; Niveles construidos : 3; Cocina integral; Estado de conservación : Excelente,Gimnasio; Seguridad privada; Área de Juegos Infantiles,Bodega(s) : 2; Estudio,Jardín Privado,Inm24_Gdl_Ven_Cas_Sep25_01.csv,sep-25,,-103.474274,20.73057,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Cas-008M-365_05-05-02_BINVE-10347-20723,Inm24,Desconocido,01/09/2025,Cas,365.0,5.0,2.0,Ven,8617500.0,,"Av. Paseo de la Estrella 3555,  Bosques Vallarta, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.723912226470524,-103.476629826181020&zoom=16&markers=20.723912226470524,-103.476629826181020&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=bOHGtkLppD4h9hDQrzXO8VKNbVA=&channel=rpfic-i24",Casa en Venta en Parques Vallarta: Coto Cedros #78 a 10 Min del Tec de Mty,"Dentro de Coto Cedros en Parques Vallarta se encuentra la casa número 78. La residencia se encuentra ubicada a tan solo 10 min del Tec de Monterrey y tiene fácil acceso a vías principales como Av. Vallarta y se está a tan solo 10 min del Anillo periférico norte. Es posible disfrutar de todo lo bueno que tiene para ofertar la ciudad gracias a su conectividad con la comodidad de estar lo suficientemente alejado del ruido y caos de la misma. Esta casa se encuentra distribuida en 3 plantas y acabados de primera calidad. Distribución en planta baja: - Cochera para 2 autos - Estudio/Recámara - Baño completo - Cocina Integral - Amplio espacio sala-comedor - Jardín con ingreso lateral Distribución en primer nivel: -Recamara principal con vestidor y baño completo -2 recámaras con vestidor y baño completo Distribución en segundo nivel: -Patio de servicio -Cuarto de juegos/recamara con baño completo -Amplia Terraza El coto cuenta con seguridad 24/7, circuito cerrado, casa club, alberca, área de juegos infantiles, salón de usos múltiples y terraza.",BINVEST,78,141688164,,,365.0,5.0,2.0,5.0,,0,Caseta de guardia; Alberca; Cuartos de servicio; Mascotas; Cocina integral,Seguridad privada; Área de Juegos Infantiles,Estudio; Cuarto de TV,Desconocido,Inm24_Gdl_Ven_Cas_Sep25_01.csv,sep-25,,-103.47663,20.723912,5.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
Cas-032M-610_04-05-06_ÉIREB-10347-20710,Inm24,Desconocido,01/09/2025,Cas,610.0,4.0,6.0,Ven,32500000.0,4500.0,"Av Vallarta Eje Poniente  Casa 58 Coto ,  Fraccionamiento Los Sueños, Zapopan","https://maps.google.com/maps/api/staticmap?center=20.710513700000000,-103.473576600000000&zoom=16&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=29LH0fXyaE6Zb5_jpNYixCvlvY8=&channel=rpfic-i24","Casa en Venta en Los Sueños, Zapopan, Jalisco","Casa 58 coto 4 Distribución: Sótano: - Estacionamiento amplio para 4 vehículos, - Portón eléctrico, - Gimnasio privado Con Baño completo y Coffee Station. - Cuarto de servicio y cuarto de máquinas. - Bodega. Almacenamiento adicional. P.B: - Estancia, - Comedor, - Cocina Moderna con Alacena (Diseñada en Nogal con Cubierta de Granito) - ½ Baño de Visitas, - Family Room, - Amplio Jardín, - Terraza con ½ Baño, - Oasis al Aire Libre, P.A: - Recamara Principal con Baño Completo con WC Inteligente y Vestidor, - 2 Recamaras secundarias con Vestidor, Baño Completo c/u, - Área de Coffe Station, - Lavandería Equipada con Piso de Mármol, Amenidades: - Seguridad 24 horas, - Áreas verdes y juegos infantiles, - Cancha de básquetbol, fútbol y pádel, - Área para práctica de golf y bateo, - Pista de bicicleta de montaña, - Casa Club con alberca, gimnasio y salón de eventos. Características: - Terreno: 500.00 m², - Construcción: 610.00 m², - Jardín: 160.00 m², - Edad: A Estrenar - Plantas: 3 - Estacionamiento: 6 Cajones. - Mantenimiento: $5,500.00 Incluye Amenidades del Fraccionamiento y Casa Club. Características Adicionales: - Aire acondicionado en toda la casa, - Cámaras de vigilancia en el exterior de la propiedad, - Preparación para paneles y calentador solares, - Sistema de Iluminación ambiental inteligente, Ubicación Y Servicios: - Proximidad a colegios privados y clubs ecuestres. A solo 5 minutos del periférico. - Entorno: Habitacional. - Vías de acceso: Av. Patria y Calle Velázquez. - Servicios de la Zona: Sistema de agua potable, Energía Eléctrica, Desalojó de Aguas Residuales, Transporte Público, Servicios Municipales, etc. *Nota: Precio sujeto a cambio sin previo aviso*",ÉIRE Bienes Raíces,615IIR,146761767,77.0,500.0,610.0,4.0,6.0,4.0,2.0,0,Terraza; Cuartos de servicio; Escuelas Cercanas; Mascotas; Niveles construidos : 3; Cocina integral,Area de lavandería; Gimnasio; Seguridad privada; Servicios básicos (agua/luz); Área de Juegos Infantiles,Bodega(s) : 1; Estudio; Patio; Area de eventos; Cuarto de TV; Sótano,Cancha de squash; Cancha de tenis,Inm24_Gdl_Ven_Cas_Sep25_01.csv,sep-25,,-103.473577,20.710514,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
