id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap
Gdl-Alca_Cas-019K-182_03-01-01_Centu-10334-20692,Inm24,Gdl,Alcalde Barranquitas,Ren,Cas,182.0,3.0,1.0,19500.0,,-103.342769,20.692432,91.0,1.5,17.0,107.14285714285714,
Gdl-Arco_Cas-026K-220_04-04-02_GRUPO-10337-20676,Inm24,Gdl,Arcos Vallarta,Ren,Cas,220.0,4.0,2.0,26500.0,,-103.377565,20.676505,91.0,4.0,10.0,120.45454545454544,
Gdl-Coli_Cas-095K-830_04-04-02_CERTO-10339-20700,Inm24,Gdl,Colinas de San Javier,Ren,Cas,830.0,4.0,2.0,95000.0,1500.0,-103.394986,20.700094,39.0,4.0,10.0,114.4578313253012,
Gdl-Colo_Cas-045K-285_03-02-03_Remax-10338-20704,Inm24,Gdl,Colomos Providencia,Ren,Cas,285.0,3.0,3.0,45000.0,,-103.384722,20.7043,163.0,2.5,35.0,157.89473684210526,
Gdl-Colo_Cas-031K-296_04-02-02_8AHAU-10338-20702,Inm24,Gdl,Colomos Providencia,Ren,Cas,296.0,4.0,2.0,31500.0,,-103.384689,20.702144,7.0,2.5,35.0,106.41891891891892,
Gdl-Colo_Cas-054K-520_04-04-02_JOSEM-10338-20705,Inm24,Gdl,Colomos Providencia,Ren,Cas,520.0,4.0,2.0,54000.0,,-103.380232,20.705771,14.0,4.5,15.0,103.84615384615384,
Gdl-Colo_Cas-075K-400_06-06-06_CityR-10338-20703,Inm24,Gdl,Colomos Providencia,Ren,Cas,400.0,6.0,6.0,75000.0,,-103.384766,20.703165,143.0,6.0,40.0,187.5,
Gdl-Inde_Cas-038K-245_06-04-02_Víncu-10333-20689,Inm24,Gdl,Independencia Oriente,Ren,Cas,245.0,6.0,2.0,38000.0,,-103.330591,20.689411,120.0,4.5,40.0,155.10204081632654,
Gdl-Jard_Cas-051K-365_04-03-05_Miria-10339-20655,Inm24,Gdl,Jardines Plaza del Sol,Ren,Cas,365.0,4.0,5.0,51000.0,,-103.395007,20.655885,30.0,3.5,2.0,139.72602739726028,
Gdl-Jard_Cas-080K-666_08-04-00_Gaant-10338-20669,Inm24,Gdl,Jardines del Bosque,Ren,Cas,666.0,8.0,,80000.0,,-103.387927,20.669523,,4.5,0.0,120.12012012012012,
Gdl-Jard_Cas-033K-302_04-02-04_LICDA-10338-20664,Inm24,Gdl,Jardines del Bosque,Ren,Cas,302.0,4.0,4.0,33000.0,,-103.386167,20.664122,116.0,2.5,50.0,109.27152317880795,
Gdl-LaEs_Cas-025K-194_04-04-02_Centu-10330-20706,Inm24,Gdl,La Esperanza (La Federacha),Ren,Cas,194.0,4.0,2.0,25000.0,,-103.309384,20.706572,109.0,4.0,10.0,128.8659793814433,
Gdl-Ladr_Cas-055K-380_04-04-03_ALTUR-10337-20681,Inm24,Gdl,Ladrón de Guevara,Ren,Cas,380.0,4.0,3.0,55000.0,,-103.379779,20.681939,12.0,4.5,30.0,144.73684210526315,
Gdl-Ladr_Cas-020K-171_06-05-02_MIDIS-10337-20688,Inm24,Gdl,Ladrón de Guevara,Ren,Cas,171.0,6.0,2.0,20000.0,,-103.372262,20.688549,32.0,5.0,25.0,116.95906432748538,
Gdl-Ladr_Cas-030K-284_05-03-02_CasaA-10337-20688,Inm24,Gdl,Ladrón de Guevara,Ren,Cas,284.0,5.0,2.0,30000.0,,-103.375986,20.688126,232.0,3.5,15.0,105.6338028169014,
Gdl-Ladr_Cas-040K-247_08-03-00_AYDEG-10337-20679,Inm24,Gdl,Ladrón de Guevara,Ren,Cas,247.0,8.0,,40000.0,,-103.371351,20.67988,47.0,3.0,30.0,161.94331983805668,
Gdl-Mexi_Cas-010K-097_01-01-00_GRECI-10335-20668,Inm24,Gdl,Mexicaltzingo,Ren,Cas,97.0,1.0,,10000.0,,-103.353877,20.668667,26.0,1.0,5.0,103.09278350515464,
Gdl-Migu_Cas-010K-094_04-01-01_ASESO-10328-20676,Inm24,Gdl,Miguel Hidalgo,Ren,Cas,94.0,4.0,1.0,10000.0,,-103.284952,20.67602,0.0,1.0,33.0,106.38297872340424,
