id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap
Gdl-Anal_Dep-006K-065_02-01-01_Hulbe-10334-20666,Inm24,Gdl,Analco,Ren,Dep,65.0,2.0,1.0,6800.0,,-103.34068,20.66696,1.0,1.0,39,104.6153846153846,01/09/2025
Gdl-Arte_Dep-019K-123_02-02-01_Atera-10336-20683,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ren,Dep,123.0,2.0,1.0,19900.0,,-103.36199,20.683431,69.0,2.0,0,161.78861788617886,01/09/2025
Gdl-Arte_Dep-018K-081_03-03-01_GRUPO-10335-20692,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ren,Dep,81.0,3.0,1.0,18900.0,,-103.35312,20.692074,41.0,3.0,0,233.33333333333331,01/09/2025
Gdl-Blan_Dep-014K-065_02-01-00_HOUMR-10330-20679,Inm24,Gdl,Blanco y Cuellar,Ren,Dep,65.0,2.0,,14500.0,,-103.304332,20.679718,50.0,1.0,,223.07692307692307,01/09/2025
Gdl-Blan_Dep-015K-040_01-01-00_HOUMR-10330-20679,Inm24,Gdl,Blanco y Cuellar,Ren,Dep,40.0,1.0,,15000.0,,-103.304332,20.679718,51.0,1.0,,375.0,01/09/2025
Gdl-Blan_Dep-015K-045_01-01-00_HOUMR-10330-20679,Inm24,Gdl,Blanco y Cuellar,Ren,Dep,45.0,1.0,,15500.0,,-103.304332,20.679718,51.0,1.5,,344.44444444444446,01/09/2025
Gdl-Bosq_Dep-016K-075_02-01-00_Habix-10339-20647,Inm24,Gdl,Bosques de La Victoria,Ren,Dep,75.0,2.0,,16500.0,,-103.391012,20.647011,40.0,1.0,,220.0,01/09/2025
Gdl-Cent_Dep-021K-060_01-02-01_MAGNA-10335-20687,Inm24,Gdl,Centro,Ren,Dep,60.0,1.0,1.0,21000.0,,-103.350779,20.687794,56.0,2.0,2,350.0,01/09/2025
Gdl-Cent_Dep-015K-130_04-02-00_IGPIN-10334-20686,Inm24,Gdl,Centro,Ren,Dep,130.0,4.0,,15000.0,,-103.348811,20.68641,33.0,2.0,15,115.3846153846154,01/09/2025
Gdl-Chap_Dep-024K-070_02-02-01_ROSMA-10336-20697,Inm24,Gdl,Chapultepec Country,Ren,Dep,70.0,2.0,1.0,24000.0,,-103.365969,20.697231,36.0,2.0,0,342.85714285714283,01/09/2025
Gdl-Chap_Dep-025K-260_03-03-02_GMBAs-10336-20694,Inm24,Gdl,Chapultepec Country,Ren,Dep,260.0,3.0,2.0,25000.0,,-103.367349,20.694368,14.0,3.5,30,96.15384615384616,01/09/2025
Gdl-Chap_Dep-025K-092_02-02-01_Maria-10336-20695,Inm24,Gdl,Chapultepec Country,Ren,Dep,92.0,2.0,1.0,25500.0,,-103.367728,20.695687,98.0,2.0,0,277.17391304347825,01/09/2025
Gdl-Chap_Dep-019K-066_02-02-02_CoruR-10336-20697,Inm24,Gdl,Chapultepec Country,Ren,Dep,66.0,2.0,2.0,19500.0,,-103.365969,20.697231,64.0,2.0,0,295.45454545454544,01/09/2025
Gdl-Circ_Dep-033K-097_02-02-02_BROKO-10337-20697,Inm24,Gdl,Circunvalación Américas,Ren,Dep,97.0,2.0,2.0,33560.0,3560.0,-103.377228,20.697823,91.0,2.0,2,345.97938144329896,01/09/2025
Gdl-Circ_Dep-039K-165_03-03-02_VECOR-10337-20697,Inm24,Gdl,Circunvalación Américas,Ren,Dep,165.0,3.0,2.0,39000.0,,-103.376281,20.69787,8.0,3.5,0,236.3636363636364,01/09/2025
Gdl-Circ_Dep-030K-115_02-02-02_DingD-10337-20697,Inm24,Gdl,Circunvalación Américas,Ren,Dep,115.0,2.0,2.0,30000.0,3500.0,-103.377228,20.697823,22.0,2.0,1,260.8695652173913,01/09/2025
Gdl-Circ_Dep-032K-130_02-00-02_ÚNICA-10337-20697,Inm24,Gdl,Circunvalación Américas,Ren,Dep,130.0,2.0,2.0,32500.0,,-103.377228,20.697823,169.0,0.0,1,250.0,01/09/2025
Gdl-Circ_Dep-022K-095_01-02-01_Dream-10338-20682,Inm24,Gdl,Circunvalación Vallarta,Ren,Dep,95.0,1.0,1.0,22000.0,,-103.383719,20.682122,12.0,2.0,0,231.57894736842104,01/09/2025
Gdl-Circ_Dep-022K-065_01-01-02_HHBIE-10338-20682,Inm24,Gdl,Circunvalación Vallarta,Ren,Dep,65.0,1.0,2.0,22900.0,,-103.383719,20.682121,8.0,1.5,6,352.3076923076923,01/09/2025
Gdl-Circ_Dep-034K-140_02-02-02_ÚNICA-10338-20682,Inm24,Gdl,Circunvalación Vallarta,Ren,Dep,140.0,2.0,2.0,34000.0,,-103.385411,20.682239,169.0,2.5,7,242.8571428571429,01/09/2025
Gdl-Circ_Dep-026K-175_03-03-02_Urban-10338-20683,Inm24,Gdl,Circunvalación Vallarta,Ren,Dep,175.0,3.0,2.0,26000.0,,-103.385245,20.683583,,3.0,3,148.57142857142858,01/09/2025
Gdl-Colo_Dep-028K-121_02-02-02_Viter-10338-20704,Inm24,Gdl,Colomos,Ren,Dep,121.0,2.0,2.0,28500.0,3826.0,-103.387746,20.704306,95.0,2.5,13,235.53719008264463,01/09/2025
Gdl-Colo_Dep-029K-167_02-02-02_REIIN-10338-20705,Inm24,Gdl,Colomos,Ren,Dep,167.0,2.0,2.0,29000.0,,-103.387125,20.705422,11.0,2.5,8,173.65269461077844,01/09/2025
Gdl-Colo_Dep-019K-085_02-01-01_ROSMA-10338-20699,Inm24,Gdl,Colomos,Ren,Dep,85.0,2.0,1.0,19000.0,,-103.389325,20.699313,2.0,1.0,0,223.52941176470588,01/09/2025
Gdl-Colo_Dep-019K-085_02-01-01_Tizzi-10338-20699,Inm24,Gdl,Colomos,Ren,Dep,85.0,2.0,1.0,19000.0,500.0,-103.389426,20.699059,73.0,1.0,0,223.52941176470588,01/09/2025
Gdl-Colo_Dep-011K-105_03-02-00_Javie-10337-20647,Inm24,Gdl,Colon,Ren,Dep,105.0,3.0,,11500.0,,-103.370926,20.647428,14.0,2.0,8,109.52380952380952,01/09/2025
Gdl-Ferr_Dep-006K-086_02-01-00_CasaA-10335-20655,Inm24,Gdl,Ferrocarril,Ren,Dep,86.0,2.0,,6200.0,,-103.350125,20.655503,18.0,1.0,15,72.09302325581395,01/09/2025
Gdl-Fide_Dep-020K-080_02-02-01_Hogar-10335-20712,Inm24,Gdl,Fidel Velázquez,Ren,Dep,80.0,2.0,1.0,20000.0,,-103.353911,20.712396,45.0,2.0,,250.0,01/09/2025
Gdl-Fide_Dep-022K-080_02-02-02_JRAAg-10335-20712,Inm24,Gdl,Fidel Velázquez,Ren,Dep,80.0,2.0,2.0,22000.0,,-103.352987,20.712921,37.0,2.0,3,275.0,01/09/2025
Gdl-Fide_Dep-015K-081_02-02-01_Maryc-10335-20713,Inm24,Gdl,Fidel Velázquez,Ren,Dep,81.0,2.0,1.0,15200.0,1820.0,-103.353884,20.713155,29.0,2.0,4,187.65432098765436,01/09/2025
Gdl-Hern_Dep-005K-035_01-01-00_HOUMR-10332-20662,Inm24,Gdl,Hernández Romo,Ren,Dep,35.0,1.0,,5000.0,,-103.320295,20.662344,19.0,1.0,,142.85714285714286,01/09/2025
Gdl-Horm_Dep-009K-063_02-02-01_OmarG-10330-20651,Inm24,Gdl,Hormiguero,Ren,Dep,63.0,2.0,1.0,9500.0,,-103.302663,20.65148,12.0,2.0,6,150.79365079365078,01/09/2025
Gdl-Huen_Dep-011K-050_02-02-01_IGNAC-10331-20738,Inm24,Gdl,Huentitán El Bajo,Ren,Dep,50.0,2.0,1.0,11500.0,,-103.312574,20.738476,28.0,2.0,0,230.0,01/09/2025
Gdl-Huen_Dep-011K-064_01-02-00_RaízF-10331-20737,Inm24,Gdl,Huentitán El Bajo,Ren,Dep,64.0,1.0,,11000.0,,-103.319464,20.73719,77.0,2.0,0,171.875,01/09/2025
Gdl-Huen_Dep-011K-057_02-02-02_CasaA-10331-20738,Inm24,Gdl,Huentitán El Bajo,Ren,Dep,57.0,2.0,2.0,11800.0,,-103.312574,20.738476,11.0,2.0,15,207.01754385964912,01/09/2025
Gdl-Huen_Dep-010K-064_01-02-00_omarr-10331-20737,Inm24,Gdl,Huentitán El Bajo,Ren,Dep,64.0,1.0,,10000.0,900.0,-103.319464,20.73719,24.0,2.0,0,156.25,01/09/2025
Gdl-Inde_Dep-009K-068_02-02-00_CasaA-10332-20698,Inm24,Gdl,Independencia,Ren,Dep,68.0,2.0,,9700.0,,-103.329187,20.698846,57.0,2.0,15,142.64705882352942,01/09/2025
Gdl-Jard_Dep-020K-096_02-02-02_ALTIM-10333-20707,Inm24,Gdl,Jardines Alcalde,Ren,Dep,96.0,2.0,2.0,20000.0,,-103.336201,20.70728,0.0,2.0,0,208.33333333333331,01/09/2025
Gdl-Jard_Dep-017K-090_01-01-00_HHase-10339-20658,Inm24,Gdl,Jardines Plaza del Sol,Ren,Dep,90.0,1.0,,17000.0,,-103.39782,20.658638,129.0,1.0,15,188.88888888888889,01/09/2025
Gdl-Jard_Dep-019K-130_02-02-02_GRECI-10339-20668,Inm24,Gdl,Jardines de Los Arcos,Ren,Dep,130.0,2.0,2.0,19500.0,,-103.392712,20.668125,25.0,2.5,42,150.0,01/09/2025
Gdl-Jard_Dep-006K-062_02-01-01_Angel-10329-20644,Inm24,Gdl,Jardines de Los Historiadores,Ren,Dep,62.0,2.0,1.0,6300.0,,-103.291602,20.644507,4.0,1.0,30,101.61290322580643,01/09/2025
Gdl-Jard_Dep-007K-090_02-01-01_benja-10328-20644,Inm24,Gdl,Jardines de Los Historiadores,Ren,Dep,90.0,2.0,1.0,7800.0,,-103.286582,20.644543,1.0,1.0,9,86.66666666666667,01/09/2025
Gdl-Jard_Dep-010K-062_02-02-00_BISMA-10335-20705,Inm24,Gdl,Jardines del Country,Ren,Dep,62.0,2.0,,10400.0,,-103.357214,20.70544,5.0,2.0,1,167.74193548387098,01/09/2025
Gdl-Jard_Dep-014K-093_02-01-02_CasaA-10336-20706,Inm24,Gdl,Jardines del Country,Ren,Dep,93.0,2.0,2.0,14900.0,,-103.362516,20.706043,111.0,1.0,15,160.21505376344086,01/09/2025
Gdl-Juan_Dep-023K-065_01-01-01_GuiaE-10339-20683,Inm24,Gdl,Juan Manuel,Ren,Dep,65.0,1.0,1.0,23900.0,,-103.393197,20.683868,75.0,1.5,0,367.6923076923077,01/09/2025
Gdl-Juan_Dep-027K-110_02-02-02_DingD-10339-20680,Inm24,Gdl,Juan Manuel,Ren,Dep,110.0,2.0,2.0,27900.0,,-103.391824,20.680798,22.0,2.5,3,253.63636363636363,01/09/2025
Gdl-LaGu_Dep-018K-082_02-02-01_PRYAg-10334-20699,Inm24,Gdl,La Guadalupana,Ren,Dep,82.0,2.0,1.0,18000.0,,-103.347901,20.699903,19.0,2.0,2,219.5121951219512,01/09/2025
Gdl-LaJo_Dep-006K-070_02-00-00_Servi-10330-20709,Inm24,Gdl,La Joya,Ren,Dep,70.0,2.0,,6000.0,,-103.300083,20.709491,6.0,1.0,25,85.71428571428571,01/09/2025
Gdl-LaNo_Dep-028K-156_03-02-01_Chris-10335-20696,Inm24,Gdl,La Normal,Ren,Dep,156.0,3.0,1.0,28000.0,,-103.351273,20.696598,44.0,2.5,3,179.48717948717947,01/09/2025
Gdl-Loma_Dep-035K-130_03-03-02_TULEG-10338-20688,Inm24,Gdl,Lomas de Guevara,Ren,Dep,130.0,3.0,2.0,35500.0,,-103.382909,20.688362,47.0,3.0,0,273.0769230769231,01/09/2025
Gdl-Loma_Dep-045K-240_03-03-02_MyL0-10338-20689,Inm24,Gdl,Lomas de Guevara,Ren,Dep,240.0,3.0,2.0,45000.0,,-103.383059,20.689456,7.0,3.5,9,187.5,01/09/2025
Gdl-Loma_Dep-020K-085_02-01-01_Viter-10337-20688,Inm24,Gdl,Lomas de Guevara,Ren,Dep,85.0,2.0,1.0,20500.0,,-103.379398,20.688191,73.0,1.0,20,241.1764705882353,01/09/2025
Gdl-Loma_Dep-016K-149_03-02-01_Flore-10337-20688,Inm24,Gdl,Lomas de Guevara,Ren,Dep,149.0,3.0,1.0,16800.0,700.0,-103.379504,20.688065,91.0,2.0,35,112.751677852349,01/09/2025
Gdl-Loma_Dep-015K-070_02-02-01_HOUMR-10332-20717,Inm24,Gdl,Lomas de Independencia,Ren,Dep,70.0,2.0,1.0,15800.0,,-103.324644,20.717068,27.0,2.0,,225.7142857142857,01/09/2025
Gdl-Loma_Dep-017K-071_02-02-01_Nayel-10332-20717,Inm24,Gdl,Lomas de Independencia,Ren,Dep,71.0,2.0,1.0,17000.0,,-103.32932,20.717101,71.0,2.0,2,239.43661971830983,01/09/2025
Gdl-Loma_Dep-019K-089_02-02-01_GoldH-10338-20693,Inm24,Gdl,Lomas de Providencia,Ren,Dep,89.0,2.0,1.0,19900.0,1000.0,-103.38619,20.693027,8.0,2.0,1,223.59550561797752,01/09/2025
Gdl-Loma_Dep-025K-185_03-03-02_Urban-10338-20693,Inm24,Gdl,Lomas de Providencia,Ren,Dep,185.0,3.0,2.0,25000.0,,-103.384297,20.69311,,3.0,4,135.13513513513513,01/09/2025
Gdl-LosA_Dep-009K-126_02-01-00_Loren-10328-20676,Inm24,Gdl,Los Arrayanes,Ren,Dep,126.0,2.0,,9700.0,,-103.282853,20.676659,2.0,1.0,0,76.98412698412699,01/09/2025
Gdl-Maga_Dep-014K-072_02-02-01_Corpo-10331-20655,Inm24,Gdl,Magaña,Ren,Dep,72.0,2.0,1.0,14000.0,,-103.312549,20.655324,2.0,2.0,0,194.44444444444449,01/09/2025
Gdl-Marg_Dep-013K-070_02-02-02_MIDIS-10330-20712,Inm24,Gdl,Margarita Maza de Juárez,Ren,Dep,70.0,2.0,2.0,13800.0,,-103.303465,20.712973,41.0,2.0,1,197.14285714285717,01/09/2025
Gdl-Marg_Dep-015K-080_03-02-02_Ivone-10330-20712,Inm24,Gdl,Margarita Maza de Juárez,Ren,Dep,80.0,3.0,2.0,15000.0,1700.0,-103.303887,20.712469,5.0,2.0,1,187.5,01/09/2025
Gdl-Mexi_Dep-012K-064_01-01-01_HOMIE-10334-20666,Inm24,Gdl,Mexicaltzingo,Ren,Dep,64.0,1.0,1.0,12500.0,,-103.347416,20.666557,35.0,1.0,14,195.3125,01/09/2025
Gdl-Mexi_Dep-011K-048_01-01-00_Damia-10334-20666,Inm24,Gdl,Mexicaltzingo,Ren,Dep,48.0,1.0,,11800.0,1200.0,-103.34686,20.666361,55.0,1.0,0,245.83333333333331,01/09/2025
Gdl-Mezq_Dep-011K-067_01-01-01_Cumbr-10335-20697,Inm24,Gdl,Mezquitán,Ren,Dep,67.0,1.0,1.0,11000.0,,-103.354787,20.697475,20.0,1.0,0,164.17910447761193,01/09/2025
Gdl-Mezq_Dep-028K-155_02-02-02_ROSMA-10336-20695,Inm24,Gdl,Mezquitán Country,Ren,Dep,155.0,2.0,2.0,28000.0,,-103.360173,20.695369,30.0,2.0,10,180.6451612903226,01/09/2025
Gdl-Mezq_Dep-013K-066_02-02-01_GRECI-10336-20694,Inm24,Gdl,Mezquitán Country,Ren,Dep,66.0,2.0,1.0,13000.0,,-103.360804,20.694493,11.0,2.0,0,196.96969696969697,01/09/2025
Gdl-Nuev_Dep-008K-060_02-01-01_CityR-10339-20614,Inm24,Gdl,Nueva España,Ren,Dep,60.0,2.0,1.0,8500.0,350.0,-103.390522,20.61467,54.0,1.0,1,141.66666666666666,01/09/2025
Gdl-Olim_Dep-009K-110_02-01-00_PUERT-10332-20652,Inm24,Gdl,Olimpica,Ren,Dep,110.0,2.0,,9200.0,,-103.324377,20.652531,8.0,1.0,60,83.63636363636364,01/09/2025
Gdl-Prov_Dep-012K-065_02-01-01_José-10338-20699,Inm24,Gdl,Providencia 3a Sección,Ren,Dep,65.0,2.0,1.0,12500.0,,-103.380578,20.69909,4.0,1.0,30,192.30769230769232,01/09/2025
Gdl-Rica_Dep-013K-075_02-02-01_MIDIS-10331-20717,Inm24,Gdl,Ricardo Flores Magón,Ren,Dep,75.0,2.0,1.0,13500.0,,-103.319868,20.717861,41.0,2.0,8,180.0,01/09/2025
Gdl-SanE_Dep-006K-030_01-01-01_LUISJ-10333-20710,Inm24,Gdl,San Elías,Ren,Dep,30.0,1.0,1.0,6500.0,,-103.330813,20.71077,104.0,1.0,15,216.66666666666663,01/09/2025
Gdl-SanJ_Dep-010K-080_02-01-00_Housi-10332-20676,Inm24,Gdl,San Juan de Dios,Ren,Dep,80.0,2.0,,10800.0,,-103.327863,20.676437,293.0,1.0,1,135.0,01/09/2025
Gdl-SanJ_Dep-009K-080_02-01-00_Housi-10332-20676,Inm24,Gdl,San Juan de Dios,Ren,Dep,80.0,2.0,,9500.0,,-103.327914,20.676313,62.0,1.0,10,118.75,01/09/2025
Gdl-SanJ_Dep-009K-075_02-02-02_Herer-10333-20676,Inm24,Gdl,San Juan de Dios,Ren,Dep,75.0,2.0,2.0,9500.0,,-103.334211,20.676178,5.0,2.0,0,126.66666666666669,01/09/2025
Gdl-SanJ_Dep-008K-100_03-01-00_JOSUE-10333-20677,Inm24,Gdl,San Juan de Dios,Ren,Dep,100.0,3.0,,8500.0,,-103.332447,20.677531,25.0,1.0,50,85.0,01/09/2025
Gdl-SanR_Dep-015K-070_02-02-02_Habix-10330-20654,Inm24,Gdl,San Rafael,Ren,Dep,70.0,2.0,2.0,15000.0,,-103.302125,20.654971,34.0,2.0,,214.28571428571428,01/09/2025
Gdl-Sant_Dep-007K-049_01-01-00_Merce-10334-20710,Inm24,Gdl,Santa Elena Estadio,Ren,Dep,49.0,1.0,,7000.0,250.0,-103.340927,20.710397,6.0,1.0,0,142.85714285714286,01/09/2025
Gdl-Sant_Dep-025K-111_02-02-02_ROSMA-10340-20679,Inm24,Gdl,Santa Rita,Ren,Dep,111.0,2.0,2.0,25000.0,,-103.402309,20.679118,146.0,2.0,0,225.2252252252252,01/09/2025
Gdl-Sant_Dep-035K-133_03-02-02_ROSMA-10340-20679,Inm24,Gdl,Santa Rita,Ren,Dep,133.0,3.0,2.0,35000.0,,-103.402309,20.679118,,2.0,5,263.1578947368421,01/09/2025
Gdl-Sant_Dep-040K-115_02-02-02_ROSMA-10340-20679,Inm24,Gdl,Santa Rita,Ren,Dep,115.0,2.0,2.0,40000.0,,-103.402309,20.679118,181.0,2.0,5,347.8260869565217,01/09/2025
Gdl-Suta_Dep-011K-063_02-02-01_AYDEG-10331-20652,Inm24,Gdl,Sutaj,Ren,Dep,63.0,2.0,1.0,11600.0,1000.0,-103.313968,20.652921,12.0,2.0,4,184.12698412698413,01/09/2025
Gdl-Talp_Dep-012K-065_02-01-01_Impac-10330-20685,Inm24,Gdl,Talpita,Ren,Dep,65.0,2.0,1.0,12500.0,,-103.305134,20.68594,1.0,1.0,5,192.30769230769232,01/09/2025
Gdl-Terr_Dep-025K-107_02-02-02_UbiKP-10338-20682,Inm24,Gdl,Terranova,Ren,Dep,107.0,2.0,2.0,25000.0,,-103.388679,20.682146,22.0,2.0,0,233.6448598130841,01/09/2025
Gdl-Vill_Dep-011K-100_03-01-01_TuMej-10333-20701,Inm24,Gdl,Villas de San Juan,Ren,Dep,100.0,3.0,1.0,11500.0,,-103.335266,20.701338,30.0,1.0,17,115.0,01/09/2025
