id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap
Gdl-1deM_Cas-001M-271_03-01-02_GOLDE-10336-20616,Inm24,Gdl,1 de Mayo,Ven,Cas,271.0,3.0,2.0,1724904.0,,-103.361948,20.616544,55.0,1.5,30.0,6364.959409594096,
Gdl-18de_Cas-003M-110_04-02-01_Della-10337-20636,Inm24,Gdl,18 de Marzo,Ven,Cas,110.0,4.0,1.0,3980000.0,,-103.374572,20.636371,47.0,2.0,1.0,36181.81818181818,
Gdl-5deM_Cas-002M-200_03-02-01_Bordh-10335-20627,Inm24,Gdl,5 de Mayo,Ven,Cas,200.0,3.0,1.0,2490000.0,,-103.354361,20.627642,,2.0,1.0,12450.0,
Gdl-8deJ_Cas-002M-110_02-01-00_Evers-10335-20647,Inm24,Gdl,8 de Julio,Ven,Cas,110.0,2.0,,2500000.0,,-103.355859,20.647073,107.0,1.5,20.0,22727.272727272728,
Gdl-8deJ_Cas-002M-100_03-01-00_Evers-10335-20647,Inm24,Gdl,8 de Julio,Ven,Cas,100.0,3.0,,2500000.0,,-103.355859,20.647073,150.0,1.5,21.0,25000.0,
Gdl-8deJ_Cas-002M-100_02-01-00_Evers-10335-20647,Inm24,Gdl,8 de Julio,Ven,Cas,100.0,2.0,,2500000.0,,-103.355859,20.647073,149.0,1.5,20.0,25000.0,
Gdl-8deJ_Cas-002M-120_02-01-00_Evers-10335-20647,Inm24,Gdl,8 de Julio,Ven,Cas,120.0,2.0,,2500000.0,,-103.355859,20.647073,110.0,1.5,40.0,20833.33333333333,
Gdl-Aaro_Cas-005M-240_04-02-02_Kimbe-10327-20684,Inm24,Gdl,Aaron Joaquín,Ven,Cas,240.0,4.0,2.0,5690000.0,,-103.276075,20.684098,131.0,2.5,20.0,23708.33333333333,
Gdl-Alca_Cas-006M-330_04-02-03_HUSRe-10333-20693,Inm24,Gdl,Alcalde Barranquitas,Ven,Cas,330.0,4.0,3.0,6990000.0,,-103.338581,20.693514,102.0,2.5,40.0,21181.81818181818,
Gdl-Alca_Cas-007M-201_04-02-03_iadIn-10334-20693,Inm24,Gdl,Alcalde Barranquitas,Ven,Cas,201.0,4.0,3.0,7500000.0,,-103.341413,20.693824,,2.0,40.0,37313.432835820895,
Gdl-Alda_Cas-002M-091_02-01-01_ISFIN-10327-20659,Inm24,Gdl,Aldama Tetlán,Ven,Cas,91.0,2.0,1.0,2360000.0,,-103.277816,20.659144,111.0,1.0,0.0,25934.065934065933,
Gdl-Alda_Cas-002M-212_04-02-02_Remax-10328-20658,Inm24,Gdl,Aldama Tetlán,Ven,Cas,212.0,4.0,2.0,2850000.0,,-103.285627,20.658998,129.0,2.5,30.0,13443.396226415094,
Gdl-Alda_Cas-002M-120_03-02-00_SEARC-10328-20659,Inm24,Gdl,Aldama Tetlán,Ven,Cas,120.0,3.0,,2730000.0,,-103.282152,20.659125,89.0,2.0,12.0,22750.0,
Gdl-Arbo_Cas-002M-050_02-01-01_GDLPr-10338-20618,Inm24,Gdl,Arboledas Sur,Ven,Cas,50.0,2.0,1.0,2390000.0,1.0,-103.388277,20.618363,101.0,1.0,40.0,47800.0,
Gdl-Arbo_Cas-002M-050_02-01-01_GDLPr-10338-20618,Inm24,Gdl,Arboledas Sur,Ven,Cas,50.0,2.0,1.0,2190000.0,,-103.388277,20.618363,0.0,1.0,0.0,43800.0,
Gdl-Arco_Cas-014M-599_01-02-00_VANES-10337-20673,Inm24,Gdl,Arcos Vallarta,Ven,Cas,599.0,1.0,,14000000.0,,-103.377992,20.673157,111.0,2.5,35.0,23372.28714524207,
Gdl-Arco_Cas-007M-367_03-02-01_Blueh-10338-20677,Inm24,Gdl,Arcos Vallarta,Ven,Cas,367.0,3.0,1.0,7800000.0,,-103.381458,20.677227,83.0,2.5,20.0,21253.40599455041,
Gdl-Atla_Cas-002M-143_04-02-01_Remax-10333-20649,Inm24,Gdl,Atlas,Ven,Cas,143.0,4.0,1.0,2650000.0,,-103.333545,20.649073,135.0,2.0,50.0,18531.46853146853,
Gdl-Atla_Cas-002M-100_02-02-00_Pulpp-10332-20650,Inm24,Gdl,Atlas,Ven,Cas,100.0,2.0,,2700000.0,,-103.329878,20.650041,21.0,2.5,29.0,27000.0,
Gdl-Auto_Cas-003M-156_04-02-01_Avila-10334-20717,Inm24,Gdl,Autocinema,Ven,Cas,156.0,4.0,1.0,3300000.0,,-103.340945,20.71743,209.0,2.0,20.0,21153.846153846152,
Gdl-Auto_Cas-005M-175_04-03-02_JPKEX-10334-20716,Inm24,Gdl,Autocinema,Ven,Cas,175.0,4.0,2.0,5864166.0,,-103.342424,20.716736,44.0,3.5,0.0,33509.52,
Gdl-Ayun_Cas-003M-087_03-03-01_Evers-10337-20695,Inm24,Gdl,Ayuntamiento,Ven,Cas,87.0,3.0,1.0,3300000.0,,-103.371815,20.695823,11.0,3.0,20.0,37931.03448275862,
Gdl-Beat_Cas-002M-150_04-02-00_Rumah-10328-20680,Inm24,Gdl,Beatriz Hernández,Ven,Cas,150.0,4.0,,2890000.0,,-103.282355,20.680862,31.0,2.0,20.0,19266.666666666668,
Gdl-Beli_Cas-002M-114_03-02-00_Centu-10331-20706,Inm24,Gdl,Belisario Domínguez,Ven,Cas,114.0,3.0,,2200000.0,,-103.317747,20.706736,357.0,2.5,0.0,19298.245614035088,
Gdl-Beli_Cas-003M-483_03-02-02_Diego-10332-20684,Inm24,Gdl,Belisario Domínguez,Ven,Cas,483.0,3.0,2.0,3850000.0,,-103.322184,20.684906,,2.0,20.0,7971.014492753623,
Gdl-Blan_Cas-003M-220_04-02-02_Dayan-10330-20679,Inm24,Gdl,Blanco y Cuellar,Ven,Cas,220.0,4.0,2.0,3570000.0,,-103.301304,20.67944,81.0,2.5,15.0,16227.272727272728,
Gdl-Bosq_Cas-009M-468_04-05-04_LICTO-10338-20646,Inm24,Gdl,Bosques de La Victoria,Ven,Cas,468.0,4.0,4.0,9840000.0,,-103.389056,20.646374,1.0,5.0,30.0,21025.641025641027,
Gdl-Bosq_Cas-010M-468_04-05-00_RealH-10339-20644,Inm24,Gdl,Bosques de La Victoria,Ven,Cas,468.0,4.0,,10300000.0,,-103.39265,20.644017,2.0,5.0,0.0,22008.547008547008,
Gdl-Chap_Cas-006M-198_03-03-02_CasaL-10336-20694,Inm24,Gdl,Chapultepec Country,Ven,Cas,198.0,3.0,2.0,6000000.0,,-103.366442,20.694984,99.0,3.0,40.0,30303.030303030304,
Gdl-Circ_Cas-002M-181_03-02-01_SIERR-10331-20694,Inm24,Gdl,Circunvalación Belisario,Ven,Cas,181.0,3.0,1.0,2700000.0,,-103.313771,20.694685,13.0,2.0,20.0,14917.127071823204,
Gdl-Circ_Cas-870K-031_01-01-00_Evers-10331-20692,Inm24,Gdl,Circunvalación Belisario,Ven,Cas,31.0,1.0,,870000.0,,-103.31461,20.692799,,1.0,37.0,28064.516129032258,
Gdl-Circ_Cas-003M-138_02-02-01_DAMAV-10331-20694,Inm24,Gdl,Circunvalación Belisario,Ven,Cas,138.0,2.0,1.0,3800000.0,,-103.317582,20.694796,151.0,2.5,0.0,27536.23188405797,
Gdl-Circ_Cas-002M-105_02-01-01_ALTID-10331-20694,Inm24,Gdl,Circunvalación Belisario,Ven,Cas,105.0,2.0,1.0,2310000.0,,-103.315608,20.694446,41.0,1.0,30.0,22000.0,
Gdl-Circ_Cas-007M-480_04-05-03_ALTIM-10329-20687,Inm24,Gdl,Circunvalación Oblatos,Ven,Cas,480.0,4.0,3.0,7890000.0,,-103.299161,20.687653,,5.5,30.0,16437.5,
Gdl-Circ_Cas-003M-193_01-01-00_GuiaE-10330-20687,Inm24,Gdl,Circunvalación Oblatos,Ven,Cas,193.0,1.0,,3300000.0,,-103.300261,20.687647,19.0,1.0,,17098.445595854922,
