id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2
Gdl-5deM_LocC-004M-183_00-01-00_CENTU-10336-20621,Inm24,Gdl,5 de Mayo,Ven,LocC,183,4.0,,4380000,,-103.360737,20.621012,58.0,1.0,19.0,23934.42623
Gdl-8deJ_LocC-018M-688_06-02-00_MAGNA-10335-20644,Inm24,Gdl,8 de Julio,Ven,LocC,688,6.0,,18800000,,-103.354246,20.644407,,2.0,20.0,27325.5814
Gdl-Anal_LocC-005M-311_00-00-00_ÉIREB-10334-20666,Inm24,Gdl,Analco,Ven,LocC,311,,,5980000,,-103.34068,20.66696,77.0,0.5,21.0,19228.29582
Gdl-Anal_LocC-002M-255_02-01-00_Piso2-10334-20668,Inm24,Gdl,Analco,Ven,LocC,255,2.0,,2430000,,-103.344261,20.668166,176.0,1.0,30.0,9529.411765
Gdl-Arco_LocC-008M-126_03-02-00_BECAT-10337-20667,Inm24,Gdl,Arcos,Ven,LocC,126,3.0,,8500000,,-103.378493,20.667516,39.0,2.5,35.0,67460.31746
Gdl-Arte_LocC-006M-244_00-01-00_InPro-10335-20684,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,LocC,244,,,6300000,,-103.359031,20.684713,31.0,1.5,,25819.67213
Gdl-Arte_LocC-021M-791_00-00-00_INVER-10334-20692,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,LocC,791,,,21228000,,-103.348534,20.692586,,0.0,39.0,26836.9153
Gdl-Arte_LocC-003M-042_00-01-00_MiInm-10336-20687,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,LocC,42,1.0,,3500000,,-103.362607,20.687925,83.0,1.0,10.0,83333.33333
Gdl-Barr_LocC-003M-130_03-01-00_PABLO-10334-20662,Inm24,Gdl,Barragán Hernández,Ven,LocC,130,3.0,,3300000,,-103.340477,20.662983,,1.0,10.0,25384.61538
Gdl-Beli_LocC-012M-369_11-01-00_Remax-10332-20688,Inm24,Gdl,Belisario Domínguez,Ven,LocC,369,11.0,,12800000,,-103.324927,20.688348,36.0,1.5,50.0,34688.34688
Gdl-Beni_LocC-003M-168_02-01-00_GDLPr-10327-20666,Inm24,Gdl,Benito Juárez,Ven,LocC,168,2.0,,3000000,,-103.270462,20.666225,157.0,1.0,0.0,17857.14286
Gdl-Bosq_LocC-005M-270_00-00-00_JABIE-10338-20641,Inm24,Gdl,Bosques de La Victoria,Ven,LocC,270,,,5000000,,-103.388898,20.641938,,0.5,30.0,18518.51852
Gdl-Cent_LocC-021M-356_00-02-00_ROBER-10334-20687,Inm24,Gdl,Centro,Ven,LocC,356,,,21660000,,-103.349603,20.687251,,2.0,23.0,60842.69663
Gdl-Cent_LocC-012M-381_05-01-00_PALOM-10335-20686,Inm24,Gdl,Centro,Ven,LocC,381,5.0,,12955000,,-103.350787,20.686613,85.0,1.0,40.0,34002.62467
Gdl-Chap_LocC-017M-344_00-00-00_PRYAg-10339-20668,Inm24,Gdl,Chapalita,Ven,LocC,344,,,17000000,,-103.399823,20.66862,204.0,0.0,0.0,49418.60465
Gdl-Coli_LocC-002M-051_00-01-00_Viter-10340-20709,Inm24,Gdl,Colinas de San Javier,Ven,LocC,51,1.0,,2590000,,-103.405881,20.709484,,1.0,21.0,50784.31373
Gdl-Coli_LocC-001M-033_00-00-00_VECOR-10340-20701,Inm24,Gdl,Colinas de San Javier,Ven,LocC,33,1.0,,1800000,,-103.400343,20.701179,275.0,0.0,20.0,54545.45455
Gdl-Colo_LocC-013M-180_10-00-00_180ºI-10338-20706,Inm24,Gdl,Colomos Providencia,Ven,LocC,180,10.0,,13500000,,-103.382241,20.706681,,0.5,0.0,75000.0
Gdl-DelF_LocC-022M-1116_10-02-00_SANSE-10336-20650,Inm24,Gdl,Del Fresno,Ven,LocC,1116,10.0,,22000000,,-103.366833,20.650668,11.0,2.5,20.0,19713.26165
Gdl-DelF_LocC-024M-650_06-02-00_Vincu-10336-20657,Inm24,Gdl,Del Fresno,Ven,LocC,650,6.0,,24800000,,-103.36259,20.657371,42.0,2.5,50.0,38153.84615
Gdl-DelS_LocC-002M-187_00-02-00_ZMGIn-10337-20650,Inm24,Gdl,Del Sur,Ven,LocC,187,4.0,,2850000,,-103.371823,20.650837,178.0,2.0,34.0,15240.64171
Gdl-ElCa_LocC-004M-090_05-00-00_SIERR-10339-20619,Inm24,Gdl,El Carmen,Ven,LocC,90,5.0,,4244526,,-103.390261,20.619149,,0.5,0.0,47161.4
Gdl-ElRo_LocC-004M-291_00-02-00_Cauda-10332-20637,Inm24,Gdl,El Rosario,Ven,LocC,291,,,4500000,,-103.326255,20.6378,0.0,2.0,25.0,15463.91753
Gdl-Ferr_LocC-001M-099_01-00-00_CasaA-10334-20655,Inm24,Gdl,Ferrocarril,Ven,LocC,99,1.0,,1650000,,-103.349746,20.655705,,0.5,45.0,16666.66667
Gdl-Herm_LocC-003M-107_03-01-01_REALE-10328-20672,Inm24,Gdl,Hermosa Provincia,Ven,LocC,107,3.0,1.0,3200000,,-103.285336,20.67207,20.0,1.5,30.0,29906.54206
Gdl-Hern_LocC-002M-186_03-02-00_VVInm-10332-20667,Inm24,Gdl,Hernández Romo,Ven,LocC,186,3.0,,2500000,,-103.320427,20.667258,183.0,2.0,35.0,13440.86022
Gdl-Inde_LocC-007M-221_00-00-00_VECOR-10332-20690,Inm24,Gdl,Independencia Oriente,Ven,LocC,221,,,7710000,,-103.324221,20.690937,181.0,0.0,45.0,34886.87783
Gdl-Insu_LocC-008M-100_04-00-00_Impac-10328-20649,Inm24,Gdl,Insurgentes,Ven,LocC,100,4.0,,8000000,,-103.283754,20.649704,101.0,0.5,2.0,80000.0
Gdl-Insu_LocC-001M-070_14-01-00_Dimar-10328-20649,Inm24,Gdl,Insurgentes,Ven,LocC,70,14.0,,1880000,,-103.283917,20.649568,209.0,1.0,10.0,26857.14286
Gdl-Insu_LocC-003M-232_14-02-00_Dimar-10328-20649,Inm24,Gdl,Insurgentes,Ven,LocC,232,14.0,,3740000,,-103.283917,20.649568,208.0,2.0,10.0,16120.68966
Gdl-Jard_LocC-007M-250_00-03-00_INMOB-10334-20703,Inm24,Gdl,Jardines Alcalde,Ven,LocC,250,,,7500000,,-103.344097,20.70345,54.0,3.0,10.0,30000.0
Gdl-Jard_LocC-021M-381_00-01-00_Viter-10339-20668,Inm24,Gdl,Jardines de Los Arcos,Ven,LocC,381,,,21200000,,-103.391535,20.668534,231.0,1.0,10.0,55643.04462
Gdl-Jard_LocC-004M-330_02-02-00_ABRAS-10328-20644,Inm24,Gdl,Jardines de Los Historiadores,Ven,LocC,330,2.0,,4990000,,-103.284777,20.644789,141.0,2.5,13.0,15121.21212
Gdl-Jard_LocC-029M-820_10-01-00_GRUPO-10338-20666,Inm24,Gdl,Jardines del Bosque,Ven,LocC,820,10.0,,29900000,,-103.388697,20.666229,239.0,1.0,40.0,36463.41463
Gdl-Jard_LocC-005M-129_00-00-00_180ºI-10339-20666,Inm24,Gdl,Jardines del Bosque,Ven,LocC,129,3.0,,5752508,,-103.390423,20.666287,,0.0,0.0,44593.08527
Gdl-Juan_LocC-020M-402_00-00-00_METTA-10339-20680,Inm24,Gdl,Juan Manuel,Ven,LocC,402,,,20000000,21502.0,-103.39139,20.68061,,0.0,5.0,49751.24378
Gdl-Juan_LocC-020M-402_00-00-00_VERME-10339-20679,Inm24,Gdl,Juan Manuel,Ven,LocC,402,,,20000000,,-103.39185,20.679728,,0.0,,49751.24378
Gdl-LaAu_LocC-003M-146_00-01-00_PARED-10334-20659,Inm24,Gdl,La Aurora,Ven,LocC,146,3.0,,3490000,,-103.349609,20.659699,176.0,1.0,23.0,23904.10959
Gdl-LaGu_LocC-750K-100_00-00-00_Blueh-10334-20700,Inm24,Gdl,La Guadalupana,Ven,LocC,100,2.0,,750000,,-103.34896,20.700561,114.0,0.0,15.0,7500.0
Gdl-LaPe_LocC-001M-150_00-01-00_VVInm-10331-20668,Inm24,Gdl,La Penal,Ven,LocC,150,3.0,,1800000,,-103.316405,20.668663,222.0,1.0,0.0,12000.0
Gdl-LaPe_LocC-018M-872_00-00-00_Inmue-10331-20667,Inm24,Gdl,La Penal,Ven,LocC,872,,,18000000,,-103.318411,20.667389,76.0,4.0,0.0,20642.20183
Gdl-LaPe_LocC-008M-550_00-01-00_JABIE-10331-20667,Inm24,Gdl,La Penal,Ven,LocC,550,,,8900000,,-103.315075,20.66703,216.0,1.0,30.0,16181.81818
Gdl-LaPe_LocC-005M-224_01-02-00_JGCBI-10333-20684,Inm24,Gdl,La Perla,Ven,LocC,224,1.0,,5900000,,-103.333565,20.68475,98.0,2.0,30.0,26339.28571
Gdl-LaPe_LocC-001M-081_00-00-00_CASAM-10333-20681,Inm24,Gdl,La Perla,Ven,LocC,81,2.0,,1100000,,-103.335454,20.681191,,0.5,30.0,13580.24691
Gdl-LasC_LocC-018M-950_15-01-00_LICDA-10334-20661,Inm24,Gdl,Las Conchas,Ven,LocC,950,15.0,,18165000,,-103.341662,20.66151,,1.0,25.0,19121.05263
Gdl-LasC_LocC-003M-264_00-01-00_Viter-10334-20661,Inm24,Gdl,Las Conchas,Ven,LocC,264,,,3950000,,-103.342645,20.661517,11.0,1.0,48.0,14962.12121
Gdl-LasH_LocC-003M-211_00-01-00_SINTO-10331-20674,Inm24,Gdl,Las Huertas,Ven,LocC,211,,,3099000,,-103.314867,20.674404,,1.0,,14687.20379
Gdl-Loma_LocC-001M-148_01-00-00_INMOB-10336-20625,Inm24,Gdl,Lomas de Polanco,Ven,LocC,148,1.0,,1550000,,-103.367824,20.625954,183.0,0.5,,10472.97297
Gdl-Mexi_LocC-006M-143_00-01-00_BIENE-10335-20668,Inm24,Gdl,Mexicaltzingo,Ven,LocC,143,3.0,,6857836,,-103.35048,20.668036,0.0,1.0,0.0,47956.8951
Gdl-Mexi_LocC-004M-100_00-01-00_BIENE-10335-20668,Inm24,Gdl,Mexicaltzingo,Ven,LocC,100,2.0,,4810569,,-103.35048,20.668036,2.0,1.0,0.0,48105.69
Gdl-Mezq_LocC-004M-244_00-01-00_Remax-10335-20697,Inm24,Gdl,Mezquitán,Ven,LocC,244,,,4500000,,-103.357546,20.697826,335.0,1.5,30.0,18442.62295
Gdl-Mezq_LocC-002M-067_02-02-01_PALOM-10335-20696,Inm24,Gdl,Mezquitán,Ven,LocC,67,2.0,1.0,2754548,,-103.352167,20.696327,5.0,2.0,0.0,41112.65672
Gdl-Mezq_LocC-007M-376_00-01-00_Inmob-10335-20695,Inm24,Gdl,Mezquitán,Ven,LocC,376,,,7800000,,-103.3548,20.695699,,1.5,25.0,20744.68085
Gdl-Mira_LocC-004M-218_00-01-00_Remax-10334-20614,Inm24,Gdl,Miravalle,Ven,LocC,218,,,4200000,,-103.345109,20.614359,14.0,1.0,21.0,19266.05505
Gdl-Mode_LocC-003M-139_00-00-00_MOISE-10335-20663,Inm24,Gdl,Moderna,Ven,LocC,139,3.0,,3800000,,-103.354334,20.663528,37.0,0.5,51.0,27338.1295
Gdl-Mode_LocC-017M-818_00-00-00_CityR-10335-20664,Inm24,Gdl,Moderna,Ven,LocC,818,2.0,,17200000,,-103.352416,20.664271,299.0,1.0,65.0,21026.89487
Gdl-Monu_LocC-007M-243_00-03-00_CasaA-10332-20698,Inm24,Gdl,Monumental,Ven,LocC,243,,,7500000,,-103.329281,20.698331,,3.5,40.0,30864.19753
Gdl-Olim_LocC-002M-129_00-00-00_VECOR-10332-20659,Inm24,Gdl,Olimpica,Ven,LocC,129,3.0,,2850000,,-103.323493,20.659224,300.0,0.0,40.0,22093.02326
Gdl-Olim_LocC-003M-275_03-03-04_CENTU-10332-20652,Inm24,Gdl,Olimpica,Ven,LocC,275,3.0,4.0,3100000,,-103.321495,20.652637,,3.5,24.0,11272.72727
Gdl-Prog_LocC-004M-520_04-02-01_Inmue-10330-20673,Inm24,Gdl,Progreso,Ven,LocC,520,4.0,1.0,4100000,,-103.309846,20.673046,297.0,2.0,45.0,7884.615385
Gdl-Real_LocC-004M-404_14-03-00_CENTU-10333-20668,Inm24,Gdl,Real,Ven,LocC,404,14.0,,4800000,,-103.331716,20.668742,,3.5,44.0,11881.18812
Gdl-SanA_LocC-014M-319_08-01-00_Remax-10329-20657,Inm24,Gdl,San Andrés,Ven,LocC,319,8.0,,14800000,,-103.293329,20.657972,37.0,1.5,25.0,46394.98433
