id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap
Gdl-Amer_Ofc-010M-561_08-06-00_Lucy-10336-20670,Inm24,Gdl,Americana,Ven,Ofc,561.0,8.0,,10200000.0,,-103.365931,20.67018,64.0,6.5,26,18181.81818181818,01/09/2025
Gdl-Amer_Ofc-026M-1219_00-05-00_Centu-10336-20671,Inm24,Gdl,Americana,Ven,Ofc,1219.0,,,26400000.0,,-103.367902,20.671179,,5.0,54,21657.09598031173,01/09/2025
Gdl-Amer_Ofc-018M-812_04-06-00_Sierr-10337-20672,Inm24,Gdl,Americana,Ven,Ofc,812.0,4.0,,18000000.0,,-103.376008,20.672629,49.0,6.0,5,22167.487684729065,01/09/2025
Gdl-Amer_Ofc-001M-051_01-01-01_Andre-10337-20675,Inm24,Gdl,Americana,Ven,Ofc,51.0,1.0,1.0,1599999.0,,-103.371839,20.675168,146.0,1.0,0,31372.529411764703,01/09/2025
Gdl-Arco_Ofc-008M-506_00-09-00_Impul-10337-20667,Inm24,Gdl,Arcos,Ven,Ofc,506.0,,,8599000.0,,-103.379142,20.667025,23.0,9.0,20,16994.07114624506,01/09/2025
Gdl-Chap_Ofc-015M-800_00-00-00_HHASE-10339-20661,Inm24,Gdl,Chapalita,Ven,Ofc,800.0,,,15990000.0,,-103.393886,20.661095,355.0,0.0,2,19987.5,01/09/2025
Gdl-Chap_Ofc-007M-330_02-03-00_Vival-10339-20663,Inm24,Gdl,Chapalita,Ven,Ofc,330.0,2.0,,7800000.0,7103.0,-103.39454,20.663031,50.0,3.0,25,23636.36363636364,01/09/2025
Gdl-Chap_Ofc-015M-800_03-02-00_HHASE-10340-20666,Inm24,Gdl,Chapalita,Ven,Ofc,800.0,3.0,,15990000.0,,-103.400607,20.666809,220.0,2.0,27,19987.5,01/09/2025
Gdl-Chap_Ofc-002M-187_05-02-00_Arren-10339-20667,Inm24,Gdl,Chapalita,Ven,Ofc,187.0,5.0,,2805000.0,,-103.396774,20.667076,,2.0,1,15000.0,01/09/2025
Gdl-Chap_Ofc-023M-516_19-06-04_MOOBI-10336-20696,Inm24,Gdl,Chapultepec Country,Ven,Ofc,516.0,19.0,4.0,23000000.0,,-103.367035,20.696512,356.0,6.5,6,44573.64341085271,01/09/2025
Gdl-Coli_Ofc-005M-074_02-00-00_DIANA-10340-20705,Inm24,Gdl,Colinas de San Javier,Ven,Ofc,74.0,2.0,,5265666.0,,-103.403378,20.705398,,0.0,0,71157.64864864865,01/09/2025
Gdl-Coli_Ofc-007M-074_02-00-00_bonit-10339-20694,Inm24,Gdl,Colinas de San Javier,Ven,Ofc,74.0,2.0,,7200000.0,,-103.39992,20.694801,,0.0,0,97297.2972972973,01/09/2025
Gdl-Colo_Ofc-004M-233_01-03-00_PRYAg-10337-20640,Inm24,Gdl,Colon Industrial,Ven,Ofc,233.0,1.0,,4490000.0,,-103.373485,20.640138,1.0,3.0,42,19270.38626609442,01/09/2025
Gdl-Colo_Ofc-004M-233_00-03-00_PRYAg-10337-20640,Inm24,Gdl,Colon Industrial,Ven,Ofc,233.0,,,4490000.0,,-103.373485,20.640138,51.0,3.0,40,19270.38626609442,01/09/2025
Gdl-DelB_Ofc-026M-896_16-09-18_Grupo-10338-20655,Inm24,Gdl,Del Bosque,Ven,Ofc,896.0,16.0,18.0,26500000.0,,-103.38649,20.655962,230.0,9.0,35,29575.89285714286,01/09/2025
Gdl-Inde_Ofc-001M-049_01-00-00_Openh-10333-20690,Inm24,Gdl,Independencia Oriente,Ven,Ofc,49.0,1.0,,1300000.0,,-103.333237,20.690493,205.0,0.5,,26530.61224489796,01/09/2025
