id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap
Gdl-8deJ_Terr-005M-353_10-05-01_Basma-10335-20644,Inm24,Gdl,8 de Julio,Ven,Terreno / Lote,353.0,10.0,1.0,5800000.0,,-103.35397,20.644864,21.0,5.0,50.0,16430.594900849857,
Gdl-Alca_Terr-008M-1000_00-00-00_TopGr-10334-20693,Inm24,Gdl,Alcalde Barranquitas,Ven,Terreno / Lote,1000.0,,,8690000.0,,-103.346717,20.693091,,0.0,0.0,8690.0,
Gdl-Alca_Terr-013M-1734_00-00-00_TopGr-10334-20693,Inm24,Gdl,Alcalde Barranquitas,Ven,Terreno / Lote,1734.0,,,13130195.0,,-103.346717,20.693091,,0.0,0.0,7572.200115340253,
Gdl-Alda_Terr-855K-090_00-00-00_DHRIn-10327-20658,Inm24,Gdl,Aldama Tetlán,Ven,Terreno / Lote,90.0,2.0,,855000.0,,-103.271185,20.658137,96.0,0.0,0.0,9500.0,
Gdl-Amer_Terr-042M-1456_00-00-00_UbiKP-10335-20673,Inm24,Gdl,Americana,Ven,Terreno / Lote,1456.0,,,42224000.0,,-103.359705,20.67387,115.0,0.0,0.0,29000.0,
Gdl-Amer_Terr-043M-1241_00-00-00_SILDU-10337-20672,Inm24,Gdl,Americana,Ven,Terreno / Lote,1241.0,,,43704000.0,,-103.372368,20.672088,,0.0,0.0,35216.76067687349,
Gdl-Anal_Terr-016M-1513_00-00-00_AMCoB-10334-20666,Inm24,Gdl,Analco,Ven,Terreno / Lote,1513.0,,,16000000.0,,-103.34068,20.66696,,0.0,15.0,10575.01652346332,
Gdl-Anal_Terr-020M-1890_00-00-00_CasaL-10334-20665,Inm24,Gdl,Analco,Ven,Terreno / Lote,1890.0,,,20790000.0,,-103.341455,20.665697,,0.0,,11000.0,
Gdl-Arco_Terr-019M-600_00-00-00_PRYAg-10337-20668,Inm24,Gdl,Arcos,Ven,Terreno / Lote,600.0,,,19780000.0,,-103.378659,20.668595,88.0,0.0,9.0,32966.666666666664,
Gdl-Arco_Terr-026M-649_00-00-00_VECOR-10337-20667,Inm24,Gdl,Arcos,Ven,Terreno / Lote,649.0,2.0,,26500000.0,,-103.377609,20.667395,293.0,3.0,0.0,40832.04930662558,
Gdl-Arco_Terr-006M-320_00-00-00_Viter-10337-20667,Inm24,Gdl,Arcos,Ven,Terreno / Lote,320.0,,,6938000.0,,-103.378927,20.667338,340.0,0.0,0.0,21681.25,
Gdl-Arco_Terr-026M-978_00-00-00_Fiabl-10338-20671,Inm24,Gdl,Arcos Vallarta,Ven,Terreno / Lote,978.0,,,26000000.0,,-103.380251,20.671364,297.0,0.0,0.0,26584.86707566462,
Gdl-Arco_Terr-014M-464_08-04-04_Colum-10338-20676,Inm24,Gdl,Arcos Vallarta,Ven,Terreno / Lote,464.0,8.0,4.0,14500000.0,,-103.383101,20.676811,110.0,4.5,50.0,31250.0,
Gdl-Arco_Terr-023M-1063_00-00-00_KWGRA-10338-20673,Inm24,Gdl,Arcos Vallarta,Ven,Terreno / Lote,1063.0,,,23000000.0,,-103.38039,20.673337,191.0,0.0,0.0,21636.87676387582,
Gdl-Atla_Terr-001M-167_00-00-00_LinkI-10332-20647,Inm24,Gdl,Atlas,Ven,Terreno / Lote,167.0,4.0,,1390000.0,,-103.326749,20.647238,14.0,0.0,0.0,8323.353293413174,
Gdl-Ayun_Terr-006M-210_00-00-00_YABEA-10337-20695,Inm24,Gdl,Ayuntamiento,Ven,Terreno / Lote,210.0,,,6200000.0,,-103.371227,20.695486,,0.0,1.0,29523.809523809523,
Gdl-Barr_Terr-014M-1400_00-00-00_AnaCy-10333-20662,Inm24,Gdl,Barragán Hernández,Ven,Terreno / Lote,1400.0,,,14000000.0,,-103.339178,20.662637,,0.0,10.0,10000.0,
Gdl-Barr_Terr-011M-1122_00-00-00_AnaCy-10333-20662,Inm24,Gdl,Barragán Hernández,Ven,Terreno / Lote,1122.0,,,11000000.0,,-103.339178,20.662637,,0.0,10.0,9803.921568627453,
Gdl-Blan_Terr-022M-1379_00-00-00_Impac-10330-20682,Inm24,Gdl,Blanco y Cuellar,Ven,Terreno / Lote,1379.0,,,22000000.0,,-103.302196,20.682389,,0.0,50.0,15953.589557650472,
Gdl-Bosq_Terr-017M-707_00-01-00_INMOB-10339-20645,Inm24,Gdl,Bosques de La Victoria,Ven,Terreno / Lote,707.0,,,17000000.0,,-103.394306,20.645077,338.0,1.0,5.0,24045.261669024047,
Gdl-Bosq_Terr-008M-357_00-00-00_COLLH-10339-20646,Inm24,Gdl,Bosques de La Victoria,Ven,Terreno / Lote,357.0,,,8000000.0,,-103.392239,20.646877,,0.0,0.0,22408.96358543417,
Gdl-Cent_Terr-012M-1190_00-00-00_Grupo-10335-20687,Inm24,Gdl,Centro,Ven,Terreno / Lote,1190.0,,,12000001.0,,-103.352877,20.687102,,0.0,0.0,10084.034453781513,
Gdl-Cent_Terr-018M-1214_00-00-00_PRYAg-10335-20686,Inm24,Gdl,Centro,Ven,Terreno / Lote,1214.0,,,18000000.0,,-103.350787,20.686613,,0.0,0.0,14827.018121911038,
Gdl-Cent_Terr-004M-102_00-00-00_PRYAg-10334-20687,Inm24,Gdl,Centro,Ven,Terreno / Lote,102.0,2.0,,4168000.0,,-103.349986,20.687919,305.0,0.0,31.0,40862.74509803922,
Gdl-Circ_Terr-006M-346_00-00-00_VECOR-10329-20687,Inm24,Gdl,Circunvalación Oblatos,Ven,Terreno / Lote,346.0,,,6784123.0,,-103.299658,20.687181,,0.0,,19607.29190751445,
Gdl-Circ_Terr-013M-689_00-00-00_VECOR-10329-20687,Inm24,Gdl,Circunvalación Oblatos,Ven,Terreno / Lote,689.0,,,13500000.0,,-103.299658,20.687181,,0.0,,19593.61393323657,
Gdl-Circ_Terr-006M-343_00-00-00_VECOR-10329-20687,Inm24,Gdl,Circunvalación Oblatos,Ven,Terreno / Lote,343.0,,,6715597.0,,-103.299658,20.687181,,0.0,,19579.0,
Gdl-Circ_Terr-022M-1587_01-01-00_MAGGI-10330-20688,Inm24,Gdl,Circunvalación Oblatos,Ven,Terreno / Lote,1587.0,1.0,,22220000.0,,-103.300881,20.688878,,1.5,1.0,14001.260239445495,
Gdl-Coli_Terr-001M-180_00-00-00_Vince-10330-20723,Inm24,Gdl,Colinas de Huentitán,Ven,Terreno / Lote,180.0,4.0,,1830708.0,,-103.303757,20.723998,21.0,0.0,0.0,10170.6,
Gdl-Coli_Terr-600K-090_00-00-00_EJEIN-10330-20726,Inm24,Gdl,Colinas de Huentitán,Ven,Terreno / Lote,90.0,2.0,,600000.0,,-103.301354,20.726855,,0.0,5.0,6666.666666666667,
Gdl-Coun_Terr-024M-621_00-00-00_ALEJA-10336-20704,Inm24,Gdl,Country Club,Ven,Terreno / Lote,621.0,,,24840000.0,,-103.365216,20.704924,76.0,0.0,50.0,40000.0,
Gdl-DelF_Terr-002M-129_03-01-00_REIIN-10336-20660,Inm24,Gdl,Del Fresno,Ven,Terreno / Lote,129.0,3.0,,2390000.0,,-103.369556,20.66019,17.0,1.0,40.0,18527.131782945737,
Gdl-DelF_Terr-002M-084_00-00-00_REIIN-10337-20659,Inm24,Gdl,Del Fresno,Ven,Terreno / Lote,84.0,2.0,,2550000.0,,-103.372453,20.659226,17.0,0.0,0.0,30357.14285714286,
Gdl-DelP_Terr-003M-400_00-00-00_Guada-10333-20661,Inm24,Gdl,Del Periodista,Ven,Terreno / Lote,400.0,,,3000000.0,,-103.333509,20.661312,34.0,0.0,1.0,7500.0,
Gdl-ElCa_Terr-990K-104_00-00-00_GRUPO-10338-20620,Inm24,Gdl,El Carmen,Ven,Terreno / Lote,104.0,2.0,,990000.0,,-103.38322,20.620096,263.0,0.0,0.0,9519.23076923077,
