id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap
Zap-Alta_CasC-030K-208_03-02-03_ENLAC-10338-20713,Inm24,Zap,Altamira,Ren,CasC,208.0,3.0,3.0,30000.0,,-103.388628,20.713686,1.0,2.5,10.0,144.23076923076923,
Zap-Armo_CasC-020K-100_03-02-02_Grupo-10344-20746,Inm24,Zap,Armonía,Ren,CasC,100.0,3.0,2.0,20000.0,1.0,-103.444313,20.746045,74.0,2.5,8.0,200.0,
Zap-Armo_CasC-018K-120_03-02-02_Grupo-10344-20746,Inm24,Zap,Armonía,Ren,CasC,120.0,3.0,2.0,18000.0,1.0,-103.444313,20.746045,94.0,2.5,,150.0,
Zap-Atla_CasC-045K-380_03-03-04_ArqPa-10340-20715,Inm24,Zap,Atlas Colomos,Ren,CasC,380.0,3.0,4.0,45000.0,3000.0,-103.403596,20.715729,44.0,3.5,,118.42105263157896,
Zap-Autó_CasC-015K-127_03-03-02_Maria-10348-20619,Inm24,Zap,Autódromo,Ren,CasC,127.0,3.0,2.0,15000.0,,-103.480384,20.619352,5.0,3.5,4.0,118.11023622047244,
Zap-Bosq_CasC-115K-499_05-06-05_MSGin-10343-20695,Inm24,Zap,Bosque de Los Virreyes,Ren,CasC,499.0,5.0,5.0,115000.0,,-103.433876,20.695932,39.0,6.0,10.0,230.46092184368737,
Zap-Bosq_CasC-030K-231_05-05-02_GuiaE-10347-20719,Inm24,Zap,Bosques Vallarta,Ren,CasC,231.0,5.0,2.0,30000.0,3048.0,-103.475147,20.719632,17.0,5.0,5.0,129.87012987012986,
Zap-Bosq_CasC-026K-150_03-03-02_Grupo-10337-20776,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ren,CasC,150.0,3.0,2.0,26000.0,,-103.378455,20.776711,88.0,3.0,20.0,173.33333333333334,
Zap-Bosq_CasC-066K-552_04-04-05_JABIE-10335-20781,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ren,CasC,552.0,4.0,5.0,66000.0,4000.0,-103.358677,20.781701,37.0,4.5,0.0,119.56521739130434,
Zap-Bosq_CasC-029K-238_03-03-03_1erNi-10336-20788,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ren,CasC,238.0,3.0,3.0,29000.0,,-103.360431,20.788,29.0,3.0,3.0,121.84873949579833,
Zap-Carr_CasC-018K-171_03-02-02_Acert-10341-20789,Inm24,Zap,Carrara,Ren,CasC,171.0,3.0,2.0,18000.0,1200.0,-103.414454,20.78944,67.0,2.5,3.0,105.26315789473684,
Zap-Coli_CasC-048K-460_03-04-03_ASESO-10343-20701,Inm24,Zap,Colinas Virreyes,Ren,CasC,460.0,3.0,3.0,48000.0,,-103.434933,20.701516,16.0,4.0,7.0,104.34782608695652,
Zap-Coto_CasC-016K-108_03-03-02_GRUPO-10342-20782,Inm24,Zap,Coto Abie,Ren,CasC,108.0,3.0,2.0,16000.0,800.0,-103.422113,20.782322,17.0,3.0,0.0,148.14814814814815,
Zap-Coto_CasC-019K-170_03-03-02_Capri-10342-20782,Inm24,Zap,Coto Abie,Ren,CasC,170.0,3.0,2.0,19000.0,,-103.423464,20.782755,10.0,3.0,0.0,111.76470588235294,
Zap-Coto_CasC-017K-158_03-02-02_GuiaE-10341-20788,Inm24,Zap,Coto F2 Norte Sienna,Ren,CasC,158.0,3.0,2.0,17893.0,,-103.413864,20.788189,66.0,2.5,3.0,113.24683544303798,
Zap-Coto_CasC-019K-151_03-02-02_Venta-10340-20767,Inm24,Zap,Coto Vitana,Ren,CasC,151.0,3.0,2.0,19000.0,,-103.406603,20.767131,43.0,2.5,2.0,125.82781456953644,
Zap-DeLo_CasC-045K-301_03-03-02_MSGin-10343-20685,Inm24,Zap,De Los Novelistas,Ren,CasC,301.0,3.0,2.0,45000.0,,-103.430133,20.685766,25.0,3.5,5.0,149.5016611295681,
Zap-DelV_CasC-016K-130_03-03-02_SUZAM-10342-20741,Inm24,Zap,Del Valle,Ren,CasC,130.0,3.0,2.0,16600.0,,-103.428761,20.741061,1.0,3.0,6.0,127.6923076923077,
Zap-ElBa_CasC-053K-320_04-04-03_ALTUR-10346-20700,Inm24,Zap,El Bajo Hábitat 2,Ren,CasC,320.0,4.0,3.0,53000.0,,-103.466291,20.700989,176.0,4.0,4.0,165.625,
Zap-ElBa_CasC-045K-320_03-04-03_CityR-10346-20700,Inm24,Zap,El Bajo Hábitat 2,Ren,CasC,320.0,3.0,3.0,45000.0,,-103.466321,20.700883,0.0,4.0,8.0,140.625,
Zap-ElCa_CasC-017K-143_03-02-02_GRUPO-10354-20735,Inm24,Zap,El Campestre,Ren,CasC,143.0,3.0,2.0,17900.0,,-103.542529,20.735982,47.0,2.5,6.0,125.17482517482516,
Zap-ElCe_CasC-016K-129_03-02-03_HEIRe-10338-20773,Inm24,Zap,El Centinela,Ren,CasC,129.0,3.0,3.0,16500.0,,-103.385886,20.773105,309.0,2.5,5.0,127.90697674418604,
Zap-ElFo_CasC-018K-147_04-03-02_Inver-10347-20623,Inm24,Zap,El Fortín,Ren,CasC,147.0,4.0,2.0,18500.0,,-103.470826,20.623132,166.0,3.5,5.0,125.85034013605444,
Zap-Guad_CasC-033K-207_04-04-03_MAGNA-10349-20729,Inm24,Zap,Guadalajara (Technology Park),Ren,CasC,207.0,4.0,3.0,33000.0,,-103.491319,20.729369,45.0,4.0,0.0,159.42028985507247,
Zap-Jard_CasC-028K-180_03-03-02_Grupo-10343-20736,Inm24,Zap,Jardín Real,Ren,CasC,180.0,3.0,2.0,28000.0,1.0,-103.438295,20.736285,157.0,3.0,10.0,155.55555555555554,
Zap-Jard_CasC-045K-280_04-03-03_PRYAg-10343-20734,Inm24,Zap,Jardín Real,Ren,CasC,280.0,4.0,3.0,45000.0,,-103.43698,20.734067,8.0,3.5,2.0,160.71428571428572,
Zap-LaCe_CasC-120K-500_04-05-04_Grupo-10342-20716,Inm24,Zap,La Ceiba,Ren,CasC,500.0,4.0,4.0,120000.0,3661.0,-103.425205,20.716158,39.0,5.0,,240.0,
Zap-LaCi_CasC-028K-212_04-03-02_LizAp-10341-20752,Inm24,Zap,La Cima,Ren,CasC,212.0,4.0,2.0,28000.0,,-103.410321,20.752707,20.0,3.0,10.0,132.0754716981132,
Zap-LaCi_CasC-025K-206_04-04-02_HORIZ-10341-20754,Inm24,Zap,La Cima,Ren,CasC,206.0,4.0,2.0,25500.0,,-103.413503,20.754528,73.0,4.0,6.0,123.7864077669903,
Zap-LaCi_CasC-030K-142_04-03-02_TREGO-10341-20748,Inm24,Zap,La Cima,Ren,CasC,142.0,4.0,2.0,30000.0,,-103.414029,20.748452,164.0,3.0,7.0,211.2676056338028,
Zap-LaCi_CasC-021K-180_03-02-02_CENTU-10341-20754,Inm24,Zap,La Cima,Ren,CasC,180.0,3.0,2.0,21500.0,,-103.413503,20.754528,29.0,2.5,9.0,119.44444444444444,
Zap-LaMo_CasC-012K-100_03-02-02_1erNi-10345-20795,Inm24,Zap,La Moraleja,Ren,CasC,100.0,3.0,2.0,12500.0,700.0,-103.451391,20.795127,62.0,2.5,7.0,125.0,
Zap-LasF_CasC-035K-250_04-02-03_GRUPO-10342-20626,Inm24,Zap,Las Fuentes,Ren,CasC,250.0,4.0,3.0,35000.0,,-103.428511,20.62616,9.0,2.5,10.0,140.0,
Zap-LasL_CasC-130K-590_05-06-06_GuiaE-10344-20711,Inm24,Zap,Las Lomas Golf Hábitat,Ren,CasC,590.0,5.0,6.0,130000.0,9000.0,-103.442631,20.711884,,6.0,12.0,220.33898305084745,
Zap-Loma_CasC-030K-218_03-02-02_Vangu-10340-20638,Inm24,Zap,Loma Bonita,Ren,CasC,218.0,3.0,2.0,30800.0,,-103.409758,20.638161,0.0,2.5,4.0,141.28440366972478,
Zap-Loma_CasC-029K-180_04-03-02_Claud-10340-20684,Inm24,Zap,Lomas Altas,Ren,CasC,180.0,4.0,2.0,29500.0,400.0,-103.40931,20.684059,62.0,3.5,13.0,163.88888888888889,
Zap-Loma_CasC-016K-098_02-02-01_Milko-10335-20723,Inm24,Zap,Lomas del Batan,Ren,CasC,98.0,2.0,1.0,16000.0,,-103.351069,20.723978,12.0,2.5,5.0,163.26530612244898,
Zap-LosP_CasC-050K-380_04-05-03_YABEA-10344-20607,Inm24,Zap,Los Pinos,Ren,CasC,380.0,4.0,3.0,50000.0,,-103.441062,20.607246,45.0,5.0,1.0,131.57894736842104,
Zap-Mona_CasC-020K-110_03-03-02_ADRIA-10342-20741,Inm24,Zap,Monarca,Ren,CasC,110.0,3.0,2.0,20600.0,,-103.424916,20.741141,235.0,3.0,13.0,187.27272727272728,
Zap-Oliv_CasC-055K-328_03-04-03_PRYAg-10345-20735,Inm24,Zap,Olivos Residencial,Ren,CasC,328.0,3.0,3.0,55000.0,,-103.459125,20.735017,15.0,4.0,0.0,167.6829268292683,
Zap-Oliv_CasC-053K-326_04-05-04_PRYAg-10345-20733,Inm24,Zap,Olivos Residencial,Ren,CasC,326.0,4.0,4.0,53000.0,,-103.459852,20.733599,15.0,5.0,17.0,162.5766871165644,
Zap-Parq_CasC-020K-095_03-02-02_MAGNA-10343-20744,Inm24,Zap,Parque Real,Ren,CasC,95.0,3.0,2.0,20000.0,,-103.43723,20.744529,52.0,2.5,8.0,210.52631578947367,
Zap-Parq_CasC-014K-106_03-03-01_Grupo-10338-20760,Inm24,Zap,Parques del Centinela,Ren,CasC,106.0,3.0,1.0,14500.0,,-103.387328,20.760202,37.0,3.0,,136.7924528301887,
Zap-Pont_CasC-100K-522_04-04-03_GuiaE-10341-20714,Inm24,Zap,Pontevedra,Ren,CasC,522.0,4.0,3.0,100000.0,,-103.413318,20.714754,259.0,4.5,13.0,191.57088122605364,
