id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap
Zap-Agrí_Cas-017K-130_04-02-04_María-10343-20615,Inm24,Zap,Agrícola,Ren,Cas,130.0,4.0,4.0,17500.0,,-103.430562,20.615322,4.0,2.5,5.0,134.6153846153846,
Zap-Agua_Cas-017K-089_03-03-02_INMOB-10343-20599,Inm24,Zap,Agua Blanca Sur,Ren,Cas,89.0,3.0,2.0,17500.0,,-103.43456,20.599728,38.0,3.0,15.0,196.6292134831461,
Zap-Alta_Cas-023K-211_03-03-03_CasaA-10339-20744,Inm24,Zap,Altagracia,Ren,Cas,211.0,3.0,3.0,23500.0,,-103.392558,20.744807,111.0,3.0,15.0,111.3744075829384,
Zap-Arau_Cas-068K-293_03-02-02_SIERR-10346-20733,Inm24,Zap,Arauca I,Ren,Cas,293.0,3.0,2.0,68000.0,2500.0,-103.463189,20.733788,58.0,2.5,6.0,232.08191126279863,
Zap-Arau_Cas-057K-300_03-04-03_Grupo-10346-20736,Inm24,Zap,Arauca II,Ren,Cas,300.0,3.0,3.0,57500.0,,-103.467867,20.736416,22.0,4.5,5.0,191.66666666666663,
Zap-Arbo_Cas-012K-097_02-02-02_INMOB-10346-20784,Inm24,Zap,Arboreto Residencial,Ren,Cas,97.0,2.0,2.0,12500.0,,-103.467905,20.784664,0.0,2.5,0.0,128.8659793814433,
Zap-Arco_Cas-059K-508_03-04-04_Gueva-10343-20667,Inm24,Zap,Arcos de Guadalupe,Ren,Cas,508.0,3.0,4.0,59000.0,,-103.436496,20.667187,31.0,4.0,20.0,116.14173228346456,
Zap-Arco_Cas-028K-266_03-02-04_Chast-10343-20666,Inm24,Zap,Arcos de Guadalupe,Ren,Cas,266.0,3.0,4.0,28000.0,,-103.43446,20.666213,8.0,2.5,28.0,105.26315789473684,
Zap-Arco_Cas-038K-215_04-04-03_SADES-10343-20662,Inm24,Zap,Arcos de Guadalupe,Ren,Cas,215.0,4.0,3.0,38000.0,,-103.434211,20.662689,27.0,4.5,,176.74418604651163,
Zap-Armo_Cas-018K-110_03-02-02_Grupo-10344-20745,Inm24,Zap,Armonía,Ren,Cas,110.0,3.0,2.0,18000.0,,-103.443748,20.745556,351.0,2.5,9.0,163.63636363636363,
Zap-Ayam_Cas-090K-600_04-04-04_AAInm-10346-20675,Inm24,Zap,Ayamonte,Ren,Cas,600.0,4.0,4.0,90000.0,,-103.467073,20.675263,9.0,4.5,,150.0,
Zap-Ayam_Cas-139K-827_05-05-06_SIENT-10346-20671,Inm24,Zap,Ayamonte,Ren,Cas,827.0,5.0,6.0,139000.0,,-103.464173,20.671319,1.0,5.0,3.0,168.07738814993954,
Zap-Base_Cas-065K-534_06-04-04_HOUMR-10346-20733,Inm24,Zap,Base Aérea Militar No 5,Ren,Cas,534.0,6.0,4.0,65000.0,,-103.462368,20.733061,42.0,4.0,65.0,121.72284644194757,
Zap-Base_Cas-029K-220_03-03-02_MUROR-10346-20727,Inm24,Zap,Base Aérea Militar No 5,Ren,Cas,220.0,3.0,2.0,29000.0,,-103.466698,20.727448,0.0,3.0,12.0,131.8181818181818,
Zap-Bell_Cas-013K-124_03-03-02_Garan-10346-20779,Inm24,Zap,Bellissimo,Ren,Cas,124.0,3.0,2.0,13000.0,650.0,-103.463751,20.779109,36.0,3.0,7.0,104.83870967741936,
Zap-Bosq_Cas-033K-210_03-03-02_ADRIA-10347-20718,Inm24,Zap,Bosques Vallarta,Ren,Cas,210.0,3.0,2.0,33000.0,,-103.477902,20.718174,34.0,3.0,5.0,157.14285714285714,
Zap-Bosq_Cas-034K-247_04-03-02_ÚNICA-10347-20719,Inm24,Zap,Bosques Vallarta,Ren,Cas,247.0,4.0,2.0,34000.0,,-103.479007,20.719537,67.0,3.5,2.0,137.6518218623482,
Zap-Bosq_Cas-013K-114_03-02-00_Centu-10343-20774,Inm24,Zap,Bosques de San Gonzalo,Ren,Cas,114.0,3.0,,13000.0,,-103.433209,20.774446,13.0,2.5,13.0,114.03508771929825,
Zap-Cami_Cas-022K-180_03-03-01_ABRIE-10341-20673,Inm24,Zap,Camino Real,Ren,Cas,180.0,3.0,1.0,22500.0,,-103.410954,20.673193,15.0,3.0,0.0,125.0,
Zap-Cant_Cas-016K-100_03-02-02_Sierr-10338-20762,Inm24,Zap,Canteras del Centinela,Ren,Cas,100.0,3.0,2.0,16000.0,1000.0,-103.384495,20.762302,0.0,2.5,6.0,160.0,
Zap-Cent_Cas-029K-180_04-02-01_MCTBi-10338-20726,Inm24,Zap,Centro,Ren,Cas,180.0,4.0,1.0,29500.0,,-103.389513,20.726761,39.0,2.0,,163.88888888888889,
Zap-Chap_Cas-065K-281_04-03-02_Openh-10340-20662,Inm24,Zap,Chapalita Sur,Ren,Cas,281.0,4.0,2.0,65000.0,,-103.400722,20.662008,34.0,3.0,50.0,231.3167259786477,
Zap-Chap_Cas-060K-440_07-02-04_Espac-10340-20658,Inm24,Zap,Chapalita Sur,Ren,Cas,440.0,7.0,4.0,60000.0,,-103.403695,20.658836,16.0,2.5,20.0,136.36363636363637,
Zap-Ciud_Cas-060K-450_04-04-04_SIERR-10347-20609,Inm24,Zap,Ciudad Bugambilias,Ren,Cas,450.0,4.0,4.0,60000.0,,-103.473159,20.609334,45.0,4.5,13.0,133.33333333333334,
Zap-Ciud_Cas-039K-292_04-03-03_ISFIN-10340-20657,Inm24,Zap,Ciudad del Sol,Ren,Cas,292.0,4.0,3.0,39000.0,,-103.405378,20.657179,22.0,3.5,20.0,133.56164383561645,
Zap-Ciud_Cas-095K-650_07-07-08_Grupo-10340-20646,Inm24,Zap,Ciudad del Sol,Ren,Cas,650.0,7.0,8.0,95000.0,,-103.409187,20.646668,35.0,7.5,,146.15384615384616,
Zap-Ciud_Cas-035K-300_04-02-03_CityR-10340-20651,Inm24,Zap,Ciudad del Sol,Ren,Cas,300.0,4.0,3.0,35900.0,,-103.408497,20.651327,19.0,2.0,2.0,119.66666666666669,
Zap-Ciud_Cas-085K-600_07-06-04_ÚNICA-10340-20656,Inm24,Zap,Ciudad del Sol,Ren,Cas,600.0,7.0,4.0,85000.0,,-103.408294,20.656219,49.0,6.0,15.0,141.66666666666666,
Zap-Cole_Cas-016K-100_02-02-02_Inmob-10344-20750,Inm24,Zap,Colegio del Aire,Ren,Cas,100.0,2.0,2.0,16000.0,,-103.440504,20.750787,1.0,2.5,5.0,160.0,
Zap-Coli_Cas-016K-090_03-02-01_Flore-10339-20768,Inm24,Zap,Colinas El Centinela,Ren,Cas,90.0,3.0,1.0,16500.0,,-103.391222,20.768129,227.0,2.5,12.0,183.33333333333331,
Zap-Coli_Cas-069K-400_03-04-03_Mistr-10340-20696,Inm24,Zap,Colinas de San Javier,Ren,Cas,400.0,3.0,3.0,69500.0,,-103.40638,20.696618,59.0,4.5,25.0,173.75,
Zap-Coli_Cas-119K-532_03-04-04_Remax-10340-20700,Inm24,Zap,Colinas de San Javier,Ren,Cas,532.0,3.0,4.0,119000.0,,-103.403884,20.700623,27.0,4.5,17.0,223.68421052631575,
Zap-Conj_Cas-065K-600_06-07-00_Andre-10338-20717,Inm24,Zap,Conjunto Patria,Ren,Cas,600.0,6.0,,65000.0,,-103.380219,20.717566,29.0,7.0,25.0,108.33333333333331,
Zap-Coto_Cas-019K-108_03-03-02_CASTU-10342-20782,Inm24,Zap,Coto Abie,Ren,Cas,108.0,3.0,2.0,19000.0,,-103.421355,20.782639,15.0,3.0,0.0,175.92592592592592,
Zap-Coto_Cas-013K-099_02-02-02_GRUPO-10342-20791,Inm24,Zap,Coto Alva 2,Ren,Cas,99.0,2.0,2.0,13600.0,,-103.422728,20.791032,34.0,2.5,1.0,137.37373737373738,
Zap-Coto_Cas-012K-089_02-02-02_CasaA-10348-20620,Inm24,Zap,Coto Amalfi,Ren,Cas,89.0,2.0,2.0,12000.0,,-103.482707,20.620242,0.0,2.5,15.0,134.8314606741573,
Zap-Coto_Cas-015K-147_03-03-02_CasaA-10340-20767,Inm24,Zap,Coto Las Ventanas,Ren,Cas,147.0,3.0,2.0,15000.0,,-103.406372,20.767489,59.0,3.5,15.0,102.04081632653062,
Zap-Coto_Cas-019K-130_03-03-02_BROKE-10341-20785,Inm24,Zap,Coto Zoi,Ren,Cas,130.0,3.0,2.0,19000.0,,-103.41259,20.785249,35.0,3.5,2.0,146.15384615384616,
Zap-DeLo_Cas-016K-096_03-02-02_CasaA-10343-20745,Inm24,Zap,De Los Fresnos,Ren,Cas,96.0,3.0,2.0,16500.0,,-103.433975,20.745108,44.0,2.5,15.0,171.875,
Zap-DelP_Cas-036K-215_03-03-02_Capit-10344-20663,Inm24,Zap,Del Parque,Ren,Cas,215.0,3.0,2.0,36000.0,,-103.447568,20.663297,2.0,3.5,0.0,167.4418604651163,
Zap-DelV_Cas-024K-183_03-02-02_Herna-10342-20740,Inm24,Zap,Del Valle,Ren,Cas,183.0,3.0,2.0,24000.0,,-103.42925,20.740589,53.0,2.5,,131.14754098360655,
Zap-ElCa_Cas-013K-115_03-02-02_Inmue-10354-20738,Inm24,Zap,El Campestre,Ren,Cas,115.0,3.0,2.0,13500.0,,-103.54386,20.738411,6.0,2.5,8.0,117.3913043478261,
Zap-ElCa_Cas-010K-084_03-02-01_Flore-10354-20741,Inm24,Zap,El Campestre,Ren,Cas,84.0,3.0,1.0,10500.0,1000.0,-103.543141,20.741544,0.0,2.5,6.0,125.0,
Zap-ElCo_Cas-019K-117_01-02-02_DiezB-10343-20643,Inm24,Zap,El Colli Urbano,Ren,Cas,117.0,1.0,2.0,19000.0,,-103.431659,20.643199,28.0,2.5,1.0,162.39316239316238,
Zap-ElCo_Cas-019K-135_03-03-02_Espac-10343-20643,Inm24,Zap,El Colli Urbano,Ren,Cas,135.0,3.0,2.0,19500.0,,-103.434276,20.643087,1.0,3.5,19.0,144.44444444444446,
