id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2
Zap-27de_Dep-013K-075_03-02-01_AYDEG-10335-20725,Inm24,Zap,27 de Septiembre,Ren,Dep,75,3.0,1.0,13000,,-103.359322,20.725873,5.0,2.0,4.0,173.3333333
Zap-Alam_Dep-018K-060_01-01-01_GRANP-10343-20763,Inm24,Zap,Alamitos,Ren,Dep,60,1.0,1.0,18000,,-103.437544,20.76309,165.0,1.5,2.0,300.0
Zap-Alma_Dep-005K-044_02-01-01_JCINM-10347-20782,Inm24,Zap,Alma Terra,Ren,Dep,44,2.0,1.0,5500,450.0,-103.477332,20.78299,77.0,1.0,1.0,125.0
Zap-Alta_Dep-021K-098_03-02-02_Impul-10338-20711,Inm24,Zap,Altamira,Ren,Dep,98,3.0,2.0,21500,,-103.383428,20.711242,1.0,2.0,25.0,219.3877551
Zap-Alta_Dep-025K-085_02-02-02_HHASE-10338-20712,Inm24,Zap,Altamira,Ren,Dep,85,2.0,2.0,25000,,-103.3884,20.712888,40.0,2.0,20.0,294.1176471
Zap-Alta_Dep-029K-118_02-02-02_CoruR-10338-20713,Inm24,Zap,Altamira,Ren,Dep,118,2.0,2.0,29500,,-103.386003,20.7137,29.0,2.5,2.0,250.0
Zap-Alta_Dep-029K-118_02-02-02_Aleja-10338-20713,Inm24,Zap,Altamira,Ren,Dep,118,2.0,2.0,29000,,-103.386003,20.7137,16.0,2.5,0.0,245.7627119
Zap-Arco_Dep-008K-035_02-01-01_GDLIN-10340-20743,Inm24,Zap,Arcos de Zapopan,Ren,Dep,35,2.0,1.0,8600,,-103.406765,20.743394,0.0,1.0,2.0,245.7142857
Zap-Aren_Dep-009K-042_01-01-01_ASSRV-10345-20630,Inm24,Zap,Arenales Tapatíos,Ren,Dep,42,1.0,1.0,9500,,-103.455014,20.630681,1.0,1.0,0.0,226.1904762
Zap-Atla_Dep-028K-092_02-02-02_MONIC-10343-20658,Inm24,Zap,Atlas Chapalita,Ren,Dep,92,2.0,2.0,28000,,-103.431654,20.658911,9.0,2.0,5.0,304.3478261
Zap-Base_Dep-023K-085_02-02-02_MAGNA-10345-20726,Inm24,Zap,Base Aérea Militar No 5,Ren,Dep,85,2.0,2.0,23000,,-103.457729,20.726746,56.0,2.0,4.0,270.5882353
Zap-Base_Dep-019K-038_01-01-01_QUEEN-10347-20741,Inm24,Zap,Base Aérea Militar No 5,Ren,Dep,38,1.0,1.0,19000,,-103.475022,20.741056,261.0,1.0,5.0,500.0
Zap-Bele_Dep-016K-060_02-02-02_CLAUD-10339-20735,Inm24,Zap,Belenes Norte,Ren,Dep,60,2.0,2.0,16500,,-103.396742,20.735959,91.0,2.0,0.0,275.0
Zap-Bore_Dep-016K-055_02-01-01_Jalis-10339-20756,Inm24,Zap,Boreales,Ren,Dep,55,2.0,1.0,16800,,-103.397021,20.756873,28.0,1.0,3.0,305.4545455
Zap-Bore_Dep-015K-079_02-02-01_GRUPO-10339-20757,Inm24,Zap,Boreales,Ren,Dep,79,2.0,1.0,15500,,-103.396998,20.757193,58.0,2.0,0.0,196.2025316
Zap-Bore_Dep-012K-055_02-01-01_GRUPO-10339-20755,Inm24,Zap,Boreales,Ren,Dep,55,2.0,1.0,12500,1500.0,-103.396068,20.755773,56.0,1.0,4.0,227.2727273
Zap-Bore_Dep-014K-071_02-02-02_GRUPO-10339-20757,Inm24,Zap,Boreales,Ren,Dep,71,2.0,2.0,14300,,-103.397092,20.757409,27.0,2.0,0.0,201.4084507
Zap-Bosq_Dep-049K-220_04-04-04_Punta-10343-20693,Inm24,Zap,Bosque de Los Virreyes,Ren,Dep,220,4.0,4.0,49000,5000.0,-103.432167,20.69372,315.0,4.0,5.0,222.7272727
Zap-Bosq_Dep-011K-050_01-01-01_MURVA-10336-20779,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ren,Dep,50,1.0,1.0,11000,,-103.365949,20.779615,26.0,1.0,10.0,220.0
Zap-Chap_Dep-017K-072_02-01-01_MINAK-10340-20663,Inm24,Zap,Chapalita Oriente,Ren,Dep,72,2.0,1.0,17000,,-103.407503,20.663114,9.0,1.0,30.0,236.1111111
Zap-Chap_Dep-014K-040_02-01-01_Laura-10340-20662,Inm24,Zap,Chapalita Sur,Ren,Dep,40,2.0,1.0,14000,500.0,-103.402249,20.66213,1.0,1.0,3.0,350.0
Zap-Chap_Dep-007K-036_01-01-00_Andre-10340-20661,Inm24,Zap,Chapalita Sur,Ren,Dep,36,1.0,,7200,,-103.403322,20.661292,11.0,1.0,15.0,200.0
Zap-Chap_Dep-009K-040_01-01-00_Inmue-10342-20658,Inm24,Zap,Chapalita de Occidente,Ren,Dep,40,1.0,,9300,,-103.424063,20.658928,76.0,1.0,1.0,232.5
Zap-Chap_Dep-023K-070_01-01-00_KEIZI-10342-20658,Inm24,Zap,Chapalita de Occidente,Ren,Dep,70,1.0,,23000,2100.0,-103.425892,20.658807,1.0,1.0,0.0,328.5714286
