id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap
Zap-Agra_Cas-006M-169_03-03-02_HUSRe-10338-20712,Inm24,Zap,Agraria,Ven,Cas,169.0,3.0,2.0,6890000.0,2000.0,-103.383587,20.712705,,3.5,,40769.230769230766,
Zap-Agua_Cas-004M-274_04-04-00_Manue-10343-20600,Inm24,Zap,Agua Blanca Sur,Ven,Cas,274.0,4.0,,4000000.0,,-103.432897,20.600985,,4.0,28.0,14598.540145985402,
Zap-Alcá_Cas-027M-423_03-03-04_DACHV-10342-20696,Inm24,Zap,Alcázar Oriente,Ven,Cas,423.0,3.0,4.0,27500000.0,,-103.42628,20.696079,228.0,3.5,8.0,65011.82033096927,
Zap-Alcá_Cas-026M-350_04-03-02_NUBOA-10342-20696,Inm24,Zap,Alcázar Oriente,Ven,Cas,350.0,4.0,2.0,26256999.0,,-103.425989,20.696196,,3.5,0.0,75019.99714285714,
Zap-Alcá_Cas-028M-423_03-03-04_DACHV-10342-20696,Inm24,Zap,Alcázar Oriente,Ven,Cas,423.0,3.0,4.0,28000000.0,,-103.42628,20.696079,,3.5,,66193.85342789599,
Zap-Alma_Cas-002M-105_02-02-00_MetRe-10347-20783,Inm24,Zap,Alma Terra,Ven,Cas,105.0,2.0,,2999999.0,,-103.47725,20.783459,,2.5,0.0,28571.41904761905,
Zap-Alta_Cas-002M-120_03-03-04_veron-10346-20788,Inm24,Zap,Altaluz,Ven,Cas,120.0,3.0,4.0,2450000.0,900.0,-103.462137,20.78811,288.0,3.5,5.0,20416.666666666668,
Zap-Alta_Cas-002M-084_02-02-02_Ferna-10346-20786,Inm24,Zap,Altaluz,Ven,Cas,84.0,2.0,2.0,2000000.0,800.0,-103.462769,20.786653,24.0,2.5,5.0,23809.52380952381,
Zap-Alte_Cas-002M-091_03-03-02_Centu-10345-20768,Inm24,Zap,Altezza,Ven,Cas,91.0,3.0,2.0,2399000.0,700.0,-103.451687,20.76849,55.0,3.0,9.0,26362.637362637364,
Zap-Altu_Cas-001M-092_03-02-02_REIIN-10347-20782,Inm24,Zap,Altus Quintas,Ven,Cas,92.0,3.0,2.0,1850000.0,400.0,-103.479719,20.782654,16.0,2.5,10.0,20108.695652173912,
Zap-Alvi_Cas-002M-140_03-03-02_Inmue-10348-20788,Inm24,Zap,Alviento II,Ven,Cas,140.0,3.0,2.0,2095000.0,650.0,-103.483333,20.788936,,3.0,,14964.285714285714,
Zap-Alvi_Cas-002M-134_03-03-02_AS01A-10348-20789,Inm24,Zap,Alviento II,Ven,Cas,134.0,3.0,2.0,2500000.0,500.0,-103.483645,20.789415,,3.0,,18656.716417910447,
Zap-Ampl_Cas-002M-250_04-03-02_Impac-10350-20804,Inm24,Zap,Ampliación Santa Lucia,Ven,Cas,250.0,4.0,2.0,2800000.0,,-103.500566,20.804768,183.0,3.0,8.0,11200.0,
Zap-Arco_Cas-003M-105_03-03-01_Franc-10341-20742,Inm24,Zap,Arcos de Zapopan,Ven,Cas,105.0,3.0,1.0,3150000.0,,-103.41206,20.742163,41.0,3.0,35.0,30000.0,
Zap-Armo_Cas-004M-185_03-03-02_Angel-10344-20746,Inm24,Zap,Armonía,Ven,Cas,185.0,3.0,2.0,4685000.0,,-103.443513,20.746337,,3.0,,25324.324324324323,
Zap-Arra_Cas-002M-098_02-03-02_CLICK-10348-20630,Inm24,Zap,Arrayanes Hábitat,Ven,Cas,98.0,2.0,2.0,2550000.0,600.0,-103.483334,20.63099,2.0,3.0,14.0,26020.408163265307,
Zap-Arra_Cas-002M-108_03-03-02_PRIMA-10348-20632,Inm24,Zap,Arrayanes Hábitat,Ven,Cas,108.0,3.0,2.0,2895000.0,500.0,-103.484925,20.63242,,3.0,,26805.555555555555,
Zap-Arro_Cas-003M-550_04-04-00_INMOB-10334-20738,Inm24,Zap,Arroyo Hondo,Ven,Cas,550.0,4.0,,3875000.0,,-103.343377,20.738554,318.0,4.0,21.0,7045.454545454545,
Zap-Arro_Cas-002M-212_00-00-00_KWGRA-10334-20740,Inm24,Zap,Arroyo Hondo,Ven,Cas,212.0,3.0,,2950000.0,,-103.347899,20.740873,30.0,2.0,,13915.09433962264,
Zap-Atla_Cas-001M-090_03-01-00_Evers-10339-20716,Inm24,Zap,Atlas Colomos,Ven,Cas,90.0,3.0,,1900000.0,,-103.399374,20.716765,,1.0,25.0,21111.11111111111,
Zap-Atla_Cas-014M-350_03-03-04_Grupo-10340-20715,Inm24,Zap,Atlas Colomos,Ven,Cas,350.0,3.0,4.0,14999000.0,,-103.401975,20.71568,,3.5,,42854.28571428572,
Zap-Atla_Cas-019M-471_03-03-00_FRAVA-10340-20716,Inm24,Zap,Atlas Colomos,Ven,Cas,471.0,3.0,,19850000.0,3500.0,-103.401943,20.71629,,3.5,,42144.37367303609,
Zap-Atla_Cas-011M-450_04-05-03_Royal-10340-20715,Inm24,Zap,Atlas Colomos,Ven,Cas,450.0,4.0,3.0,11850000.0,,-103.405439,20.715634,,5.0,0.0,26333.33333333333,
Zap-Ayam_Cas-032M-500_04-04-02_NUBOA-10346-20678,Inm24,Zap,Ayamonte,Ven,Cas,500.0,4.0,2.0,32500999.0,,-103.464986,20.678069,73.0,4.5,0.0,65001.998,
Zap-Ayam_Cas-029M-400_04-04-02_NUBOA-10346-20678,Inm24,Zap,Ayamonte,Ven,Cas,400.0,4.0,2.0,29900999.0,,-103.464986,20.678069,74.0,4.5,0.0,74752.4975,
Zap-Bell_Cas-002M-104_02-02-01_MAGNO-10346-20778,Inm24,Zap,Bellissimo,Ven,Cas,104.0,2.0,1.0,2200000.0,,-103.464241,20.778653,60.0,2.5,8.0,21153.846153846152,
Zap-Beni_Cas-004M-205_03-03-02_Black-10334-20729,Inm24,Zap,Benito Juárez,Ven,Cas,205.0,3.0,2.0,4910000.0,,-103.341813,20.729519,113.0,3.0,4.0,23951.219512195123,
Zap-Beni_Cas-003M-254_03-02-02_ALEJA-10333-20733,Inm24,Zap,Benito Juárez,Ven,Cas,254.0,3.0,2.0,3900000.0,,-103.339211,20.733692,60.0,2.0,50.0,15354.330708661417,
Zap-Beni_Cas-004M-231_03-04-02_KALI2-10333-20733,Inm24,Zap,Benito Juárez,Ven,Cas,231.0,3.0,2.0,4300000.0,,-103.339211,20.733692,,4.0,0.0,18614.71861471861,
Zap-Bosq_Cas-039M-632_04-03-05_Inspi-10342-20697,Inm24,Zap,Bosque de Los Lagos,Ven,Cas,632.0,4.0,5.0,39800000.0,,-103.426208,20.69706,246.0,3.5,0.0,62974.6835443038,
Zap-Bosq_Cas-039M-632_04-04-05_Garan-10342-20697,Inm24,Zap,Bosque de Los Lagos,Ven,Cas,632.0,4.0,5.0,39800000.0,,-103.42553,20.697889,37.0,4.5,0.0,62974.6835443038,
Zap-Bosq_Cas-032M-400_04-04-02_NUBOA-10343-20693,Inm24,Zap,Bosque de Los Virreyes,Ven,Cas,400.0,4.0,2.0,32058999.0,,-103.432342,20.69393,74.0,4.5,0.0,80147.4975,
Zap-Bosq_Cas-003M-096_02-02-02_KWGRA-10340-20760,Inm24,Zap,Bosque de Valdepeñas,Ven,Cas,96.0,2.0,2.0,3688000.0,,-103.40207,20.760894,52.0,2.0,,38416.66666666666,
Zap-Bosq_Cas-001M-108_03-02-02_Habix-10343-20771,Inm24,Zap,Bosques del Encino,Ven,Cas,108.0,3.0,2.0,1990000.0,,-103.43249,20.771611,9.0,2.0,,18425.925925925927,
Zap-Buga_Cas-005M-157_03-02-02_CASTU-10345-20612,Inm24,Zap,Bugambilias Country,Ven,Cas,157.0,3.0,2.0,5650000.0,,-103.455529,20.61275,97.0,2.5,18.0,35987.261146496814,
Zap-Caje_Cas-003M-280_04-04-00_Remax-10342-20586,Inm24,Zap,Cajetes 100,Ven,Cas,280.0,4.0,,3900000.0,,-103.423832,20.586725,36.0,4.5,0.0,13928.57142857143,
Zap-Call_Cas-001M-091_03-03-01_Angel-10347-20782,Inm24,Zap,Callejón del Bosque,Ven,Cas,91.0,3.0,1.0,1570000.0,,-103.470894,20.782207,,3.0,,17252.747252747253,
Zap-Call_Cas-013M-445_04-04-02_Tratt-10343-20691,Inm24,Zap,Callejón del Parque,Ven,Cas,445.0,4.0,2.0,13500000.0,,-103.431168,20.691873,176.0,4.5,35.0,30337.078651685395,
Zap-Cant_Cas-010M-237_04-03-05_Centu-10338-20763,Inm24,Zap,Canteras del Centinela,Ven,Cas,237.0,4.0,5.0,10950000.0,,-103.382606,20.763159,106.0,3.0,39.0,46202.53164556962,
Zap-Cant_Cas-003M-130_03-03-02_Kstor-10338-20761,Inm24,Zap,Canteras del Centinela,Ven,Cas,130.0,3.0,2.0,3890000.0,450.0,-103.384362,20.761734,11.0,3.0,18.0,29923.07692307692,
Zap-Cant_Cas-003M-138_03-02-01_Remax-10338-20764,Inm24,Zap,Canteras del Centinela,Ven,Cas,138.0,3.0,1.0,3970000.0,,-103.38629,20.764197,,2.5,,28768.115942028984,
Zap-Cant_Cas-001M-078_02-01-01_Evers-10338-20764,Inm24,Zap,Canteras del Centinela,Ven,Cas,78.0,2.0,1.0,1625000.0,,-103.384027,20.764147,,1.0,,20833.33333333333,
Zap-Cant_Cas-003M-119_02-03-00_MONIC-10333-20727,Inm24,Zap,Canteros,Ven,Cas,119.0,2.0,,3200000.0,,-103.339751,20.727156,,3.0,0.0,26890.756302521007,
Zap-Cast_Cas-008M-325_03-04-02_HUSRe-10349-20612,Inm24,Zap,Castaños,Ven,Cas,325.0,3.0,2.0,8950000.0,,-103.491291,20.612291,157.0,4.5,3.0,27538.46153846154,
Zap-Cima_Cas-021M-457_04-04-10_VECOR-10343-20721,Inm24,Zap,Cima Real,Ven,Cas,457.0,4.0,1.0,21490000.0,,-103.435664,20.721911,114.0,4.0,5.0,47024.07002188184,
Zap-Cima_Cas-015M-346_03-03-02_Cauda-10343-20722,Inm24,Zap,Cima Real,Ven,Cas,346.0,3.0,2.0,15250000.0,2388.0,-103.435743,20.722112,64.0,3.0,5.0,44075.14450867052,
Zap-Cima_Cas-013M-277_03-03-04_DORAN-10343-20721,Inm24,Zap,Cima Real,Ven,Cas,277.0,3.0,4.0,13500000.0,,-103.435004,20.721308,,3.5,10.0,48736.462093862814,
Zap-Cima_Cas-016M-359_04-05-04_CityR-10343-20720,Inm24,Zap,Cima Real,Ven,Cas,359.0,4.0,4.0,16900000.0,,-103.435938,20.72099,,5.5,1.0,47075.20891364903,
Zap-Coli_Cas-004M-096_03-03-02_DiHou-10337-20746,Inm24,Zap,Colina de Los Belenes,Ven,Cas,96.0,3.0,2.0,4800000.0,,-103.375336,20.746017,204.0,3.0,7.0,50000.0,
Zap-Coli_Cas-002M-119_03-02-02_LICGR-10337-20747,Inm24,Zap,Colina de Los Belenes,Ven,Cas,119.0,3.0,2.0,2995000.0,,-103.374474,20.747155,168.0,2.5,0.0,25168.067226890755,
Zap-Coli_Cas-003M-170_03-02-02_LICGR-10337-20744,Inm24,Zap,Colina de Los Belenes,Ven,Cas,170.0,3.0,2.0,3850000.0,,-103.37496,20.744761,169.0,2.5,0.0,22647.058823529413,
Zap-Coli_Cas-003M-119_03-02-02_LICGR-10337-20744,Inm24,Zap,Colina de Los Belenes,Ven,Cas,119.0,3.0,2.0,3100000.0,,-103.37496,20.744761,,2.0,0.0,26050.420168067227,
Zap-Coli_Cas-007M-292_04-05-02_VECOR-10339-20768,Inm24,Zap,Colinas El Centinela,Ven,Cas,292.0,4.0,2.0,7900000.0,,-103.391222,20.768129,45.0,5.0,1.0,27054.794520547945,
Zap-Coli_Cas-004M-149_03-01-02_PRIMA-10339-20768,Inm24,Zap,Colinas El Centinela,Ven,Cas,149.0,3.0,2.0,4300000.0,,-103.391222,20.768129,24.0,1.5,10.0,28859.060402684565,
Zap-Coli_Cas-004M-140_03-03-02_MartÃ-10339-20768,Inm24,Zap,Colinas El Centinela,Ven,Cas,140.0,3.0,2.0,4000000.0,950.0,-103.391222,20.768129,,3.5,0.0,28571.42857142857,
Zap-Coli_Cas-023M-394_04-05-03_REPRO-10343-20702,Inm24,Zap,Colinas Virreyes,Ven,Cas,394.0,4.0,3.0,23300000.0,3300.0,-103.436108,20.702964,101.0,5.0,0.0,59137.05583756345,
Zap-Coli_Cas-018M-380_03-04-04_GuiaE-10343-20701,Inm24,Zap,Colinas Virreyes,Ven,Cas,380.0,3.0,4.0,18500000.0,,-103.436096,20.701535,,4.5,,48684.21052631579,
Zap-Coli_Cas-007M-153_03-03-02_QUEEN-10336-20719,Inm24,Zap,Colinas de Atemajac,Ven,Cas,153.0,3.0,2.0,7500000.0,,-103.366198,20.719076,135.0,3.5,30.0,49019.60784313725,
