id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2
Zap-Acac_Dep-006M-101_02-02-03_VECOR-10341-20676,Inm24,Zap,Acacias,Ven,Dep,101,2.0,3.0,6190000,3000.0,-103.412366,20.676812,44.0,2.0,6.0,61287.12871
Zap-Acac_Dep-006M-101_02-03-02_VECOR-10341-20676,Inm24,Zap,Acacias,Ven,Dep,101,2.0,2.0,6190000,3000.0,-103.412366,20.676812,191.0,3.0,5.0,61287.12871
Zap-Acac_Dep-003M-100_03-02-01_GRUPO-10341-20676,Inm24,Zap,Acacias,Ven,Dep,100,3.0,1.0,3995000,,-103.41233,20.676755,14.0,2.0,0.0,39950.0
Zap-Agrí_Dep-002M-059_01-01-02_KWGRA-10342-20612,Inm24,Zap,Agrícola,Ven,Dep,59,1.0,2.0,2195000,1700.0,-103.429686,20.612935,169.0,1.5,0.0,37203.38983
Zap-Alma_Dep-001M-060_02-01-01_CESAR-10347-20782,Inm24,Zap,Alma Terra,Ven,Dep,60,2.0,1.0,1790000,300.0,-103.477332,20.78299,32.0,1.0,1.0,29833.33333
Zap-Alma_Dep-930K-048_02-01-01_HOME2-10347-20783,Inm24,Zap,Alma Terra,Ven,Dep,48,2.0,1.0,930000,,-103.475801,20.783061,19.0,1.0,1.0,19375.0
Zap-Alma_Dep-899K-061_02-01-01_Adria-10347-20783,Inm24,Zap,Alma Terra,Ven,Dep,61,2.0,1.0,899000,899000.0,-103.476217,20.78322,33.0,1.0,0.0,14737.70492
Zap-Alta_Dep-001M-053_02-01-01_Carlo-10339-20740,Inm24,Zap,Altagracia,Ven,Dep,53,2.0,1.0,1170000,,-103.391551,20.740944,73.0,1.0,35.0,22075.4717
Zap-Alta_Dep-004M-111_03-02-01_VECOR-10338-20709,Inm24,Zap,Altamira,Ven,Dep,111,3.0,1.0,4500000,400.0,-103.388161,20.709998,64.0,2.0,35.0,40540.54054
Zap-Alta_Dep-004M-072_02-02-01_PRYAg-10338-20709,Inm24,Zap,Altamira,Ven,Dep,72,2.0,1.0,4512500,,-103.388161,20.709998,96.0,2.5,0.0,62673.61111
Zap-Alta_Dep-006M-117_02-02-02_Perso-10338-20714,Inm24,Zap,Altamira,Ven,Dep,117,2.0,2.0,6250000,5000.0,-103.386511,20.714081,,2.5,1.0,53418.80342
Zap-Alvi_Dep-001M-047_02-01-01_Centu-10348-20789,Inm24,Zap,Alviento,Ven,Dep,47,2.0,1.0,1250000,,-103.481887,20.789051,224.0,1.0,3.0,26595.74468
Zap-Arbo_Dep-002M-107_03-02-02_Manue-10346-20788,Inm24,Zap,Arboledas de Tesistán,Ven,Dep,107,3.0,2.0,2600000,1000.0,-103.469146,20.788427,21.0,2.0,4.0,24299.06542
Zap-Aren_Dep-001M-042_01-01-01_GuiaE-10345-20631,Inm24,Zap,Arenales Tapatíos,Ven,Dep,42,1.0,1.0,1750000,1100.0,-103.454947,20.631529,360.0,1.0,1.0,41666.66667
Zap-Aren_Dep-002M-059_02-02-01_INVER-10345-20630,Inm24,Zap,Arenales Tapatíos,Ven,Dep,59,2.0,1.0,2380000,,-103.455014,20.630681,12.0,2.0,2.0,40338.98305
Zap-Aren_Dep-002M-059_02-02-01_Erika-10345-20630,Inm24,Zap,Arenales Tapatíos,Ven,Dep,59,2.0,1.0,2380000,,-103.455031,20.630843,228.0,2.0,2.0,40338.98305
Zap-Atem_Dep-001M-054_02-01-01_Espac-10335-20715,Inm24,Zap,Atemajac del Valle,Ven,Dep,54,2.0,1.0,1295000,,-103.353421,20.715333,311.0,1.0,27.0,23981.48148
Zap-Atla_Dep-005M-100_01-02-02_ZMGIn-10340-20716,Inm24,Zap,Atlas Colomos,Ven,Dep,100,1.0,2.0,5346410,,-103.402417,20.716504,,2.5,,53464.1
