id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap
Zap-Arco_Ofc-028M-600_09-00-00_Capit-10343-20664,Inm24,Zap,Arcos de Guadalupe,Ven,Ofc,600.0,9.0,,28350000.0,,-103.432006,20.66414,,0.0,5.0,47250.0,
Zap-Chap_Ofc-017M-498_11-05-00_Flore-10340-20657,Inm24,Zap,Chapalita Sur,Ven,Ofc,498.0,11.0,,17200000.0,,-103.400498,20.657954,251.0,5.0,60.0,34538.152610441764,
Zap-Ciud_Ofc-002M-037_00-00-00_Avila-10345-20674,Inm24,Zap,Ciudad Granja,Ven,Ofc,37.0,1.0,,2995000.0,3117.0,-103.451732,20.674585,98.0,0.0,0.0,80945.94594594595,
Zap-Ciud_Ofc-002M-037_00-00-00_VECOR-10344-20683,Inm24,Zap,Ciudad Granja,Ven,Ofc,37.0,1.0,,2295000.0,2560.0,-103.445149,20.6835,98.0,0.0,0.0,62027.02702702703,
Zap-Ciud_Ofc-002M-031_01-00-00_BRADA-10344-20683,Inm24,Zap,Ciudad Granja,Ven,Ofc,31.0,1.0,,2272920.0,2583.0,-103.445149,20.6835,101.0,0.0,1.0,73320.0,
Zap-Jaca_Ofc-009M-169_04-10-00_METTA-10338-20713,Inm24,Zap,Jacarandas,Ven,Ofc,169.0,4.0,,9766369.0,,-103.382446,20.71327,309.0,1.0,,57789.16568047337,
Zap-Jaca_Ofc-008M-090_13-00-00_KWGRA-10338-20713,Inm24,Zap,Jacarandas,Ven,Ofc,90.0,131.0,,8771328.0,,-103.382744,20.713046,52.0,0.0,,97459.2,
Zap-Jaca_Ofc-011M-114_13-00-00_KWGRA-10338-20713,Inm24,Zap,Jacarandas,Ven,Ofc,114.0,131.0,,11556563.0,,-103.382744,20.713046,52.0,0.0,,101373.3596491228,
Zap-Jard_Ofc-002M-033_00-00-00_PAULI-10340-20670,Inm24,Zap,Jardines de San Ignacio,Ven,Ofc,33.0,1.0,,2792584.0,,-103.403059,20.670331,,0.0,0.0,84623.75757575757,
Zap-LaCa_Ofc-001M-100_00-01-00_INMUE-10341-20630,Inm24,Zap,La Calma,Ven,Ofc,100.0,2.0,,1950000.0,700.0,-103.417539,20.630402,,1.0,0.0,19500.0,
Zap-LaCa_Ofc-025M-482_00-01-00_Angel-10341-20631,Inm24,Zap,La Calma,Ven,Ofc,482.0,,,25000000.0,,-103.41682,20.631934,167.0,1.0,7.0,51867.21991701245,
Zap-Pina_Ofc-007M-353_09-02-06_GEOMA-10341-20618,Inm24,Zap,Pinar de La Calma,Ven,Ofc,353.0,9.0,6.0,7090000.0,,-103.413748,20.618869,,2.5,1.0,20084.98583569405,
Zap-SanJ_Ofc-025M-629_11-03-09_Cumbr-10345-20705,Inm24,Zap,San Juan de Ocotán,Ven,Ofc,629.0,11.0,9.0,25500000.0,,-103.45304,20.705887,63.0,3.0,20.0,40540.54054054054,
Zap-SanM_Ofc-001M-170_04-02-00_SIERR-10338-20714,Inm24,Zap,San Miguel de La Colina,Ven,Ofc,170.0,4.0,,1700000.0,,-103.385947,20.714523,,2.0,0.0,10000.0,
Zap-Vall_Ofc-015M-161_00-00-00_Gaant-10345-20721,Inm24,Zap,Valle Real,Ven,Ofc,161.0,4.0,,15692226.0,,-103.454333,20.721589,149.0,0.0,0.0,97467.24223602485,
