id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap
Zap-Agrí_Terr-002M-143_00-00-00_CityR-10343-20618,Inm24,Zap,Agrícola,Ven,Terreno / Lote,143.0,2.0,,2800000.0,,-103.431167,20.618316,,0.0,,19580.41958041958,01/04/2025
Zap-Agrí_Terr-006M-247_00-00-00_CityR-10343-20614,Inm24,Zap,Agrícola,Ven,Terreno / Lote,247.0,,,6170967.0,,-103.430595,20.614667,,0.0,,24983.67206477733,01/04/2025
Zap-Agua_Terr-006M-1072_00-00-00_Avin-10334-20745,Inm24,Zap,Agua Fría,Ven,Terreno / Lote,1072.0,,,6800000.0,,-103.346565,20.745352,,0.0,0,6343.2835820895525,01/04/2025
Zap-Alcá_Terr-014M-544_00-00-00_GuiaE-10342-20696,Inm24,Zap,Alcázar Oriente,Ven,Terreno / Lote,544.0,,,14500000.0,,-103.426283,20.696085,,0.0,,26654.41176470588,01/04/2025
Zap-Alcá_Terr-024M-691_00-00-00_AnaIs-10342-20695,Inm24,Zap,Alcázar Oriente,Ven,Terreno / Lote,691.0,,,24165050.0,,-103.426409,20.695193,,0.0,0,34971.128798842255,01/04/2025
Zap-Alcá_Terr-015M-483_00-00-00_Garan-10342-20696,Inm24,Zap,Alcázar Oriente,Ven,Terreno / Lote,483.0,,,15793941.0,,-103.426404,20.696077,,0.0,,32699.67080745341,01/04/2025
Zap-Alia_Terr-005M-547_00-00-00_HHASE-10351-20727,Inm24,Zap,Alianza de Cazadores Diana,Ven,Terreno / Lote,547.0,,,5470000.0,,-103.517325,20.727724,,0.0,0,10000.0,01/04/2025
Zap-Alia_Terr-004M-437_00-00-00_GuiaE-10351-20725,Inm24,Zap,Alianza de Cazadores Diana,Ven,Terreno / Lote,437.0,,,4244526.0,2362.0,-103.518279,20.725728,,0.0,,9712.87414187643,01/04/2025
Zap-Alia_Terr-005M-618_00-00-00_DiHou-10351-20727,Inm24,Zap,Alianza de Cazadores Diana,Ven,Terreno / Lote,618.0,,,5800000.0,,-103.51733,20.727724,,0.0,,9385.113268608417,01/04/2025
Zap-Alia_Terr-006M-1000_00-00-00_JPKEX-10351-20723,Inm24,Zap,Alianza de Cazadores Diana,Ven,Terreno / Lote,1000.0,,,6200000.0,,-103.519044,20.723642,,0.0,0,6200.0,01/04/2025
Zap-Alic_Terr-017M-1842_00-00-00_Angel-10341-20788,Inm24,Zap,Alicante,Ven,Terreno / Lote,1842.0,,,17490000.0,,-103.411188,20.788783,,0.0,0,9495.114006514656,01/04/2025
Zap-Alic_Terr-001M-150_00-00-00_GuiaE-10341-20786,Inm24,Zap,Alicante,Ven,Terreno / Lote,150.0,,,1980000.0,1000.0,-103.411807,20.786997,,0.0,,13200.0,01/04/2025
Zap-Alic_Terr-001M-115_00-00-00_ALIMA-10341-20788,Inm24,Zap,Alicante,Ven,Terreno / Lote,115.0,,,1490000.0,,-103.410577,20.788797,,0.0,0,12956.521739130434,01/04/2025
