id,PaginaWeb,Ciudad,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,Banos,precio,mantenimiento,Colonia,longitud,latitud,tiempo_publicacion,Banos_totales,antigüedad_icon,PxM2
Zap-Coto_Cas-003M-103_03-03-02_CityR-10342-20782,Zapopan,Coto Abie,Venta,Casa,103,3.0,2.0,3.0,3348970,32514.27,800.0,-103.423693,20.782705,108.0,0,,32514.272
Zap-Coto_Cas-003M-114_03-03-02_CityR-10342-20782,Zapopan,Coto Abie,Venta,Casa,114,3.0,2.0,3.0,3700560,32461.05,800.0,-103.423862,20.782633,108.0,0,,32461.053
Zap-Coto_Cas-003M-108_03-03-02_CityR-10342-20782,Zapopan,Coto Abie,Venta,Casa,108,3.0,2.0,3.0,3529950,32684.72,800.0,-103.423862,20.782729,108.0,0,,32684.722
Zap-Coto_Cas-003M-135_03-02-02_CityR-10342-20782,Zapopan,Coto Abie,Venta,Casa,135,3.0,2.0,2.5,3936040,29155.85,800.0,-103.423808,20.782633,106.0,0,,29155.852
Zap-Coto_Cas-003M-108_03-03-02_Gaant-10342-20782,Zapopan,Coto Abie,Venta,Casa,108,3.0,2.0,3.0,3395950,31443.98,800.0,-103.422892,20.782776,149.0,0,,31443.981
Zap-Coto_Cas-003M-114_03-03-02_Gaant-10342-20782,Zapopan,Coto Abie,Venta,Casa,114,3.0,2.0,3.0,3429060,30079.47,800.0,-103.422892,20.782776,150.0,0,,30079.474
Zap-Coto_Cas-003M-103_03-03-02_LIAIN-10342-20782,Zapopan,Coto Abie,Venta,Casa,103,3.0,2.0,3.0,3246560,31520.0,800.0,-103.422032,20.782316,46.0,,,31520.0
Zap-Coto_Cas-003M-103_03-03-02_TopGr-10342-20782,Zapopan,Coto Abie,Venta,Casa,103,3.0,2.0,3.0,3177560,30850.1,800.0,-103.422113,20.782322,161.0,0,,30850.097
Zap-Coto_Cas-003M-114_03-03-02_Gaant-10342-20782,Zapopan,Coto Abie,Venta,Casa,114,3.0,2.0,3.0,3430950,30096.05,800.0,-103.422892,20.782776,20.0,0,,30096.053
Zap-Coto_Cas-003M-103_03-03-02_Propi-10342-20782,Zapopan,Coto Abie,Venta,Casa,103,3.0,2.0,3.0,3246560,31520.0,800.0,-103.42385,20.782079,34.0,0,,31520.0
Zap-Coto_Cas-002M-104_03-03-02_Abrah-10342-20782,Zapopan,Coto Abie,Venta,Casa,104,3.0,2.0,3.0,2800000,26923.08,800.0,-103.420991,20.782532,55.0,2,,26923.077
