id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_0767ca25,Inm24,Gdl,Americana,Ven,Cas,360.0,6.0,3.0,18900000.0,,-103.375557,20.672329,50.0,3.5,5,52500.0,01/09/2025,Gdl|Americana|18900000.0|360.0|Cas
Sep25_530e0fca,Inm24,Gdl,Americana,Ven,Cas,272.0,3.0,2.0,11500000.0,,-103.371491,20.675504,104.0,3.0,0,42279.41176470588,01/09/2025,Gdl|Americana|11500000.0|272.0|Cas
Sep25_67f913b5,Inm24,Gdl,Americana,Ven,Cas,251.0,3.0,1.0,9500000.0,,-103.36069,20.67477,91.0,2.5,0,37848.605577689246,01/09/2025,Gdl|Americana|9500000.0|251.0|Cas
Sep25_e415878f,Inm24,Gdl,Americana,Ven,Cas,649.0,10.0,4.0,12000000.0,,-103.364476,20.675483,,4.0,1,18489.984591679506,01/09/2025,Gdl|Americana|12000000.0|649.0|Cas
Sep25_76b503b6,Inm24,Gdl,Americana,Ven,Cas,315.0,3.0,2.0,11500000.0,,-103.363061,20.671778,57.0,3.5,40,36507.93650793651,01/09/2025,Gdl|Americana|11500000.0|315.0|Cas
Sep25_8dcfc8bc,Inm24,Gdl,Americana,Ven,Cas,272.0,3.0,2.0,12000000.0,,-103.367765,20.669982,350.0,2.5,24,44117.64705882353,01/09/2025,Gdl|Americana|12000000.0|272.0|Cas
Sep25_1b511b0a,Inm24,Gdl,Americana,Ven,Cas,287.0,4.0,1.0,9000000.0,,-103.365825,20.667328,,3.0,30,31358.8850174216,01/09/2025,Gdl|Americana|9000000.0|287.0|Cas
Sep25_ca52a7fa,Inm24,Gdl,Americana,Ven,Cas,830.0,4.0,7.0,41000000.0,,-103.361559,20.674889,43.0,5.5,50,49397.590361445786,01/09/2025,Gdl|Americana|41000000.0|830.0|Cas
Sep25_c0a66ed6,Inm24,Gdl,Americana,Ven,Cas,552.0,7.0,2.0,31530000.0,,-103.363,20.6749,305.0,5.0,1,57119.5652173913,01/09/2025,Gdl|Americana|31530000.0|552.0|Cas
Sep25_cba1d90f,Inm24,Gdl,Americana,Ven,Cas,422.0,7.0,,17500000.0,,-103.363286,20.6714,,6.5,70,41469.19431279621,01/09/2025,Gdl|Americana|17500000.0|422.0|Cas
Sep25_56588fb4,Inm24,Gdl,Americana,Ven,Cas,650.0,7.0,7.0,39997734.0,,-103.362045,20.673822,12.0,6.5,0,61534.97538461538,01/09/2025,Gdl|Americana|39997734.0|650.0|Cas
Sep25_f2fdd109,Inm24,Gdl,Americana,Ven,Cas,520.0,7.0,7.0,21553072.0,,-103.36612,20.674992,12.0,6.5,0,41448.21538461538,01/09/2025,Gdl|Americana|21553072.0|520.0|Cas
Sep25_1bd8e46f,Inm24,Gdl,Americana,Ven,Cas,450.0,6.0,6.0,25638275.0,,-103.37221,20.672949,12.0,5.5,0,56973.944444444445,01/09/2025,Gdl|Americana|25638275.0|450.0|Cas
Sep25_5ce78cce,Inm24,Gdl,Americana,Ven,Cas,483.0,3.0,2.0,20500000.0,,-103.371162,20.672456,186.0,2.0,50,42443.06418219462,01/09/2025,Gdl|Americana|20500000.0|483.0|Cas
Sep25_86cc3e04,Inm24,Gdl,Americana,Ven,Cas,550.0,7.0,7.0,30920940.0,,-103.36639,20.674337,12.0,6.5,0,56219.89090909091,01/09/2025,Gdl|Americana|30920940.0|550.0|Cas
Sep25_ce9529dc,Inm24,Gdl,Americana,Ven,Cas,179.0,2.0,2.0,7800000.0,,-103.364863,20.669023,93.0,2.5,13,43575.418994413405,01/09/2025,Gdl|Americana|7800000.0|179.0|Cas
Sep25_d9f1474c,Inm24,Gdl,Americana,Ven,Cas,99.0,4.0,2.0,7000000.0,,-103.362012,20.668262,137.0,1.5,50,70707.07070707071,01/09/2025,Gdl|Americana|7000000.0|99.0|Cas
Sep25_b8af0903,Inm24,Gdl,Americana,Ven,Cas,427.0,5.0,1.0,9990000.0,,-103.365767,20.668584,122.0,2.5,60,23395.784543325528,01/09/2025,Gdl|Americana|9990000.0|427.0|Cas
Sep25_c1a8d67f,Inm24,Gdl,Americana,Ven,Cas,264.0,5.0,2.0,10900000.0,,-103.363532,20.670694,337.0,3.5,45,41287.878787878784,01/09/2025,Gdl|Americana|10900000.0|264.0|Cas
Sep25_41afac97,Inm24,Gdl,Americana,Ven,Cas,144.0,2.0,,5700000.0,,-103.359603,20.671235,243.0,2.0,55,39583.333333333336,01/09/2025,Gdl|Americana|5700000.0|144.0|Cas
Sep25_4d02b938,Inm24,Gdl,Americana,Ven,Cas,412.0,5.0,5.0,21750000.0,,-103.364545,20.670999,36.0,4.0,52,52791.26213592233,01/09/2025,Gdl|Americana|21750000.0|412.0|Cas
Sep25_f4394569,Inm24,Gdl,Americana,Ven,Cas,521.0,3.0,4.0,20000000.0,,-103.375145,20.674556,,3.5,40,38387.71593090211,01/09/2025,Gdl|Americana|20000000.0|521.0|Cas
Sep25_0324d46c,Inm24,Gdl,Americana,Ven,Cas,309.0,5.0,3.0,10000000.0,,-103.371793,20.675541,160.0,2.5,1,32362.45954692557,01/09/2025,Gdl|Americana|10000000.0|309.0|Cas
Sep25_d539724d,Inm24,Gdl,Americana,Ven,Cas,309.0,5.0,,14200000.0,,-103.375065,20.674487,55.0,3.0,0,45954.69255663431,01/09/2025,Gdl|Americana|14200000.0|309.0|Cas
Sep25_6249c3fe,Inm24,Gdl,Americana,Ven,Cas,180.0,3.0,3.0,5700000.0,,-103.361765,20.66927,7.0,1.0,0,31666.666666666668,01/09/2025,Gdl|Americana|5700000.0|180.0|Cas
