id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_f7570e4e,Inm24,Gdl,Chapalita,Ven,Cas,321.0,4.0,3.0,11700000.0,,-103.392808,20.663988,146.0,2.5,40,36448.59813084112,01/09/2025,Gdl|Chapalita|11700000.0|321.0|Cas
Sep25_9db3af0e,Inm24,Gdl,Chapalita,Ven,Cas,323.0,5.0,2.0,10500000.0,,-103.400607,20.666809,,3.5,20,32507.739938080496,01/09/2025,Gdl|Chapalita|10500000.0|323.0|Cas
Sep25_4b6a1a34,Inm24,Gdl,Chapalita,Ven,Cas,245.0,3.0,1.0,6500000.0,,-103.394898,20.659009,105.0,3.5,38,26530.61224489796,01/09/2025,Gdl|Chapalita|6500000.0|245.0|Cas
Sep25_a0b34387,Inm24,Gdl,Chapalita,Ven,Cas,300.0,5.0,3.0,6750000.0,,-103.394405,20.661992,37.0,4.5,23,22500.0,01/09/2025,Gdl|Chapalita|6750000.0|300.0|Cas
Sep25_19ce5c4a,Inm24,Gdl,Chapalita,Ven,Cas,341.0,3.0,2.0,14900000.0,,-103.399993,20.664304,15.0,2.5,49,43695.0146627566,01/09/2025,Gdl|Chapalita|14900000.0|341.0|Cas
Sep25_99b77ac6,Inm24,Gdl,Chapalita,Ven,Cas,530.0,5.0,5.0,12950000.0,,-103.397158,20.662871,15.0,4.5,45,24433.962264150945,01/09/2025,Gdl|Chapalita|12950000.0|530.0|Cas
Sep25_0a627b2b,Inm24,Gdl,Chapalita,Ven,Cas,370.0,6.0,6.0,18096981.0,,-103.39683,20.66036,10.0,5.5,0,48910.75945945946,01/09/2025,Gdl|Chapalita|18096981.0|370.0|Cas
Sep25_5082b2f0,Inm24,Gdl,Chapalita,Ven,Cas,392.0,3.0,3.0,9800000.0,,-103.396334,20.667122,104.0,4.5,40,25000.0,01/09/2025,Gdl|Chapalita|9800000.0|392.0|Cas
Sep25_a0da1403,Inm24,Gdl,Chapalita,Ven,Cas,801.0,4.0,4.0,29900000.0,,-103.395802,20.659846,30.0,4.5,40,37328.33957553059,01/09/2025,Gdl|Chapalita|29900000.0|801.0|Cas
Sep25_fc015b30,Inm24,Gdl,Chapalita,Ven,Cas,170.0,5.0,1.0,5485000.0,,-103.396561,20.668373,234.0,2.5,40,32264.70588235294,01/09/2025,Gdl|Chapalita|5485000.0|170.0|Cas
Sep25_1717025b,Inm24,Gdl,Chapalita,Ven,Cas,420.0,6.0,6.0,18394770.0,,-103.400154,20.662477,11.0,5.5,0,43797.07142857143,01/09/2025,Gdl|Chapalita|18394770.0|420.0|Cas
Sep25_fa9e7c87,Inm24,Gdl,Chapalita,Ven,Cas,500.0,6.0,6.0,32828708.0,,-103.39529,20.66771,10.0,5.5,0,65657.416,01/09/2025,Gdl|Chapalita|32828708.0|500.0|Cas
Sep25_f5d9bc33,Inm24,Gdl,Chapalita,Ven,Cas,500.0,6.0,6.0,25666439.0,,-103.39978,20.662615,12.0,5.5,0,51332.878,01/09/2025,Gdl|Chapalita|25666439.0|500.0|Cas
Sep25_d913ff7b,Inm24,Gdl,Chapalita,Ven,Cas,400.0,6.0,6.0,17512765.0,,-103.395615,20.66116,10.0,5.5,0,43781.9125,01/09/2025,Gdl|Chapalita|17512765.0|400.0|Cas
Sep25_4df11a4e,Inm24,Gdl,Chapalita,Ven,Cas,125.0,5.0,1.0,5500000.0,,-103.396827,20.667237,1.0,2.5,47,44000.0,01/09/2025,Gdl|Chapalita|5500000.0|125.0|Cas
Sep25_f6204027,Inm24,Gdl,Chapalita,Ven,Cas,450.0,4.0,3.0,12500000.0,,-103.395029,20.659449,302.0,5.0,10,27777.777777777777,01/09/2025,Gdl|Chapalita|12500000.0|450.0|Cas
Sep25_d00877ae,Inm24,Gdl,Chapalita,Ven,Cas,420.0,7.0,3.0,10500000.0,,-103.397344,20.663619,,4.0,15,25000.0,01/09/2025,Gdl|Chapalita|10500000.0|420.0|Cas
Sep25_3c794df5,Inm24,Gdl,Chapalita,Ven,Cas,239.0,3.0,2.0,11250000.0,,-103.394459,20.65944,,2.5,45,47071.129707112974,01/09/2025,Gdl|Chapalita|11250000.0|239.0|Cas
Sep25_5e8fc2da,Inm24,Gdl,Chapalita,Ven,Cas,460.0,5.0,4.0,8990000.0,,-103.39623,20.66258,24.0,5.0,,19543.478260869564,01/09/2025,Gdl|Chapalita|8990000.0|460.0|Cas
Sep25_f4866c58,Inm24,Gdl,Chapalita,Ven,Cas,676.0,5.0,6.0,31500000.0,,-103.401408,20.666891,78.0,5.0,50,46597.63313609467,01/09/2025,Gdl|Chapalita|31500000.0|676.0|Cas
