id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_58aaf630,Inm24,Gdl,Colinas de San Javier,Ven,Cas,550.0,7.0,7.0,35737840.0,,-103.40183,20.700584,15.0,6.5,0,64977.89090909091,01/09/2025,Gdl|Colinas de San Javier|35737840.0|550.0|Cas
Sep25_33d9f512,Inm24,Gdl,Colinas de San Javier,Ven,Cas,673.0,3.0,5.0,27500000.0,3350.0,-103.399941,20.704125,3.0,5.5,25,40861.81277860327,01/09/2025,Gdl|Colinas de San Javier|27500000.0|673.0|Cas
Sep25_77bd80e3,Inm24,Gdl,Colinas de San Javier,Ven,Cas,920.0,4.0,5.0,59000000.0,50000.0,-103.398479,20.70165,,7.0,8,64130.434782608696,01/09/2025,Gdl|Colinas de San Javier|59000000.0|920.0|Cas
Sep25_29339ef1,Inm24,Gdl,Colinas de San Javier,Ven,Cas,636.0,4.0,4.0,30000000.0,,-103.395419,20.705089,42.0,5.5,35,47169.81132075472,01/09/2025,Gdl|Colinas de San Javier|30000000.0|636.0|Cas
Sep25_6ec365f2,Inm24,Gdl,Colinas de San Javier,Ven,Cas,780.0,4.0,3.0,49900000.0,,-103.396068,20.701152,220.0,5.0,1,63974.35897435898,01/09/2025,Gdl|Colinas de San Javier|49900000.0|780.0|Cas
Sep25_8db4117a,Inm24,Gdl,Colinas de San Javier,Ven,Cas,731.0,4.0,5.0,45000000.0,,-103.397875,20.695013,184.0,4.5,35,61559.50752393981,01/09/2025,Gdl|Colinas de San Javier|45000000.0|731.0|Cas
Sep25_681962f2,Inm24,Gdl,Colinas de San Javier,Ven,Cas,441.0,3.0,3.0,23880000.0,,-103.395216,20.700785,66.0,4.0,20,54149.65986394558,01/09/2025,Gdl|Colinas de San Javier|23880000.0|441.0|Cas
Sep25_dea8845c,Inm24,Gdl,Colinas de San Javier,Ven,Cas,1226.0,8.0,,29990000.0,5000.0,-103.398464,20.695429,,5.0,30,24461.663947797715,01/09/2025,Gdl|Colinas de San Javier|29990000.0|1226.0|Cas
Sep25_96d40672,Inm24,Gdl,Colinas de San Javier,Ven,Cas,1399.0,4.0,8.0,39500000.0,,-103.400343,20.701179,338.0,6.0,30,28234.45318084346,01/09/2025,Gdl|Colinas de San Javier|39500000.0|1399.0|Cas
Sep25_4258438b,Inm24,Gdl,Colinas de San Javier,Ven,Cas,850.0,5.0,6.0,44000000.0,,-103.397601,20.702376,218.0,5.5,15,51764.705882352944,01/09/2025,Gdl|Colinas de San Javier|44000000.0|850.0|Cas
Sep25_ffbe87d1,Inm24,Gdl,Colinas de San Javier,Ven,Cas,1305.0,7.0,5.0,34000000.0,,-103.395465,20.696205,144.0,8.0,35,26053.639846743292,01/09/2025,Gdl|Colinas de San Javier|34000000.0|1305.0|Cas
Sep25_ae5ef12d,Inm24,Gdl,Colinas de San Javier,Ven,Cas,800.0,3.0,6.0,30000000.0,,-103.401294,20.702419,,3.5,30,37500.0,01/09/2025,Gdl|Colinas de San Javier|30000000.0|800.0|Cas
Sep25_0c8b5cc5,Inm24,Gdl,Colinas de San Javier,Ven,Cas,1109.0,4.0,4.0,39500000.0,,-103.401389,20.702534,166.0,5.5,29,35617.67357980162,01/09/2025,Gdl|Colinas de San Javier|39500000.0|1109.0|Cas
Sep25_80679a65,Inm24,Gdl,Colinas de San Javier,Ven,Cas,1279.0,3.0,6.0,57000000.0,,-103.397677,20.696572,,4.5,40,44566.06724003128,01/09/2025,Gdl|Colinas de San Javier|57000000.0|1279.0|Cas
Sep25_7c98e397,Inm24,Gdl,Colinas de San Javier,Ven,Cas,590.0,4.0,6.0,32000000.0,,-103.402098,20.693972,204.0,5.5,40,54237.28813559322,01/09/2025,Gdl|Colinas de San Javier|32000000.0|590.0|Cas
Sep25_7c98e397,Inm24,Gdl,Colinas de San Javier,Ven,Cas,677.0,5.0,4.0,32000000.0,,-103.398273,20.695189,143.0,4.5,,47267.35598227474,01/09/2025,Gdl|Colinas de San Javier|32000000.0|677.0|Cas
Sep25_e0324e52,Inm24,Gdl,Colinas de San Javier,Ven,Cas,580.0,4.0,8.0,30000000.0,,-103.395465,20.696205,325.0,5.0,20,51724.137931034486,01/09/2025,Gdl|Colinas de San Javier|30000000.0|580.0|Cas
Sep25_729fd0a3,Inm24,Gdl,Colinas de San Javier,Ven,Cas,1038.0,4.0,5.0,44800000.0,,-103.398515,20.69524,,6.0,28,43159.92292870906,01/09/2025,Gdl|Colinas de San Javier|44800000.0|1038.0|Cas
Sep25_ce88a17b,Inm24,Gdl,Colinas de San Javier,Ven,Cas,970.0,4.0,8.0,34400000.0,,-103.400289,20.699603,44.0,8.5,15,35463.9175257732,01/09/2025,Gdl|Colinas de San Javier|34400000.0|970.0|Cas
