id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_1013c138,Inm24,Gdl,Colomos Providencia,Ven,Cas,415.0,5.0,5.0,15000000.0,,-103.386366,20.70896,166.0,5.0,25,36144.57831325301,01/09/2025,Gdl|Colomos Providencia|15000000.0|415.0|Cas
Sep25_dfa1f7a0,Inm24,Gdl,Colomos Providencia,Ven,Cas,224.0,3.0,2.0,12495000.0,,-103.387404,20.707761,5.0,2.5,0,55781.25,01/09/2025,Gdl|Colomos Providencia|12495000.0|224.0|Cas
Sep25_c1ab414a,Inm24,Gdl,Colomos Providencia,Ven,Cas,350.0,6.0,4.0,15500000.0,,-103.383259,20.706524,,2.0,15,44285.71428571428,01/09/2025,Gdl|Colomos Providencia|15500000.0|350.0|Cas
Sep25_ad125923,Inm24,Gdl,Colomos Providencia,Ven,Cas,537.0,5.0,7.0,14000000.0,,-103.388546,20.707988,29.0,6.5,20,26070.763500931094,01/09/2025,Gdl|Colomos Providencia|14000000.0|537.0|Cas
Sep25_f87fd63b,Inm24,Gdl,Colomos Providencia,Ven,Cas,270.0,3.0,4.0,13000000.0,,-103.385479,20.707334,333.0,2.5,54,48148.14814814815,01/09/2025,Gdl|Colomos Providencia|13000000.0|270.0|Cas
Sep25_9fa4ce06,Inm24,Gdl,Colomos Providencia,Ven,Cas,490.0,3.0,5.0,19999000.0,,-103.388447,20.707807,289.0,3.5,26,40814.28571428572,01/09/2025,Gdl|Colomos Providencia|19999000.0|490.0|Cas
Sep25_4810b7ef,Inm24,Gdl,Colomos Providencia,Ven,Cas,369.0,3.0,2.0,12900000.0,,-103.379961,20.706157,95.0,3.5,0,34959.349593495936,01/09/2025,Gdl|Colomos Providencia|12900000.0|369.0|Cas
Sep25_592573ec,Inm24,Gdl,Colomos Providencia,Ven,Cas,420.0,4.0,3.0,11070000.0,,-103.385198,20.707814,29.0,4.5,36,26357.14285714286,01/09/2025,Gdl|Colomos Providencia|11070000.0|420.0|Cas
Sep25_9c347ba6,Inm24,Gdl,Colomos Providencia,Ven,Cas,161.0,4.0,2.0,7850000.0,,-103.383278,20.708154,4.0,3.0,,48757.76397515528,01/09/2025,Gdl|Colomos Providencia|7850000.0|161.0|Cas
Sep25_02ece252,Inm24,Gdl,Colomos Providencia,Ven,Cas,600.0,3.0,3.0,16000000.0,,-103.383636,20.706907,,4.0,0,26666.666666666668,01/09/2025,Gdl|Colomos Providencia|16000000.0|600.0|Cas
