id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_72fb5326,Inm24,Gdl,Country Club,Ven,Cas,550.0,5.0,5.0,22500000.0,,-103.369896,20.699485,89.0,7.0,,40909.09090909091,01/09/2025,Gdl|Country Club|22500000.0|550.0|Cas
Sep25_2c8d0043,Inm24,Gdl,Country Club,Ven,Cas,404.0,3.0,4.0,19750000.0,4000.0,-103.37068,20.700503,51.0,3.5,5,48886.13861386139,01/09/2025,Gdl|Country Club|19750000.0|404.0|Cas
Sep25_22f1bb8b,Inm24,Gdl,Country Club,Ven,Cas,590.0,5.0,5.0,22500000.0,,-103.370056,20.699749,,6.0,13,38135.59322033898,01/09/2025,Gdl|Country Club|22500000.0|590.0|Cas
Sep25_952a20ca,Inm24,Gdl,Country Club,Ven,Cas,485.0,4.0,4.0,24840000.0,,-103.365216,20.704924,207.0,4.5,50,51216.49484536082,01/09/2025,Gdl|Country Club|24840000.0|485.0|Cas
Sep25_bc00035c,Inm24,Gdl,Country Club,Ven,Cas,430.0,6.0,6.0,35233200.0,,-103.37378,20.701256,13.0,5.5,0,81937.67441860466,01/09/2025,Gdl|Country Club|35233200.0|430.0|Cas
Sep25_d80cb354,Inm24,Gdl,Country Club,Ven,Cas,350.0,5.0,4.0,34852800.0,,-103.372375,20.703573,15.0,5.5,0,99579.42857142857,01/09/2025,Gdl|Country Club|34852800.0|350.0|Cas
Sep25_a036af5b,Inm24,Gdl,Country Club,Ven,Cas,380.0,6.0,6.0,33372000.0,,-103.369865,20.703608,13.0,5.5,0,87821.05263157895,01/09/2025,Gdl|Country Club|33372000.0|380.0|Cas
Sep25_f541c94d,Inm24,Gdl,Country Club,Ven,Cas,580.0,7.0,7.0,39340000.0,,-103.37017,20.703884,13.0,6.5,0,67827.58620689655,01/09/2025,Gdl|Country Club|39340000.0|580.0|Cas
Sep25_f7ece7f6,Inm24,Gdl,Country Club,Ven,Cas,520.0,7.0,7.0,38622400.0,,-103.36931,20.700857,13.0,6.5,0,74273.84615384616,01/09/2025,Gdl|Country Club|38622400.0|520.0|Cas
Sep25_bebe2ea8,Inm24,Gdl,Country Club,Ven,Cas,400.0,6.0,6.0,33837600.0,,-103.37053,20.703966,16.0,5.5,0,84594.0,01/09/2025,Gdl|Country Club|33837600.0|400.0|Cas
Sep25_e8df3c97,Inm24,Gdl,Country Club,Ven,Cas,284.0,3.0,4.0,17800000.0,2700.0,-103.373455,20.710892,213.0,3.5,23,62676.05633802817,01/09/2025,Gdl|Country Club|17800000.0|284.0|Cas
