id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_ad829203,Inm24,Gdl,Independencia Oriente,Ven,Cas,131.0,3.0,1.0,4300000.0,,-103.330067,20.692082,17.0,1.5,40,32824.42748091603,01/09/2025,Gdl|Independencia Oriente|4300000.0|131.0|Cas
Sep25_a9088914,Inm24,Gdl,Independencia Oriente,Ven,Cas,423.0,6.0,2.0,5600000.0,,-103.325772,20.694416,,3.5,20,13238.770685579197,01/09/2025,Gdl|Independencia Oriente|5600000.0|423.0|Cas
Sep25_8251e91d,Inm24,Gdl,Independencia Oriente,Ven,Cas,260.0,3.0,1.0,4000000.0,,-103.330271,20.693861,57.0,2.0,25,15384.615384615385,01/09/2025,Gdl|Independencia Oriente|4000000.0|260.0|Cas
Sep25_a3e7bfac,Inm24,Gdl,Independencia Oriente,Ven,Cas,391.0,8.0,2.0,6500000.0,,-103.330336,20.689336,32.0,4.5,30,16624.040920716114,01/09/2025,Gdl|Independencia Oriente|6500000.0|391.0|Cas
Sep25_202e7511,Inm24,Gdl,Independencia Oriente,Ven,Cas,294.0,4.0,1.0,5500000.0,,-103.328656,20.691766,31.0,3.0,26,18707.48299319728,01/09/2025,Gdl|Independencia Oriente|5500000.0|294.0|Cas
Sep25_3e26aeb8,Inm24,Gdl,Independencia Oriente,Ven,Cas,158.0,5.0,1.0,4200000.0,,-103.328623,20.695321,43.0,2.0,40,26582.278481012658,01/09/2025,Gdl|Independencia Oriente|4200000.0|158.0|Cas
Sep25_25ad4b48,Inm24,Gdl,Independencia Oriente,Ven,Cas,200.0,3.0,2.0,5100000.0,,-103.329265,20.691494,52.0,3.0,15,25500.0,01/09/2025,Gdl|Independencia Oriente|5100000.0|200.0|Cas
Sep25_807da025,Inm24,Gdl,Independencia Oriente,Ven,Cas,140.0,3.0,1.0,4300000.0,,-103.330271,20.693861,25.0,1.5,50,30714.285714285717,01/09/2025,Gdl|Independencia Oriente|4300000.0|140.0|Cas
Sep25_06d4283c,Inm24,Gdl,Independencia Oriente,Ven,Cas,236.0,3.0,3.0,4900000.0,,-103.328136,20.693576,61.0,2.0,1,20762.71186440678,01/09/2025,Gdl|Independencia Oriente|4900000.0|236.0|Cas
Sep25_a4eb13eb,Inm24,Gdl,Independencia Oriente,Ven,Cas,170.0,3.0,1.0,3800000.0,,-103.330511,20.693621,43.0,2.5,10,22352.941176470587,01/09/2025,Gdl|Independencia Oriente|3800000.0|170.0|Cas
Sep25_b992ec74,Inm24,Gdl,Independencia Oriente,Ven,Cas,345.0,5.0,3.0,6000000.0,,-103.32365,20.693052,,5.0,44,17391.304347826088,01/09/2025,Gdl|Independencia Oriente|6000000.0|345.0|Cas
Sep25_7eca1e35,Inm24,Gdl,Independencia Oriente,Ven,Cas,185.0,3.0,3.0,7980000.0,,-103.326305,20.691001,9.0,3.0,0,43135.13513513513,01/09/2025,Gdl|Independencia Oriente|7980000.0|185.0|Cas
