id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_5b44d73d,Inm24,Gdl,Jardines del Country,Ven,Cas,269.0,5.0,1.0,4850000.0,,-103.363457,20.7067,,1.0,57,18029.739776951672,01/09/2025,Gdl|Jardines del Country|4850000.0|269.0|Cas
Sep25_a837865d,Inm24,Gdl,Jardines del Country,Ven,Cas,260.0,4.0,1.0,5750000.0,,-103.357722,20.708793,149.0,2.0,40,22115.384615384617,01/09/2025,Gdl|Jardines del Country|5750000.0|260.0|Cas
Sep25_7075d846,Inm24,Gdl,Jardines del Country,Ven,Cas,220.0,4.0,2.0,7000000.0,,-103.364007,20.706172,,4.0,24,31818.18181818182,01/09/2025,Gdl|Jardines del Country|7000000.0|220.0|Cas
Sep25_eff6de1d,Inm24,Gdl,Jardines del Country,Ven,Cas,144.0,3.0,2.0,6290000.0,,-103.362338,20.709121,61.0,4.5,24,43680.55555555556,01/09/2025,Gdl|Jardines del Country|6290000.0|144.0|Cas
Sep25_d064cd4c,Inm24,Gdl,Jardines del Country,Ven,Cas,157.0,3.0,2.0,4950000.0,,-103.359755,20.710084,93.0,2.0,50,31528.662420382167,01/09/2025,Gdl|Jardines del Country|4950000.0|157.0|Cas
Sep25_a7058648,Inm24,Gdl,Jardines del Country,Ven,Cas,160.0,5.0,1.0,4850000.0,,-103.365286,20.708053,9.0,2.0,58,30312.5,01/09/2025,Gdl|Jardines del Country|4850000.0|160.0|Cas
Sep25_e3b0eb8b,Inm24,Gdl,Jardines del Country,Ven,Cas,286.0,4.0,3.0,10100000.0,,-103.362061,20.708015,175.0,2.5,40,35314.68531468532,01/09/2025,Gdl|Jardines del Country|10100000.0|286.0|Cas
Sep25_7a99c6c0,Inm24,Gdl,Jardines del Country,Ven,Cas,186.0,4.0,1.0,5600000.0,,-103.35784,20.706466,,1.5,35,30107.52688172043,01/09/2025,Gdl|Jardines del Country|5600000.0|186.0|Cas
Sep25_83f48776,Inm24,Gdl,Jardines del Country,Ven,Cas,376.0,5.0,3.0,12790000.0,,-103.364774,20.708107,15.0,4.0,30,34015.95744680851,01/09/2025,Gdl|Jardines del Country|12790000.0|376.0|Cas
Sep25_afebef33,Inm24,Gdl,Jardines del Country,Ven,Cas,241.0,4.0,1.0,5500000.0,,-103.36458,20.707195,38.0,2.5,52,22821.57676348548,01/09/2025,Gdl|Jardines del Country|5500000.0|241.0|Cas
Sep25_c34dcff7,Inm24,Gdl,Jardines del Country,Ven,Cas,256.0,6.0,1.0,7500000.0,,-103.361779,20.709675,80.0,2.0,50,29296.875,01/09/2025,Gdl|Jardines del Country|7500000.0|256.0|Cas
Sep25_1f8b394d,Inm24,Gdl,Jardines del Country,Ven,Cas,459.0,8.0,3.0,8650000.0,,-103.360173,20.707051,,9.0,40,18845.315904139432,01/09/2025,Gdl|Jardines del Country|8650000.0|459.0|Cas
Sep25_01fc2f59,Inm24,Gdl,Jardines del Country,Ven,Cas,260.0,6.0,1.0,5773927.0,,-103.368469,20.711384,36.0,5.0,30,22207.41153846154,01/09/2025,Gdl|Jardines del Country|5773927.0|260.0|Cas
Sep25_c3bce2d8,Inm24,Gdl,Jardines del Country,Ven,Cas,230.0,4.0,2.0,6090000.0,,-103.36046,20.709727,38.0,3.0,30,26478.260869565216,01/09/2025,Gdl|Jardines del Country|6090000.0|230.0|Cas
Sep25_abf4bd4e,Inm24,Gdl,Jardines del Country,Ven,Cas,596.0,5.0,6.0,16370000.0,,-103.359092,20.70734,19.0,5.0,,27466.44295302013,01/09/2025,Gdl|Jardines del Country|16370000.0|596.0|Cas
