id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_90df6ad4,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,364.0,3.0,,10650000.0,,-103.373728,20.690391,58.0,3.0,32,29258.24175824176,01/09/2025,Gdl|Ladrón de Guevara|10650000.0|364.0|Cas
Sep25_8d5d389a,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,300.0,4.0,,13500000.0,,-103.375764,20.684629,92.0,2.5,60,45000.0,01/09/2025,Gdl|Ladrón de Guevara|13500000.0|300.0|Cas
Sep25_3de265e2,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,333.0,4.0,2.0,13490000.0,,-103.375417,20.690295,297.0,4.0,59,40510.51051051051,01/09/2025,Gdl|Ladrón de Guevara|13490000.0|333.0|Cas
Sep25_790516da,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,215.0,3.0,1.0,8200000.0,,-103.379423,20.684241,227.0,3.5,0,38139.53488372093,01/09/2025,Gdl|Ladrón de Guevara|8200000.0|215.0|Cas
Sep25_7f818fd1,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,690.0,4.0,2.0,15870000.0,,-103.372556,20.684324,359.0,4.5,25,23000.0,01/09/2025,Gdl|Ladrón de Guevara|15870000.0|690.0|Cas
Sep25_4eab9ba5,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,288.0,6.0,3.0,10995000.0,,-103.373503,20.677166,43.0,3.5,60,38177.083333333336,01/09/2025,Gdl|Ladrón de Guevara|10995000.0|288.0|Cas
Sep25_0b19f38e,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,340.0,4.0,,12600000.0,,-103.367884,20.677716,37.0,3.0,0,37058.82352941176,01/09/2025,Gdl|Ladrón de Guevara|12600000.0|340.0|Cas
Sep25_4ef54550,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,249.0,3.0,2.0,8600000.0,,-103.380124,20.683269,152.0,3.0,0,34538.152610441764,01/09/2025,Gdl|Ladrón de Guevara|8600000.0|249.0|Cas
Sep25_d0a61d50,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,270.0,3.0,3.0,15950000.0,,-103.37341,20.684373,276.0,3.5,36,59074.07407407407,01/09/2025,Gdl|Ladrón de Guevara|15950000.0|270.0|Cas
Sep25_a310c75d,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,312.0,10.0,1.0,5985000.0,,-103.370147,20.687383,162.0,6.0,41,19182.69230769231,01/09/2025,Gdl|Ladrón de Guevara|5985000.0|312.0|Cas
Sep25_339e3915,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,215.0,5.0,4.0,6700000.0,,-103.379973,20.677668,,1.5,60,31162.79069767442,01/09/2025,Gdl|Ladrón de Guevara|6700000.0|215.0|Cas
Sep25_97177b1a,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,264.0,5.0,2.0,10400000.0,,-103.375929,20.685636,63.0,2.5,1,39393.93939393939,01/09/2025,Gdl|Ladrón de Guevara|10400000.0|264.0|Cas
Sep25_2220738c,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,260.0,8.0,3.0,9375000.0,,-103.381985,20.680693,,4.5,0,36057.69230769231,01/09/2025,Gdl|Ladrón de Guevara|9375000.0|260.0|Cas
Sep25_72d39a8b,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,288.0,6.0,4.0,10500000.0,,-103.373495,20.677156,212.0,3.5,20,36458.333333333336,01/09/2025,Gdl|Ladrón de Guevara|10500000.0|288.0|Cas
Sep25_1cd876fc,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,981.0,5.0,6.0,37500000.0,,-103.380832,20.682037,338.0,4.5,10,38226.299694189605,01/09/2025,Gdl|Ladrón de Guevara|37500000.0|981.0|Cas
Sep25_a628801d,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,260.0,3.0,3.0,11950000.0,200.0,-103.37947,20.681927,296.0,2.5,35,45961.53846153846,01/09/2025,Gdl|Ladrón de Guevara|11950000.0|260.0|Cas
Sep25_10325472,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,592.0,6.0,3.0,18185000.0,,-103.376299,20.685482,3.0,6.0,50,30717.905405405407,01/09/2025,Gdl|Ladrón de Guevara|18185000.0|592.0|Cas
Sep25_58430496,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,206.0,4.0,1.0,7400000.0,,-103.380738,20.681966,,2.0,50,35922.330097087375,01/09/2025,Gdl|Ladrón de Guevara|7400000.0|206.0|Cas
Sep25_46f7868f,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,440.0,3.0,,17999999.0,,-103.373694,20.679259,37.0,0.5,40,40909.08863636364,01/09/2025,Gdl|Ladrón de Guevara|17999999.0|440.0|Cas
Sep25_056260ba,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,697.0,10.0,6.0,24000000.0,,-103.379035,20.682413,18.0,6.5,50,34433.28550932568,01/09/2025,Gdl|Ladrón de Guevara|24000000.0|697.0|Cas
Sep25_b1a9f593,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,428.0,4.0,2.0,10765000.0,,-103.377382,20.683408,9.0,3.0,55,25151.869158878504,01/09/2025,Gdl|Ladrón de Guevara|10765000.0|428.0|Cas
Sep25_a596ed66,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,257.0,6.0,2.0,6900000.0,,-103.37978,20.683767,11.0,3.0,40,26848.249027237354,01/09/2025,Gdl|Ladrón de Guevara|6900000.0|257.0|Cas
Sep25_ce56a593,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,350.0,5.0,2.0,11700000.0,,-103.378974,20.682281,,3.5,55,33428.57142857143,01/09/2025,Gdl|Ladrón de Guevara|11700000.0|350.0|Cas
Sep25_420b14b6,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,115.0,4.0,,3650000.0,,-103.37015,20.685706,31.0,2.0,0,31739.130434782608,01/09/2025,Gdl|Ladrón de Guevara|3650000.0|115.0|Cas
Sep25_9db7a0ac,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,450.0,5.0,3.0,13000000.0,,-103.369859,20.677398,37.0,4.5,0,28888.88888888889,01/09/2025,Gdl|Ladrón de Guevara|13000000.0|450.0|Cas
Sep25_6a027f06,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,149.0,4.0,,3750000.0,,-103.371367,20.682006,72.0,2.0,1,25167.78523489933,01/09/2025,Gdl|Ladrón de Guevara|3750000.0|149.0|Cas
Sep25_919ebbf9,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,85.0,3.0,,4800000.0,,-103.371848,20.683261,48.0,1.0,40,56470.58823529412,01/09/2025,Gdl|Ladrón de Guevara|4800000.0|85.0|Cas
Sep25_5158079f,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,172.0,3.0,2.0,7500000.0,,-103.37309,20.687846,190.0,1.5,40,43604.651162790695,01/09/2025,Gdl|Ladrón de Guevara|7500000.0|172.0|Cas
Sep25_7108e764,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,320.0,4.0,2.0,10500000.0,,-103.371565,20.676185,94.0,3.5,50,32812.5,01/09/2025,Gdl|Ladrón de Guevara|10500000.0|320.0|Cas
Sep25_44618460,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,267.0,5.0,2.0,8500000.0,,-103.378848,20.681156,32.0,3.0,20,31835.205992509364,01/09/2025,Gdl|Ladrón de Guevara|8500000.0|267.0|Cas
Sep25_5895b273,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,215.0,3.0,1.0,7400000.0,,-103.380782,20.681504,13.0,2.5,45,34418.604651162794,01/09/2025,Gdl|Ladrón de Guevara|7400000.0|215.0|Cas
Sep25_233ffcb5,Inm24,Gdl,Ladrón de Guevara,Ven,Cas,525.0,8.0,6.0,17000000.0,,-103.379321,20.67997,,4.0,30,32380.95238095238,01/09/2025,Gdl|Ladrón de Guevara|17000000.0|525.0|Cas
