id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_67331919,Inm24,Gdl,Moderna,Ven,Cas,198.0,1.0,1.0,6500000.0,,-103.357703,20.666213,170.0,1.0,10,32828.28282828283,01/09/2025,Gdl|Moderna|6500000.0|198.0|Cas
Sep25_3d402d0c,Inm24,Gdl,Moderna,Ven,Cas,287.0,4.0,2.0,8890000.0,,-103.366336,20.666406,14.0,3.0,65,30975.60975609756,01/09/2025,Gdl|Moderna|8890000.0|287.0|Cas
Sep25_f8ee101f,Inm24,Gdl,Moderna,Ven,Cas,307.0,4.0,1.0,5300000.0,,-103.356687,20.66501,304.0,2.5,50,17263.84364820847,01/09/2025,Gdl|Moderna|5300000.0|307.0|Cas
Sep25_76d1753f,Inm24,Gdl,Moderna,Ven,Cas,500.0,7.0,1.0,16800000.0,,-103.362543,20.663273,243.0,5.5,6,33600.0,01/09/2025,Gdl|Moderna|16800000.0|500.0|Cas
Sep25_cad41710,Inm24,Gdl,Moderna,Ven,Cas,184.0,3.0,5.0,5300000.0,,-103.372259,20.665698,122.0,2.5,,28804.34782608696,01/09/2025,Gdl|Moderna|5300000.0|184.0|Cas
Sep25_44f09294,Inm24,Gdl,Moderna,Ven,Cas,650.0,5.0,6.0,14500000.0,,-103.358422,20.662274,14.0,4.5,50,22307.69230769231,01/09/2025,Gdl|Moderna|14500000.0|650.0|Cas
Sep25_99af74ba,Inm24,Gdl,Moderna,Ven,Cas,250.0,6.0,,5350000.0,,-103.361795,20.663899,135.0,2.0,40,21400.0,01/09/2025,Gdl|Moderna|5350000.0|250.0|Cas
Sep25_dd343bcc,Inm24,Gdl,Moderna,Ven,Cas,355.0,3.0,1.0,7990000.0,,-103.360173,20.663242,81.0,2.5,30,22507.04225352113,01/09/2025,Gdl|Moderna|7990000.0|355.0|Cas
Sep25_c102212f,Inm24,Gdl,Moderna,Ven,Cas,222.0,4.0,1.0,4160000.0,,-103.360172,20.663242,52.0,2.0,,18738.73873873874,01/09/2025,Gdl|Moderna|4160000.0|222.0|Cas
Sep25_a04b1e29,Inm24,Gdl,Moderna,Ven,Cas,330.0,4.0,3.0,13000000.0,,-103.362452,20.663065,24.0,2.5,,39393.93939393939,01/09/2025,Gdl|Moderna|13000000.0|330.0|Cas
Sep25_ad788a02,Inm24,Gdl,Moderna,Ven,Cas,305.0,5.0,3.0,8500000.0,,-103.362001,20.663315,44.0,2.0,en construcción,27868.852459016394,01/09/2025,Gdl|Moderna|8500000.0|305.0|Cas
