id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_ebd17d7c,Inm24,Gdl,Victoria,Ven,Cas,521.0,3.0,4.0,18000000.0,,-103.395878,20.646816,24.0,4.5,16,34548.9443378119,01/09/2025,Gdl|Victoria|18000000.0|521.0|Cas
Sep25_fa50f8d9,Inm24,Gdl,Victoria,Ven,Cas,488.0,4.0,2.0,14490000.0,,-103.395786,20.643776,13.0,5.0,0,29692.622950819677,01/09/2025,Gdl|Victoria|14490000.0|488.0|Cas
Sep25_785bb730,Inm24,Gdl,Victoria,Ven,Cas,246.0,6.0,4.0,13500000.0,,-103.398067,20.643355,231.0,5.0,0,54878.04878048781,01/09/2025,Gdl|Victoria|13500000.0|246.0|Cas
Sep25_8066b700,Inm24,Gdl,Victoria,Ven,Cas,435.0,5.0,4.0,10300000.0,,-103.397775,20.642059,3.0,5.5,47,23678.16091954023,01/09/2025,Gdl|Victoria|10300000.0|435.0|Cas
Sep25_33f36b7d,Inm24,Gdl,Victoria,Ven,Cas,430.0,4.0,4.0,9900000.0,,-103.396034,20.650371,,5.5,25,23023.25581395349,01/09/2025,Gdl|Victoria|9900000.0|430.0|Cas
Sep25_8256aadf,Inm24,Gdl,Victoria,Ven,Cas,560.0,9.0,3.0,16500000.0,,-103.395499,20.64256,235.0,8.0,36,29464.285714285717,01/09/2025,Gdl|Victoria|16500000.0|560.0|Cas
Sep25_ea53cd0e,Inm24,Gdl,Victoria,Ven,Cas,550.0,4.0,4.0,13000000.0,,-103.396134,20.647731,177.0,5.0,30,23636.36363636364,01/09/2025,Gdl|Victoria|13000000.0|550.0|Cas
Sep25_1fcec703,Inm24,Gdl,Victoria,Ven,Cas,987.0,6.0,8.0,57290000.0,,-103.395301,20.643016,,7.0,40,58044.57953394124,01/09/2025,Gdl|Victoria|57290000.0|987.0|Cas
Sep25_31028172,Inm24,Gdl,Victoria,Ven,Cas,753.0,5.0,4.0,16890000.0,,-103.397451,20.646467,52.0,7.0,,22430.27888446215,01/09/2025,Gdl|Victoria|16890000.0|753.0|Cas
Sep25_eb8d724f,Inm24,Gdl,Victoria,Ven,Cas,980.0,4.0,8.0,55000000.0,,-103.395144,20.643129,37.0,3.5,0,56122.44897959184,01/09/2025,Gdl|Victoria|55000000.0|980.0|Cas
Sep25_0c5a2e00,Inm24,Gdl,Victoria,Ven,Cas,256.0,3.0,3.0,10565000.0,,-103.394792,20.648648,297.0,2.5,20,41269.53125,01/09/2025,Gdl|Victoria|10565000.0|256.0|Cas
Sep25_75907c6d,Inm24,Gdl,Victoria,Ven,Cas,500.0,5.0,2.0,15450000.0,,-103.395786,20.643776,242.0,5.0,0,30900.0,01/09/2025,Gdl|Victoria|15450000.0|500.0|Cas
Sep25_af4a1cfa,Inm24,Gdl,Victoria,Ven,Cas,337.0,3.0,3.0,7800000.0,,-103.396034,20.650371,225.0,4.0,0,23145.40059347181,01/09/2025,Gdl|Victoria|7800000.0|337.0|Cas
Sep25_2aae043e,Inm24,Gdl,Victoria,Ven,Cas,250.0,3.0,2.0,7899000.0,,-103.396782,20.64264,,2.5,50,31596.0,01/09/2025,Gdl|Victoria|7899000.0|250.0|Cas
