id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_925ecba0,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Cas,99.0,3.0,,2500000.0,,-103.364273,20.683102,12.0,1.5,50,25252.52525252525,01/09/2025,Gdl|Villaseñor (Santa Teresita)|2500000.0|99.0|Cas
Sep25_5bde848c,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Cas,130.0,2.0,,3200000.0,,-103.367393,20.68458,,1.5,20,24615.384615384617,01/09/2025,Gdl|Villaseñor (Santa Teresita)|3200000.0|130.0|Cas
Sep25_85dc45df,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Cas,259.0,3.0,1.0,5710000.0,,-103.367024,20.68366,6.0,2.5,40,22046.332046332045,01/09/2025,Gdl|Villaseñor (Santa Teresita)|5710000.0|259.0|Cas
Sep25_568baa63,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Cas,276.0,5.0,3.0,6000000.0,,-103.364979,20.690436,205.0,2.0,45,21739.130434782608,01/09/2025,Gdl|Villaseñor (Santa Teresita)|6000000.0|276.0|Cas
Sep25_aad5e4c7,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Cas,154.0,3.0,1.0,5700000.0,,-103.365634,20.681124,210.0,3.5,30,37012.98701298701,01/09/2025,Gdl|Villaseñor (Santa Teresita)|5700000.0|154.0|Cas
Sep25_e9afe056,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Cas,263.0,6.0,,3613000.0,,-103.364665,20.689804,15.0,2.0,45,13737.642585551332,01/09/2025,Gdl|Villaseñor (Santa Teresita)|3613000.0|263.0|Cas
Sep25_cff2d052,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Cas,161.0,4.0,,3690000.0,,-103.366559,20.686674,57.0,2.5,60,22919.254658385093,01/09/2025,Gdl|Villaseñor (Santa Teresita)|3690000.0|161.0|Cas
Sep25_bf464732,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Cas,148.0,4.0,2.0,4650000.0,,-103.36402,20.681502,23.0,3.5,25,31418.91891891892,01/09/2025,Gdl|Villaseñor (Santa Teresita)|4650000.0|148.0|Cas
Sep25_273dfdcc,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Cas,374.0,5.0,2.0,7795000.0,,-103.364266,20.690359,11.0,5.0,,20842.24598930481,01/09/2025,Gdl|Villaseñor (Santa Teresita)|7795000.0|374.0|Cas
Sep25_c93997db,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Cas,203.0,3.0,1.0,7135000.0,,-103.363089,20.682772,116.0,3.5,0,35147.78325123153,01/09/2025,Gdl|Villaseñor (Santa Teresita)|7135000.0|203.0|Cas
Sep25_294f2ab3,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Cas,222.0,1.0,,5500000.0,,-103.3645,20.679408,165.0,2.5,38,24774.77477477477,01/09/2025,Gdl|Villaseñor (Santa Teresita)|5500000.0|222.0|Cas
Sep25_b42a37c4,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Cas,389.0,6.0,2.0,8000000.0,,-103.368561,20.6871,231.0,2.5,52,20565.552699228792,01/09/2025,Gdl|Villaseñor (Santa Teresita)|8000000.0|389.0|Cas
