id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_cc1b89d4,Inm24,Gdl,Zona Centro,Ven,Cas,828.0,8.0,2.0,13480000.0,,-103.357231,20.676014,179.0,2.5,77,16280.193236714977,01/09/2025,Gdl|Zona Centro|13480000.0|828.0|Cas
Sep25_2084c1ae,Inm24,Gdl,Zona Centro,Ven,Cas,270.0,6.0,,5200000.0,,-103.345826,20.672837,16.0,2.0,50,19259.25925925926,01/09/2025,Gdl|Zona Centro|5200000.0|270.0|Cas
Sep25_ff64d351,Inm24,Gdl,Zona Centro,Ven,Cas,1253.0,10.0,10.0,37500000.0,,-103.354252,20.676359,271.0,9.0,51,29928.172386272945,01/09/2025,Gdl|Zona Centro|37500000.0|1253.0|Cas
Sep25_1bb364df,Inm24,Gdl,Zona Centro,Ven,Cas,575.0,10.0,5.0,12000000.0,,-103.356924,20.675884,13.0,8.0,20,20869.565217391304,01/09/2025,Gdl|Zona Centro|12000000.0|575.0|Cas
Sep25_88b67f06,Inm24,Gdl,Zona Centro,Ven,Cas,362.0,5.0,1.0,7900000.0,,-103.350464,20.680584,82.0,2.0,80,21823.204419889506,01/09/2025,Gdl|Zona Centro|7900000.0|362.0|Cas
Sep25_93d283e8,Inm24,Gdl,Zona Centro,Ven,Cas,300.0,9.0,,6500000.0,,-103.344559,20.678926,29.0,4.0,50,21666.666666666668,01/09/2025,Gdl|Zona Centro|6500000.0|300.0|Cas
Sep25_40fc647b,Inm24,Gdl,Zona Centro,Ven,Cas,350.0,6.0,,11000000.0,,-103.35577,20.671756,,7.5,3,31428.571428571428,01/09/2025,Gdl|Zona Centro|11000000.0|350.0|Cas
Sep25_bd11c2cf,Inm24,Gdl,Zona Centro,Ven,Cas,329.0,3.0,1.0,4800000.0,,-103.35231,20.669963,4.0,2.5,50,14589.66565349544,01/09/2025,Gdl|Zona Centro|4800000.0|329.0|Cas
Sep25_c8578533,Inm24,Gdl,Zona Centro,Ven,Cas,126.0,3.0,,2950000.0,,-103.350087,20.681815,,1.0,90,23412.698412698413,01/09/2025,Gdl|Zona Centro|2950000.0|126.0|Cas
Sep25_00b681af,Inm24,Gdl,Zona Centro,Ven,Cas,379.0,6.0,3.0,6800000.0,,-103.354145,20.678686,316.0,6.0,20,17941.952506596306,01/09/2025,Gdl|Zona Centro|6800000.0|379.0|Cas
Sep25_2cfb7ebf,Inm24,Gdl,Zona Centro,Ven,Cas,276.0,7.0,,5000000.0,,-103.353746,20.673111,10.0,1.0,1,18115.942028985508,01/09/2025,Gdl|Zona Centro|5000000.0|276.0|Cas
Sep25_ffd3f11f,Inm24,Gdl,Zona Centro,Ven,Cas,170.0,5.0,3.0,6995000.0,,-103.364544,20.678003,149.0,1.0,62,41147.05882352941,01/09/2025,Gdl|Zona Centro|6995000.0|170.0|Cas
