id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_5aed0ace,Inm24,Gdl,Americana,Ven,Dep,67.0,1.0,,4290000.0,,-103.372786,20.673182,77.0,2.0,0,64029.850746268654,01/09/2025,Gdl|Americana|4290000.0|67.0|Dep
Sep25_acbde161,Inm24,Gdl,Americana,Ven,Dep,67.0,2.0,1.0,4300000.0,,-103.367904,20.667766,,2.0,5,64179.10447761194,01/09/2025,Gdl|Americana|4300000.0|67.0|Dep
Sep25_6d1edcf8,Inm24,Gdl,Americana,Ven,Dep,360.0,2.0,4.0,24500000.0,,-103.367182,20.672353,,2.5,0,68055.55555555556,01/09/2025,Gdl|Americana|24500000.0|360.0|Dep
Sep25_10c5b73f,Inm24,Gdl,Americana,Ven,Dep,260.0,3.0,2.0,14850000.0,,-103.375888,20.671352,63.0,4.5,6,57115.38461538462,01/04/2025,Gdl|Americana|14850000.0|260.0|Dep
Sep25_05f03ed3,Inm24,Gdl,Americana,Ven,Dep,82.0,2.0,2.0,5194386.0,,-103.3614,20.673947,33.0,2.0,0,63346.17073170732,01/04/2025,Gdl|Americana|5194386.0|82.0|Dep
Sep25_fc57b592,Inm24,Gdl,Americana,Ven,Dep,68.0,1.0,1.0,4243813.0,,-103.3614,20.673947,34.0,1.0,0,62409.01470588235,01/04/2025,Gdl|Americana|4243813.0|68.0|Dep
Sep25_bd79e4b8,Inm24,Gdl,Americana,Ven,Dep,59.0,2.0,,4044938.0,,-103.367904,20.667766,14.0,2.0,0,68558.27118644067,01/04/2025,Gdl|Americana|4044938.0|59.0|Dep
Sep25_14f7889e,Inm24,Gdl,Americana,Ven,Dep,48.0,1.0,1.0,3000000.0,,-103.369514,20.672594,25.0,1.0,0,62500.0,01/04/2025,Gdl|Americana|3000000.0|48.0|Dep
Sep25_4f29ca88,Inm24,Gdl,Americana,Ven,Dep,68.0,1.0,1.0,3970000.0,,-103.370427,20.673826,92.0,1.0,0,58382.35294117647,01/04/2025,Gdl|Americana|3970000.0|68.0|Dep
Sep25_62106362,Inm24,Gdl,Americana,Ven,Dep,95.0,3.0,,6229193.0,,-103.367904,20.667766,16.0,2.0,0,65570.45263157894,01/04/2025,Gdl|Americana|6229193.0|95.0|Dep
Sep25_ea3291f7,Inm24,Gdl,Americana,Ven,Dep,96.0,3.0,2.0,5950000.0,,-103.368233,20.66776,212.0,2.0,2,61979.16666666666,01/04/2025,Gdl|Americana|5950000.0|96.0|Dep
Sep25_c3e72f79,Inm24,Gdl,Americana,Ven,Dep,37.0,1.0,1.0,3255260.0,,-103.373393,20.672913,101.0,1.0,0,87980.0,01/04/2025,Gdl|Americana|3255260.0|37.0|Dep
Sep25_88043901,Inm24,Gdl,Americana,Ven,Dep,53.0,2.0,2.0,5230788.0,,-103.369514,20.672594,,1.0,0,98694.11320754715,01/04/2025,Gdl|Americana|5230788.0|53.0|Dep
Sep25_99ab6fd3,Inm24,Gdl,Americana,Ven,Dep,114.0,2.0,2.0,6500000.0,3590.0,-103.376333,20.671385,310.0,2.0,3,57017.54385964912,01/04/2025,Gdl|Americana|6500000.0|114.0|Dep
Sep25_fe4c2602,Inm24,Gdl,Americana,Ven,Dep,119.0,3.0,2.0,5500000.0,,-103.366601,20.673986,,2.0,3,46218.48739495799,01/04/2025,Gdl|Americana|5500000.0|119.0|Dep
Sep25_a2974eee,Inm24,Gdl,Americana,Ven,Dep,69.0,2.0,2.0,5665591.0,,-103.376644,20.6724,91.0,2.0,0,82110.01449275362,01/04/2025,Gdl|Americana|5665591.0|69.0|Dep
Sep25_356369f6,Inm24,Gdl,Americana,Ven,Dep,117.0,3.0,2.0,6200000.0,,-103.366601,20.673986,304.0,3.5,1,52991.45299145299,01/04/2025,Gdl|Americana|6200000.0|117.0|Dep
Sep25_d85ed5a4,Inm24,Gdl,Americana,Ven,Dep,53.0,1.0,1.0,3670000.0,,-103.369514,20.672594,85.0,1.0,0,69245.28301886792,01/04/2025,Gdl|Americana|3670000.0|53.0|Dep
Sep25_366f1635,Inm24,Gdl,Americana,Ven,Dep,59.0,2.0,,3760000.0,2200.0,-103.367904,20.667766,52.0,2.0,0,63728.81355932204,01/04/2025,Gdl|Americana|3760000.0|59.0|Dep
Sep25_640b0def,Inm24,Gdl,Americana,Ven,Dep,85.0,2.0,2.0,5100000.0,,-103.361707,20.675565,6.0,1.0,12,60000.0,01/04/2025,Gdl|Americana|5100000.0|85.0|Dep
Sep25_1a6395bc,Inm24,Gdl,Americana,Ven,Dep,53.0,1.0,1.0,3370000.0,,-103.375062,20.673045,79.0,1.0,0,63584.90566037736,01/04/2025,Gdl|Americana|3370000.0|53.0|Dep
Sep25_73136314,Inm24,Gdl,Americana,Ven,Dep,113.0,2.0,1.0,5875000.0,4000.0,-103.371251,20.674169,60.0,2.0,2,51991.15044247788,01/04/2025,Gdl|Americana|5875000.0|113.0|Dep
Sep25_6fdc7e77,Inm24,Gdl,Americana,Ven,Dep,71.0,2.0,2.0,6003494.0,,-103.376644,20.6724,93.0,2.0,0,84556.25352112677,01/04/2025,Gdl|Americana|6003494.0|71.0|Dep
Sep25_718c5b87,Inm24,Gdl,Americana,Ven,Dep,55.0,2.0,,3148000.0,,-103.359525,20.675716,211.0,1.0,0,57236.36363636364,01/04/2025,Gdl|Americana|3148000.0|55.0|Dep
Sep25_015d917b,Inm24,Gdl,Americana,Ven,Dep,49.0,2.0,,3750000.0,,-103.365764,20.673805,18.0,1.0,4,76530.61224489796,01/04/2025,Gdl|Americana|3750000.0|49.0|Dep
Sep25_272078af,Inm24,Gdl,Americana,Ven,Dep,71.0,2.0,1.0,4679340.0,,-103.363061,20.671778,207.0,2.0,0,65906.19718309859,01/04/2025,Gdl|Americana|4679340.0|71.0|Dep
Sep25_361d85d0,Inm24,Gdl,Americana,Ven,Dep,51.0,1.0,1.0,3490000.0,,-103.369529,20.672657,100.0,1.0,0,68431.37254901961,01/04/2025,Gdl|Americana|3490000.0|51.0|Dep
Sep25_c94e65c0,Inm24,Gdl,Americana,Ven,Dep,168.0,2.0,2.0,10353420.0,,-103.376347,20.670867,36.0,2.0,4,61627.5,01/04/2025,Gdl|Americana|10353420.0|168.0|Dep
Sep25_08759cbf,Inm24,Gdl,Americana,Ven,Dep,59.0,1.0,1.0,3898295.0,,-103.363909,20.671735,,1.0,0,66072.79661016949,01/04/2025,Gdl|Americana|3898295.0|59.0|Dep
Sep25_bb97710b,Inm24,Gdl,Americana,Ven,Dep,44.0,1.0,,3067939.0,,-103.363061,20.671778,226.0,1.0,0,69725.88636363637,01/04/2025,Gdl|Americana|3067939.0|44.0|Dep
Sep25_afc149cb,Inm24,Gdl,Americana,Ven,Dep,68.0,2.0,1.0,5105153.0,,-103.367223,20.670539,143.0,2.0,0,75075.7794117647,01/04/2025,Gdl|Americana|5105153.0|68.0|Dep
Sep25_55b27b6a,Inm24,Gdl,Americana,Ven,Dep,46.0,1.0,,3062786.0,,-103.363061,20.671778,226.0,1.0,0,66582.30434782608,01/04/2025,Gdl|Americana|3062786.0|46.0|Dep
Sep25_cee55666,Inm24,Gdl,Americana,Ven,Dep,38.0,1.0,,3380086.0,,-103.363061,20.671778,226.0,1.0,0,88949.63157894737,01/04/2025,Gdl|Americana|3380086.0|38.0|Dep
Sep25_b6cafaed,Inm24,Gdl,Americana,Ven,Dep,56.0,1.0,1.0,3186044.0,,-103.36434,20.670143,,1.5,0,56893.642857142855,01/04/2025,Gdl|Americana|3186044.0|56.0|Dep
Sep25_1a21c710,Inm24,Gdl,Americana,Ven,Dep,306.0,2.0,4.0,34999000.0,,-103.361756,20.672292,115.0,2.5,8,114375.81699346405,01/04/2025,Gdl|Americana|34999000.0|306.0|Dep
Sep25_1263f3a1,Inm24,Gdl,Americana,Ven,Dep,78.0,2.0,2.0,5802313.0,,-103.36374,20.671463,,2.0,0,74388.6282051282,01/04/2025,Gdl|Americana|5802313.0|78.0|Dep
Sep25_da02bf51,Inm24,Gdl,Americana,Ven,Dep,76.0,1.0,1.0,5132864.0,,-103.363909,20.671735,,1.0,0,67537.68421052632,01/04/2025,Gdl|Americana|5132864.0|76.0|Dep
Sep25_12249669,Inm24,Gdl,Americana,Ven,Dep,68.0,2.0,1.0,4451222.0,,-103.369514,20.672594,,2.0,0,65459.14705882353,01/04/2025,Gdl|Americana|4451222.0|68.0|Dep
Sep25_e95a8763,Inm24,Gdl,Americana,Ven,Dep,76.0,1.0,1.0,4248275.0,,-103.370427,20.673826,46.0,1.0,0,55898.35526315789,01/04/2025,Gdl|Americana|4248275.0|76.0|Dep
Sep25_c90e3f35,Inm24,Gdl,Americana,Ven,Dep,90.0,2.0,1.0,4900000.0,2000.0,-103.365753,20.670735,56.0,2.0,1,54444.444444444445,01/04/2025,Gdl|Americana|4900000.0|90.0|Dep
Sep25_31e06ecf,Inm24,Gdl,Americana,Ven,Dep,64.0,2.0,,4970000.0,,-103.375983,20.672004,137.0,1.0,0,77656.25,01/04/2025,Gdl|Americana|4970000.0|64.0|Dep
