id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_7fd6cc3f,Inm24,Gdl,Arcos,Ven,Dep,79.0,1.0,1.0,3550000.0,2500.0,-103.379251,20.66787,161.0,1.5,4,44936.70886075949,01/09/2025,Gdl|Arcos|3550000.0|79.0|Dep
Sep25_1abf1870,Inm24,Gdl,Arcos,Ven,Dep,77.0,2.0,1.0,4190000.0,,-103.379247,20.667884,65.0,2.0,3,54415.58441558442,01/09/2025,Gdl|Arcos|4190000.0|77.0|Dep
Sep25_1435523f,Inm24,Gdl,Arcos,Ven,Dep,106.0,2.0,2.0,4700000.0,,-103.379247,20.667884,237.0,2.0,1,44339.62264150944,01/04/2025,Gdl|Arcos|4700000.0|106.0|Dep
Sep25_6aa5edea,Inm24,Gdl,Arcos,Ven,Dep,60.0,1.0,1.0,2850000.0,1800.0,-103.379251,20.66787,31.0,1.0,1,47500.0,01/04/2025,Gdl|Arcos|2850000.0|60.0|Dep
Sep25_d7e971df,Inm24,Gdl,Arcos,Ven,Dep,70.0,2.0,1.0,4550000.0,,-103.379804,20.667953,25.0,2.0,0,65000.0,01/04/2025,Gdl|Arcos|4550000.0|70.0|Dep
Sep25_d6664f8b,Inm24,Gdl,Arcos,Ven,Dep,48.0,1.0,1.0,3240000.0,,-103.379804,20.667953,206.0,2.0,0,67500.0,01/04/2025,Gdl|Arcos|3240000.0|48.0|Dep
Sep25_23dc159e,Inm24,Gdl,Arcos,Ven,Dep,43.0,1.0,,2657000.0,400.0,-103.377609,20.667395,305.0,1.0,0,61790.6976744186,01/04/2025,Gdl|Arcos|2657000.0|43.0|Dep
Sep25_8c241d78,Inm24,Gdl,Arcos,Ven,Dep,55.0,1.0,1.0,2790000.0,,-103.37925,20.667876,178.0,1.0,0,50727.27272727273,01/04/2025,Gdl|Arcos|2790000.0|55.0|Dep
Sep25_ba4b03c6,Inm24,Gdl,Arcos,Ven,Dep,81.0,2.0,2.0,3240000.0,,-103.379785,20.668001,4.0,2.0,0,40000.0,01/04/2025,Gdl|Arcos|3240000.0|81.0|Dep
Sep25_dcdaf5ad,Inm24,Gdl,Arcos,Ven,Dep,71.0,2.0,1.0,3566872.0,,-103.379254,20.667868,,1.5,1,50237.633802816905,01/04/2025,Gdl|Arcos|3566872.0|71.0|Dep
Sep25_c9b90993,Inm24,Gdl,Arcos,Ven,Dep,45.0,2.0,1.0,2900000.0,,-103.377184,20.670445,124.0,1.0,0,64444.444444444445,01/04/2025,Gdl|Arcos|2900000.0|45.0|Dep
Sep25_df945158,Inm24,Gdl,Arcos,Ven,Dep,70.0,1.0,,3995061.0,1800.0,-103.377713,20.670557,,1.0,0,57072.3,01/04/2025,Gdl|Arcos|3995061.0|70.0|Dep
Sep25_6aa4c391,Inm24,Gdl,Arcos,Ven,Dep,45.0,1.0,1.0,3280000.0,,-103.379804,20.667953,86.0,1.0,0,72888.88888888889,01/04/2025,Gdl|Arcos|3280000.0|45.0|Dep
Sep25_07193984,Inm24,Gdl,Arcos,Ven,Dep,48.0,1.0,1.0,3194000.0,1400.0,-103.379804,20.667953,67.0,1.0,0,66541.66666666667,01/04/2025,Gdl|Arcos|3194000.0|48.0|Dep
Sep25_9e1426f5,Inm24,Gdl,Arcos,Ven,Dep,58.0,1.0,1.0,2870000.0,1600.0,-103.379251,20.66787,26.0,1.0,0,49482.75862068965,01/04/2025,Gdl|Arcos|2870000.0|58.0|Dep
