id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_373fa116,Inm24,Gdl,Arcos Vallarta,Ven,Dep,86.0,2.0,2.0,4900000.0,2900.0,-103.382079,20.673451,279.0,2.0,4,56976.74418604651,01/09/2025,Gdl|Arcos Vallarta|4900000.0|86.0|Dep
Sep25_c087bd48,Inm24,Gdl,Arcos Vallarta,Ven,Dep,75.0,2.0,1.0,4700000.0,,-103.377982,20.675774,83.0,2.0,2,62666.66666666666,01/09/2025,Gdl|Arcos Vallarta|4700000.0|75.0|Dep
Sep25_33dfcd58,Inm24,Gdl,Arcos Vallarta,Ven,Dep,103.0,2.0,2.0,4900000.0,2320.0,-103.382035,20.673493,,2.0,5,47572.81553398058,01/09/2025,Gdl|Arcos Vallarta|4900000.0|103.0|Dep
Sep25_a40d13ea,Inm24,Gdl,Arcos Vallarta,Ven,Dep,250.0,3.0,2.0,10000000.0,,-103.386205,20.675032,,3.5,0,40000.0,01/09/2025,Gdl|Arcos Vallarta|10000000.0|250.0|Dep
Sep25_f632db92,Inm24,Gdl,Arcos Vallarta,Ven,Dep,75.0,2.0,1.0,4450000.0,,-103.38019,20.668125,51.0,2.0,0,59333.333333333336,01/09/2025,Gdl|Arcos Vallarta|4450000.0|75.0|Dep
Sep25_349d9f29,Inm24,Gdl,Arcos Vallarta,Ven,Dep,58.0,1.0,1.0,4200000.0,,-103.377983,20.675826,20.0,1.5,0,72413.79310344828,01/04/2025,Gdl|Arcos Vallarta|4200000.0|58.0|Dep
Sep25_ac4babe8,Inm24,Gdl,Arcos Vallarta,Ven,Dep,116.0,3.0,2.0,7082865.0,,-103.384276,20.67754,66.0,2.0,0,61059.18103448276,01/04/2025,Gdl|Arcos Vallarta|7082865.0|116.0|Dep
Sep25_ab56ce57,Inm24,Gdl,Arcos Vallarta,Ven,Dep,66.0,2.0,1.0,4434957.0,,-103.380796,20.672437,26.0,2.0,0,67196.31818181818,01/04/2025,Gdl|Arcos Vallarta|4434957.0|66.0|Dep
Sep25_ee821830,Inm24,Gdl,Arcos Vallarta,Ven,Dep,89.0,1.0,1.0,4000000.0,2200.0,-103.377986,20.675773,227.0,1.5,1,44943.8202247191,01/04/2025,Gdl|Arcos Vallarta|4000000.0|89.0|Dep
Sep25_b45f0abf,Inm24,Gdl,Arcos Vallarta,Ven,Dep,65.0,2.0,1.0,4800000.0,2200.0,-103.38427,20.67754,182.0,2.0,0,73846.15384615384,01/04/2025,Gdl|Arcos Vallarta|4800000.0|65.0|Dep
