id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_5d745577,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,57.0,2.0,1.0,2670000.0,,-103.35365,20.692124,89.0,1.0,0,46842.10526315789,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|2670000.0|57.0|Dep
Sep25_f6e93eb0,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,57.0,1.0,1.0,2790000.0,,-103.356637,20.685378,45.0,1.0,0,48947.36842105263,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|2790000.0|57.0|Dep
Sep25_c723a1b1,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,50.0,1.0,,1999000.0,500.0,-103.362747,20.687074,2.0,1.0,0,39980.0,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|1999000.0|50.0|Dep
Sep25_49cf7947,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,82.0,3.0,1.0,3700000.0,1400.0,-103.35365,20.692124,238.0,2.0,4,45121.95121951219,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|3700000.0|82.0|Dep
Sep25_ed267e8e,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,70.0,1.0,1.0,3440000.0,,-103.356622,20.688771,37.0,1.0,0,49142.857142857145,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|3440000.0|70.0|Dep
Sep25_db4e8320,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,91.0,2.0,1.0,3999000.0,2100.0,-103.353712,20.692123,137.0,2.0,1,43945.054945054944,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|3999000.0|91.0|Dep
Sep25_40b6b45d,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,79.0,2.0,1.0,3695000.0,1400.0,-103.36199,20.683431,,2.0,0,46772.15189873418,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|3695000.0|79.0|Dep
Sep25_24912da4,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,51.0,1.0,1.0,2590000.0,1000.0,-103.36199,20.683431,,1.0,0,50784.3137254902,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|2590000.0|51.0|Dep
Sep25_7e452ba3,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,74.0,2.0,1.0,3450000.0,1400.0,-103.361773,20.683357,,2.0,0,46621.62162162162,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|3450000.0|74.0|Dep
Sep25_776a1809,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,85.0,2.0,1.0,4290000.0,2200.0,-103.353308,20.692107,269.0,2.0,0,50470.58823529412,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|4290000.0|85.0|Dep
Sep25_ee01245f,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,140.0,2.0,2.0,5200000.0,2000.0,-103.361945,20.689609,166.0,2.5,3,37142.857142857145,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|5200000.0|140.0|Dep
Sep25_adfeae5f,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,90.0,3.0,1.0,3500000.0,1300.0,-103.35365,20.692124,306.0,2.0,0,38888.88888888889,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|3500000.0|90.0|Dep
Sep25_8032517a,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,80.0,2.0,1.0,3550000.0,1800.0,-103.349522,20.689838,7.0,2.0,9,44375.0,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|3550000.0|80.0|Dep
Sep25_5d745577,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,56.0,2.0,1.0,2670000.0,,-103.35365,20.692124,73.0,1.0,0,47678.57142857143,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|2670000.0|56.0|Dep
Sep25_cd9cee22,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,80.0,2.0,1.0,3590000.0,1200.0,-103.352251,20.693017,,2.0,0,44875.0,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|3590000.0|80.0|Dep
Sep25_b899ab08,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,104.0,3.0,2.0,4635050.0,,-103.34829,20.690703,,2.0,0,44567.78846153846,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|4635050.0|104.0|Dep
Sep25_723d7727,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,58.0,2.0,2.0,2750000.0,,-103.353712,20.692123,170.0,1.0,3,47413.79310344828,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|2750000.0|58.0|Dep
Sep25_abf0420a,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,57.0,1.0,,2348625.0,2500.0,-103.362747,20.687074,3.0,1.0,0,41203.94736842105,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|2348625.0|57.0|Dep
Sep25_f090cfcb,Inm24,Gdl,Artesanos (Sagrada Familia y/o Jesús),Ven,Dep,57.0,2.0,1.0,2990103.0,,-103.353696,20.691785,355.0,1.0,0,52457.94736842105,01/04/2025,Gdl|Artesanos (Sagrada Familia y/o Jesús)|2990103.0|57.0|Dep
