id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_d77c23d3,Inm24,Gdl,Ayuntamiento,Ven,Dep,74.0,1.0,1.0,3300000.0,,-103.371732,20.693529,20.0,1.0,0,44594.59459459459,01/09/2025,Gdl|Ayuntamiento|3300000.0|74.0|Dep
Sep25_a2d02033,Inm24,Gdl,Ayuntamiento,Ven,Dep,77.0,2.0,1.0,4550000.0,2000.0,-103.372962,20.692919,98.0,2.0,1,59090.90909090909,01/04/2025,Gdl|Ayuntamiento|4550000.0|77.0|Dep
Sep25_6313ba97,Inm24,Gdl,Ayuntamiento,Ven,Dep,75.0,1.0,1.0,3750000.0,,-103.372098,20.690334,24.0,1.0,0,50000.0,01/04/2025,Gdl|Ayuntamiento|3750000.0|75.0|Dep
Sep25_a634533b,Inm24,Gdl,Ayuntamiento,Ven,Dep,96.0,2.0,2.0,4390000.0,,-103.371732,20.693529,,2.0,0,45729.16666666666,01/04/2025,Gdl|Ayuntamiento|4390000.0|96.0|Dep
Sep25_dd5cdcc2,Inm24,Gdl,Ayuntamiento,Ven,Dep,111.0,2.0,2.0,5000000.0,,-103.371446,20.695425,,2.0,7,45045.04504504504,01/04/2025,Gdl|Ayuntamiento|5000000.0|111.0|Dep
Sep25_8a1cab8f,Inm24,Gdl,Ayuntamiento,Ven,Dep,53.0,1.0,1.0,2468829.0,,-103.371441,20.695425,,1.0,0,46581.67924528302,01/04/2025,Gdl|Ayuntamiento|2468829.0|53.0|Dep
Sep25_868de139,Inm24,Gdl,Ayuntamiento,Ven,Dep,101.0,2.0,1.0,4550000.0,2000.0,-103.372131,20.690003,,2.0,5,45049.50495049505,01/04/2025,Gdl|Ayuntamiento|4550000.0|101.0|Dep
Sep25_486260d4,Inm24,Gdl,Ayuntamiento,Ven,Dep,40.0,1.0,1.0,2679069.0,,-103.371446,20.695425,10.0,1.0,en construcción,66976.725,01/04/2025,Gdl|Ayuntamiento|2679069.0|40.0|Dep
Sep25_ef108319,Inm24,Gdl,Ayuntamiento,Ven,Dep,128.0,1.0,2.0,5500000.0,4500.0,-103.370806,20.690196,54.0,2.0,,42968.75,01/04/2025,Gdl|Ayuntamiento|5500000.0|128.0|Dep
Sep25_b28a8cba,Inm24,Gdl,Ayuntamiento,Ven,Dep,155.0,1.0,2.0,7280000.0,,-103.370811,20.690186,,2.0,9,46967.74193548387,01/04/2025,Gdl|Ayuntamiento|7280000.0|155.0|Dep
Sep25_fa4e5e4b,Inm24,Gdl,Ayuntamiento,Ven,Dep,128.0,2.0,3.0,5900000.0,4500.0,-103.370806,20.690196,54.0,2.0,,46093.75,01/04/2025,Gdl|Ayuntamiento|5900000.0|128.0|Dep
Sep25_ac9e6dd0,Inm24,Gdl,Ayuntamiento,Ven,Dep,64.0,2.0,2.0,3500000.0,,-103.371441,20.695425,,2.0,4,54687.5,01/04/2025,Gdl|Ayuntamiento|3500000.0|64.0|Dep
Sep25_6ceac224,Inm24,Gdl,Ayuntamiento,Ven,Dep,94.0,2.0,2.0,4400000.0,2700.0,-103.372098,20.690334,192.0,2.0,4,46808.51063829787,01/04/2025,Gdl|Ayuntamiento|4400000.0|94.0|Dep
Sep25_81447191,Inm24,Gdl,Ayuntamiento,Ven,Dep,108.0,2.0,2.0,5700000.0,,-103.370903,20.690836,96.0,1.5,0,52777.77777777778,01/04/2025,Gdl|Ayuntamiento|5700000.0|108.0|Dep
Sep25_5ffd96f0,Inm24,Gdl,Ayuntamiento,Ven,Dep,77.0,2.0,1.0,4660000.0,2100.0,-103.373029,20.692747,33.0,2.0,0,60519.48051948052,01/04/2025,Gdl|Ayuntamiento|4660000.0|77.0|Dep
Sep25_169991b0,Inm24,Gdl,Ayuntamiento,Ven,Dep,80.0,4.0,1.0,2495000.0,,-103.369391,20.690508,73.0,1.5,30,31187.5,01/04/2025,Gdl|Ayuntamiento|2495000.0|80.0|Dep
