id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_3df362e6,Inm24,Gdl,Chapalita,Ven,Dep,70.0,2.0,1.0,6050000.0,,-103.392012,20.65634,107.0,2.0,0,86428.57142857143,01/09/2025,Gdl|Chapalita|6050000.0|70.0|Dep
Sep25_78054a23,Inm24,Gdl,Chapalita,Ven,Dep,95.0,2.0,2.0,6190000.0,3000.0,-103.399881,20.668586,127.0,2.0,0,65157.89473684211,01/04/2025,Gdl|Chapalita|6190000.0|95.0|Dep
Sep25_a6245282,Inm24,Gdl,Chapalita,Ven,Dep,178.0,3.0,1.0,6700000.0,,-103.398241,20.665569,,3.5,0,37640.449438202246,01/04/2025,Gdl|Chapalita|6700000.0|178.0|Dep
Sep25_dc73c436,Inm24,Gdl,Chapalita,Ven,Dep,91.0,2.0,2.0,5600000.0,,-103.401175,20.667613,278.0,2.5,0,61538.46153846154,01/04/2025,Gdl|Chapalita|5600000.0|91.0|Dep
Sep25_a9e2c485,Inm24,Gdl,Chapalita,Ven,Dep,101.0,2.0,2.0,4900000.0,,-103.399823,20.66862,135.0,2.0,0,48514.85148514852,01/04/2025,Gdl|Chapalita|4900000.0|101.0|Dep
Sep25_b77b10c1,Inm24,Gdl,Chapalita,Ven,Dep,105.0,3.0,2.0,6200000.0,1500.0,-103.3952,20.667003,24.0,2.0,4,59047.619047619046,01/04/2025,Gdl|Chapalita|6200000.0|105.0|Dep
Sep25_1609b83d,Inm24,Gdl,Chapalita,Ven,Dep,100.0,2.0,2.0,6090842.0,3600.0,-103.399823,20.66862,89.0,2.0,0,60908.42,01/04/2025,Gdl|Chapalita|6090842.0|100.0|Dep
Sep25_8aa8c8a0,Inm24,Gdl,Chapalita,Ven,Dep,47.0,1.0,,2668666.0,,-103.389831,20.656147,114.0,1.0,0,56780.12765957447,01/04/2025,Gdl|Chapalita|2668666.0|47.0|Dep
Sep25_bb4d41e8,Inm24,Gdl,Chapalita,Ven,Dep,90.0,2.0,2.0,5660000.0,,-103.399844,20.668659,181.0,2.5,,62888.88888888889,01/04/2025,Gdl|Chapalita|5660000.0|90.0|Dep
Sep25_4fcb6b42,Inm24,Gdl,Chapalita,Ven,Dep,105.0,2.0,2.0,6104000.0,,-103.399844,20.668659,171.0,2.5,0,58133.333333333336,01/04/2025,Gdl|Chapalita|6104000.0|105.0|Dep
