id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_fba2eb58,Inm24,Gdl,Chapultepec Country,Ven,Dep,112.0,2.0,2.0,6499000.0,1800.0,-103.367968,20.695589,155.0,2.0,0,58026.78571428572,01/04/2025,Gdl|Chapultepec Country|6499000.0|112.0|Dep
Sep25_8d9905e1,Inm24,Gdl,Chapultepec Country,Ven,Dep,91.0,2.0,1.0,4200000.0,,-103.367961,20.69558,,2.0,0,46153.84615384616,01/04/2025,Gdl|Chapultepec Country|4200000.0|91.0|Dep
Sep25_c53cbc64,Inm24,Gdl,Chapultepec Country,Ven,Dep,127.0,2.0,2.0,6500000.0,,-103.36795,20.695571,89.0,2.0,0,51181.10236220472,01/04/2025,Gdl|Chapultepec Country|6500000.0|127.0|Dep
Sep25_7f153361,Inm24,Gdl,Chapultepec Country,Ven,Dep,128.0,2.0,2.0,6980000.0,,-103.367961,20.69558,,2.0,0,54531.25,01/04/2025,Gdl|Chapultepec Country|6980000.0|128.0|Dep
Sep25_2d7aea2b,Inm24,Gdl,Chapultepec Country,Ven,Dep,91.0,2.0,1.0,5840000.0,,-103.367961,20.69558,,2.0,0,64175.82417582418,01/04/2025,Gdl|Chapultepec Country|5840000.0|91.0|Dep
Sep25_4c2407f3,Inm24,Gdl,Chapultepec Country,Ven,Dep,112.0,2.0,,5600000.0,,-103.367961,20.69558,,2.0,0,50000.0,01/04/2025,Gdl|Chapultepec Country|5600000.0|112.0|Dep
Sep25_1e0113d5,Inm24,Gdl,Chapultepec Country,Ven,Dep,70.0,2.0,1.0,4129051.0,,-103.365969,20.697231,,2.0,0,58986.44285714286,01/04/2025,Gdl|Chapultepec Country|4129051.0|70.0|Dep
Sep25_92cad98d,Inm24,Gdl,Chapultepec Country,Ven,Dep,130.0,2.0,,6300000.0,,-103.367961,20.69558,,2.0,0,48461.53846153846,01/04/2025,Gdl|Chapultepec Country|6300000.0|130.0|Dep
Sep25_84e063aa,Inm24,Gdl,Chapultepec Country,Ven,Dep,127.0,2.0,2.0,6980000.0,,-103.367968,20.695589,337.0,2.0,0,54960.629921259846,01/04/2025,Gdl|Chapultepec Country|6980000.0|127.0|Dep
Sep25_c0bd8bf2,Inm24,Gdl,Chapultepec Country,Ven,Dep,52.0,1.0,1.0,3253000.0,,-103.369626,20.697179,262.0,1.0,0,62557.69230769231,01/04/2025,Gdl|Chapultepec Country|3253000.0|52.0|Dep
Sep25_95b585fd,Inm24,Gdl,Chapultepec Country,Ven,Dep,91.0,2.0,1.0,5500000.0,,-103.366442,20.694984,141.0,2.0,0,60439.56043956044,01/04/2025,Gdl|Chapultepec Country|5500000.0|91.0|Dep
Sep25_905466ea,Inm24,Gdl,Chapultepec Country,Ven,Dep,62.0,1.0,1.0,3750000.0,,-103.369126,20.696987,15.0,1.0,0,60483.87096774193,01/04/2025,Gdl|Chapultepec Country|3750000.0|62.0|Dep
Sep25_75a36f61,Inm24,Gdl,Chapultepec Country,Ven,Dep,78.0,2.0,1.0,4800000.0,,-103.36774,20.695277,193.0,1.0,1,61538.46153846154,01/04/2025,Gdl|Chapultepec Country|4800000.0|78.0|Dep
Sep25_d2ceb724,Inm24,Gdl,Chapultepec Country,Ven,Dep,111.0,2.0,2.0,6980000.0,,-103.368194,20.694775,,2.0,0,62882.882882882885,01/04/2025,Gdl|Chapultepec Country|6980000.0|111.0|Dep
Sep25_ebaaf1dd,Inm24,Gdl,Chapultepec Country,Ven,Dep,80.0,1.0,1.0,4800000.0,,-103.366442,20.694984,192.0,1.0,1,60000.0,01/04/2025,Gdl|Chapultepec Country|4800000.0|80.0|Dep
Sep25_05771b37,Inm24,Gdl,Chapultepec Country,Ven,Dep,78.0,1.0,1.0,4130065.0,,-103.366671,20.695588,,1.0,,52949.55128205128,01/04/2025,Gdl|Chapultepec Country|4130065.0|78.0|Dep
Sep25_70bebb9f,Inm24,Gdl,Chapultepec Country,Ven,Dep,39.0,1.0,1.0,2670112.0,,-103.366671,20.695588,237.0,1.0,0,68464.41025641025,01/04/2025,Gdl|Chapultepec Country|2670112.0|39.0|Dep
