id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_fa3c6b21,Inm24,Gdl,Circunvalación Vallarta,Ven,Dep,96.0,1.0,1.0,5950000.0,,-103.383918,20.68134,219.0,1.5,3,61979.16666666666,01/04/2025,Gdl|Circunvalación Vallarta|5950000.0|96.0|Dep
Sep25_5d27c9ff,Inm24,Gdl,Circunvalación Vallarta,Ven,Dep,59.0,1.0,1.0,3870000.0,,-103.383848,20.682632,0.0,1.0,0,65593.22033898305,01/04/2025,Gdl|Circunvalación Vallarta|3870000.0|59.0|Dep
Sep25_f2a52fee,Inm24,Gdl,Circunvalación Vallarta,Ven,Dep,76.0,2.0,1.0,4972500.0,,-103.383848,20.682632,0.0,2.0,0,65427.63157894737,01/04/2025,Gdl|Circunvalación Vallarta|4972500.0|76.0|Dep
Sep25_3a3dfb01,Inm24,Gdl,Circunvalación Vallarta,Ven,Dep,80.0,2.0,2.0,4551353.0,,-103.384396,20.681799,,2.0,0,56891.9125,01/04/2025,Gdl|Circunvalación Vallarta|4551353.0|80.0|Dep
Sep25_3593d6e4,Inm24,Gdl,Circunvalación Vallarta,Ven,Dep,75.0,2.0,1.0,5658470.0,,-103.383403,20.68274,35.0,2.0,0,75446.26666666666,01/04/2025,Gdl|Circunvalación Vallarta|5658470.0|75.0|Dep
Sep25_ddd1640a,Inm24,Gdl,Circunvalación Vallarta,Ven,Dep,40.0,1.0,1.0,2694384.0,,-103.383403,20.68274,34.0,1.0,0,67359.6,01/04/2025,Gdl|Circunvalación Vallarta|2694384.0|40.0|Dep
Sep25_b1e2f99e,Inm24,Gdl,Circunvalación Vallarta,Ven,Dep,55.0,1.0,2.0,3167403.0,,-103.384396,20.681799,,1.0,0,57589.145454545454,01/04/2025,Gdl|Circunvalación Vallarta|3167403.0|55.0|Dep
Sep25_7e4f99ba,Inm24,Gdl,Circunvalación Vallarta,Ven,Dep,97.0,2.0,2.0,6025500.0,,-103.383117,20.68193,1.0,2.0,0,62118.55670103093,01/04/2025,Gdl|Circunvalación Vallarta|6025500.0|97.0|Dep
Sep25_c556d9f3,Inm24,Gdl,Circunvalación Vallarta,Ven,Dep,65.0,2.0,1.0,4054080.0,,-103.383117,20.68193,0.0,1.0,0,62370.46153846154,01/04/2025,Gdl|Circunvalación Vallarta|4054080.0|65.0|Dep
Sep25_7cc767c6,Inm24,Gdl,Circunvalación Vallarta,Ven,Dep,110.0,2.0,1.0,4300000.0,,-103.38539,20.681857,45.0,1.0,20,39090.90909090909,01/04/2025,Gdl|Circunvalación Vallarta|4300000.0|110.0|Dep
Sep25_90e28e23,Inm24,Gdl,Circunvalación Vallarta,Ven,Dep,42.0,1.0,1.0,2838680.0,,-103.383117,20.68193,0.0,1.0,0,67587.61904761905,01/04/2025,Gdl|Circunvalación Vallarta|2838680.0|42.0|Dep
Sep25_3938d3b4,Inm24,Gdl,Circunvalación Vallarta,Ven,Dep,94.0,2.0,2.0,6335000.0,,-103.385369,20.680643,231.0,2.0,0,67393.6170212766,01/04/2025,Gdl|Circunvalación Vallarta|6335000.0|94.0|Dep
