id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_984da8ef,Inm24,Gdl,Colinas de San Javier,Ven,Dep,198.0,3.0,2.0,9990000.0,,-103.398273,20.695189,311.0,2.5,15,50454.545454545456,01/04/2025,Gdl|Colinas de San Javier|9990000.0|198.0|Dep
Sep25_5c936610,Inm24,Gdl,Colinas de San Javier,Ven,Dep,119.0,2.0,2.0,8163000.0,5000.0,-103.403378,20.705398,332.0,2.0,0,68596.63865546219,01/04/2025,Gdl|Colinas de San Javier|8163000.0|119.0|Dep
Sep25_98d5e2a4,Inm24,Gdl,Colinas de San Javier,Ven,Dep,124.0,2.0,2.0,5990000.0,,-103.397282,20.692453,,2.0,0,48306.45161290323,01/04/2025,Gdl|Colinas de San Javier|5990000.0|124.0|Dep
Sep25_e80f5a47,Inm24,Gdl,Colinas de San Javier,Ven,Dep,175.0,3.0,2.0,8900000.0,,-103.397552,20.693593,194.0,3.0,6,50857.142857142855,01/04/2025,Gdl|Colinas de San Javier|8900000.0|175.0|Dep
Sep25_44f87c63,Inm24,Gdl,Colinas de San Javier,Ven,Dep,97.0,2.0,1.0,5000000.0,5000.0,-103.406184,20.709991,,2.0,2,51546.39175257732,01/04/2025,Gdl|Colinas de San Javier|5000000.0|97.0|Dep
Sep25_09418333,Inm24,Gdl,Colinas de San Javier,Ven,Dep,85.0,2.0,1.0,5600000.0,,-103.406184,20.709991,217.0,2.0,0,65882.35294117648,01/04/2025,Gdl|Colinas de San Javier|5600000.0|85.0|Dep
Sep25_a09e4710,Inm24,Gdl,Colinas de San Javier,Ven,Dep,350.0,3.0,6.0,23500000.0,,-103.397756,20.69252,138.0,3.5,7,67142.85714285714,01/04/2025,Gdl|Colinas de San Javier|23500000.0|350.0|Dep
Sep25_d5b7bc6e,Inm24,Gdl,Colinas de San Javier,Ven,Dep,154.0,3.0,2.0,7800000.0,,-103.396163,20.692795,,3.0,2,50649.35064935065,01/04/2025,Gdl|Colinas de San Javier|7800000.0|154.0|Dep
Sep25_598c702b,Inm24,Gdl,Colinas de San Javier,Ven,Dep,94.0,2.0,1.0,5300000.0,,-103.405759,20.709445,143.0,2.0,6,56382.97872340425,01/04/2025,Gdl|Colinas de San Javier|5300000.0|94.0|Dep
Sep25_39c7a4aa,Inm24,Gdl,Colinas de San Javier,Ven,Dep,97.0,2.0,1.0,5100000.0,,-103.405683,20.709022,,2.0,5,52577.31958762887,01/04/2025,Gdl|Colinas de San Javier|5100000.0|97.0|Dep
Sep25_dcfd05ec,Inm24,Gdl,Colinas de San Javier,Ven,Dep,81.0,1.0,1.0,4850000.0,2650.0,-103.405706,20.709216,,1.0,9,59876.54320987655,01/04/2025,Gdl|Colinas de San Javier|4850000.0|81.0|Dep
Sep25_7d54e82a,Inm24,Gdl,Colinas de San Javier,Ven,Dep,140.0,3.0,3.0,7800000.0,,-103.39764,20.693506,,3.0,5,55714.28571428572,01/04/2025,Gdl|Colinas de San Javier|7800000.0|140.0|Dep
Sep25_51b76b22,Inm24,Gdl,Colinas de San Javier,Ven,Dep,300.0,3.0,2.0,21500000.0,,-103.400343,20.701179,,4.5,3,71666.66666666667,01/04/2025,Gdl|Colinas de San Javier|21500000.0|300.0|Dep
Sep25_adbc8520,Inm24,Gdl,Colinas de San Javier,Ven,Dep,208.0,3.0,3.0,15400536.0,,-103.405927,20.708445,,3.5,0,74041.03846153847,01/04/2025,Gdl|Colinas de San Javier|15400536.0|208.0|Dep
Sep25_c44a2556,Inm24,Gdl,Colinas de San Javier,Ven,Dep,134.0,3.0,2.0,9755896.0,,-103.405927,20.708445,,3.5,0,72805.19402985074,01/04/2025,Gdl|Colinas de San Javier|9755896.0|134.0|Dep
