id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_ed1fc5f5,Inm24,Gdl,Colomos Providencia,Ven,Dep,140.0,2.0,2.0,8980000.0,4500.0,-103.383706,20.706844,49.0,2.5,3,64142.857142857145,01/04/2025,Gdl|Colomos Providencia|8980000.0|140.0|Dep
Sep25_596a8a64,Inm24,Gdl,Colomos Providencia,Ven,Dep,72.0,1.0,2.0,5100000.0,,-103.380554,20.707219,85.0,2.0,2,70833.33333333333,01/04/2025,Gdl|Colomos Providencia|5100000.0|72.0|Dep
Sep25_417f033f,Inm24,Gdl,Colomos Providencia,Ven,Dep,111.0,2.0,2.0,6290000.0,,-103.382037,20.709625,34.0,2.5,7,56666.66666666666,01/04/2025,Gdl|Colomos Providencia|6290000.0|111.0|Dep
Sep25_59d94f6b,Inm24,Gdl,Colomos Providencia,Ven,Dep,94.0,2.0,2.0,7317000.0,,-103.382241,20.706681,36.0,3.0,1,77840.4255319149,01/04/2025,Gdl|Colomos Providencia|7317000.0|94.0|Dep
Sep25_085c6310,Inm24,Gdl,Colomos Providencia,Ven,Dep,158.0,3.0,2.0,5900000.0,,-103.385651,20.705576,97.0,2.0,44,37341.77215189873,01/04/2025,Gdl|Colomos Providencia|5900000.0|158.0|Dep
Sep25_8f338306,Inm24,Gdl,Colomos Providencia,Ven,Dep,54.0,1.0,1.0,4350000.0,,-103.382718,20.709164,134.0,1.0,0,80555.55555555556,01/04/2025,Gdl|Colomos Providencia|4350000.0|54.0|Dep
Sep25_69c2a5d3,Inm24,Gdl,Colomos Providencia,Ven,Dep,163.0,3.0,2.0,7290000.0,,-103.382488,20.709333,,3.0,4,44723.926380368095,01/04/2025,Gdl|Colomos Providencia|7290000.0|163.0|Dep
Sep25_9073bd5a,Inm24,Gdl,Colomos Providencia,Ven,Dep,110.0,2.0,2.0,7300000.0,4000.0,-103.384395,20.705421,,2.0,0,66363.63636363637,01/04/2025,Gdl|Colomos Providencia|7300000.0|110.0|Dep
Sep25_ac9ea3cf,Inm24,Gdl,Colomos Providencia,Ven,Dep,128.0,2.0,2.0,8966598.0,,-103.379116,20.70551,52.0,2.0,0,70051.546875,01/04/2025,Gdl|Colomos Providencia|8966598.0|128.0|Dep
Sep25_815ab493,Inm24,Gdl,Colomos Providencia,Ven,Dep,114.0,2.0,2.0,8850000.0,,-103.382718,20.709164,147.0,2.5,0,77631.57894736843,01/04/2025,Gdl|Colomos Providencia|8850000.0|114.0|Dep
Sep25_6b057720,Inm24,Gdl,Colomos Providencia,Ven,Dep,91.0,2.0,2.0,6300000.0,,-103.382718,20.709164,139.0,2.0,0,69230.76923076923,01/04/2025,Gdl|Colomos Providencia|6300000.0|91.0|Dep
Sep25_4f7eb423,Inm24,Gdl,Colomos Providencia,Ven,Dep,54.0,1.0,,3800000.0,,-103.382718,20.709164,146.0,1.0,0,70370.37037037036,01/04/2025,Gdl|Colomos Providencia|3800000.0|54.0|Dep
Sep25_300807ae,Inm24,Gdl,Colomos Providencia,Ven,Dep,119.0,2.0,2.0,8750000.0,,-103.382718,20.709164,147.0,2.5,0,73529.41176470589,01/04/2025,Gdl|Colomos Providencia|8750000.0|119.0|Dep
Sep25_0b3e64b1,Inm24,Gdl,Colomos Providencia,Ven,Dep,93.0,2.0,2.0,6400000.0,,-103.382718,20.709164,139.0,2.0,0,68817.20430107527,01/04/2025,Gdl|Colomos Providencia|6400000.0|93.0|Dep
Sep25_f5f2d2f9,Inm24,Gdl,Colomos Providencia,Ven,Dep,70.0,2.0,1.0,5300000.0,,-103.382718,20.709164,147.0,2.0,0,75714.28571428571,01/04/2025,Gdl|Colomos Providencia|5300000.0|70.0|Dep
Sep25_aeeda738,Inm24,Gdl,Colomos Providencia,Ven,Dep,230.0,3.0,3.0,14000000.0,5900.0,-103.380383,20.707403,36.0,4.5,2,60869.5652173913,01/04/2025,Gdl|Colomos Providencia|14000000.0|230.0|Dep
Sep25_3e0d6651,Inm24,Gdl,Colomos Providencia,Ven,Dep,66.0,2.0,1.0,4900000.0,2240.0,-103.383551,20.710231,,2.0,0,74242.42424242424,01/04/2025,Gdl|Colomos Providencia|4900000.0|66.0|Dep
Sep25_13954917,Inm24,Gdl,Colomos Providencia,Ven,Dep,63.0,1.0,1.0,5250000.0,,-103.382241,20.706681,,1.5,0,83333.33333333333,01/04/2025,Gdl|Colomos Providencia|5250000.0|63.0|Dep
Sep25_6660c8d2,Inm24,Gdl,Colomos Providencia,Ven,Dep,89.0,1.0,2.0,7500000.0,,-103.380909,20.708821,246.0,1.5,0,84269.66292134831,01/04/2025,Gdl|Colomos Providencia|7500000.0|89.0|Dep
Sep25_73ddc1d8,Inm24,Gdl,Colomos Providencia,Ven,Dep,117.0,2.0,,6500000.0,,-103.3843,20.703044,191.0,2.0,0,55555.55555555556,01/04/2025,Gdl|Colomos Providencia|6500000.0|117.0|Dep
Sep25_7b166d8a,Inm24,Gdl,Colomos Providencia,Ven,Dep,120.0,2.0,2.0,7800000.0,3000.0,-103.380221,20.707586,192.0,3.0,0,65000.0,01/04/2025,Gdl|Colomos Providencia|7800000.0|120.0|Dep
Sep25_a55b1733,Inm24,Gdl,Colomos Providencia,Ven,Dep,71.0,2.0,1.0,5000000.0,1.0,-103.382748,20.706509,,2.0,,70422.5352112676,01/04/2025,Gdl|Colomos Providencia|5000000.0|71.0|Dep
Sep25_98b28e2b,Inm24,Gdl,Colomos Providencia,Ven,Dep,262.0,3.0,2.0,11000000.0,,-103.383279,20.708155,111.0,3.0,0,41984.73282442748,01/04/2025,Gdl|Colomos Providencia|11000000.0|262.0|Dep
Sep25_3a2c491d,Inm24,Gdl,Colomos Providencia,Ven,Dep,211.0,3.0,4.0,12300000.0,11000.0,-103.38005,20.705141,28.0,3.5,17,58293.83886255924,01/04/2025,Gdl|Colomos Providencia|12300000.0|211.0|Dep
Sep25_f91554b8,Inm24,Gdl,Colomos Providencia,Ven,Dep,125.0,2.0,2.0,8300000.0,,-103.380909,20.708821,,2.5,0,66400.0,01/04/2025,Gdl|Colomos Providencia|8300000.0|125.0|Dep
Sep25_0c806fc1,Inm24,Gdl,Colomos Providencia,Ven,Dep,130.0,2.0,2.0,7799000.0,,-103.382241,20.706681,,3.0,1,59992.307692307695,01/04/2025,Gdl|Colomos Providencia|7799000.0|130.0|Dep
Sep25_12976b84,Inm24,Gdl,Colomos Providencia,Ven,Dep,100.0,3.0,2.0,6691022.0,,-103.383743,20.706651,51.0,3.0,0,66910.22,01/04/2025,Gdl|Colomos Providencia|6691022.0|100.0|Dep
Sep25_770f2555,Inm24,Gdl,Colomos Providencia,Ven,Dep,102.0,2.0,2.0,7340000.0,,-103.380433,20.707472,,3.0,1,71960.7843137255,01/04/2025,Gdl|Colomos Providencia|7340000.0|102.0|Dep
Sep25_3fa07174,Inm24,Gdl,Colomos Providencia,Ven,Dep,94.0,2.0,2.0,5950000.0,1700.0,-103.382454,20.709658,,2.0,3,63297.87234042553,01/04/2025,Gdl|Colomos Providencia|5950000.0|94.0|Dep
Sep25_7ee78350,Inm24,Gdl,Colomos Providencia,Ven,Dep,62.0,1.0,1.0,4249000.0,,-103.380255,20.707421,,1.5,1,68532.25806451614,01/04/2025,Gdl|Colomos Providencia|4249000.0|62.0|Dep
Sep25_b67054ee,Inm24,Gdl,Colomos Providencia,Ven,Dep,103.0,2.0,2.0,7000000.0,2580.0,-103.380233,20.70759,65.0,2.0,3,67961.16504854368,01/04/2025,Gdl|Colomos Providencia|7000000.0|103.0|Dep
Sep25_f1fd9c1f,Inm24,Gdl,Colomos Providencia,Ven,Dep,290.0,3.0,4.0,11375000.0,,-103.380207,20.705302,128.0,4.5,,39224.137931034486,01/04/2025,Gdl|Colomos Providencia|11375000.0|290.0|Dep
Sep25_7e442ff1,Inm24,Gdl,Colomos Providencia,Ven,Dep,120.0,2.0,2.0,8890000.0,,-103.383706,20.706844,42.0,2.5,3,74083.33333333333,01/04/2025,Gdl|Colomos Providencia|8890000.0|120.0|Dep
Sep25_738bb9ee,Inm24,Gdl,Colomos Providencia,Ven,Dep,89.0,1.0,1.0,7400000.0,,-103.380576,20.708582,362.0,1.5,0,83146.06741573034,01/04/2025,Gdl|Colomos Providencia|7400000.0|89.0|Dep
Sep25_3668a3b0,Inm24,Gdl,Colomos Providencia,Ven,Dep,137.0,3.0,1.0,5090000.0,1800.0,-103.384114,20.703321,154.0,2.0,3,37153.28467153285,01/04/2025,Gdl|Colomos Providencia|5090000.0|137.0|Dep
Sep25_646fcccd,Inm24,Gdl,Colomos Providencia,Ven,Dep,195.0,2.0,3.0,9900000.0,,-103.381526,20.709049,,2.0,1,50769.230769230766,01/04/2025,Gdl|Colomos Providencia|9900000.0|195.0|Dep
Sep25_4e92e72c,Inm24,Gdl,Colomos Providencia,Ven,Dep,110.0,2.0,2.0,8190000.0,3500.0,-103.380643,20.709186,346.0,2.5,0,74454.54545454546,01/04/2025,Gdl|Colomos Providencia|8190000.0|110.0|Dep
Sep25_7cd9fa59,Inm24,Gdl,Colomos Providencia,Ven,Dep,81.0,2.0,2.0,5801250.0,,-103.382241,20.706681,1.0,2.0,en construcción,71620.37037037036,01/04/2025,Gdl|Colomos Providencia|5801250.0|81.0|Dep
Sep25_fd3b2b24,Inm24,Gdl,Colomos Providencia,Ven,Dep,120.0,3.0,2.0,9680000.0,3005.0,-103.380433,20.707472,34.0,3.0,5,80666.66666666667,01/04/2025,Gdl|Colomos Providencia|9680000.0|120.0|Dep
Sep25_8dc614de,Inm24,Gdl,Colomos Providencia,Ven,Dep,111.0,2.0,2.0,6480000.0,,-103.381867,20.710216,162.0,2.5,3,58378.37837837838,01/04/2025,Gdl|Colomos Providencia|6480000.0|111.0|Dep
Sep25_d5f3924c,Inm24,Gdl,Colomos Providencia,Ven,Dep,145.0,2.0,2.0,8190000.0,3500.0,-103.380699,20.708948,,2.5,,56482.75862068965,01/04/2025,Gdl|Colomos Providencia|8190000.0|145.0|Dep
Sep25_20379761,Inm24,Gdl,Colomos Providencia,Ven,Dep,82.0,2.0,1.0,5200000.0,,-103.385229,20.704267,108.0,1.0,30,63414.634146341465,01/04/2025,Gdl|Colomos Providencia|5200000.0|82.0|Dep
Sep25_5262dbd6,Inm24,Gdl,Colomos Providencia,Ven,Dep,117.0,1.0,2.0,7981855.0,,-103.380942,20.709278,157.0,1.5,0,68220.9829059829,01/04/2025,Gdl|Colomos Providencia|7981855.0|117.0|Dep
Sep25_52e903e3,Inm24,Gdl,Colomos Providencia,Ven,Dep,61.0,1.0,1.0,4458007.0,1525.0,-103.380221,20.707586,,1.0,0,73082.08196721312,01/04/2025,Gdl|Colomos Providencia|4458007.0|61.0|Dep
Sep25_9fdba230,Inm24,Gdl,Colomos Providencia,Ven,Dep,156.0,2.0,2.0,8290000.0,3500.0,-103.382748,20.706509,,2.5,,53141.02564102564,01/04/2025,Gdl|Colomos Providencia|8290000.0|156.0|Dep
Sep25_8e8816d4,Inm24,Gdl,Colomos Providencia,Ven,Dep,85.0,2.0,2.0,5774619.0,,-103.378436,20.707167,,2.0,0,67936.69411764706,01/04/2025,Gdl|Colomos Providencia|5774619.0|85.0|Dep
Sep25_a1d03520,Inm24,Gdl,Colomos Providencia,Ven,Dep,65.0,1.0,1.0,4500000.0,,-103.379069,20.709893,71.0,1.5,0,69230.76923076923,01/04/2025,Gdl|Colomos Providencia|4500000.0|65.0|Dep
Sep25_75009989,Inm24,Gdl,Colomos Providencia,Ven,Dep,119.0,2.0,3.0,7950000.0,,-103.381857,20.71048,,2.0,2,66806.72268907563,01/04/2025,Gdl|Colomos Providencia|7950000.0|119.0|Dep
Sep25_fe4db358,Inm24,Gdl,Colomos Providencia,Ven,Dep,74.0,1.0,1.0,4499000.0,2000.0,-103.380433,20.707472,,2.0,0,60797.2972972973,01/04/2025,Gdl|Colomos Providencia|4499000.0|74.0|Dep
Sep25_9ccd1b1f,Inm24,Gdl,Colomos Providencia,Ven,Dep,97.0,1.0,2.0,6300000.0,,-103.383636,20.706907,43.0,2.0,1,64948.45360824742,01/04/2025,Gdl|Colomos Providencia|6300000.0|97.0|Dep
Sep25_60b30c7d,Inm24,Gdl,Colomos Providencia,Ven,Dep,97.0,2.0,2.0,7317000.0,2500.0,-103.380255,20.707421,255.0,3.0,2,75432.98969072165,01/04/2025,Gdl|Colomos Providencia|7317000.0|97.0|Dep
Sep25_906aa6ea,Inm24,Gdl,Colomos Providencia,Ven,Dep,72.0,1.0,1.0,4699000.0,,-103.380389,20.707416,37.0,2.0,0,65263.88888888889,01/04/2025,Gdl|Colomos Providencia|4699000.0|72.0|Dep
