id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_c5e71864,Inm24,Gdl,Country Club,Ven,Dep,160.0,3.0,4.0,13900000.0,,-103.369226,20.703186,51.0,4.5,,86875.0,01/09/2025,Gdl|Country Club|13900000.0|160.0|Dep
Sep25_b1facdf4,Inm24,Gdl,Country Club,Ven,Dep,267.0,3.0,3.0,16990000.0,,-103.372206,20.704226,,4.5,7,63632.95880149813,01/04/2025,Gdl|Country Club|16990000.0|267.0|Dep
Sep25_5fa40913,Inm24,Gdl,Country Club,Ven,Dep,158.0,2.0,2.0,10500000.0,6710.0,-103.369208,20.703767,24.0,2.5,6,66455.69620253165,01/04/2025,Gdl|Country Club|10500000.0|158.0|Dep
Sep25_3c7a614f,Inm24,Gdl,Country Club,Ven,Dep,347.0,3.0,3.0,26000000.0,14000.0,-103.369208,20.703767,178.0,3.5,0,74927.95389048991,01/04/2025,Gdl|Country Club|26000000.0|347.0|Dep
Sep25_0f3b4481,Inm24,Gdl,Country Club,Ven,Dep,117.0,1.0,1.0,7600000.0,3064.0,-103.367496,20.703445,49.0,1.5,0,64957.26495726496,01/04/2025,Gdl|Country Club|7600000.0|117.0|Dep
Sep25_bcecf1a7,Inm24,Gdl,Country Club,Ven,Dep,117.0,1.0,1.0,8335400.0,3440.0,-103.367496,20.703445,195.0,2.0,0,71242.73504273505,01/04/2025,Gdl|Country Club|8335400.0|117.0|Dep
Sep25_21576c60,Inm24,Gdl,Country Club,Ven,Dep,84.0,1.0,2.0,4660000.0,,-103.368525,20.701802,,1.5,0,55476.19047619047,01/04/2025,Gdl|Country Club|4660000.0|84.0|Dep
Sep25_a866647d,Inm24,Gdl,Country Club,Ven,Dep,463.0,3.0,4.0,30000000.0,,-103.3736,20.699976,139.0,5.5,0,64794.81641468682,01/04/2025,Gdl|Country Club|30000000.0|463.0|Dep
Sep25_ed84a04b,Inm24,Gdl,Country Club,Ven,Dep,215.0,3.0,3.0,13000000.0,,-103.369263,20.702453,,3.5,3,60465.11627906977,01/04/2025,Gdl|Country Club|13000000.0|215.0|Dep
Sep25_46156e84,Inm24,Gdl,Country Club,Ven,Dep,213.0,3.0,2.0,17500000.0,9600.0,-103.368549,20.704723,17.0,3.5,0,82159.62441314555,01/04/2025,Gdl|Country Club|17500000.0|213.0|Dep
Sep25_0b717300,Inm24,Gdl,Country Club,Ven,Dep,98.0,2.0,1.0,6492500.0,,-103.366998,20.701747,30.0,2.0,0,66250.0,01/04/2025,Gdl|Country Club|6492500.0|98.0|Dep
Sep25_de4fa959,Inm24,Gdl,Country Club,Ven,Dep,84.0,1.0,1.0,5330921.0,,-103.367183,20.701505,,1.5,0,63463.34523809524,01/04/2025,Gdl|Country Club|5330921.0|84.0|Dep
