id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_723e61ee,Inm24,Gdl,El Retiro,Ven,Dep,66.0,2.0,1.0,2850000.0,3000.0,-103.341458,20.681816,64.0,2.0,,43181.81818181818,01/09/2025,Gdl|El Retiro|2850000.0|66.0|Dep
Sep25_90fd417c,Inm24,Gdl,El Retiro,Ven,Dep,66.0,2.0,1.0,2600000.0,,-103.341486,20.681838,56.0,2.0,0,39393.93939393939,01/09/2025,Gdl|El Retiro|2600000.0|66.0|Dep
Sep25_9fb5be09,Inm24,Gdl,El Retiro,Ven,Dep,37.0,1.0,,1790000.0,900.0,-103.340965,20.681929,140.0,1.0,0,48378.37837837838,01/04/2025,Gdl|El Retiro|1790000.0|37.0|Dep
Sep25_2f62bb47,Inm24,Gdl,El Retiro,Ven,Dep,65.0,2.0,1.0,2747250.0,,-103.338727,20.688594,30.0,1.0,0,42265.38461538462,01/04/2025,Gdl|El Retiro|2747250.0|65.0|Dep
Sep25_51a4ac6b,Inm24,Gdl,El Retiro,Ven,Dep,61.0,1.0,1.0,2531500.0,,-103.340875,20.689332,69.0,1.5,0,41500.0,01/04/2025,Gdl|El Retiro|2531500.0|61.0|Dep
Sep25_a132e6a0,Inm24,Gdl,El Retiro,Ven,Dep,51.0,1.0,,2285336.0,,-103.34192,20.681855,85.0,1.0,0,44810.509803921566,01/04/2025,Gdl|El Retiro|2285336.0|51.0|Dep
Sep25_9831712d,Inm24,Gdl,El Retiro,Ven,Dep,37.0,1.0,,1850000.0,800.0,-103.341103,20.68141,10.0,1.0,0,50000.0,01/04/2025,Gdl|El Retiro|1850000.0|37.0|Dep
Sep25_aa8f0452,Inm24,Gdl,El Retiro,Ven,Dep,70.0,2.0,1.0,2480000.0,800.0,-103.343743,20.689634,,2.0,,35428.57142857143,01/04/2025,Gdl|El Retiro|2480000.0|70.0|Dep
Sep25_dd071d95,Inm24,Gdl,El Retiro,Ven,Dep,52.0,1.0,,2000951.0,,-103.340965,20.681929,,1.0,0,38479.82692307692,01/04/2025,Gdl|El Retiro|2000951.0|52.0|Dep
Sep25_ce5f9a8e,Inm24,Gdl,El Retiro,Ven,Dep,40.0,1.0,,1822957.0,,-103.342424,20.681252,51.0,1.0,0,45573.925,01/04/2025,Gdl|El Retiro|1822957.0|40.0|Dep
Sep25_fa86805a,Inm24,Gdl,El Retiro,Ven,Dep,33.0,1.0,,1760795.0,,-103.341993,20.681679,51.0,1.0,0,53357.42424242424,01/04/2025,Gdl|El Retiro|1760795.0|33.0|Dep
Sep25_33ca77f3,Inm24,Gdl,El Retiro,Ven,Dep,48.0,2.0,,1870000.0,,-103.340711,20.681303,,2.0,0,38958.333333333336,01/04/2025,Gdl|El Retiro|1870000.0|48.0|Dep
Sep25_61691d04,Inm24,Gdl,El Retiro,Ven,Dep,40.0,1.0,,1641747.0,,-103.34192,20.681855,67.0,1.0,,41043.675,01/04/2025,Gdl|El Retiro|1641747.0|40.0|Dep
Sep25_5dc2ff15,Inm24,Gdl,El Retiro,Ven,Dep,44.0,1.0,1.0,2910000.0,,-103.339958,20.685271,,1.0,0,66136.36363636363,01/04/2025,Gdl|El Retiro|2910000.0|44.0|Dep
Sep25_aafb8dec,Inm24,Gdl,El Retiro,Ven,Dep,58.0,1.0,,2340000.0,,-103.340965,20.681929,,1.0,0,40344.8275862069,01/04/2025,Gdl|El Retiro|2340000.0|58.0|Dep
Sep25_acdaa683,Inm24,Gdl,El Retiro,Ven,Dep,37.0,1.0,,1794500.0,35.0,-103.340979,20.681773,47.0,1.0,,48500.0,01/04/2025,Gdl|El Retiro|1794500.0|37.0|Dep
Sep25_c45603c4,Inm24,Gdl,El Retiro,Ven,Dep,69.0,3.0,1.0,2465000.0,,-103.339213,20.681149,,2.0,0,35724.637681159424,01/04/2025,Gdl|El Retiro|2465000.0|69.0|Dep
Sep25_c34f3ebd,Inm24,Gdl,El Retiro,Ven,Dep,51.0,1.0,,2009144.0,35.0,-103.34192,20.681855,65.0,1.0,,39394.98039215686,01/04/2025,Gdl|El Retiro|2009144.0|51.0|Dep
