id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_08786459,Inm24,Gdl,Fidel Velázquez,Ven,Dep,81.0,2.0,1.0,3200000.0,1850.0,-103.353291,20.713045,136.0,2.0,3,39506.17283950617,01/04/2025,Gdl|Fidel Velázquez|3200000.0|81.0|Dep
Sep25_823ef0a4,Inm24,Gdl,Fidel Velázquez,Ven,Dep,90.0,2.0,1.0,2800000.0,,-103.352851,20.713228,183.0,2.0,0,31111.11111111111,01/04/2025,Gdl|Fidel Velázquez|2800000.0|90.0|Dep
Sep25_8fd00da0,Inm24,Gdl,Fidel Velázquez,Ven,Dep,81.0,2.0,1.0,3450000.0,1800.0,-103.352987,20.712921,185.0,2.0,5,42592.59259259259,01/04/2025,Gdl|Fidel Velázquez|3450000.0|81.0|Dep
Sep25_38d9432e,Inm24,Gdl,Fidel Velázquez,Ven,Dep,81.0,2.0,1.0,2995000.0,,-103.353291,20.713045,15.0,2.0,3,36975.30864197531,01/04/2025,Gdl|Fidel Velázquez|2995000.0|81.0|Dep
Sep25_b16b8c01,Inm24,Gdl,Fidel Velázquez,Ven,Dep,80.0,2.0,1.0,3350000.0,1650.0,-103.352987,20.712921,165.0,2.0,5,41875.0,01/04/2025,Gdl|Fidel Velázquez|3350000.0|80.0|Dep
Sep25_a965e53c,Inm24,Gdl,Fidel Velázquez,Ven,Dep,77.0,2.0,1.0,3040000.0,1732.0,-103.353289,20.7132,83.0,2.0,2,39480.51948051948,01/04/2025,Gdl|Fidel Velázquez|3040000.0|77.0|Dep
Sep25_9a51c8c8,Inm24,Gdl,Fidel Velázquez,Ven,Dep,83.0,2.0,1.0,3350000.0,,-103.352987,20.712921,214.0,2.0,5,40361.44578313253,01/04/2025,Gdl|Fidel Velázquez|3350000.0|83.0|Dep
Sep25_77089e85,Inm24,Gdl,Fidel Velázquez,Ven,Dep,103.0,3.0,1.0,1538000.0,,-103.353793,20.710426,241.0,1.0,15,14932.038834951456,01/04/2025,Gdl|Fidel Velázquez|1538000.0|103.0|Dep
Sep25_16bea2f4,Inm24,Gdl,Fidel Velázquez,Ven,Dep,91.0,2.0,2.0,3950000.0,2045.0,-103.352987,20.712921,62.0,2.0,2,43406.593406593405,01/04/2025,Gdl|Fidel Velázquez|3950000.0|91.0|Dep
Sep25_38edbba9,Inm24,Gdl,Fidel Velázquez,Ven,Dep,77.0,2.0,1.0,2800000.0,,-103.352987,20.712921,78.0,2.0,3,36363.63636363636,01/04/2025,Gdl|Fidel Velázquez|2800000.0|77.0|Dep
