id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_10fe632e,Inm24,Gdl,Huentitán El Bajo,Ven,Dep,38.0,1.0,1.0,1990000.0,1500.0,-103.312461,20.738656,35.0,1.0,0,52368.42105263158,01/04/2025,Gdl|Huentitán El Bajo|1990000.0|38.0|Dep
Sep25_293fdccc,Inm24,Gdl,Huentitán El Bajo,Ven,Dep,52.0,2.0,1.0,1640000.0,400.0,-103.311953,20.728381,,1.0,0,31538.46153846154,01/04/2025,Gdl|Huentitán El Bajo|1640000.0|52.0|Dep
Sep25_b586dedc,Inm24,Gdl,Huentitán El Bajo,Ven,Dep,38.0,1.0,1.0,2150000.0,1.0,-103.312574,20.738476,324.0,1.0,0,56578.94736842105,01/04/2025,Gdl|Huentitán El Bajo|2150000.0|38.0|Dep
Sep25_250ee1ff,Inm24,Gdl,Huentitán El Bajo,Ven,Dep,57.0,2.0,1.0,2280000.0,,-103.312564,20.738478,,2.0,0,40000.0,01/04/2025,Gdl|Huentitán El Bajo|2280000.0|57.0|Dep
Sep25_8aeaffca,Inm24,Gdl,Huentitán El Bajo,Ven,Dep,58.0,2.0,1.0,2190000.0,,-103.312574,20.738476,191.0,2.0,,37758.62068965517,01/04/2025,Gdl|Huentitán El Bajo|2190000.0|58.0|Dep
Sep25_f96f34b2,Inm24,Gdl,Huentitán El Bajo,Ven,Dep,54.0,2.0,1.0,2510000.0,,-103.313417,20.735944,,2.0,0,46481.48148148148,01/04/2025,Gdl|Huentitán El Bajo|2510000.0|54.0|Dep
Sep25_8719ca62,Inm24,Gdl,Huentitán El Bajo,Ven,Dep,58.0,2.0,2.0,2200000.0,,-103.313417,20.735944,,2.0,0,37931.03448275862,01/04/2025,Gdl|Huentitán El Bajo|2200000.0|58.0|Dep
Sep25_8c62e536,Inm24,Gdl,Huentitán El Bajo,Ven,Dep,38.0,1.0,1.0,1670000.0,,-103.313417,20.735944,,1.0,0,43947.36842105263,01/04/2025,Gdl|Huentitán El Bajo|1670000.0|38.0|Dep
Sep25_5fe04c0d,Inm24,Gdl,Huentitán El Bajo,Ven,Dep,57.0,2.0,2.0,2500000.0,1500.0,-103.313417,20.735944,184.0,2.0,0,43859.649122807015,01/04/2025,Gdl|Huentitán El Bajo|2500000.0|57.0|Dep
Sep25_bab7d021,Inm24,Gdl,Huentitán El Bajo,Ven,Dep,62.0,2.0,1.0,2200000.0,,-103.319464,20.73719,171.0,2.0,0,35483.87096774193,01/04/2025,Gdl|Huentitán El Bajo|2200000.0|62.0|Dep
