id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_6b28bd3b,Inm24,Gdl,Italia Providencia,Ven,Dep,87.0,2.0,1.0,6690000.0,,-103.377968,20.695546,59.0,2.0,0,76896.55172413793,01/04/2025,Gdl|Italia Providencia|6690000.0|87.0|Dep
Sep25_2b4a053e,Inm24,Gdl,Italia Providencia,Ven,Dep,132.0,2.0,2.0,8359157.0,,-103.380651,20.69096,73.0,2.5,2,63326.94696969697,01/04/2025,Gdl|Italia Providencia|8359157.0|132.0|Dep
Sep25_db87b548,Inm24,Gdl,Italia Providencia,Ven,Dep,151.0,3.0,2.0,11200000.0,,-103.377976,20.695544,145.0,3.0,0,74172.18543046358,01/04/2025,Gdl|Italia Providencia|11200000.0|151.0|Dep
Sep25_c05dccc4,Inm24,Gdl,Italia Providencia,Ven,Dep,140.0,3.0,2.0,7390000.0,,-103.380193,20.691776,,3.0,0,52785.71428571428,01/04/2025,Gdl|Italia Providencia|7390000.0|140.0|Dep
Sep25_19e611f8,Inm24,Gdl,Italia Providencia,Ven,Dep,160.0,2.0,2.0,8664134.0,,-103.377502,20.694007,226.0,2.5,1,54150.8375,01/04/2025,Gdl|Italia Providencia|8664134.0|160.0|Dep
Sep25_e15b50ca,Inm24,Gdl,Italia Providencia,Ven,Dep,110.0,2.0,2.0,6900000.0,3473.0,-103.377143,20.696832,239.0,2.0,1,62727.27272727273,01/04/2025,Gdl|Italia Providencia|6900000.0|110.0|Dep
Sep25_326e54b3,Inm24,Gdl,Italia Providencia,Ven,Dep,87.0,2.0,1.0,6383720.0,,-103.377902,20.695846,344.0,2.0,0,73376.091954023,01/04/2025,Gdl|Italia Providencia|6383720.0|87.0|Dep
Sep25_ac310cf8,Inm24,Gdl,Italia Providencia,Ven,Dep,97.0,2.0,2.0,7956000.0,,-103.380651,20.69096,68.0,2.5,0,82020.61855670103,01/04/2025,Gdl|Italia Providencia|7956000.0|97.0|Dep
Sep25_50048525,Inm24,Gdl,Italia Providencia,Ven,Dep,133.0,2.0,1.0,8289060.0,,-103.38065,20.69096,,2.5,0,62323.75939849624,01/04/2025,Gdl|Italia Providencia|8289060.0|133.0|Dep
Sep25_977078c4,Inm24,Gdl,Italia Providencia,Ven,Dep,144.0,3.0,2.0,8247603.0,,-103.377143,20.696832,,3.5,,57275.020833333336,01/04/2025,Gdl|Italia Providencia|8247603.0|144.0|Dep
Sep25_34aaf9e8,Inm24,Gdl,Italia Providencia,Ven,Dep,69.0,1.0,1.0,4650000.0,,-103.377908,20.695846,125.0,1.0,1,67391.30434782608,01/04/2025,Gdl|Italia Providencia|4650000.0|69.0|Dep
Sep25_3598876e,Inm24,Gdl,Italia Providencia,Ven,Dep,111.0,2.0,2.0,7790438.0,,-103.377597,20.695262,,2.0,,70184.12612612612,01/04/2025,Gdl|Italia Providencia|7790438.0|111.0|Dep
Sep25_13de3cb3,Inm24,Gdl,Italia Providencia,Ven,Dep,133.0,2.0,1.0,8243925.0,,-103.380473,20.690754,289.0,2.5,0,61984.3984962406,01/04/2025,Gdl|Italia Providencia|8243925.0|133.0|Dep
Sep25_b2dfbf6d,Inm24,Gdl,Italia Providencia,Ven,Dep,100.0,2.0,1.0,7900000.0,,-103.376775,20.693048,312.0,2.0,0,79000.0,01/04/2025,Gdl|Italia Providencia|7900000.0|100.0|Dep
Sep25_58cc1658,Inm24,Gdl,Italia Providencia,Ven,Dep,118.0,2.0,2.0,6167245.0,,-103.377502,20.694007,,2.0,0,52264.78813559322,01/04/2025,Gdl|Italia Providencia|6167245.0|118.0|Dep
Sep25_a4b06e28,Inm24,Gdl,Italia Providencia,Ven,Dep,157.0,3.0,2.0,6412000.0,,-103.377588,20.693686,60.0,2.5,0,40840.76433121019,01/04/2025,Gdl|Italia Providencia|6412000.0|157.0|Dep
Sep25_717b5559,Inm24,Gdl,Italia Providencia,Ven,Dep,137.0,3.0,1.0,4300000.0,,-103.378847,20.692459,109.0,3.0,1,31386.86131386861,01/04/2025,Gdl|Italia Providencia|4300000.0|137.0|Dep
Sep25_96af088e,Inm24,Gdl,Italia Providencia,Ven,Dep,230.0,4.0,2.0,6400000.0,,-103.379908,20.693618,52.0,4.0,30,27826.08695652174,01/04/2025,Gdl|Italia Providencia|6400000.0|230.0|Dep
