id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_3fde8a72,Inm24,Gdl,Jardines del Country,Ven,Dep,44.0,1.0,,2450000.0,,-103.359906,20.706187,,1.0,0,55681.81818181818,01/04/2025,Gdl|Jardines del Country|2450000.0|44.0|Dep
Sep25_fa065bc2,Inm24,Gdl,Jardines del Country,Ven,Dep,29.0,1.0,1.0,1995544.0,,-103.366165,20.706658,,1.0,0,68811.86206896552,01/04/2025,Gdl|Jardines del Country|1995544.0|29.0|Dep
Sep25_5657ad8e,Inm24,Gdl,Jardines del Country,Ven,Dep,73.0,2.0,1.0,5091702.0,,-103.364738,20.706029,234.0,2.0,0,69749.34246575342,01/04/2025,Gdl|Jardines del Country|5091702.0|73.0|Dep
Sep25_a5119554,Inm24,Gdl,Jardines del Country,Ven,Dep,90.0,2.0,,4027484.0,,-103.359878,20.706216,12.0,1.0,0,44749.82222222223,01/04/2025,Gdl|Jardines del Country|4027484.0|90.0|Dep
Sep25_358815cf,Inm24,Gdl,Jardines del Country,Ven,Dep,65.0,1.0,,6572531.0,,-103.364738,20.706029,234.0,2.0,0,101115.86153846154,01/04/2025,Gdl|Jardines del Country|6572531.0|65.0|Dep
Sep25_acada3b2,Inm24,Gdl,Jardines del Country,Ven,Dep,46.0,1.0,,2449828.0,,-103.361589,20.705833,,1.0,0,53257.13043478261,01/04/2025,Gdl|Jardines del Country|2449828.0|46.0|Dep
Sep25_0ac4bb51,Inm24,Gdl,Jardines del Country,Ven,Dep,58.0,1.0,1.0,3315000.0,,-103.364869,20.705964,,1.5,0,57155.1724137931,01/04/2025,Gdl|Jardines del Country|3315000.0|58.0|Dep
Sep25_c2f913f8,Inm24,Gdl,Jardines del Country,Ven,Dep,89.0,2.0,,3755864.0,,-103.361589,20.705833,,1.0,0,42200.7191011236,01/04/2025,Gdl|Jardines del Country|3755864.0|89.0|Dep
Sep25_96d3bbe1,Inm24,Gdl,Jardines del Country,Ven,Dep,61.0,2.0,1.0,3413801.0,,-103.35784,20.706466,78.0,2.0,0,55963.95081967213,01/04/2025,Gdl|Jardines del Country|3413801.0|61.0|Dep
Sep25_e4722dcf,Inm24,Gdl,Jardines del Country,Ven,Dep,52.0,1.0,1.0,3937852.0,,-103.364738,20.706029,241.0,1.5,0,75727.92307692308,01/04/2025,Gdl|Jardines del Country|3937852.0|52.0|Dep
Sep25_9ae3cc08,Inm24,Gdl,Jardines del Country,Ven,Dep,46.0,1.0,,2715244.0,,-103.360173,20.707051,291.0,1.0,0,59027.04347826087,01/04/2025,Gdl|Jardines del Country|2715244.0|46.0|Dep
Sep25_a6408836,Inm24,Gdl,Jardines del Country,Ven,Dep,55.0,1.0,1.0,3622823.0,,-103.369855,20.709269,179.0,1.5,0,65869.5090909091,01/04/2025,Gdl|Jardines del Country|3622823.0|55.0|Dep
Sep25_fd28a36e,Inm24,Gdl,Jardines del Country,Ven,Dep,78.0,2.0,1.0,4684366.0,,-103.369855,20.709269,178.0,2.5,0,60055.97435897436,01/04/2025,Gdl|Jardines del Country|4684366.0|78.0|Dep
Sep25_918a6412,Inm24,Gdl,Jardines del Country,Ven,Dep,150.0,3.0,2.0,7549000.0,,-103.356993,20.707007,192.0,2.5,0,50326.66666666666,01/04/2025,Gdl|Jardines del Country|7549000.0|150.0|Dep
