id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_6c8ffcd3,Inm24,Gdl,Juan Manuel,Ven,Dep,50.0,1.0,1.0,5330118.0,,-103.391408,20.679767,310.0,1.0,0,106602.36,01/04/2025,Gdl|Juan Manuel|5330118.0|50.0|Dep
Sep25_2d423305,Inm24,Gdl,Juan Manuel,Ven,Dep,42.0,1.0,,3959244.0,,-103.391408,20.679767,312.0,1.0,0,94267.71428571428,01/04/2025,Gdl|Juan Manuel|3959244.0|42.0|Dep
Sep25_9455f62a,Inm24,Gdl,Juan Manuel,Ven,Dep,59.0,2.0,,3356318.0,,-103.392396,20.679378,226.0,2.5,0,56886.74576271186,01/04/2025,Gdl|Juan Manuel|3356318.0|59.0|Dep
Sep25_384bf910,Inm24,Gdl,Juan Manuel,Ven,Dep,50.0,1.0,1.0,4582866.0,,-103.391408,20.679767,355.0,1.0,0,91657.32,01/04/2025,Gdl|Juan Manuel|4582866.0|50.0|Dep
Sep25_9d6d0c80,Inm24,Gdl,Juan Manuel,Ven,Dep,75.0,2.0,1.0,5989589.0,,-103.391408,20.679767,178.0,2.0,0,79861.18666666666,01/04/2025,Gdl|Juan Manuel|5989589.0|75.0|Dep
Sep25_3a64a0ee,Inm24,Gdl,Juan Manuel,Ven,Dep,41.0,1.0,1.0,3959244.0,,-103.391408,20.679767,,1.0,0,96566.9268292683,01/04/2025,Gdl|Juan Manuel|3959244.0|41.0|Dep
Sep25_6c71be8b,Inm24,Gdl,Juan Manuel,Ven,Dep,39.0,1.0,,3959244.0,,-103.392691,20.679309,15.0,1.0,0,101519.07692307692,01/04/2025,Gdl|Juan Manuel|3959244.0|39.0|Dep
Sep25_cab34b8a,Inm24,Gdl,Juan Manuel,Ven,Dep,51.0,1.0,1.0,4967287.0,,-103.391408,20.679767,,1.0,0,97397.7843137255,01/04/2025,Gdl|Juan Manuel|4967287.0|51.0|Dep
Sep25_8543cee9,Inm24,Gdl,Juan Manuel,Ven,Dep,43.0,1.0,,3400000.0,,-103.391408,20.679767,355.0,1.0,0,79069.76744186046,01/04/2025,Gdl|Juan Manuel|3400000.0|43.0|Dep
Sep25_c78dcffe,Inm24,Gdl,Juan Manuel,Ven,Dep,72.0,1.0,,5775101.0,,-103.391408,20.679767,355.0,2.0,0,80209.73611111111,01/04/2025,Gdl|Juan Manuel|5775101.0|72.0|Dep
