id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_8047333a,Inm24,Gdl,Ladrón de Guevara,Ven,Dep,50.0,1.0,1.0,3700000.0,,-103.373347,20.693717,,1.0,3,74000.0,01/09/2025,Gdl|Ladrón de Guevara|3700000.0|50.0|Dep
Sep25_5633aab3,Inm24,Gdl,Ladrón de Guevara,Ven,Dep,116.0,2.0,2.0,7800000.0,4200.0,-103.370702,20.676664,33.0,2.0,10,67241.37931034483,01/09/2025,Gdl|Ladrón de Guevara|7800000.0|116.0|Dep
Sep25_f2e31914,Inm24,Gdl,Ladrón de Guevara,Ven,Dep,85.0,2.0,1.0,6000000.0,3500.0,-103.377114,20.67657,,2.0,3,70588.23529411765,01/09/2025,Gdl|Ladrón de Guevara|6000000.0|85.0|Dep
Sep25_96c3f1fc,Inm24,Gdl,Ladrón de Guevara,Ven,Dep,102.0,3.0,2.0,5699000.0,,-103.370291,20.678878,47.0,2.5,1,55872.549019607846,01/09/2025,Gdl|Ladrón de Guevara|5699000.0|102.0|Dep
Sep25_103c3e56,Inm24,Gdl,Ladrón de Guevara,Ven,Dep,87.0,2.0,2.0,5300000.0,3500.0,-103.370265,20.678897,145.0,2.0,1,60919.54022988506,01/09/2025,Gdl|Ladrón de Guevara|5300000.0|87.0|Dep
Sep25_61442228,Inm24,Gdl,Ladrón de Guevara,Ven,Dep,88.0,2.0,2.0,5800000.0,,-103.377114,20.676562,34.0,2.0,3,65909.09090909091,01/04/2025,Gdl|Ladrón de Guevara|5800000.0|88.0|Dep
Sep25_1b898ca4,Inm24,Gdl,Ladrón de Guevara,Ven,Dep,115.0,2.0,2.0,6100000.0,3601.0,-103.376992,20.683835,177.0,2.0,7,53043.47826086957,01/04/2025,Gdl|Ladrón de Guevara|6100000.0|115.0|Dep
Sep25_6329ee86,Inm24,Gdl,Ladrón de Guevara,Ven,Dep,150.0,3.0,1.0,4900000.0,,-103.371729,20.689826,78.0,2.5,26,32666.666666666668,01/04/2025,Gdl|Ladrón de Guevara|4900000.0|150.0|Dep
Sep25_08c40b66,Inm24,Gdl,Ladrón de Guevara,Ven,Dep,150.0,2.0,1.0,5950000.0,,-103.373541,20.676762,,2.0,2,39666.66666666666,01/04/2025,Gdl|Ladrón de Guevara|5950000.0|150.0|Dep
Sep25_1d6c8bba,Inm24,Gdl,Ladrón de Guevara,Ven,Dep,153.0,2.0,2.0,6990000.0,,-103.366716,20.678016,217.0,2.5,4,45686.27450980392,01/04/2025,Gdl|Ladrón de Guevara|6990000.0|153.0|Dep
Sep25_4455481b,Inm24,Gdl,Ladrón de Guevara,Ven,Dep,33.0,1.0,1.0,2800000.0,,-103.371929,20.67704,143.0,1.0,0,84848.48484848485,01/04/2025,Gdl|Ladrón de Guevara|2800000.0|33.0|Dep
Sep25_aa90acb9,Inm24,Gdl,Ladrón de Guevara,Ven,Dep,68.0,2.0,1.0,4744195.0,,-103.369138,20.678691,66.0,1.0,0,69767.57352941176,01/04/2025,Gdl|Ladrón de Guevara|4744195.0|68.0|Dep
Sep25_d9e08257,Inm24,Gdl,Ladrón de Guevara,Ven,Dep,43.0,1.0,1.0,3050000.0,,-103.371848,20.683261,99.0,1.0,,70930.23255813954,01/04/2025,Gdl|Ladrón de Guevara|3050000.0|43.0|Dep
Sep25_be7ced1a,Inm24,Gdl,Ladrón de Guevara,Ven,Dep,172.0,3.0,,11537295.0,,-103.377114,20.67657,15.0,3.0,0,67077.29651162791,01/04/2025,Gdl|Ladrón de Guevara|11537295.0|172.0|Dep
Sep25_c258ddec,Inm24,Gdl,Ladrón de Guevara,Ven,Dep,134.0,1.0,2.0,6700000.0,,-103.37502,20.677912,47.0,1.5,2,50000.0,01/04/2025,Gdl|Ladrón de Guevara|6700000.0|134.0|Dep
Sep25_e10f6636,Inm24,Gdl,Ladrón de Guevara,Ven,Dep,146.0,3.0,2.0,7665000.0,,-103.371725,20.676938,280.0,3.0,1,52500.0,01/04/2025,Gdl|Ladrón de Guevara|7665000.0|146.0|Dep
Sep25_f0bef0da,Inm24,Gdl,Ladrón de Guevara,Ven,Dep,87.0,2.0,1.0,5075564.0,3500.0,-103.370249,20.678851,364.0,2.0,0,58339.81609195402,01/04/2025,Gdl|Ladrón de Guevara|5075564.0|87.0|Dep
Sep25_8ac8007d,Inm24,Gdl,Ladrón de Guevara,Ven,Dep,90.0,2.0,2.0,5890000.0,,-103.377114,20.676562,,2.0,3,65444.444444444445,01/04/2025,Gdl|Ladrón de Guevara|5890000.0|90.0|Dep
