id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_b537b357,Inm24,Gdl,Lomas del Country,Ven,Dep,78.0,2.0,1.0,6000000.0,2000.0,-103.368884,20.697502,1.0,1.0,0,76923.07692307692,01/09/2025,Gdl|Lomas del Country|6000000.0|78.0|Dep
Sep25_96b9de89,Inm24,Gdl,Lomas del Country,Ven,Dep,60.0,2.0,1.0,3800000.0,3200.0,-103.368884,20.697502,3.0,2.0,0,63333.333333333336,01/04/2025,Gdl|Lomas del Country|3800000.0|60.0|Dep
Sep25_dbaca112,Inm24,Gdl,Lomas del Country,Ven,Dep,60.0,2.0,1.0,2990000.0,,-103.363968,20.700795,177.0,1.0,0,49833.333333333336,01/04/2025,Gdl|Lomas del Country|2990000.0|60.0|Dep
Sep25_8f6a8bb4,Inm24,Gdl,Lomas del Country,Ven,Dep,54.0,1.0,1.0,3300000.0,2900.0,-103.368884,20.697502,77.0,1.0,1,61111.11111111111,01/04/2025,Gdl|Lomas del Country|3300000.0|54.0|Dep
Sep25_44ef05c9,Inm24,Gdl,Lomas del Country,Ven,Dep,52.0,1.0,1.0,3410000.0,,-103.368606,20.698405,121.0,1.0,0,65576.92307692308,01/04/2025,Gdl|Lomas del Country|3410000.0|52.0|Dep
Sep25_b4f0214e,Inm24,Gdl,Lomas del Country,Ven,Dep,60.0,1.0,1.0,3700000.0,,-103.368674,20.697442,295.0,2.0,0,61666.66666666666,01/04/2025,Gdl|Lomas del Country|3700000.0|60.0|Dep
Sep25_4f07f52f,Inm24,Gdl,Lomas del Country,Ven,Dep,83.0,1.0,1.0,5533669.0,,-103.367778,20.700341,47.0,1.0,0,66670.7108433735,01/04/2025,Gdl|Lomas del Country|5533669.0|83.0|Dep
Sep25_f1f47de1,Inm24,Gdl,Lomas del Country,Ven,Dep,47.0,1.0,1.0,3500000.0,,-103.365227,20.700083,51.0,1.0,2,74468.08510638298,01/04/2025,Gdl|Lomas del Country|3500000.0|47.0|Dep
Sep25_1e1584e4,Inm24,Gdl,Lomas del Country,Ven,Dep,70.0,2.0,1.0,4109000.0,,-103.369478,20.697444,266.0,2.0,0,58700.0,01/04/2025,Gdl|Lomas del Country|4109000.0|70.0|Dep
Sep25_b642d824,Inm24,Gdl,Lomas del Country,Ven,Dep,130.0,2.0,2.0,5940000.0,,-103.363624,20.698983,193.0,2.0,1,45692.307692307695,01/04/2025,Gdl|Lomas del Country|5940000.0|130.0|Dep
Sep25_0b5cb6a3,Inm24,Gdl,Lomas del Country,Ven,Dep,101.0,2.0,1.0,5465340.0,,-103.367659,20.700464,,2.0,0,54112.27722772277,01/04/2025,Gdl|Lomas del Country|5465340.0|101.0|Dep
Sep25_6561d2d4,Inm24,Gdl,Lomas del Country,Ven,Dep,59.0,2.0,1.0,3611179.0,,-103.36764,20.697342,,2.0,,61206.42372881356,01/04/2025,Gdl|Lomas del Country|3611179.0|59.0|Dep
Sep25_42ccf84b,Inm24,Gdl,Lomas del Country,Ven,Dep,310.0,2.0,2.0,12950000.0,,-103.365369,20.70284,37.0,5.0,10,41774.1935483871,01/04/2025,Gdl|Lomas del Country|12950000.0|310.0|Dep
Sep25_862dfb8d,Inm24,Gdl,Lomas del Country,Ven,Dep,78.0,2.0,1.0,5100000.0,,-103.368884,20.697502,26.0,2.0,0,65384.61538461538,01/04/2025,Gdl|Lomas del Country|5100000.0|78.0|Dep
Sep25_b87dce51,Inm24,Gdl,Lomas del Country,Ven,Dep,78.0,2.0,1.0,4205995.0,,-103.36764,20.697342,,2.0,,53923.01282051282,01/04/2025,Gdl|Lomas del Country|4205995.0|78.0|Dep
Sep25_4b101ac6,Inm24,Gdl,Lomas del Country,Ven,Dep,130.0,2.0,2.0,8474027.0,,-103.367659,20.700464,47.0,2.0,0,65184.82307692308,01/04/2025,Gdl|Lomas del Country|8474027.0|130.0|Dep
Sep25_f1848c7e,Inm24,Gdl,Lomas del Country,Ven,Dep,61.0,1.0,1.0,2950000.0,,-103.368884,20.697502,,1.0,0,48360.65573770492,01/04/2025,Gdl|Lomas del Country|2950000.0|61.0|Dep
Sep25_dbd0b4f7,Inm24,Gdl,Lomas del Country,Ven,Dep,37.0,1.0,,1850000.0,,-103.369604,20.697612,214.0,1.0,0,50000.0,01/04/2025,Gdl|Lomas del Country|1850000.0|37.0|Dep
