id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_eefee030,Inm24,Gdl,Moderna,Ven,Dep,89.0,2.0,2.0,5850000.0,3600.0,-103.371705,20.666295,42.0,2.0,0,65730.33707865169,01/09/2025,Gdl|Moderna|5850000.0|89.0|Dep
Sep25_29b8939c,Inm24,Gdl,Moderna,Ven,Dep,57.0,2.0,1.0,3200000.0,2506.0,-103.376035,20.666128,209.0,1.0,0,56140.350877192985,01/04/2025,Gdl|Moderna|3200000.0|57.0|Dep
Sep25_1f578247,Inm24,Gdl,Moderna,Ven,Dep,43.0,1.0,1.0,2899297.0,,-103.376035,20.666128,30.0,1.0,0,67425.51162790698,01/04/2025,Gdl|Moderna|2899297.0|43.0|Dep
Sep25_41d00cdd,Inm24,Gdl,Moderna,Ven,Dep,45.0,1.0,,2270000.0,700.0,-103.358339,20.664387,0.0,1.0,0,50444.444444444445,01/04/2025,Gdl|Moderna|2270000.0|45.0|Dep
Sep25_0671351f,Inm24,Gdl,Moderna,Ven,Dep,109.0,2.0,2.0,5800000.0,,-103.37041,20.666754,177.0,2.5,1,53211.00917431193,01/04/2025,Gdl|Moderna|5800000.0|109.0|Dep
Sep25_b129a0e7,Inm24,Gdl,Moderna,Ven,Dep,89.0,2.0,2.0,5790000.0,,-103.37169,20.666312,206.0,2.0,0,65056.1797752809,01/04/2025,Gdl|Moderna|5790000.0|89.0|Dep
Sep25_7707e300,Inm24,Gdl,Moderna,Ven,Dep,73.0,2.0,1.0,3682500.0,,-103.361227,20.661961,94.0,1.0,0,50445.20547945205,01/04/2025,Gdl|Moderna|3682500.0|73.0|Dep
Sep25_dc6bc66d,Inm24,Gdl,Moderna,Ven,Dep,53.0,1.0,,2438460.0,,-103.360927,20.662078,309.0,1.0,0,46008.67924528302,01/04/2025,Gdl|Moderna|2438460.0|53.0|Dep
Sep25_beff14b3,Inm24,Gdl,Moderna,Ven,Dep,56.0,2.0,1.0,3200000.0,,-103.376217,20.666318,,1.0,2,57142.857142857145,01/04/2025,Gdl|Moderna|3200000.0|56.0|Dep
Sep25_890cbe3b,Inm24,Gdl,Moderna,Ven,Dep,75.0,1.0,1.0,3100000.0,900.0,-103.363354,20.663837,,1.0,0,41333.333333333336,01/04/2025,Gdl|Moderna|3100000.0|75.0|Dep
Sep25_21193597,Inm24,Gdl,Moderna,Ven,Dep,43.0,1.0,1.0,2400000.0,,-103.376205,20.666386,,1.0,0,55813.95348837209,01/04/2025,Gdl|Moderna|2400000.0|43.0|Dep
Sep25_748a7474,Inm24,Gdl,Moderna,Ven,Dep,102.0,2.0,1.0,4600000.0,,-103.362742,20.666297,305.0,2.5,2,45098.03921568627,01/04/2025,Gdl|Moderna|4600000.0|102.0|Dep
Sep25_f9bc28c7,Inm24,Gdl,Moderna,Ven,Dep,43.0,2.0,1.0,2634964.0,,-103.376125,20.666495,,1.0,0,61278.232558139534,01/04/2025,Gdl|Moderna|2634964.0|43.0|Dep
Sep25_270ece37,Inm24,Gdl,Moderna,Ven,Dep,66.0,2.0,1.0,3400000.0,,-103.376185,20.666362,,2.0,0,51515.15151515151,01/04/2025,Gdl|Moderna|3400000.0|66.0|Dep
Sep25_d4bc6d40,Inm24,Gdl,Moderna,Ven,Dep,48.0,1.0,,2400000.0,,-103.361227,20.661961,93.0,1.0,0,50000.0,01/04/2025,Gdl|Moderna|2400000.0|48.0|Dep
Sep25_bcdca6d5,Inm24,Gdl,Moderna,Ven,Dep,117.0,2.0,2.0,4640000.0,,-103.361227,20.661961,,2.0,0,39658.11965811966,01/04/2025,Gdl|Moderna|4640000.0|117.0|Dep
Sep25_0897289d,Inm24,Gdl,Moderna,Ven,Dep,75.0,2.0,1.0,3509960.0,,-103.361227,20.661961,22.0,2.0,0,46799.46666666667,01/04/2025,Gdl|Moderna|3509960.0|75.0|Dep
Sep25_f74bca99,Inm24,Gdl,Moderna,Ven,Dep,43.0,1.0,1.0,2299000.0,,-103.376136,20.666113,,1.0,1,53465.11627906977,01/04/2025,Gdl|Moderna|2299000.0|43.0|Dep
Sep25_123dd49f,Inm24,Gdl,Moderna,Ven,Dep,57.0,1.0,1.0,3511200.0,2337.0,-103.371499,20.666369,,1.0,0,61600.0,01/04/2025,Gdl|Moderna|3511200.0|57.0|Dep
Sep25_914dc8b8,Inm24,Gdl,Moderna,Ven,Dep,56.0,2.0,1.0,3129000.0,,-103.376217,20.666318,37.0,1.0,2,55875.0,01/04/2025,Gdl|Moderna|3129000.0|56.0|Dep
Sep25_829e7950,Inm24,Gdl,Moderna,Ven,Dep,58.0,1.0,1.0,3395000.0,1750.0,-103.376205,20.666386,295.0,1.0,0,58534.48275862069,01/04/2025,Gdl|Moderna|3395000.0|58.0|Dep
Sep25_111967a0,Inm24,Gdl,Moderna,Ven,Dep,44.0,1.0,1.0,2600000.0,,-103.376136,20.666113,356.0,1.0,1,59090.90909090909,01/04/2025,Gdl|Moderna|2600000.0|44.0|Dep
